when i ponder childhood memories past , one of the things that always springs immediately to mind is watching the " inspector gadget " tv show with my older brother . 	Translation	Positive	Negative	EmotionRationale
truth be told , we were rabid fanatics ; our version of cowboys and indians was chasing each other around our coffee table to the theme tune , alternating who would get to be gadget and who would be stuck playing the part of dr . claw , the inspector's arch nemesis . 	truth be told , we were rabid fanatics ; our version of cowboys and indians was chasing each other around our coffee table to the theme tune , alternating who would get to be gadget and who would be stuck playing the part of dr .<br> claw , the inspector's arch nemesis .	2	-2	 truth[1] be[0] told[0] we[0] were[0] rabid[0] fanatics[-1] our[0] version[0] of[0] cowboys[0] and[0] indians[0] was[0] chasing[0] each[0] other[0] around[0] our[0] coffee[0] table[0] to[0] the[0] theme[0] tune[0] alternating[0] who[0] would[0] get[0] to[0] be[0] gadget[0] and[0] who[0] would[0] be[0] stuck[0] playing[1] the[0] part[0] of[0] dr[0] [[Sentence=-2,2=word max, 1-5]] claw[0] the[0] inspector's[0] arch[0] nemesis[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
i was never a biggie on nostalgia , but you just can't help but have fond memories of something like that . 	i was never a biggie on nostalgia , but you just can't help but have fond memories of something like that .	3	-1	 i[0] was[0] never[0] a[0] biggie[0] on[0] nostalgia[0] but[0] you[0] just[0] can't[0] help[0] but[0] have[0] fond[2] memories[0] of[0] something[0] like[1] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sometimes i even find myself up at 4am watching re-runs of my favorite episodes , trying to recapture some of that sense of wonder i felt as a kid . 	sometimes i even find myself up at 4am watching re-runs of my favorite episodes , trying to recapture some of that sense of wonder i felt as a kid .	2	-1	 sometimes[0] i[0] even[0] find[0] myself[0] up[0] at[0] 4am[0] watching[0] re[0] runs[0] of[0] my[0] favorite[1] episodes[0] trying[0] to[0] recapture[0] some[0] of[0] that[0] sense[0] of[0] wonder[0] i[0] felt[0] as[0] a[0] kid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at the very least , i was expecting the new film version of the classic television series to have at least some kind of similar effect on me . 	at the very least , i was expecting the new film version of the classic television series to have at least some kind of similar effect on me .	1	-1	 at[0] the[0] very[0] least[0] i[0] was[0] expecting[0] the[0] new[0] film[0] version[0] of[0] the[0] classic[0] television[0] series[0] to[0] have[0] at[0] least[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] similar[0] effect[0] on[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
despite how horrid a film may be , the simple task of rekindling even a slight feeling of nostalgia is pretty tough to screw up . 	despite how horrid a film may be , the simple task of rekindling even a slight feeling of nostalgia is pretty tough to screw up .	3	-4	 despite[0] how[0] horrid[-3] a[0] film[0] may[0] be[0] the[0] simple[0] task[0] of[0] rekindling[0] even[0] a[0] slight[0] feeling[0] of[0] nostalgia[0] is[0] pretty[2] tough[-1] to[0] screw[0] up[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
so back i sat , with minimum expectations of what the movie would deliver ( let's face it ; exactly how good can a live-action disney film really be ? ) . 	so back i sat , with minimum expectations of what the movie would deliver ( let's face it ; exactly how good can a live-action disney film really be ?<br> ) .	2	-1	 so[0] back[0] i[0] sat[0] with[0] minimum[0] expectations[0] of[0] what[0] the[0] movie[0] would[0] deliver[0] let's[0] face[0] it[0] exactly[0] how[0] good[1] can[0] a[0] live[0] action[0] disney[0] film[0] really[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was wise enough to steer clear from the likes of mr . magoo and george of the jungle ( two previous disney adaptations ) , and i wish to god that i had been sharp enough to skip gadget as well . 	i was wise enough to steer clear from the likes of mr .<br> magoo and george of the jungle ( two previous disney adaptations ) , and i wish to god that i had been sharp enough to skip gadget as well .	3	-1	 i[0] was[0] wise[0] enough[0] to[0] steer[0] clear[0] from[0] the[0] likes[2] of[0] mr[0] [[Sentence=-1,3=word max, 1-5]] magoo[0] and[0] george[0] of[0] the[0] jungle[0] two[0] previous[0] disney[0] adaptations[0] and[0] i[0] wish[0] to[0] god[0] that[0] i[0] had[0] been[0] sharp[0] enough[0] to[0] skip[0] gadget[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
rarely has a movie left me with such an utter feeling of emptiness . 	rarely has a movie left me with such an utter feeling of emptiness .	1	-3	 rarely[0] has[0] a[0] movie[0] left[0] me[0] with[0] such[0] an[0] utter[0] feeling[0] of[0] emptiness[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as everyone else was getting up to exit the screening room after the movie had completed its assault on mankind , i was left sitting there , absolutely speechless and totally dumbfounded at what i had just seen . 	as everyone else was getting up to exit the screening room after the movie had completed its assault on mankind , i was left sitting there , absolutely speechless and totally dumbfounded at what i had just seen .	1	-3	 as[0] everyone[0] else[0] was[0] getting[0] up[0] to[0] exit[-1] the[0] screening[0] room[0] after[0] the[0] movie[0] had[0] completed[0] its[0] assault[-2] on[0] mankind[0] i[0] was[0] left[0] sitting[0] there[0] absolutely[0] speechless[0] and[0] totally[0] dumbfounded[-1][-1 LastWordBoosterStrength] at[0] what[0] i[0] had[0] just[0] seen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
can something this awful truly exist in such an evolved world ? 	can something this awful truly exist in such an evolved world ?	2	-4	 can[0] something[0] this[0] awful[-3] truly[1] exist[0] in[0] such[0] an[0] evolved[0] world[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
