the realm of science fiction has always been an allegory of political and or moral sensibilities . 	Translation	Positive	Negative	EmotionRationale
the best tales of the genre deal with mankind's struggle for survival or knowledge . 	the best tales of the genre deal with mankind's struggle for survival or knowledge .	2	-2	 the[0] best[1] tales[0] of[0] the[0] genre[0] deal[0] with[0] mankind's[0] struggle[-1] for[0] survival[0] or[0] knowledge[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
such popular and noteworthy tomes as " stranger in a strange land " by robert heinlein , " childhood's end " by arthur c . clarke and " man in the high castle " and " do androids dream of electric sheep " by philip k . dick all deal with man's need for identity and struggle for self worth . 	such popular and noteworthy tomes as " stranger in a strange land " by robert heinlein , " childhood's end " by arthur c .<br> clarke and " man in the high castle " and " do androids dream of electric sheep " by philip k .<br> dick all deal with man's need for identity and struggle for self worth .	1	-2	 such[0] popular[0] and[0] noteworthy[0] tomes[0] as[0] stranger[0] in[0] a[0] strange[0] land[0] by[0] robert[0] heinlein[0] childhood's[0] end[0] by[0] arthur[0] c[0] [[Sentence=-1,1=word max, 1-5]] clarke[0] and[0] man[0] in[0] the[0] high[0] castle[0] and[0] do[0] androids[0] dream[0] of[0] electric[0] sheep[0] by[0] philip[0] k[0] [[Sentence=-1,1=word max, 1-5]] dick[0] all[0] deal[0] with[0] man's[0] need[0] for[0] identity[0] and[0] struggle[-1] for[0] self[0] worth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hollywood has regularly adapted the milieu ( if not the message ) of science fiction since it's beginnings . 	hollywood has regularly adapted the milieu ( if not the message ) of science fiction since it's beginnings .	1	-1	 hollywood[0] has[0] regularly[0] adapted[0] the[0] milieu[0] if[0] not[0] the[0] message[0] of[0] science[0] fiction[0] since[0] it's[0] beginnings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most films just created fancy pulp tales with no more thought that the escapism they achieved . 	most films just created fancy pulp tales with no more thought that the escapism they achieved .	1	-1	 most[0] films[0] just[0] created[0] fancy[0] pulp[0] tales[0] with[0] no[0] more[0] thought[0] that[0] the[0] escapism[0] they[0] achieved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it really wasn't until producer george pal , took charge of robert heinlein's novel " rocketship galileo " and crafted the film " destination moon " , that 'sci-fi' ( as it is commonly referred to ) , came into it's own . 	it really wasn't until producer george pal , took charge of robert heinlein's novel " rocketship galileo " and crafted the film " destination moon " , that 'sci-fi' ( as it is commonly referred to ) , came into it's own .	1	-2	 it[0] really[0] wasn't[0] until[0] producer[0] george[0] pal[0] took[0] charge[-1] of[0] robert[0] heinlein's[0] novel[0] rocketship[0] galileo[0] and[0] crafted[0] the[0] film[0] destination[0] moon[0] that[0] 'sci[0] fi'[0] as[0] it[0] is[0] commonly[0] referred[0] to[0] came[0] into[0] it's[0] own[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from there , such diverse filmmakers as roger corman to stanley kubrick , have sought to express ideas through the medium of the genre . 	from there , such diverse filmmakers as roger corman to stanley kubrick , have sought to express ideas through the medium of the genre .	1	-1	 from[0] there[0] such[0] diverse[0] filmmakers[0] as[0] roger[0] corman[0] to[0] stanley[0] kubrick[0] have[0] sought[0] to[0] express[0] ideas[0] through[0] the[0] medium[0] of[0] the[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the release of touchstone pictures " mission to mars " , we have an unabashedly nonchalant sci-fi film for those who read the national enquirer and the globe . 	with the release of touchstone pictures " mission to mars " , we have an unabashedly nonchalant sci-fi film for those who read the national enquirer and the globe .	1	-1	 with[0] the[0] release[0] of[0] touchstone[0] pictures[0] mission[0] to[0] mars[0] we[0] have[0] an[0] unabashedly[0] nonchalant[0] sci[0] fi[0] film[0] for[0] those[0] who[0] read[0] the[0] national[0] enquirer[0] and[0] the[0] globe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens on a summer barbecue , as phil ohlmyer ( jerry o'connell ) woos a young female with his tales of space glory and the upcoming mission . 	the film opens on a summer barbecue , as phil ohlmyer ( jerry o'connell ) woos a young female with his tales of space glory and the upcoming mission .	2	-1	 the[0] film[0] opens[0] on[0] a[0] summer[0] barbecue[0] as[0] phil[0] ohlmyer[0] jerry[0] o'connell[0] woos[0] a[0] young[0] female[0] with[0] his[0] tales[0] of[0] space[0] glory[1] and[0] the[0] upcoming[0] mission[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
woody blake ( tim robbins ) and his wife terri ( connie nielsen ) commit to his coming authority on the mission , and luc goddard ( don cheadle ) consoles his son . 	woody blake ( tim robins ) and his wife terri ( connie nielsen ) commit to his coming authority on the mission , and luc goddard ( don cheadle ) consoles his son .	1	-1	 woody[0] blake[0] tim[0] robbins/robins[0] and[0] his[0] wife[0] terri[0] connie[0] nielsen[0] commit[0] to[0] his[0] coming[0] authority[0] on[0] the[0] mission[0] and[0] luc[0] goddard[0] don[0] cheadle[0] consoles[0] his[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entering the party is jim mcconnell ( gary sinise ) , who gave up command of the mission due to the untimely death of his wife , maggie ( kim delaney ) . 	entering the party is jim mcconnell ( gary sinise ) , who gave up command of the mission due to the untimely death of his wife , maggie ( kim delaney ) .	1	-3	 entering[0] the[0] party[0] is[0] jim[0] mcconnell[0] gary[0] sinise[0] who[0] gave[0] up[0] command[0] of[0] the[0] mission[0] due[0] to[0] the[0] untimely[-1] death[-2] of[0] his[0] wife[0] maggie[0] kim[0] delaney[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
luc consoles jim with woody's assistance . 	luc consoles jim with woody's assistance .	1	-1	 luc[0] consoles[0] jim[0] with[0] woody's[0] assistance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the three men are friends and carry a fine bond of trust and caring between them . 	the three men are friends and carry a fine bond of trust and caring between them .	3	-1	 the[0] three[0] men[0] are[0] friends[1] and[0] carry[0] a[0] fine[2] bond[0] of[0] trust[1] and[0] caring[2] between[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but jim still longs to set foot on the red planet . 	but jim still longs to set foot on the red planet .	1	-1	 but[0] jim[0] still[0] longs[0] to[0] set[0] foot[0] on[0] the[0] red[0] planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mission is in earnest as luc and his team land in the cydonia region of mars . 	the mission is in earnest as luc and his team land in the cydonia region of mars .	1	-1	 the[0] mission[0] is[0] in[0] earnest[0] as[0] luc[0] and[0] his[0] team[0] land[0] in[0] the[0] cydonia[0] region[0] of[0] mars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they send out the rover to investigate the area and discover what seems to be water or ice under the surface . 	they send out the rover to investigate the area and discover what seems to be water or ice under the surface .	1	-1	 they[0] send[0] out[0] the[0] rover[0] to[0] investigate[0] the[0] area[0] and[0] discover[0] what[0] seems[0] to[0] be[0] water[0] or[0] ice[0] under[0] the[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
going out to investigate , luc and his team approach the famed 'face on mars' . 	going out to investigate , luc and his team approach the famed 'face on mars' .	1	-1	 going[0] out[0] to[0] investigate[0] luc[0] and[0] his[0] team[0] approach[0] the[0] famed[0] 'face[0] on[0] mars'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a strange noise emanates from the rock . 	a strange noise emanates from the rock .	2	-1	 a[0] strange[0] noise[0] emanates[0] from[0] the[0] rock[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the team tries to scan through the rock with radar , a violent wind storm erupts , creating a vortex that kills all members of the team , save for luc . 	as the team tries to scan through the rock with radar , a violent wind storm erupts , creating a vortex that kills all members of the team , save for luc .	2	-3	 as[0] the[0] team[0] tries[0] to[0] scan[0] through[0] the[0] rock[1] with[0] radar[0] a[0] violent[-2] wind[0] storm[-1] erupts[0] creating[0] a[0] vortex[0] that[0] kills[0] all[0] members[0] of[0] the[0] team[0] save[1] for[0] luc[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
back on the space station orbiting earth , woody and jim receive the information that the mars landing team is missing . 	back on the space station orbiting earth , woody and jim receive the information that the mars landing team is missing .	1	-1	 back[0] on[0] the[0] space[0] station[0] orbiting[0] earth[0] woody[0] and[0] jim[0] receive[0] the[0] information[0] that[0] the[0] mars[0] landing[0] team[0] is[0] missing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
luc's interference laden emergency message urges the two men to attempt a second mission to the red planet in the hopes of rescuing the previous team . 	luc's interference laden emergency message urges the two men to attempt a second mission to the red planet in the hopes of rescuing the previous team .	2	-2	 luc's[0] interference[-1] laden[0] emergency[-1] message[0] urges[0] the[0] two[0] men[0] to[0] attempt[0] a[0] second[0] mission[0] to[0] the[0] red[0] planet[0] in[0] the[0] hopes[1] of[0] rescuing[0] the[0] previous[0] team[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the second journey to the martian world is fraught with danger . 	the second journey to the martian world is fraught with danger .	1	-2	 the[0] second[0] journey[0] to[0] the[0] martian[0] world[0] is[0] fraught[-1] with[0] danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
meteorite showers , explosions , and rescues all come into play as the intrepid heroes make there way to the planet's surface . 	meteorite showers , explosions , and rescues all come into play as the intrepid heroes make there way to the planet's surface .	3	-2	 meteorite[0] showers[0] explosions[-1] and[0] rescues[0] all[0] come[0] into[0] play[0] as[0] the[0] intrepid[0] heroes[2] make[0] there[0] way[0] to[0] the[0] planet's[0] surface[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the big question is , is there now or has there ever been intelligent life on mars . 	the big question is , is there now or has there ever been intelligent life on mars .	2	-1	 the[0] big[0] question[0] is[0] is[0] there[0] now[0] or[0] has[0] there[0] ever[0] been[0] intelligent[1] life[0] on[0] mars[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and if so , what is its relationship with us ? 	and if so , what is its relationship with us ?	1	-1	 and[0] if[0] so[0] what[0] is[0] its[0] relationship[0] with[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now for the bad news . 	now for the bad news .	1	-2	 now[0] for[0] the[0] bad[-1] news[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the entire plot of " mission to mars " is based almost wholeheartedly on outdated and preposterous national enquirer type martian civilization tripe . 	the entire plot of " mission to mars " is based almost wholeheartedly on outdated and preposterous national enquirer type martian civilization tripe .	1	-2	 the[0] entire[0] plot[0] of[0] mission[0] to[0] mars[0] is[0] based[0] almost[0] wholeheartedly[0] on[0] outdated[0] and[0] preposterous[-1] national[0] enquirer[0] type[0] martian[0] civilization[0] tripe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
