silly performances and some huge gaps in logic mar an otherwise interesting tale of an eclectic group of people stranded at " the last stop cafe and motel " due to heavy snowfall . 	Translation	Positive	Negative	EmotionRationale
one of the stranded is a colorado state highway patrolman ( adam beach ) who discovers a murder scene and a bag full of cash from a recent bank robbery . 	one of the stranded is a colorado state highway patrolman ( adam beach ) who discovers a murder scene and a bag full of cash from a recent bank robbery .	1	-4	 one[0] of[0] the[0] stranded[0] is[0] a[0] colorado[0] state[0] highway[0] patrolman[0] adam[0] beach[0] who[0] discovers[0] a[0] murder[-3] scene[0] and[0] a[0] bag[0] full[0] of[0] cash[0] from[0] a[0] recent[0] bank[0] robbery[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
someone amongst the group of strangers is a bank robber and a murderer , but is it the same person or are there multiple criminals ? 	someone amongst the group of strangers is a bank robber and a murderer , but is it the same person or are there multiple criminals ?	1	-4	 someone[0] amongst[0] the[0] group[0] of[0] strangers[0] is[0] a[0] bank[0] robber[-1] and[0] a[0] murderer[-3] but[0] is[0] it[0] the[0] same[0] person[0] or[0] are[0] there[0] multiple[0] criminals[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
adam beach unfortunately was the wrong choice for the lead in this film . 	adam beach unfortunately was the wrong choice for the lead in this film .	1	-2	 adam[0] beach[0] unfortunately[-1] was[0] the[0] wrong[-1] choice[0] for[0] the[0] lead[0] in[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he doesn't play the role with enough seriousness to be believable or enough goofiness for it to be funny . 	he doesn't play the role with enough seriousness to be believable or enough goofiness for it to be funny .	2	-2	 he[0] doesn't[0] play[0] the[0] role[0] with[0] enough[0] seriousness[-1] to[0] be[0] believable[0] or[0] enough[0] goofiness[0] for[0] it[0] to[0] be[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his performance is stuck somewhere in the middle , and this film really needed it to be on one side or the other . 	his performance is stuck somewhere in the middle , and this film really needed it to be on one side or the other .	1	-1	 his[0] performance[0] is[0] stuck[0] somewhere[0] in[0] the[0] middle[0] and[0] this[0] film[0] really[0] needed[0] it[0] to[0] be[0] on[0] one[0] side[0] or[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rose mcgowan is cold and unpleasant to the eye as always , and jurgen prochnow . . . 	rose mcgowan is cold and unpleasant to the eye as always , and jurgen prochnow .<br> .<br> .	1	-3	 rose[0] mcgowan[0] is[0] cold[-1] and[0] unpleasant[-2] to[0] the[0] eye[0] as[0] always[0] and[0] jurgen[0] prochnow[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what on earth is he doing in this ? 	what on earth is he doing in this ?	1	-1	 what[0] on[0] earth[0] is[0] he[0] doing[0] in[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
best performance comes from william s . taylor as a cheesy ( yet still somehow cool and confident ) wayne newton drifter type . 	best performance comes from william s .<br> taylor as a cheesy ( yet still somehow cool and confident ) wayne newton drifter type .	2	-1	 best[1] performance[0] comes[0] from[0] william[0] s[0] [[Sentence=-1,2=word max, 1-5]] taylor[0] as[0] a[0] cheesy[0] yet[0] still[0] somehow[0] cool[1] and[0] confident[1] wayne[0] newton[0] drifter[0] type[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the last stop is available on dvd from sterling home entertainment . 	the last stop is available on dvd from sterling home entertainment .	1	-1	 the[0] last[0] stop[0] is[0] available[0] on[0] dvd[0] from[0] sterling[0] home[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as usual with sterling , they've filled out this dvd with extra features . 	as usual with sterling , they've filled out this dvd with extra features .	1	-1	 as[0] usual[0] with[0] sterling[0] they've[0] filled[0] out[0] this[0] dvd[0] with[0] extra[0] features[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
