an affluent horse breeder's past comes up to haunt him ; an ages old cover-up and blackmail comes back to haunt him at the hands of one of his accomplices . 	Translation	Positive	Negative	EmotionRationale
that's pretty much the essence of the movie and i have to say that it becomes quite boring at times and is very slow . 	that's pretty much the essence of the movie and i have to say that it becomes quite boring at times and is very slow .	3	-2	 that's[0] pretty[2] much[0] the[0] essence[0] of[0] the[0] movie[0] and[0] i[0] have[0] to[0] say[0] that[0] it[0] becomes[0] quite[0] boring[-1] at[0] times[0] and[0] is[0] very[0] slow[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
that aside the story was well presented and probably quite close and representative of its source . 	that aside the story was well presented and probably quite close and representative of its source .	1	-2	 that[0] aside[0] the[0] story[0] was[0] well[0] presented[0] and[0] probably[0] quite[0] close[0] and[0] representative[0] of[0] its[0] source[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the acting in particular i found very good , the character development was also quite interesting but alas the story simply did not hold my interest enough for me to get into the movie . 	the acting in particular i found very good , the character development was also quite interesting but alas the story simply did not hold my interest enough for me to get into the movie .	3	-2	 the[0] acting[0] in[0] particular[0] i[0] found[0] very[0] good[1][1 LastWordBoosterStrength] the[0] character[0] development[0] was[0] also[0] quite[0] interesting[1] but[0] alas[-1] the[0] story[0] simply[0] did[0] not[0] hold[0] my[0] interest[1] enough[0] for[0] me[0] to[0] get[0] into[0] the[0] movie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a few things about the story didn't sit very well with me for example the original scam and cover-up heavily involved the character played by sharon stone , yet in the end her character played a relatively small role and it seems she should have been utilized more to further the story along better . 	a few things about the story didn't sit very well with me for example the original scam and cover-up heavily involved the character played by sharon stone , yet in the end her character played a relatively small role and it seems she should have been utilized more to further the story along better .	1	-1	 a[0] few[0] things[0] about[0] the[0] story[0] didn't[0] sit[0] very[0] well[0] with[0] me[0] for[0] example[0] the[0] original[0] scam[0] and[0] cover[0] up[0] heavily[0] involved[0] the[0] character[0] played[0] by[0] sharon[0] stone[0] yet[0] in[0] the[0] end[0] her[0] character[0] played[0] a[0] relatively[0] small[0] role[0] and[0] it[0] seems[0] she[0] should[0] have[0] been[0] utilized[0] more[0] to[0] further[0] the[0] story[0] along[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the flip side the character played by catherine keener i found to be very interesting and i thought that it was developed very well and helped the story a lot . 	on the flip side the character played by catherine keener i found to be very interesting and i thought that it was developed very well and helped the story a lot .	3	-1	 on[0] the[0] flip[0] side[0] the[0] character[0] played[0] by[0] catherine[0] keener[0] i[0] found[0] to[0] be[0] very[0] interesting[1][1 LastWordBoosterStrength] and[0] i[0] thought[0] that[0] it[0] was[0] developed[0] very[0] well[0] and[0] helped[0] the[0] story[0] a[0] lot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the character's aside this movie had some interesting merits but in the end it lacked in story and pacing . 	the character's aside this movie had some interesting merits but in the end it lacked in story and pacing .	2	-1	 the[0] character's[0] aside[0] this[0] movie[0] had[0] some[0] interesting[1][-1 LastWordBoosterStrength] merits[1] but[0] in[0] the[0] end[0] it[0] lacked[0] in[0] story[0] and[0] pacing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as far as the acting and casting for this movie is concerned i have to say that the choices of nick nolte and jeff bridges were great as well as that of catherine keener . 	as far as the acting and casting for this movie is concerned i have to say that the choices of nick nolte and jeff bridges were great as well as that of catherine keener .	3	-2	 as[0] far[0] as[0] the[0] acting[0] and[0] casting[0] for[0] this[0] movie[0] is[0] concerned[-1] i[0] have[0] to[0] say[0] that[0] the[0] choices[0] of[0] nick[0] nolte[0] and[0] jeff[0] bridges[0] were[0] great[2] as[0] well[0] as[0] that[0] of[0] catherine[0] keener[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
all these people acted their parts admirably , as for the part that sharon stone played , she played it well but the part was not utilized enough . 	all these people acted their parts admirably , as for the part that sharon stone played , she played it well but the part was not utilized enough .	3	-1	 all[0] these[0] people[0] acted[0] their[0] parts[0] admirably[2] as[0] for[0] the[0] part[0] that[0] sharon[0] stone[0] played[0] she[0] played[0] it[0] well[0] but[0] the[0] part[0] was[0] not[0] utilized[0] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the directing for this movie is something that i have to comment on because for once in a long while you see a director actually add a very distinctive flavor to a movie , this is one of those occasions . 	the directing for this movie is something that i have to comment on because for once in a long while you see a director actually add a very distinctive flavor to a movie , this is one of those occasions .	1	-1	 the[0] directing[0] for[0] this[0] movie[0] is[0] something[0] that[0] i[0] have[0] to[0] comment[0] on[0] because[0] for[0] once[0] in[0] a[0] long[0] while[0] you[0] see[0] a[0] director[0] actually[0] add[0] a[0] very[0] distinctive[0] flavor[0] to[0] a[0] movie[0] this[0] is[0] one[0] of[0] those[0] occasions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matthew warchus in my opinion added an interesting touch and spin to the movie and i think he tackled a touch subject ( i myself wouldn't be able to look at horseracing and make a movie out of it ) . 	matthew warchus in my opinion added an interesting touch and spin to the movie and i think he tackled a touch subject ( i myself wouldn't be able to look at horseracing and make a movie out of it ) .	2	-1	 matthew[0] warchus[0] in[0] my[0] opinion[0] added[0] an[0] interesting[1] touch[0] and[0] spin[0] to[0] the[0] movie[0] and[0] i[0] think[0] he[0] tackled[0] a[0] touch[0] subject[0] i[0] myself[0] wouldn't[0] be[0] able[0] to[0] look[0] at[0] horseracing[0] and[0] make[0] a[0] movie[0] out[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
