i feel sorry for the financial backers of " waterworld , " which is supposedly the most expensive film ever made ( at $172 million ! ) , and is also one of the stupidest - boy did they get ripped off ! 	Translation	Positive	Negative	EmotionRationale
in fact , this film is not really a movie , but more of an amusement park ride with a plot . 	in fact , this film is not really a movie , but more of an amusement park ride with a plot .	2	-1	 in[0] fact[0] this[0] film[0] is[0] not[0] really[0] a[0] movie[0] but[0] more[0] of[0] an[0] amusement[1] park[0] ride[0] with[0] a[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not even just another case of cliches strung together ( well , it is that too ) , it's something that's painful to watch because it relishes in its flaws . 	it's not even just another case of cliches strung together ( well , it is that too ) , it's something that's painful to watch because it relishes in its flaws .	1	-4	 it's[0] not[0] even[0] just[0] another[0] case[0] of[0] cliches[0] strung[0] together[0] well[0] it[0] is[0] that[0] too[0] it's[0] something[0] that's[0] painful[-3] to[0] watch[0] because[0] it[0] relishes[0] in[0] its[0] flaws[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
kevin costner stars as a man who is some kind of mutant half man/half fish . 	kevin costner stars as a man who is some kind of mutant half man/half fish .	1	-1	 kevin[0] costner[0] stars[0] as[0] a[0] man[0] who[0] is[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] mutant[0] half[0] man/half[0] fish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is an explorer/mariner on an alternate earth that is completely covered by water because the polar ice caps melted . 	he is an explorer/mariner on an alternate earth that is completely covered by water because the polar ice caps melted .	1	-1	 he[0] is[0] an[0] explorer/mariner[0] on[0] an[0] alternate[0] earth[0] that[0] is[0] completely[0] covered[0] by[0] water[0] because[0] the[0] polar[0] ice[0] caps[0] melted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's referred to as the mariner , but they " the meaner " would have been a more appropriate title because he's cold , rigid , and strict - and he's supposed the be the good guy ! 	he's referred to as the mariner , but they " the meaner " would have been a more appropriate title because he's cold , rigid , and strict - and he's supposed the be the good guy !	2	-2	 he's[0] referred[0] to[0] as[0] the[0] mariner[0] but[0] they[0] the[0] meaner[0] would[0] have[0] been[0] a[0] more[0] appropriate[0] title[0] because[0] he's[0] cold[-1] rigid[-1] and[0] strict[-1] and[0] he's[0] supposed[0] the[0] be[0] the[0] good[1] guy[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he docks at a small floating village of sorts . 	he docks at a small floating village of sorts .	1	-1	 he[0] docks[0] at[0] a[0] small[0] floating[0] village[0] of[0] sorts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he trades dirt for money and this introduces us to the other important characters . 	he trades dirt for money and this introduces us to the other important characters .	1	-2	 he[0] trades[0] dirt[-1] for[0] money[0] and[0] this[0] introduces[0] us[0] to[0] the[0] other[0] important[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first we meet one of the villains , then the soon-to-be heroine , a child prodigy , a wacky inventor , and a group of primitive people that somehow have some of the technology we have today , but also some of the low-tech tools used by pirates and vikings . 	first we meet one of the villains , then the soon-to-be heroine , a child prodigy , a wacky inventor , and a group of primitive people that somehow have some of the technology we have today , but also some of the low-tech tools used by pirates and vikings .	3	-3	 first[0] we[0] meet[0] one[0] of[0] the[0] villains[-2] then[0] the[0] soon[0] to[0] be[0] heroine[2] a[0] child[0] prodigy[0] a[0] wacky[0] inventor[0] and[0] a[0] group[0] of[0] primitive[0] people[0] that[0] somehow[0] have[0] some[0] of[0] the[0] technology[0] we[0] have[0] today[0] but[0] also[0] some[0] of[0] the[0] low[-1] tech[0] tools[0] used[0] by[0] pirates[0] and[0] vikings[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
immediately the film's biggest flaw is apparent : are these people primitive or highly advanced ? 	immediately the film's biggest flaw is apparent : are these people primitive or highly advanced ?	1	-2	 immediately[0] the[0] film's[0] biggest[0] flaw[-1] is[0] apparent[0] are[0] these[0] people[0] primitive[0] or[0] highly[0] advanced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it doesn't seem like anyone can read yet they have ski-doos and airplanes ! 	it doesn't seem like anyone can read yet they have ski-doos and airplanes !	2	-1	 it[0] doesn't[0] seem[0] like[1] anyone[0] can[0] read[0] yet[0] they[0] have[0] ski[0] doos[0] and[0] airplanes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
how are these things powered ? 	how are these things powered ?	1	-1	 how[0] are[0] these[0] things[0] powered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and if they have airplanes , couldn't they just keep flying until they reached dry land ? 	and if they have airplanes , couldn't they just keep flying until they reached dry land ?	1	-1	 and[0] if[0] they[0] have[0] airplanes[0] couldn't[0] they[0] just[0] keep[0] flying[0] until[0] they[0] reached[0] dry[0] land[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
