has it really been two decades since walter matthau coached the bad news bears ? 	Translation	Positive	Negative	EmotionRationale
nineteen years and two mighty ducks later , the formula is still going strong . 	nineteen years and two mighty ducks later , the formula is still going strong .	1	-1	 nineteen[0] years[0] and[0] two[0] mighty[0] ducks[0] later[0] the[0] formula[0] is[0] still[0] going[0] strong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
police academy graduate steve guttenberg stars as a small-town deputy sheriff corralled into co-coaching the school's hastily formed soccer team . 	police academy graduate steve guttenberg stars as a small-town deputy sheriff corralled into co-coaching the school's hastily formed soccer team .	1	-1	 police[0] academy[0] graduate[0] steve[0] guttenberg[0] stars[0] as[0] a[0] small[0] town[0] deputy[0] sheriff[0] corralled[0] into[0] co[0] coaching[0] the[0] school's[0] hastily[0] formed[0] soccer[0] team[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his partner-in-crime is the new british " exchange teacher " ( olivia d'abo ) , a lively lass who has obviously seen dangerous minds and knows that the best way to gain the respect of a disinterested , outer-city audience is to teach them something neat . 	his partner-in-crime is the new british " exchange teacher " ( olivia d'abo ) , a lively lass who has obviously seen dangerous minds and knows that the best way to gain the respect of a disinterested , outer-city audience is to teach them something neat .	3	-2	 his[0] partner[0] in[0] crime[-1] is[0] the[0] new[0] british[0] exchange[0] teacher[0] olivia[0] d'abo[0] a[0] lively[1] lass[0] who[0] has[0] obviously[0] seen[0] dangerous[-1] minds[0] and[0] knows[0] that[0] the[0] best[1] way[0] to[0] gain[0] the[0] respect[2] of[0] a[0] disinterested[-1] outer[0] city[0] audience[0] is[0] to[0] teach[0] them[0] something[0] neat[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
like soccer . 	like soccer .	2	-1	 like[1] soccer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most of the good-natured gags are of the fast-motion variety , such as runaway cows and out-of-control lawnmowers . 	most of the good-natured gags are of the fast-motion variety , such as runaway cows and out-of-control lawnmowers .	2	-2	 most[0] of[0] the[0] good[1] natured[0] gags[0] are[0] of[0] the[0] fast[0] motion[0] variety[0] such[0] as[0] runaway[-1] cows[0] and[0] out[0] of[0] control[0] lawnmowers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kids will laugh at the occasional belching bit , while their parents peacefully doze beside them . 	kids will laugh at the occasional belching bit , while their parents peacefully doze beside them .	2	-1	 kids[0] will[0] laugh[1] at[0] the[0] occasional[0] belching[0] bit[0] while[0] their[0] parents[0] peacefully[0] doze[0] beside[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
other than letting a supporting character named newt go unscathed , what's missing from the big green is a better integration of music and comedy . 	other than letting a supporting character named newt go unscathed , what's missing from the big green is a better integration of music and comedy .	2	-1	 other[0] than[0] letting[0] a[0] supporting[1] character[0] named[0] newt[0] go[0] unscathed[0] what's[0] missing[0] from[0] the[0] big[0] green[0] is[0] a[0] better[0] integration[0] of[0] music[0] and[0] comedy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
instead of a peppy pop score , which would arguably work to better effect , most of the action is set to a bombastic orchestral score that belongs somewhere else . 	instead of a peppy pop score , which would arguably work to better effect , most of the action is set to a bombastic orchestral score that belongs somewhere else .	1	-2	 instead[0] of[0] a[0] peppy[0] pop[0] score[0] which[0] would[0] arguably[-1][--1 LastWordBoosterStrength] work[0] to[0] better[0] effect[0] most[0] of[0] the[0] action[0] is[0] set[0] to[0] a[0] bombastic[-1] orchestral[0] score[0] that[0] belongs[0] somewhere[0] else[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
comedy needs music . 	comedy needs music .	1	-1	 comedy[0] needs[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just watch any old bugs bunny short . 	just watch any old bugs bunny short .	1	-1	 just[0] watch[0] any[0] old[0] bugs[0] bunny[0] short[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the marx brothers knew it . 	the marx brothers knew it .	1	-1	 the[0] marx[0] brothers[0] knew[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mel brooks knows it . 	mel brooks knows it .	1	-1	 mel[0] brooks[0] knows[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the current trend is to " overscore . " 	unfortunately , the current trend is to " overscore .<br> "	1	-2	 unfortunately[-1] the[0] current[0] trend[0] is[0] to[0] overscore[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lush strings and booming brass in every scene , at every moment . 	lush strings and booming brass in every scene , at every moment .	1	-1	 lush[0] strings[0] and[0] booming[0] brass[0] in[0] every[0] scene[0] at[0] every[0] moment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remember the simple strains of bizet's " habanera " in the original bad news bears ? 	remember the simple strains of bizet's " habanera " in the original bad news bears ?	1	-2	 remember[0] the[0] simple[0] strains[-1] of[0] bizet's[0] habanera[0] in[0] the[0] original[0] bad[-1] news[0] bears[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these days , it's usually a bellowing fanfare that threatens to smother every scene in its path . 	these days , it's usually a bellowing fanfare that threatens to smother every scene in its path .	1	-3	 these[0] days[0] it's[0] usually[0] a[0] bellowing[0] fanfare[0] that[0] threatens[-2] to[0] smother[-1] every[0] scene[0] in[0] its[0] path[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
much like adding frosting to already frosted cake . 	much like adding frosting to already frosted cake .	2	-1	 much[0] like[1] adding[0] frosting[0] to[0] already[0] frosted[0] cake[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an awfully big adventure                          	an awfully big adventure                         	1	-4	 an[0] awfully[-3] big[0] adventure[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the reteaming of director mike newell and star hugh grant is about as far removed as you can get from the lightsome comedy of four weddings and a funeral . 	the reteaming of director mike newell and star hugh grant is about as far removed as you can get from the lightsome comedy of four weddings and a funeral .	1	-1	 the[0] reteaming[0] of[0] director[0] mike[0] newell[0] and[0] star[0] hugh[0] grant[0] is[0] about[0] as[0] far[0] removed[0] as[0] you[0] can[0] get[0] from[0] the[0] lightsome[0] comedy[0] of[0] four[0] weddings[0] and[0] a[0] funeral[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their second collaboration is a downbeat theatrical drama about a young intern ( georgina cates ) struggling to survive in post-w . w . ii 	their second collaboration is a downbeat theatrical drama about a young intern ( georgina cates ) struggling to survive in post-w .<br> w .<br> i	1	-2	 their[0] second[0] collaboration[0] is[0] a[0] downbeat[0] theatrical[0] drama[0] about[0] a[0] young[0] intern[0] georgina[0] cates[0] struggling[-1] to[0] survive[0] in[0] post[0] w[0] [[Sentence=-2,1=word max, 1-5]] w[0] [[Sentence=-1,1=word max, 1-5]] ii/i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
liverpool . 	liverpool .	1	-1	 liverpool[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hugh plays the gay director , an * extremely * unappealing character who may alienate whatever fans are left after the nonsense of nine months . 	hugh plays the gay director , an * extremely * unappealing character who may alienate whatever fans are left after the nonsense of nine months .	2	-2	 hugh[0] plays[1] the[0] gay[-1] director[0] an[0] extremely[0] unappealing[0] character[0] who[0] may[0] alienate[-1][--1 LastWordBoosterStrength] whatever[0] fans[0] are[0] left[0] after[0] the[0] nonsense[-1] of[0] nine[0] months[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bleak make-up and thick accents conspire to make this a difficult story to settle into . 	bleak make-up and thick accents conspire to make this a difficult story to settle into .	1	-2	 bleak[-1] make[0] up[0] and[0] thick[0] accents[0] conspire[-1] to[0] make[0] this[0] a[0] difficult[-1] story[0] to[0] settle[0] into[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
