gregg araki's the doom generation was possibly the very worst film ever made . 	Translation	Positive	Negative	EmotionRationale
so why did i see his latest teen bisexual angst opus ? 	so why did i see his latest teen bisexual angst opus ?	1	-1	 so[0] why[0] did[0] i[0] see[0] his[0] latest[0] teen[0] bisexual[0] angst[0] opus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first of all , some of the reviews were fairly positive . 	first of all , some of the reviews were fairly positive .	3	-1	 first[0] of[0] all[0] some[0] of[0] the[0] reviews[0] were[0] fairly[0] positive[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
also , the cast , consisting of cameos from dozens of washed up ex tv stars ( including christopher knight , eve plumb , shannen doherty , and david leisure ) was promising . 	also , the cast , consisting of cameos from dozens of washed up ex tv stars ( including christopher knight , eve plumb , shannen doherty , and david leisure ) was promising .	2	-1	 also[0] the[0] cast[0] consisting[0] of[0] cameos[0] from[0] dozens[0] of[0] washed[0] up[0] ex[0] tv[0] stars[0] including[0] christopher[0] knight[0] eve[0] plumb[0] shannen[0] doherty[0] and[0] david[0] leisure[0] was[0] promising[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
last of all , i wanted to give arraki one more chance . 	last of all , i wanted to give arraki one more chance .	1	-1	 last[0] of[0] all[0] i[0] wanted[0] to[0] give[0] arraki[0] one[0] more[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean , the guy can't be that untalented , can he ? 	i mean , the guy can't be that untalented , can he ?	1	-1	 i[0] mean[0] the[0] guy[0] can't[0] be[0] that[0] untalented[0] can[0] he[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer to that question is three letters long . 	the answer to that question is three letters long .	1	-1	 the[0] answer[0] to[0] that[0] question[0] is[0] three[0] letters[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nowhere follows the character dark on his wild and odd journey through los angeles . 	nowhere follows the character dark on his wild and odd journey through los angeles .	1	-1	 nowhere[0] follows[0] the[0] character[0] dark[0] on[0] his[0] wild[0] and[0] odd[0] journey[0] through[0] los[0] angeles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since arraki doesn't know how to make anything coherent , it's hard to describe the plot . 	since arraki doesn't know how to make anything coherent , it's hard to describe the plot .	1	-1	 since[0] arraki[0] doesn't[0] know[0] how[0] to[0] make[0] anything[0] coherent[0] it's[0] hard[0] to[0] describe[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's just say that dark spends the bulk of the movie whining that his girlfriend won't make a commitment to him and jealous because she sleeps around with other guys and girls . 	let's just say that dark spends the bulk of the movie whining that his girlfriend won't make a commitment to him and jealous because she sleeps around with other guys and girls .	1	-3	 let's[0] just[0] say[0] that[0] dark[0] spends[0] the[0] bulk[0] of[0] the[0] movie[0] whining[-2] that[0] his[0] girlfriend[0] won't[0] make[0] a[0] commitment[0] to[0] him[0] and[0] jealous[-2] because[0] she[0] sleeps[0] around[0] with[0] other[0] guys[0] and[0] girls[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only remotely compelling storyline involves sarah lassez as a teen who has a chance encounter with a famous tv star . 	the only remotely compelling storyline involves sarah lassez as a teen who has a chance encounter with a famous tv star .	1	-1	 the[0] only[0] remotely[0] compelling[0] storyline[0] involves[0] sarah[0] lassez[0] as[0] a[0] teen[0] who[0] has[0] a[0] chance[0] encounter[0] with[0] a[0] famous[0] tv[0] star[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
