synopsis : sullen julie james , still haunted by nightmares of the killer ben willis from i know what you did last summer , perks up when her new best friend karla wilson wins a trip for four to the bahamas . 	Translation	Positive	Negative	EmotionRationale
arriving at the start of the hurricane season , julie and karla run around in very tight clothing and realize they've walked into a trap set by the rainslickered slasher with a huge hook for a hand . 	arriving at the start of the hurricane season , julie and karla run around in very tight clothing and realize they've walked into a trap set by the rainslickered slasher with a huge hook for a hand .	1	-2	 arriving[0] at[0] the[0] start[0] of[0] the[0] hurricane[0] season[0] julie[0] and[0] karla[0] run[0] around[0] in[0] very[0] tight[0] clothing[0] and[0] realize[0] they've[0] walked[0] into[0] a[0] trap[-1] set[0] by[0] the[0] rainslickered[0] slasher[-1] with[0] a[0] huge[0] hook[0] for[0] a[0] hand[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
comments : i may be showing some pop culture illiteracy here , but i have never seen an episode of the fox tv series " party of five . " 	comments : i may be showing some pop culture illiteracy here , but i have never seen an episode of the fox tv series " party of five .<br> "	1	-1	 comments[0] i[0] may[0] be[0] showing[0] some[0] pop[0] culture[0] illiteracy[0] here[0] but[0] i[0] have[0] never[0] seen[0] an[0] episode[0] of[0] the[0] fox[0] tv[0] series[0] party[0] of[0] five[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i am only vaguely aware of the show's premise , and my knowledge of it comes from brief commercials i half-paid attention to while watching the tube . 	i am only vaguely aware of the show's premise , and my knowledge of it comes from brief commercials i half-paid attention to while watching the tube .	1	-2	 i[0] am[0] only[0] vaguely[-1] aware[0] of[0] the[0] show's[0] premise[0] and[0] my[0] knowledge[0] of[0] it[0] comes[0] from[0] brief[0] commercials[0] i[0] half[0] paid[0] attention[0] to[0] while[0] watching[0] the[0] tube[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " party of five , " i do know however , seems to be the starting ground for actresses in the teen horror genre . 	 " party of five , " i do know however , seems to be the starting ground for actresses in the teen horror genre .	1	-4	 party[0] of[0] five[0] i[0] do[0] know[0] however[0] seems[0] to[0] be[0] the[0] starting[0] ground[0] for[0] actresses[0] in[0] the[0] teen[0] horror[-3] genre[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
neve campbell , scream queen of the 90s and star of scream , scream 2 , and the craft , is a regular of the show . 	neve campbell , scream queen of the 90s and star of scream , scream 2 , and the craft , is a regular of the show .	1	-5	 neve[0] campbell[0] scream[-3] queen[0] of[0] the[0] 90s[0] and[0] star[0] of[0] scream[-3] scream[-3][-1 MultiplePositiveWords] 2[0] and[0] the[0] craft[0] is[0] a[0] regular[0] of[0] the[0] show[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
so too is jennifer love hewitt . 	so too is jennifer love hewitt .	3	-1	 so[0] too[0] is[0] jennifer[0] love[2] hewitt[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lo and behold , following in the footsteps of campbell , hewitt now has a horror franchise of her own : the i know what you did last summer line . 	lo and behold , following in the footsteps of campbell , hewitt now has a horror franchise of her own : the i know what you did last summer line .	1	-4	 lo[0] and[0] behold[0] following[0] in[0] the[0] footsteps[0] of[0] campbell[0] hewitt[0] now[0] has[0] a[0] horror[-3] franchise[0] of[0] her[0] own[0] the[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] line[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
though the original film , released last year , was watchable enough , this insipid sequel had me looking at the theater's glowing red exit sign longingly throughout . 	though the original film , released last year , was watchable enough , this insipid sequel had me looking at the theater's glowing red exit sign longingly throughout .	1	-3	 though[0] the[0] original[0] film[0] released[0] last[0] year[0] was[0] watchable[0] enough[0] this[0] insipid[0] sequel[0] had[0] me[0] looking[0] at[0] the[0] theater's[0] glowing[0] red[0] exit[-1] sign[0] longingly[-2] throughout[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jennifer love hewitt is a very good-looking young leading lady ; however , unlike neve campbell , hewitt struggles with acting . 	jennifer love hewitt is a very good-looking young leading lady ; however , unlike neve campbell , hewitt struggles with acting .	3	-2	 jennifer[0] love[2] hewitt[0] is[0] a[0] very[0] good[1][1 LastWordBoosterStrength] looking[0] young[0] leading[0] lady[0] however[0] unlike[0] neve[0] campbell[0] hewitt[0] struggles[-1] with[0] acting[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she just isn't convincing in this film ( and she wasn't in the original either ) . 	she just isn't convincing in this film ( and she wasn't in the original either ) .	1	-1	 she[0] just[0] isn't[0] convincing[0] in[0] this[0] film[0] and[0] she[0] wasn't[0] in[0] the[0] original[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this puts many young males , including myself , in a paradoxical quandary : she's very attractive , but the annoying , spoiled , valley girl-type character she tries to play here is annoying to the extreme and ruins many of the scenes which emphasize , exploitatively , her figure . 	this puts many young males , including myself , in a paradoxical quandary : she's very attractive , but the annoying , spoiled , valley girl-type character she tries to play here is annoying to the extreme and ruins many of the scenes which emphasize , exploitatively , her figure .	3	-3	 this[0] puts[0] many[0] young[0] males[0] including[0] myself[0] in[0] a[0] paradoxical[0] quandary[-1] she's[0] very[0] attractive[1][1 LastWordBoosterStrength] but[0] the[0] annoying[-2] spoiled[-1] valley[0] girl[0] type[0] character[0] she[0] tries[0] to[0] play[0] here[0] is[0] annoying[-2] to[0] the[0] extreme[0] and[0] ruins[0] many[0] of[0] the[0] scenes[0] which[0] emphasize[0] exploitatively[0] her[0] figure[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
add to the mix the equally pleasant yet irritating brandy , another rising teen tv star , and you get one frustrated male audience . 	add to the mix the equally pleasant yet irritating brandy , another rising teen tv star , and you get one frustrated male audience .	3	-3	 add[0] to[0] the[0] mix[0] the[0] equally[0] pleasant[2] yet[0] irritating[-2] brandy[0] another[0] rising[0] teen[0] tv[0] star[0] and[0] you[0] get[0] one[0] frustrated[-2] male[0] audience[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i've spent so much time on hewitt and brandy for a reason . 	i've spent so much time on hewitt and brandy for a reason .	1	-1	 i've[0] spent[0] so[0] much[0] time[0] on[0] hewitt[0] and[0] brandy[0] for[0] a[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
