ladies and gentlemen , payback is the most expensive episode of " the equalizer " i've ever seen . 	Translation	Positive	Negative	EmotionRationale
gibson plays porter , a burglar shot and left for dead by his wife ( deborah kara unger , in an all-too-brief cameo ) and partner ( henry ) after a successful heist . 	gibson plays porter , a burglar shot and left for dead by his wife ( deborah kara unger , in an all-too-brief cameo ) and partner ( henry ) after a successful heist .	3	-3	 gibson[0] plays[1] porter[0] a[0] burglar[-1] shot[-1] and[0] left[0] for[0] dead[-2] by[0] his[0] wife[0] deborah[0] kara[0] unger[0] in[0] an[0] all[0] too[0] brief[0] cameo[0] and[0] partner[0] henry[0] after[0] a[0] successful[2] heist[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as a morgue attendant sets about removing the bullets from porter's back , porter miraculously springs back to life . 	as a morgue attendant sets about removing the bullets from porter's back , porter miraculously springs back to life .	1	-2	 as[0] a[0] morgue[0] attendant[0] sets[0] about[0] removing[0] the[0] bullets[-1] from[0] porter's[0] back[0] porter[0] miraculously[0] springs[0] back[0] to[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he makes it his mission , as a walking dead man without a conscience , to exact revenge on those who screwed him and reclaim his share of the loot . 	he makes it his mission , as a walking dead man without a conscience , to exact revenge on those who screwed him and reclaim his share of the loot .	1	-3	 he[0] makes[0] it[0] his[0] mission[0] as[0] a[0] walking[0] dead[-2] man[0] without[0] a[0] conscience[0] to[0] exact[0] revenge[-1] on[0] those[0] who[0] screwed[0] him[0] and[0] reclaim[0] his[0] share[0] of[0] the[0] loot[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( in a running gag , porter demands  70 000 , but everybody mishears him and assumes he's after the entire  130 000 haul . ) 	 ( in a running gag , porter demands  70 00 , but everybody mishears him and assumes he's after the entire  130 00 haul .<br> )	1	-1	 in[0] a[0] running[0] gag[0] porter[0] demands[0] 70[0] 000/00[0] but[0] everybody[0] mishears[0] him[0] and[0] assumes[0] he's[0] after[0] the[0] entire[0] 130[0] 000/00[0] haul[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in his travels ( or travails ) , porter encounters several other one-named villainous cretins like fairfax ( james coburn as a white-haired , millionaire thief ) and carter ( kristofferson , as a brown-haired , millionaire thief-the kingpin of the obligatory " operation " ) . 	in his travels ( or travails ) , porter encounters several other one-named villainous cretins like fairfax ( james coburn as a white-haired , millionaire thief ) and carter ( kristofferson , as a brown-haired , millionaire thief-the kingpin of the obligatory " operation " ) .	2	-3	 in[0] his[0] travels[0] or[0] travails[0] porter[0] encounters[0] several[0] other[0] one[0] named[0] villainous[-2] cretins[0] like[1] fairfax[0] james[0] coburn[0] as[0] a[0] white[0] haired[0] millionaire[0] thief[-1] and[0] carter[0] kristofferson[0] as[0] a[0] brown[0] haired[0] millionaire[0] thief[-1] the[0] kingpin[0] of[0] the[0] obligatory[0] operation[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
helgeland's film ( which was recut by mel the producer ) is devoid of an imperative dime store charm . 	helgeland's film ( which was recut by mel the producer ) is devoid of an imperative dime store charm .	2	-2	 helgeland's[0] film[0] which[0] was[0] recut[0] by[0] mel[0] the[0] producer[0] is[0] devoid[-1] of[0] an[0] imperative[0] dime[0] store[0] charm[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the novelty of seeing a big movie star mercilessly dispatching criminals wears off quickly : a ) because the bad guys can only be differentiated by their coifs , and b ) because mel's schtick doesn't evolve from act one-he's the terminator stranded in a plot without a sci-fi hook to keep us interested after the initial sadistic thrill is gone . 	the novelty of seeing a big movie star mercilessly dispatching criminals wears off quickly : a ) because the bad guys can only be differentiated by their coifs , and b ) because mel's schtick doesn't evolve from act one-he's the terminator stranded in a plot without a sci-fi hook to keep us interested after the initial sadistic thrill is gone .	4	-2	 the[0] novelty[0] of[0] seeing[0] a[0] big[0] movie[0] star[0] mercilessly[-1] dispatching[0] criminals[-1] wears[0] off[0] quickly[0] a[0] because[0] the[0] bad[-1] guys[0] can[0] only[0] be[0] differentiated[0] by[0] their[0] coifs[0] and[0] b[0] because[0] mel's[0] schtick[0] doesn't[0] evolve[0] from[0] act[0] one[0] he's[0] the[0] terminator[0] stranded[0] in[0] a[0] plot[0] without[0] a[0] sci[0] fi[0] hook[0] to[0] keep[0] us[0] interested[1] after[0] the[0] initial[0] sadistic[0] thrill[3] is[0] gone[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
payback should have been called playback : it's a 102-minute loop of the same short sequence . 	payback should have been called playback : it's a 102-minute loop of the same short sequence .	1	-1	 payback[0] should[0] have[0] been[0] called[0] playback[0] it's[0] a[0] 102[0] minute[0] loop[0] of[0] the[0] same[0] short[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( mel : " i want my money . " 	 ( mel : " i want my money .<br> "	1	-1	 mel[0] i[0] want[0] my[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anonymous villain : " no . " 	anonymous villain : " no .<br> "	1	-3	 anonymous[0] villain[-2] no[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
