 " i seem to have glued myself . . . 	Translation	Positive	Negative	EmotionRationale
to myself . " 	to myself .<br> "	1	-1	 to[0] myself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring jason biggs , seann william scott , chris klein , thomas ian nichols , allyson hannigan , shannon elizabeth , natasha lyonne , tara reid , mena suvari , eugene levy , jennifer coolidge . 	starring jason biggs , sean william scot , chris klein , thomas ian nichols , allyson hannigan , shannon elizabeth , natasha lyonne , tara reid , mena suvari , eugene levy , jennifer coolidge .	1	-1	 starring[0] jason[0] biggs[0] seann/sean[0] william[0] scott/scot[0] chris[0] klein[0] thomas[0] ian[0] nichols[0] allyson[0] hannigan[0] shannon[0] elizabeth[0] natasha[0] lyonne[0] tara[0] reid[0] mena[0] suvari[0] eugene[0] levy[0] jennifer[0] coolidge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directed by j . b . rogers . 	directed by j .<br> b .<br> rogers .	1	-1	 directed[0] by[0] j[0] [[Sentence=-1,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]] rogers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r . 	rated are .	1	-1	 rated[0] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
american pie 2 reunites the cast members from american pie in a different setting ; instead of being high school seniors looking to score before they graduate , they are now past their first year of college and have gathered in a beach house to enjoy the summer of their lives . 	american pie 2 reunites the cast members from american pie in a different setting ; instead of being high school seniors looking to score before they graduate , they are now past their first year of college and have gathered in a beach house to enjoy the summer of their lives .	3	-1	 american[0] pie[0] 2[0] reunites[0] the[0] cast[0] members[0] from[0] american[0] pie[0] in[0] a[0] different[0] setting[0] instead[0] of[0] being[0] high[0] school[0] seniors[0] looking[0] to[0] score[0] before[0] they[0] graduate[0] they[0] are[0] now[0] past[0] their[0] first[0] year[0] of[0] college[0] and[0] have[0] gathered[0] in[0] a[0] beach[0] house[0] to[0] enjoy[2] the[0] summer[0] of[0] their[0] lives[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jim ( jason biggs ) is still an insecure geek looking to improve his performance , oz ( chris klein ) is still the sweetest guy on the block , having sickeningly saccharine phone conversations with his studying-abroad girlfriend , stifler ( seann william scott ) is still a horny stoner , kevin ( thomas ian nichols ) still has no personality and finch ( eddie kaye thomas ) still longs for stifler's mom . 	jim ( jason biggs ) is still an insecure geek looking to improve his performance , oz ( chris klein ) is still the sweetest guy on the block , having sickeningly saccharine phone conversations with his studying-abroad girlfriend , stifler ( sean william scot ) is still a horny stoner , kevin ( thomas ian nichols ) still has no personality and finch ( eddie kaye thomas ) still longs for stifler's mom .	2	-4	 jim[0] jason[0] biggs[0] is[0] still[0] an[0] insecure[-1] geek[0] looking[0] to[0] improve[1] his[0] performance[0] oz[0] chris[0] klein[0] is[0] still[0] the[0] sweetest[0] guy[0] on[0] the[0] block[-1] having[0] sickeningly[-3] saccharine[0] phone[0] conversations[0] with[0] his[0] studying[0] abroad[0] girlfriend[0] stifler[-1] seann/sean[0] william[0] scott/scot[0] is[0] still[0] a[0] horny[0] stoner[0] kevin[0] thomas[0] ian[0] nichols[0] still[0] has[0] no[0] personality[0] and[0] finch[0] eddie[0] kaye[0] thomas[0] still[0] longs[0] for[0] stifler's[-1] mom[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
have i missed anyone ? 	have i missed anyone ?	1	-2	 have[0] i[0] missed[-1] anyone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so , obviously , not much has changed . 	so , obviously , not much has changed .	1	-1	 so[0] obviously[0] not[0] much[0] has[0] changed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is not a problem , provided that the movie boasts the rapid-fire hilarity and unexpectedly true sentiment of the original . 	this is not a problem , provided that the movie boasts the rapid-fire hilarity and unexpectedly true sentiment of the original .	3	-2	 this[0] is[0] not[0] a[0] problem[-1][NegatedDueToPreviousWord] provided[0] that[0] the[0] movie[0] boasts[-1] the[0] rapid[0] fire[0] hilarity[2] and[0] unexpectedly[-1] true[1] sentiment[0] of[0] the[0] original[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but american pie 2 is the very definition of " sequelitis . " 	but american pie 2 is the very definition of " sequelitis .<br> "	1	-1	 but[0] american[0] pie[0] 2[0] is[0] the[0] very[0] definition[0] of[0] sequelitis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
