louie is a trumpeter swan with no voice . 	Translation	Positive	Negative	EmotionRationale
in order to woo his lady love serina , louie makes friends with a young boy , sammy , who persuades teacher mrs . hammerbottom ( carol burnett ) to allow louie to attend class . 	in order to woo his lady love serina , louie makes friends with a young boy , sammy , who persuades teacher mrs .<br> hammerbottom ( carol burnett ) to allow louie to attend class .	3	-2	 in[0] order[0] to[0] woo[0] his[0] lady[0] love[2] serina[0] louie[0] makes[0] friends[1] with[0] a[0] young[0] boy[0] sammy[0] who[0] persuades[0] teacher[0] mrs[0] [[Sentence=-1,3=word max, 1-5]] hammerbottom[0] carol[0] burnett[-1] to[0] allow[0] louie[0] to[0] attend[0] class[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
louie learns to read and write and returns to his flock , but is laughed at once again when no other swans can understand his message of love for serina . 	louie learns to read and write and returns to his flock , but is laughed at once again when no other swans can understand his message of love for serina .	3	-1	 louie[0] learns[0] to[0] read[0] and[0] write[0] and[0] returns[0] to[0] his[0] flock[0] but[0] is[0] laughed[1] at[0] once[0] again[0] when[0] no[0] other[0] swans[0] can[0] understand[0] his[0] message[0] of[0] love[2] for[0] serina[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to make matters worse , louie's father feels he's lost his honor because of the trumpet he stole for his son in this animated version of e . b . 	to make matters worse , louie's father feels he's lost his honor because of the trumpet he stole for his son in this animated version of e .<br> b .	1	-3	 to[0] make[0] matters[0] worse[-2] louie's[0] father[0] feels[0] he's[0] lost[0] his[0] honor[0] because[0] of[0] the[0] trumpet[0] he[0] stole[-1] for[0] his[0] son[0] in[0] this[0] animated[0] version[0] of[0] e[0] [[Sentence=-3,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
white's " trumpet of the swan . " 	white's " trumpet of the swan .<br> "	1	-1	 white's[0] trumpet[0] of[0] the[0] swan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as jane austen and henry james have become popular sources for adult filmmakers over the past decade or so , e . b . 	as jane austen and henry james have become popular sources for adult filmmakers over the past decade or so , e .<br> b .	1	-2	 as[0] jane[0] austen[0] and[0] henry[0] james[0] have[0] become[0] popular[0] sources[-1] for[0] adult[0] filmmakers[0] over[0] the[0] past[0] decade[0] or[0] so[0] e[0] [[Sentence=-2,1=word max, 1-5]] b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
white is being returned to for children's films . 	white is being returned to for children's films .	1	-1	 white[0] is[0] being[0] returned[0] to[0] for[0] children's[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the animated " charlotte's web " has become a minor classic since its release in 1973 and 1999 brought us a live action version of " stuart little . " 	the animated " charlotte's web " has become a minor classic since its release in 1973 and 199 brought us a live action version of " stuart little .<br> "	1	-1	 the[0] animated[0] charlotte's[0] web[0] has[0] become[0] a[0] minor[0] classic[0] since[0] its[0] release[0] in[0] 1973[0] and[0] 1999/199[0] brought[0] us[0] a[0] live[0] action[0] version[0] of[0] stuart[0] little[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " trumpet of the swan , " directed by richard rich ( 1999's animated " the king and i , " the " swan princess " series ) , is unlikely to be remembered along with those two . 	 " trumpet of the swan , " directed by richard rich ( 199's animated " the king and i , " the " swan princess " series ) , is unlikely to be remembered along with those two .	1	-1	 trumpet[0] of[0] the[0] swan[0] directed[0] by[0] richard[0] rich[0] 1999's/199's[0] animated[0] the[0] king[0] and[0] i[0] the[0] swan[0] princess[0] series[0] is[0] unlikely[0] to[0] be[0] remembered[0] along[0] with[0] those[0] two[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " trumpet of the swan " is receiving a regional theatrical release , but is sure to quickly appear on home video . 	 " trumpet of the swan " is receiving a regional theatrical release , but is sure to quickly appear on home video .	1	-1	 trumpet[0] of[0] the[0] swan[0] is[0] receiving[0] a[0] regional[0] theatrical[0] release[0] but[0] is[0] sure[0] to[0] quickly[0] appear[0] on[0] home[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
boston is one of the targetted cities because our hero louie becomes famous playing his trumpet in beantown . 	boston is one of the targeted cities because our hero louie becomes famous playing his trumpet in beantown .	3	-1	 boston[0] is[0] one[0] of[0] the[0] targetted/targeted[0] cities[0] because[0] our[0] hero[2] louie[0] becomes[0] famous[0] playing[1] his[0] trumpet[0] in[0] beantown[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he encounters a gypsy-like con man in the public gardens who pitches louie and his trumpet as an added attraction to boston's swan boats . 	he encounters a gypsy-like con man in the public gardens who pitches louie and his trumpet as an added attraction to boston's swan boats .	2	-1	 he[0] encounters[0] a[0] gypsy[0] like[1] con[0] man[0] in[0] the[0] public[0] gardens[0] who[0] pitches[0] louie[0] and[0] his[0] trumpet[0] as[0] an[0] added[0] attraction[1] to[0] boston's[0] swan[0] boats[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
louie stays at the ritz carlton before giving a concert at the hatch shell along the banks of the charles river . 	louie stays at the ritz carlton before giving a concert at the hatch shell along the banks of the charles river .	1	-1	 louie[0] stays[0] at[0] the[0] ritz[0] carlton[0] before[0] giving[0] a[0] concert[0] at[0] the[0] hatch[0] shell[0] along[0] the[0] banks[0] of[0] the[0] charles[0] river[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at this point , louie's earned enough money so that dad can pay for the trumpet and become musically capable enough to win over serina's father . 	at this point , louie's earned enough money so that dad can pay for the trumpet and become musically capable enough to win over serina's father .	1	-1	 at[0] this[0] point[0] louie's[0] earned[0] enough[0] money[0] so[0] that[0] dad[0] can[0] pay[0] for[0] the[0] trumpet[0] and[0] become[0] musically[0] capable[0] enough[0] to[0] win[0] over[0] serina's[0] father[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " trumpet of the swan " features flat background art , some poor sound syncing and insipid , sugary songs . 	 " trumpet of the swan " features flat background art , some poor sound syncing and insipid , sugary songs .	1	-1	 trumpet[0] of[0] the[0] swan[0] features[0] flat[0] background[0] art[0] some[0] poor[-1][--1 LastWordBoosterStrength] sound[0] syncing[0] and[0] insipid[0] sugary[0] songs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this effort would be better suited to saturday morning television than the big screen , but may be ok for the real small set . 	this effort would be better suited to saturday morning television than the big screen , but may be ok for the real small set .	1	-1	 this[0] effort[0] would[0] be[0] better[0] suited[0] to[0] saturday[0] morning[0] television[0] than[0] the[0] big[0] screen[0] but[0] may[0] be[0] ok[0] for[0] the[0] real[0] small[0] set[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
