what hath kevin williamson wrought ? 	Translation	Positive	Negative	EmotionRationale
while the horror movie revival spurred on by his _scream_ has yielded a few decent entries in the genre--_i_know_what_you_did_last_summer_ , _halloween : _h20_ , and _scream_2_ --it must be noted that williamson himself had a hand in the writing of those films . 	while the horror movie revival spurred on by his _scream_ has yielded a few decent entries in the genre--_i_know_what_you_did_last_summer_ , _halloween : _h20_ , and _scream_2_ -it must be noted that williamson himself had a hand in the writing of those films .	1	-4	 while[0] the[0] horror[-3] movie[0] revival[0] spurred[0] on[0] by[0] his[0] _scream_[0] has[0] yielded[0] a[0] few[0] decent[0] entries[0] in[0] the[0] genre[0] --_i_know_what_you_did_last_summer_[0] _halloween[0] _h20_[0] and[0] _scream_2_[0] it[0] must[0] be[0] noted[0] that[0] williamson[0] himself[0] had[0] a[0] hand[0] in[0] the[0] writing[0] of[0] those[0] films[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
those williamson-less post-_scream_ efforts , among them _wishmaster_ and the recent _disturbing_behavior_ , have been frightening all right--frighteningly , insultingly _bad_ . 	those williamson-less post-_scream_ efforts , among them _wishmaster_ and the recent _disturbing_behavior_ , have been frightening all right-frighteningly , insultingly _bad_ .	1	-4	 those[0] williamson[0] less[0] post[0] -_scream_[0] efforts[0] among[0] them[0] _wishmaster_[0] and[0] the[0] recent[0] _disturbing_behavior_[0] have[0] been[0] frightening[-3] all[0] right[0] frighteningly[-3] insultingly[-2][-1 MultiplePositiveWords] _bad_[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
add to that list _urban_legend_ , which takes a promising premise and runs it through a predictable meat grinder of idiocy . 	add to that list _urban_legend_ , which takes a promising premise and runs it through a predictable meat grinder of idiocy .	2	-3	 add[0] to[0] that[0] list[0] _urban_legend_[0] which[0] takes[0] a[0] promising[1] premise[0] and[0] runs[0] it[0] through[0] a[0] predictable[0] meat[0] grinder[0] of[0] idiocy[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the influence of williamson on screenwriter silvio horta is clear in two key areas . 	the influence of williamson on screenwriter silvio horta is clear in two key areas .	1	-1	 the[0] influence[0] of[0] williamson[0] on[0] screenwriter[0] silvio[0] horta[0] is[0] clear[0] in[0] two[0] key[0] areas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first , the opening sequence , like that of _scream_ , is an extended set piece detailing the singular murder that gets the proverbial ball rolling . 	first , the opening sequence , like that of _scream_ , is an extended set piece detailing the singular murder that gets the proverbial ball rolling .	2	-4	 first[0] the[0] opening[0] sequence[0] like[1] that[0] of[0] _scream_[0] is[0] an[0] extended[0] set[0] piece[0] detailing[0] the[0] singular[0] murder[-3] that[0] gets[0] the[0] proverbial[0] ball[0] rolling[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this sequence , in which pendleton college coed michelle mancini ( natasha gregson wagner ) is decapitated while driving , also reveals the other obviously williamson-esque touch : the killer's look . 	this sequence , in which pendleton college coed michelle mancini ( natasha gregson wagner ) is decapitated while driving , also reveals the other obviously williamson-esque touch : the killer's look .	1	-1	 this[0] sequence[0] in[0] which[0] pendleton[0] college[0] coed[0] michelle[0] mancini[0] natasha[0] gregson[0] wagner[0] is[0] decapitated[0] while[0] driving[0] also[0] reveals[0] the[0] other[0] obviously[0] williamson[0] esque[0] touch[0] the[0] killer's[0] look[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dressed in a large hooded parka , wielding an axe , the killer bears more than a passing resemblance to the _i_know . . . _fisherman , 	dressed in a large hooded parka , wielding an axe , the killer bears more than a passing resemblance to the _i_know .<br> .<br> .<br> _fisherman ,	1	-2	 dressed[0] in[0] a[0] large[0] hooded[0] parka[0] wielding[0] an[0] axe[0] the[0] killer[-1] bears[0] more[0] than[0] a[0] passing[0] resemblance[0] to[0] the[0] _i_know[0] [[Sentence=-2,1=word max, 1-5]] _fisherman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
sans the hook . 	sans the hook .	1	-1	 sans[0] the[0] hook[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one thing horta does not borrow from williamson , however , is the intriguing premise . 	one thing horta does not borrow from williamson , however , is the intriguing premise .	1	-1	 one[0] thing[0] horta[0] does[0] not[0] borrow[0] from[0] williamson[0] however[0] is[0] the[0] intriguing[0] premise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
students at pendleton are being killed by way of urban legends--those contemporary bits of " mythology " passed from person to person , group to group , year to year that become so embedded in the social consciousness . 	students at pendleton are being killed by way of urban legends-those contemporary bits of " mythology " passed from person to person , group to group , year to year that become so embedded in the social consciousness .	1	-4	 students[0] at[0] pendleton[0] are[0] being[0] killed[-3] by[0] way[0] of[0] urban[0] legends[0] those[0] contemporary[0] bits[0] of[0] mythology[0] passed[0] from[0] person[0] to[0] person[0] group[0] to[0] group[0] year[0] to[0] year[0] that[0] become[0] so[0] embedded[0] in[0] the[0] social[0] consciousness[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
