there have been merchant-ivory costume dramas with more of a pulse than " the mod squad , " a self-consciously " hip " cinematic rendering of the old tv series still looked upon fondly by so many baby-boomers . 	Translation	Positive	Negative	EmotionRationale
well , said " squad " certainly won't be a pleasant viewing experience for them or anybody else , maybe even the teen target audience the movie has been geared towards . 	well , said " squad " certainly won't be a pleasant viewing experience for them or anybody else , maybe even the teen target audience the movie has been geared towards .	3	-1	 well[0] said[0] squad[0] certainly[0] won't[0] be[0] a[0] pleasant[2] viewing[0] experience[0] for[0] them[0] or[0] anybody[0] else[0] maybe[0] even[0] the[0] teen[0] target[0] audience[0] the[0] movie[0] has[0] been[0] geared[0] towards[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a contemporary take on this decidedly '70s show doesn't exactly seem unwarranted , but one wonders if the mold it accumulated while waiting on the shelf didn't transform into a full-blown case of botulism . 	a contemporary take on this decidedly '70s show doesn't exactly seem unwarranted , but one wonders if the mold it accumulated while waiting on the shelf didn't transform into a full-blown case of botulism .	1	-1	 a[0] contemporary[0] take[0] on[0] this[0] decidedly[0] '70s[0] show[0] doesn't[0] exactly[0] seem[0] unwarranted[0] but[0] one[0] wonders[0] if[0] the[0] mold[0] it[0] accumulated[0] while[0] waiting[0] on[0] the[0] shelf[0] didn't[0] transform[0] into[0] a[0] full[0] blown[0] case[0] of[0] botulism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how curious that the film begins by defining both mod and squad , insisting that the latter is a group of people working together and then contradicting this definition by keeping its titular trio apart for a sizeable chunk of the running time . 	how curious that the film begins by defining both mod and squad , insisting that the latter is a group of people working together and then contradicting this definition by keeping its titular trio apart for a sizeable chunk of the running time .	1	-2	 how[0] curious[0] that[0] the[0] film[0] begins[0] by[0] defining[0] both[0] mod[0] and[0] squad[0] insisting[0] that[0] the[0] latter[0] is[0] a[0] group[0] of[0] people[0] working[0] together[0] and[0] then[0] contradicting[-1] this[0] definition[0] by[0] keeping[0] its[0] titular[0] trio[0] apart[0] for[0] a[0] sizeable[0] chunk[0] of[0] the[0] running[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are julie , pete and linc , reformed delinquents working undercover for the lapd ( exposition put out of the way so fast that you're likely to be lost from the opening moments on ) , and they are respectively played by claire danes , giovanni ribisi and omar epps , talented actors each deserving of better than this . 	they are julie , pete and linc , reformed delinquents working undercover for the lapd ( exposition put out of the way so fast that you're likely to be lost from the opening moments on ) , and they are respectively played by claire danes , giovanni ribisi and omar epps , talented actors each deserving of better than this .	3	-2	 they[0] are[0] julie[0] pete[0] and[0] linc[0] reformed[0] delinquents[-1] working[0] undercover[0] for[0] the[0] lapd[0] exposition[0] put[0] out[0] of[0] the[0] way[0] so[0] fast[0] that[0] you're[0] likely[0] to[0] be[0] lost[0] from[0] the[0] opening[0] moments[0] on[0] and[0] they[0] are[0] respectively[2] played[0] by[0] claire[0] danes[0] giovanni[0] ribisi[0] and[0] omar[0] epps[0] talented[1] actors[0] each[0] deserving[0] of[0] better[0] than[0] this[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
their plight involves standard cop-corruption stuff , as our would-be protagonists catch wind of an internal cover-up after their superior ( reliable dennis farina , one of the best things here and gone so quickly ) gets killed and framed for drug trafficking . 	their plight involves standard cop-corruption stuff , as our would-be protagonists catch wind of an internal cover-up after their superior ( reliable dennis farina , one of the best things here and gone so quickly ) gets killed and framed for drug trafficking .	3	-4	 their[0] plight[-1] involves[0] standard[0] cop[0] corruption[-2] stuff[0] as[0] our[0] would[0] be[0] protagonists[0] catch[0] wind[0] of[0] an[0] internal[0] cover[0] up[0] after[0] their[0] superior[2] reliable[0] dennis[0] farina[0] one[0] of[0] the[0] best[1] things[0] here[0] and[0] gone[0] so[0] quickly[0] gets[0] killed[-3] and[0] framed[0] for[0] drug[0] trafficking[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
they pout a lot and eventually get cracking to expose this convoluted conspiracy using surveillance tactics that would impress the hardy boys and linda tripp but few others . 	they pout a lot and eventually get cracking to expose this convoluted conspiracy using surveillance tactics that would impress the hardy boys and linda trip but few others .	1	-2	 they[0] pout[-1] a[0] lot[0] and[0] eventually[0] get[0] cracking[0] to[0] expose[-1] this[0] convoluted[0] conspiracy[-1] using[0] surveillance[0] tactics[0] that[0] would[0] impress[1][-1 LastWordBoosterStrength] the[0] hardy[0] boys[0] and[0] linda[0] tripp/trip[0] but[0] few[0] others[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when you're supposed to be asking , " what's going to happen next ? " , 	when you're supposed to be asking , " what's going to happen next ?<br> " ,	1	-1	 when[0] you're[0] supposed[0] to[0] be[0] asking[0] what's[0] going[0] to[0] happen[0] next[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'll instead entertain thoughts like " who are these people and why should i care ? " 	you'll instead entertain thoughts like " who are these people and why should i care ?<br> "	2	-1	 you'll[0] instead[0] entertain[0] thoughts[0] like[1] who[0] are[0] these[0] people[0] and[0] why[0] should[0] i[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or " aren't thrillers supposed to contain thrills ? " 	or " aren't thrillers supposed to contain thrills ?<br> "	4	-2	 or[0] aren't[0] thrillers[1][NegatedDueToPreviousWord] supposed[0] to[0] contain[0] thrills[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
not that danes , epps and ribisi don't give it a shot . 	not that danes , epps and ribisi don't give it a shot .	1	-2	 not[0] that[0] danes[0] epps[0] and[0] ribisi[0] don't[0] give[0] it[0] a[0] shot[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
danes can do the troubled teen thing in her sleep , as evidenced by " my so-called life , " but she's saddled with a mysterious-boyfriend ( josh brolin ) subplot so see-through you begin to seriously question her so-called intelligence . 	danes can do the troubled teen thing in her sleep , as evidenced by " my so-called life , " but she's saddled with a mysterious-boyfriend ( josh brolin ) subplot so see-through you begin to seriously question her so-called intelligence .	1	-2	 danes[0] can[0] do[0] the[0] troubled[-1] teen[0] thing[0] in[0] her[0] sleep[0] as[0] evidenced[0] by[0] my[0] so[0] called[0] life[0] but[0] she's[0] saddled[0] with[0] a[0] mysterious[0] boyfriend[0] josh[0] brolin[0] subplot[0] so[0] see[0] through[0] you[0] begin[0] to[0] seriously[0] question[0] her[0] so[0] called[0] intelligence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ditto for ribisi's ( " saving private ryan " ) looney loose cannon , though at least he performs with a wild-and-crazy vigor that occasionally demands attention . 	ditto for ribisi's ( " saving private ryan " ) looney loose cannon , though at least he performs with a wild-and-crazy vigor that occasionally demands attention .	1	-2	 ditto[0] for[0] ribisi's[0] saving[0] private[0] ryan[0] looney[0] loose[0] cannon[-1] though[0] at[0] least[0] he[0] performs[0] with[0] a[0] wild[0] and[0] crazy[-1] vigor[0] that[0] occasionally[0] demands[0] attention[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but epps - poor epps . 	but epps - poor epps .	1	-2	 but[0] epps[0] poor[-1] epps[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
epps ( " higher learning " ) is so short-changed he's reduced to literally waiting around for a bad guy to chase him . 	epps ( " higher learning " ) is so short-changed he's reduced to literally waiting around for a bad guy to chase him .	1	-2	 epps[0] higher[0] learning[0] is[0] so[0] short[0] changed[0] he's[0] reduced[0] to[0] literally[0] waiting[0] around[0] for[0] a[0] bad[-1] guy[0] to[0] chase[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all this sloppiness can be attributed to the screenwriters , one of whom , scott silver , is also the director . 	all this sloppiness can be attributed to the screenwriters , one of whom , scot silver , is also the director .	1	-1	 all[0] this[0] sloppiness[0] can[0] be[0] attributed[0] to[0] the[0] screenwriters[0] one[0] of[0] whom[0] scott/scot[0] silver[0] is[0] also[0] the[0] director[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they must think that if they dress up their stupid story in such spiffy trappings ( the look of the film is really quite impressive ) , it'll somehow pay off , but this " mod squad " plods anyway . 	they must think that if they dress up their stupid story in such spiffy trappings ( the look of the film is really quite impressive ) , it'll somehow pay off , but this " mod squad " plods anyway .	2	-2	 they[0] must[0] think[0] that[0] if[0] they[0] dress[0] up[0] their[0] stupid[-1] story[0] in[0] such[0] spiffy[0] trappings[0] the[0] look[0] of[0] the[0] film[0] is[0] really[0] quite[0] impressive[1] it'll[0] somehow[0] pay[0] off[0] but[0] this[0] mod[0] squad[0] plods[0] anyway[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
characters are non-existent ; present are just some good-looking young things modeling cool levis and cooler attitudes . 	characters are non-existent ; present are just some good-looking young things modeling cool levis and cooler attitudes .	2	-1	 characters[0] are[0] non[0] existent[0] present[0] are[0] just[0] some[0] good[1][-1 LastWordBoosterStrength] looking[0] young[0] things[0] modeling[0] cool[1] levis[0] and[0] cooler[0] attitudes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
plot hardly escapes confusing convention . 	plot hardly escapes confusing convention .	1	-2	 plot[0] hardly[0] escapes[0] confusing[-1] convention[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
