 " pokemon 3 : the movie " has a lot of bad things in it . 	Translation	Positive	Negative	EmotionRationale
first of all it's a plot heavy mess that has bad voice talents , badly written script and fantastic animation . 	first of all it's a plot heavy mess that has bad voice talents , badly written script and fantastic animation .	3	-2	 first[0] of[0] all[0] it's[0] a[0] plot[0] heavy[0] mess[0] that[0] has[0] bad[-1] voice[0] talents[1] badly[-1] written[0] script[0] and[0] fantastic[2] animation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the first film came out the end of 1999 and was a huge hit grossing almost  90 million domestically . 	the first film came out the end of 199 and was a huge hit grossing almost  90 million domestically .	1	-2	 the[0] first[0] film[0] came[0] out[0] the[0] end[0] of[0] 1999/199[0] and[0] was[0] a[0] huge[0] hit[0] grossing[-1] almost[0] 90[0] million[0] domestically[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a sequel soon followed and even made  45 million . 	a sequel soon followed and even made  45 million .	1	-1	 a[0] sequel[0] soon[0] followed[0] and[0] even[0] made[0] 45[0] million[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
warner has released their third movie based on the immensely popular video game and tv series and its a waste of time and celluloid . 	warner has released their third movie based on the immensely popular video game and tv series and its a waste of time and celluloid .	1	-2	 warner[0] has[0] released[0] their[0] third[0] movie[0] based[0] on[0] the[0] immensely[0] popular[0] video[0] game[0] and[0] tv[0] series[0] and[0] its[0] a[0] waste[-1] of[0] time[0] and[0] celluloid[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this time ash ketchum and his friends are on their way to the johto battles ( which my little brother told me the new spinoff is " pokemon : the johto journeys " so go figure ) anyway he comes in contact with a young girl who's father has disappeared after trying to discover the unown . 	this time ash ketchum and his friends are on their way to the johto battles ( which my little brother told me the new spinoff is " pokemon : the johto journeys " so go figure ) anyway he comes in contact with a young girl who's father has disappeared after trying to discover the unown .	2	-2	 this[0] time[0] ash[0] ketchum[0] and[0] his[0] friends[1] are[0] on[0] their[0] way[0] to[0] the[0] johto[0] battles[-1] which[0] my[0] little[0] brother[0] told[0] me[0] the[0] new[0] spinoff[0] is[0] pokemon[0] the[0] johto[0] journeys[0] so[0] go[0] figure[0] anyway[0] he[0] comes[0] in[0] contact[0] with[0] a[0] young[0] girl[0] who's[0] father[0] has[0] disappeared[0] after[0] trying[0] to[0] discover[0] the[0] unown[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they are small pokemon with a powerful punch and have great psychic abilities . 	they are small pokemon with a powerful punch and have great psychic abilities .	3	-2	 they[0] are[0] small[0] pokemon[0] with[0] a[0] powerful[0] punch[-1] and[0] have[0] great[2] psychic[0] abilities[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the unown bring together their psychic abilities and create entei a powerful legendary pokemon who barriers young molly's house and creates every wish she wants . 	the unown bring together their psychic abilities and create entei a powerful legendary pokemon who barriers young molly's house and creates every wish she wants .	1	-2	 the[0] unown[0] bring[0] together[0] their[0] psychic[0] abilities[0] and[0] create[0] entei[0] a[0] powerful[0] legendary[0] pokemon[0] who[0] barriers[-1] young[0] molly's[0] house[0] and[0] creates[0] every[0] wish[0] she[0] wants[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now it's up to ash and his friends to stop this pokemon entei and show him to be a good pokemon rather than a bad one . 	now it's up to ash and his friends to stop this pokemon entei and show him to be a good pokemon rather than a bad one .	2	-2	 now[0] it's[0] up[0] to[0] ash[0] and[0] his[0] friends[1] to[0] stop[0] this[0] pokemon[0] entei[0] and[0] show[0] him[0] to[0] be[0] a[0] good[1] pokemon[0] rather[0] than[0] a[0] bad[-1] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
too bad really that this is a bad movie , surprisingly the first movie was entertaining and somewhat absorbing , the second was a piece of trash and this one is almost in between . 	too bad really that this is a bad movie , surprisingly the first movie was entertaining and somewhat absorbing , the second was a piece of trash and this one is almost in between .	1	-2	 too[0] bad[-1] really[0] that[0] this[0] is[0] a[0] bad[-1] movie[0] surprisingly[0] the[0] first[0] movie[0] was[0] entertaining[0] and[0] somewhat[0] absorbing[0] the[0] second[0] was[0] a[0] piece[0] of[0] trash[-1] and[0] this[0] one[0] is[0] almost[0] in[0] between[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has some good qualities ( animation , message in the end ) but the flaws seem to overpower the goods . 	it has some good qualities ( animation , message in the end ) but the flaws seem to overpower the goods .	1	-2	 it[0] has[0] some[0] good[1][-1 LastWordBoosterStrength] qualities[0] animation[0] message[0] in[0] the[0] end[0] but[0] the[0] flaws[0] seem[0] to[0] overpower[-1] the[0] goods[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
