1 . he doesn't have a hard-to-decipher accent , 2 . he doesn't always speak in a monotone , and 3 . 	Translation	Positive	Negative	EmotionRationale
his face doesn't always wear the same impassive expression . 	his face doesn't always wear the same impassive expression .	1	-1	 his[0] face[0] doesn't[0] always[0] wear[0] the[0] same[0] impassive[0] expression[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in short , the former nfl player turned fox sportscaster turned actor is too good to be bad , but too bad to be good . 	in short , the former nfl player turned fox sportscaster turned actor is too good to be bad , but too bad to be good .	2	-2	 in[0] short[0] the[0] former[0] nfl[0] player[0] turned[0] fox[0] sportscaster[0] turned[0] actor[0] is[0] too[0] good[1] to[0] be[0] bad[-1] but[0] too[0] bad[-1] to[0] be[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , the same cannot be said of his first star vehicle , firestorm , which is just plain awful . 	unfortunately , the same cannot be said of his first star vehicle , firestorm , which is just plain awful .	1	-4	 unfortunately[-1] the[0] same[0] cannot[0] be[0] said[0] of[0] his[0] first[0] star[0] vehicle[0] firestorm[0] which[0] is[0] just[0] plain[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one of the most glaring problems with long ( who made his acting debut in john woo's broken arrow ) is that he's so mediocre that he often blends in with the scenery . 	one of the most glaring problems with long ( who made his acting debut in john woo's broken arrow ) is that he's so mediocre that he often blends in with the scenery .	1	-2	 one[0] of[0] the[0] most[0] glaring[0] problems[-1] with[0] long[0] who[0] made[0] his[0] acting[0] debut[0] in[0] john[0] woo's[0] broken[-1] arrow[0] is[0] that[0] he's[0] so[0] mediocre[-1] that[0] he[0] often[0] blends[0] in[0] with[0] the[0] scenery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as ace firefighter jesse graves , long is supposed to be playing a bigger-than-life action hero -- the kind of he- man who will crash through a flaming door to save a child or parachute into a burning clearing to rescue some stupid campers . 	as ace firefighter jesse graves , long is supposed to be playing a bigger-than-life action hero - the kind of he- man who will crash through a flaming door to save a child or parachute into a burning clearing to rescue some stupid campers .	3	-3	 as[0] ace[0] firefighter[0] jesse[0] graves[-2] long[0] is[0] supposed[0] to[0] be[0] playing[1] a[0] bigger[0] than[0] life[0] action[0] hero[2] the[0] kind[1] of[0] he[0] man[0] who[0] will[0] crash[0] through[0] a[0] flaming[0] door[0] to[0] save[1] a[0] child[0] or[0] parachute[0] into[0] a[0] burning[-1] clearing[0] to[0] rescue[0] some[0] stupid[-1][--1 LastWordBoosterStrength] campers[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
unfortunately , despite the best efforts of first-time director dean semler to photograph long using heroic shots that make kevin costner's work in the postman look stark , jesse turns out to be a pretty boring good guy . 	unfortunately , despite the best efforts of first-time director dean semler to photograph long using heroic shots that make kevin costner's work in the postman look stark , jesse turns out to be a pretty boring good guy .	3	-2	 unfortunately[-1] despite[0] the[0] best[1] efforts[0] of[0] first[0] time[0] director[0] dean[0] semler[0] to[0] photograph[0] long[0] using[0] heroic[2] shots[0] that[0] make[0] kevin[0] costner's[0] work[0] in[0] the[0] postman[0] look[0] stark[-1] jesse[0] turns[0] out[0] to[0] be[0] a[0] pretty[2] boring[-1] good[1] guy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to put it kindly , this is not a well-written motion picture . 	to put it kindly , this is not a well-written motion picture .	2	-1	 to[0] put[0] it[0] kindly[1] this[0] is[0] not[0] a[0] well[0] written[0] motion[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
firestorm is a collection of howlingly bad lines set against a backdrop of disaster movie clich ? s which , taken together , form something that requires a level of viewer inebriation to be recognized as a plot . 	firestorm is a collection of howlingly bad lines set against a backdrop of disaster movie clich ?<br> s which , taken together , form something that requires a level of viewer inebriation to be recognized as a plot .	1	-2	 firestorm[0] is[0] a[0] collection[0] of[0] howlingly[0] bad[-1] lines[0] set[0] against[-1] a[0] backdrop[0] of[0] disaster[-1] movie[0] clich[0] [[Sentence=-2,1=word max, 1-5]] s[0] which[0] taken[0] together[0] form[0] something[0] that[0] requires[0] a[0] level[0] of[0] viewer[0] inebriation[0] to[0] be[0] recognized[0] as[0] a[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only reason this film is getting one star ( instead of something lower ) is that most of the fire sequences are realistic , and i was fascinated by the meticulous planning that must have been necessary to stage them effectively . 	the only reason this film is getting one star ( instead of something lower ) is that most of the fire sequences are realistic , and i was fascinated by the meticulous planning that must have been necessary to stage them effectively .	1	-1	 the[0] only[0] reason[0] this[0] film[0] is[0] getting[0] one[0] star[0] instead[0] of[0] something[0] lower[0] is[0] that[0] most[0] of[0] the[0] fire[0] sequences[0] are[0] realistic[0] and[0] i[0] was[0] fascinated[0] by[0] the[0] meticulous[0] planning[0] that[0] must[0] have[0] been[0] necessary[0] to[0] stage[0] them[0] effectively[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're introduced to our big burly hero one afternoon when he and some colleagues jump into the midst of a forest fire to save a group of people . 	we're introduced to our big burly hero one afternoon when he and some colleagues jump into the midst of a forest fire to save a group of people .	3	-1	 we're[0] introduced[0] to[0] our[0] big[0] burly[0] hero[2] one[0] afternoon[0] when[0] he[0] and[0] some[0] colleagues[0] jump[0] into[0] the[0] midst[0] of[0] a[0] forest[0] fire[0] to[0] save[1] a[0] group[0] of[0] people[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
