capsule : annoyingly unentertaining , obvious and paper-thin buddy/cop/drug/sexy-witness movie . 	Translation	Positive	Negative	EmotionRationale
presence of director michael bay shows none of the talent he demonstrated in the rock . 	presence of director michael bay shows none of the talent he demonstrated in the rock .	2	-1	 presence[0] of[0] director[0] michael[0] bay[0] shows[0] none[0] of[0] the[0] talent[1] he[0] demonstrated[0] in[0] the[0] rock[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i've seen this movie already , i said , as i looked at the box art . 	i've seen this movie already , i said , as i looked at the box art .	1	-1	 i've[0] seen[0] this[0] movie[0] already[0] i[0] said[0] as[0] i[0] looked[0] at[0] the[0] box[0] art[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , i haven't even seen a trailer for the movie ; i don't even know what it's about , but i can look at the way they're promoting it , and i know i've seen it already . 	no , i haven't even seen a trailer for the movie ; i don't even know what it's about , but i can look at the way they're promoting it , and i know i've seen it already .	1	-1	 no[0] i[0] haven't[0] even[0] seen[0] a[0] trailer[0] for[0] the[0] movie[0] i[0] don't[0] even[0] know[0] what[0] it's[0] about[0] but[0] i[0] can[0] look[0] at[0] the[0] way[0] they're[0] promoting[0] it[0] and[0] i[0] know[0] i've[0] seen[0] it[0] already[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i thought : it's about these two cops . 	i thought : it's about these two cops .	1	-1	 i[0] thought[0] it's[0] about[0] these[0] two[0] cops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and they're buddies , sort of . 	and they're buddies , sort of .	1	-1	 and[0] they're[0] buddies[0] sort[0] of[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they're at each other's throats a lot , but they really do like each other . 	they're at each other's throats a lot , but they really do like each other .	2	-1	 they're[0] at[0] each[0] other's[0] throats[0] a[0] lot[0] but[0] they[0] really[0] do[0] like[1] each[0] other[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and everyone else in their department hates them 'cause they're hot-shots . 	and everyone else in their department hates them 'cause they're hot-shots .	1	-4	 and[0] everyone[0] else[0] in[0] their[0] department[0] hates[-3] them[0] 'cause[0] they're[0] hot[0] shots[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and they have some kind of diametric opposition in their relationship . 	and they have some kind of diametric opposition in their relationship .	1	-2	 and[0] they[0] have[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] diametric[0] opposition[-1] in[0] their[0] relationship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and one day they're in the middle of cop business as usual when they get mixed up in this plot that involves a really sadistic bad guy with lots of henchmen who can never hit anything with the billions of rounds of ammo they are always carrying . 	and one day they're in the middle of cop business as usual when they get mixed up in this plot that involves a really sadistic bad guy with lots of henchmen who can never hit anything with the billions of rounds of ammo they are always carrying .	1	-2	 and[0] one[0] day[0] they're[0] in[0] the[0] middle[0] of[0] cop[0] business[0] as[0] usual[0] when[0] they[0] get[0] mixed[0] up[0] in[0] this[0] plot[0] that[0] involves[0] a[0] really[0] sadistic[0] bad[-1] guy[0] with[0] lots[0] of[0] henchmen[0] who[0] can[0] never[0] hit[0] anything[0] with[0] the[0] billions[0] of[0] rounds[0] of[0] ammo[0] they[0] are[0] always[0] carrying[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and the bad guy is a drug lord . 	and the bad guy is a drug lord .	1	-2	 and[0] the[0] bad[-1] guy[0] is[0] a[0] drug[0] lord[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
