i have nothing against unabashedly romantic films . 	Translation	Positive	Negative	EmotionRationale
when done right , with at least slightly evident restraint , they can be engaging , sweeping , appealing . 	when done right , with at least slightly evident restraint , they can be engaging , sweeping , appealing .	1	-1	 when[0] done[0] right[0] with[0] at[0] least[0] slightly[0] evident[0] restraint[0] they[0] can[0] be[0] engaging[0] sweeping[0] appealing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's a hell of a shame when someone botches it as badly as nora ephron botched sleepless in seattle , a hollow , boring romance that should appeal only to the most gullible of viewers ; the ones willing to buy into ephron's whiny views of life and romance . 	but it's a hell of a shame when someone botches it as badly as nora ephron botched sleepless in seattle , a hollow , boring romance that should appeal only to the most gullible of viewers ; the ones willing to buy into ephron's whiny views of life and romance .	4	-3	 but[0] it's[0] a[0] hell[-1] of[0] a[0] shame[-2] when[0] someone[0] botches[0] it[0] as[0] badly[-1] as[0] nora[0] ephron[0] botched[0] sleepless[-1] in[0] seattle[0] a[0] hollow[-1] boring[-1] romance[3] that[0] should[0] appeal[0] only[0] to[0] the[0] most[0] gullible[-1] of[0] viewers[0] the[0] ones[0] willing[0] to[0] buy[0] into[0] ephron's[0] whiny[0] views[0] of[0] life[0] and[0] romance[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
tom hanks and meg ryan , two of hollywood's most likeable stars play sam baldwin and annie reed , repectively . 	tom hanks and meg ryan , two of hollywood's most likeable stars play sam baldwin and annie reed , repectively .	3	-1	 tom[0] hanks[0] and[0] meg[0] ryan[0] two[0] of[0] hollywood's[0] most[0] likeable[2] stars[0] play[0] sam[0] baldwin[0] and[0] annie[0] reed[0] repectively[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
baldwin's wife recently died and he moved to seattle with his son , jonah , seeking to get away from the familiar surroundings which remind him of his late spouse . 	baldwin's wife recently died and he moved to seattle with his son , jonah , seeking to get away from the familiar surroundings which remind him of his late spouse .	1	-1	 baldwin's[0] wife[0] recently[0] died[0] and[0] he[0] moved[0] to[0] seattle[0] with[0] his[0] son[0] jonah[0] seeking[0] to[0] get[0] away[0] from[0] the[0] familiar[0] surroundings[0] which[0] remind[0] him[0] of[0] his[0] late[0] spouse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jonah senses tension and calls a talk radio show to tell the world about their problems . 	jonah senses tension and calls a talk radio show to tell the world about their problems .	1	-3	 jonah[0] senses[0] tension[-2] and[0] calls[0] a[0] talk[0] radio[0] show[0] to[0] tell[0] the[0] world[0] about[0] their[0] problems[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sam seems ready to strangle his son for calling the show , but when he gets on the phone he begins pouring his heart out . 	sam seems ready to strangle his son for calling the show , but when he gets on the phone he begins pouring his heart out .	1	-3	 sam[0] seems[0] ready[0] to[0] strangle[-2] his[0] son[0] for[0] calling[0] the[0] show[0] but[0] when[0] he[0] gets[0] on[0] the[0] phone[0] he[0] begins[0] pouring[0] his[0] heart[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ephron has him do this so that annie reed ( meg ryan ) can hear it . 	ephron has him do this so that annie reed ( meg ryan ) can hear it .	1	-1	 ephron[0] has[0] him[0] do[0] this[0] so[0] that[0] annie[0] reed[0] meg[0] ryan[0] can[0] hear[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
annie is a happy woman . 	annie is a happy woman .	2	-1	 annie[0] is[0] a[0] happy[1] woman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is engaged to walter , an allergy-prone working man and seems to be perfectly content . 	she is engaged to walter , an allergy-prone working man and seems to be perfectly content .	2	-1	 she[0] is[0] engaged[0] to[0] walter[0] an[0] allergy[0] prone[0] working[0] man[0] and[0] seems[0] to[0] be[0] perfectly[1] content[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but after hearing sam the widower on the radio show , she becomes convinced that he is her destiny and is willing to risk her engagement for it . 	but after hearing sam the widower on the radio show , she becomes convinced that he is her destiny and is willing to risk her engagement for it .	1	-2	 but[0] after[0] hearing[0] sam[0] the[0] widower[0] on[0] the[0] radio[0] show[0] she[0] becomes[0] convinced[0] that[0] he[0] is[0] her[0] destiny[0] and[0] is[0] willing[0] to[0] risk[-1] her[0] engagement[0] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
five years after this movie hit theaters , hanks , ryan and ephron would team up again in the far better , although still sub-par romantic comedy you've got mail , which is about people who hate each other in real life falling in love on the internet . 	five years after this movie hit theaters , hanks , ryan and ephron would team up again in the far better , although still sub-par romantic comedy you've got mail , which is about people who hate each other in real life falling in love on the internet .	4	-4	 five[0] years[0] after[0] this[0] movie[0] hit[0] theaters[0] hanks[0] ryan[0] and[0] ephron[0] would[0] team[0] up[0] again[0] in[0] the[0] far[0] better[0] although[0] still[0] sub[0] par[0] romantic[3] comedy[0] you've[0] got[0] mail[0] which[0] is[0] about[0] people[0] who[0] hate[-3] each[0] other[0] in[0] real[0] life[0] falling[0] in[0] love[2] on[0] the[0] internet[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
at least that movie had a sense of spontaneity . 	at least that movie had a sense of spontaneity .	1	-1	 at[0] least[0] that[0] movie[0] had[0] a[0] sense[0] of[0] spontaneity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here it seems that the first one hundred minutes exist solely to set up for the last five . 	here it seems that the first one hundred minutes exist solely to set up for the last five .	1	-1	 here[0] it[0] seems[0] that[0] the[0] first[0] one[0] hundred[0] minutes[0] exist[0] solely[0] to[0] set[0] up[0] for[0] the[0] last[0] five[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that sam and annie will finally meet is so excruciatingly obvious that everything else is perfunctory . 	the fact that sam and annie will finally meet is so excruciatingly obvious that everything else is perfunctory .	1	-5	 the[0] fact[0] that[0] sam[0] and[0] annie[0] will[0] finally[0] meet[0] is[0] so[0] excruciatingly[-4] obvious[0] that[0] everything[0] else[0] is[0] perfunctory[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
sleepless in seattle is full of wonderful performers ; from its two leads to supporting stars like bill pullman and rosie o'donnell . 	sleepless in seattle is full of wonderful performers ; from its two leads to supporting stars like bill pullman and rosie o'donnell .	3	-2	 sleepless[-1] in[0] seattle[0] is[0] full[0] of[0] wonderful[2] performers[0] from[0] its[0] two[0] leads[0] to[0] supporting[1] stars[0] like[1] bill[0] pullman[0] and[0] rosie[0] o'donnell[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but none of them can save the film from being a bore . 	but none of them can save the film from being a bore .	2	-2	 but[0] none[0] of[0] them[0] can[0] save[1] the[0] film[0] from[0] being[0] a[0] bore[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
its characters are dull and empty , its script isn't funny or particularly charming . 	its characters are dull and empty , its script isn't funny or particularly charming .	2	-2	 its[0] characters[0] are[0] dull[-1] and[0] empty[0] its[0] script[0] isn't[0] funny[1][NegatedDueToPreviousWord] or[0] particularly[0] charming[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script has a fundamental problem : annie gives up , for little reason , her life with walter to pursue " sleepless in seattle , " whom she has never even seen . 	the script has a fundamental problem : annie gives up , for little reason , her life with walter to pursue " sleepless in seattle , " whom she has never even seen .	1	-2	 the[0] script[0] has[0] a[0] fundamental[0] problem[-1] annie[0] gives[0] up[0] for[0] little[0] reason[0] her[0] life[0] with[0] walter[0] to[0] pursue[0] sleepless[-1] in[0] seattle[0] whom[0] she[0] has[0] never[0] even[0] seen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's the kind of life decision that real people don't make , and its a major , unforgivable plausibility sacrifice . 	it's the kind of life decision that real people don't make , and its a major , unforgivable plausibility sacrifice .	2	-1	 it's[0] the[0] kind[1] of[0] life[0] decision[0] that[0] real[0] people[0] don't[0] make[0] and[0] its[0] a[0] major[0] unforgivable[0] plausibility[0] sacrifice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
