fit for a ghoul's night out , fat girl stands cast iron firm with the simplistic , fatuous , built-in excuse that its woman director is baring the harsh sexual realities of adolescent girls . 	Translation	Positive	Negative	EmotionRationale
being a boy , i might not understand female behavior and am unequipped to analyze this particular pseudo-feminist coming-of-age story . 	being a boy , i might not understand female behavior and am unequipped to analyze this particular pseudo-feminist coming-of-age story .	1	-1	 being[0] a[0] boy[0] i[0] might[0] not[0] understand[0] female[0] behavior[0] and[0] am[0] unequipped[0] to[0] analyze[0] this[0] particular[0] pseudo[0] feminist[0] coming[0] of[0] age[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fair enough . 	fair enough .	1	-1	 fair[0] enough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'll pretend to ignore the mannered posturing and health class 101 " this is a no-no " dialogue when older teenage boy coaxes younger teenage girl to let him fuck her up the ass , speaking variations on " it won't hurt ! " 	i'll pretend to ignore the mannered posturing and health class 101 " this is a no-no " dialogue when older teenage boy coaxes younger teenage girl to let him fuck her up the ass , speaking variations on " it won't hurt !<br> "	3	-3	 i'll[0] pretend[-1] to[0] ignore[0] the[0] mannered[0] posturing[0] and[0] health[0] class[0] 101[0] this[0] is[0] a[0] no[0] no[0] dialogue[0] when[0] older[0] teenage[0] boy[0] coaxes[0] younger[0] teenage[0] girl[0] to[0] let[0] him[0] fuck[-2] her[0] up[0] the[0] ass[0] speaking[0] variations[0] on[0] it[0] won't[0] hurt[-2][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
for a scene that seems to last at least ten minutes . 	for a scene that seems to last at least ten minutes .	1	-1	 for[0] a[0] scene[0] that[0] seems[0] to[0] last[0] at[0] least[0] ten[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is done almost entirely in an unbroken master shot that suggests unimaginative camerawork more than unblinking voyeurism . 	this is done almost entirely in an unbroken master shot that suggests unimaginative camerawork more than unblinking voyeurism .	1	-2	 this[0] is[0] done[0] almost[0] entirely[0] in[0] an[0] unbroken[0] master[0] shot[-1] that[0] suggests[0] unimaginative[0] camerawork[0] more[0] than[0] unblinking[0] voyeurism[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they dare you to look away , without possessing the courage of allowing the children to actually sound like children ( they're mouthpieces for writer-director catherine breillat's one-note clinical politics ) . 	they dare you to look away , without possessing the courage of allowing the children to actually sound like children ( they're mouthpieces for writer-director catherine breillat's one-note clinical politics ) .	2	-1	 they[0] dare[0] you[0] to[0] look[0] away[0] without[0] possessing[0] the[0] courage[1] of[0] allowing[0] the[0] children[0] to[0] actually[0] sound[0] like[1] children[0] they're[0] mouthpieces[0] for[0] writer[0] director[0] catherine[0] breillat's[0] one[0] note[0] clinical[0] politics[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rather than show an even-handed evaluation of the rigors of hormonal change , breillat ( previously responsible for the unwatchable romance ) wants to indulge in her hour of hate . 	rather than show an even-handed evaluation of the rigors of hormonal change , breillat ( previously responsible for the unwatchable romance ) wants to indulge in her hour of hate .	4	-4	 rather[0] than[0] show[0] an[0] even[0] handed[0] evaluation[0] of[0] the[0] rigors[0] of[0] hormonal[0] change[0] breillat[0] previously[0] responsible[0] for[0] the[0] unwatchable[0] romance[3] wants[0] to[0] indulge[-1] in[0] her[0] hour[0] of[0] hate[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
life is pain , highness . 	life is pain , highness .	1	-4	 life[0] is[0] pain[-3] highness[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
get used to it . 	get used to it .	1	-1	 get[0] used[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she'd find keen bedfellows in neil labute and todd solondz , other sultans of misanthropy who lack the balls to be earnest or honest . 	she'd find keen bedfellows in neil labute and todd solondz , other sultans of misanthropy who lack the balls to be earnest or honest .	1	-2	 she'd[0] find[0] keen[0] bedfellows[0] in[0] neil[0] labute[0] and[0] todd[0] solondz[0] other[0] sultans[0] of[0] misanthropy[0] who[0] lack[-1] the[0] balls[0] to[0] be[0] earnest[0] or[0] honest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for children , dealing with trauma and pain is complicated . 	for children , dealing with trauma and pain is complicated .	1	-4	 for[0] children[0] dealing[0] with[0] trauma[-3] and[0] pain[-3] is[0] complicated[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
to bury that in sarcasm and academic theory feels cheap . 	to bury that in sarcasm and academic theory feels cheap .	1	-3	 to[0] bury[-2] that[0] in[0] sarcasm[-2] and[0] academic[0] theory[0] feels[0] cheap[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
these would-be auteurs ( more like hauteurs ) haven't earned the right to display suffering because they don't layer it in emotional truth ( as mike leigh does throughout naked and david lynch in several key scenes of blue velvet ) . 	these would-be auteurs ( more like hauteurs ) haven't earned the right to display suffering because they don't layer it in emotional truth ( as mike leigh does throughout naked and david lynch in several key scenes of blue velvet ) .	2	-4	 these[0] would[0] be[0] auteurs[0] more[0] like[1] hauteurs[0] haven't[0] earned[0] the[0] right[0] to[0] display[0] suffering[-3] because[0] they[0] don't[0] layer[0] it[0] in[0] emotional[-1] truth[1] as[0] mike[0] leigh[0] does[0] throughout[0] naked[0] and[0] david[0] lynch[0] in[0] several[0] key[0] scenes[0] of[0] blue[0] velvet[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
of course , there i go again comparing her to all these ( better ) male directors . 	of course , there i go again comparing her to all these ( better ) male directors .	1	-1	 of[0] course[0] there[0] i[0] go[0] again[0] comparing[0] her[0] to[0] all[0] these[0] better[0] male[0] directors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't care . 	i don't care .	1	-2	 i[0] don't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
