 " marie couldn't talk , " paulie , the parrot star of his own movie , tells us about the daughter in his original family . 	Translation	Positive	Negative	EmotionRationale
 " dad couldn't listen . 	 " dad couldn't listen .	1	-1	 dad[0] couldn't[0] listen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and mom couldn't cope , so they got rid of me . " 	and mom couldn't cope , so they got rid of me .<br> "	1	-2	 and[0] mom[0] couldn't[0] cope[0] so[0] they[0] got[0] rid[-1] of[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
paulie , the autobiography of a talking , not merely a mimicking , parrot , has jay mohr in the lead role of the bird - the voice , not the body - and as the minor character of benny , a small-time crook who uses paulie to pull off small scams like stealing twenties from atms . 	paulie , the autobiography of a talking , not merely a mimicking , parrot , has jay mohr in the lead role of the bird - the voice , not the body - and as the minor character of benny , a small-time crook who uses paulie to pull off small scams like stealing twenties from atms .	2	-3	 paulie[0] the[0] autobiography[0] of[0] a[0] talking[0] not[0] merely[0] a[0] mimicking[0] parrot[0] has[0] jay[0] mohr[0] in[0] the[0] lead[0] role[0] of[0] the[0] bird[0] the[0] voice[0] not[0] the[0] body[0] and[0] as[0] the[0] minor[0] character[0] of[0] benny[0] a[0] small[0] time[0] crook[-1] who[0] uses[0] paulie[0] to[0] pull[0] off[0] small[0] scams[0] like[1] stealing[-2] twenties[0] from[0] atms[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as the parrot , mohr is delightful when director john roberts allows him to cut up . 	as the parrot , mohr is delightful when director john roberts allows him to cut up .	3	-1	 as[0] the[0] parrot[0] mohr[0] is[0] delightful[2] when[0] director[0] john[0] roberts[0] allows[0] him[0] to[0] cut[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
benny , on the other hand , is a character you've seen a thousand times before , and mohr brings nothing new to that role . 	benny , on the other hand , is a character you've seen a thousand times before , and mohr brings nothing new to that role .	1	-1	 benny[0] on[0] the[0] other[0] hand[0] is[0] a[0] character[0] you've[0] seen[0] a[0] thousand[0] times[0] before[0] and[0] mohr[0] brings[0] nothing[0] new[0] to[0] that[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
roberts's deliberately slow pacing of laurie craig's script lends a subtle sweetness to its humor but creates some definite problems . 	roberts's deliberately slow pacing of laurie craig's script lends a subtle sweetness to its humor but creates some definite problems .	3	-2	 roberts's[0] deliberately[0] slow[0] pacing[0] of[0] laurie[0] craig's[0] script[0] lends[0] a[0] subtle[0] sweetness[2] to[0] its[0] humor[2] but[0] creates[0] some[0] definite[0] problems[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when a kids' movie wants to mosey along , watch out . 	when a kids' movie wants to mosey along , watch out .	1	-1	 when[0] a[0] kids'[0] movie[0] wants[0] to[0] mosey[0] along[0] watch[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if the material is not crisp and perfectly composed , beauty can sometimes dissolve into tedium . 	if the material is not crisp and perfectly composed , beauty can sometimes dissolve into tedium .	3	-1	 if[0] the[0] material[0] is[0] not[0] crisp[0] and[0] perfectly[1] composed[0] beauty[2] can[0] sometimes[0] dissolve[0] into[0] tedium[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so it is with paulie . 	so it is with paulie .	1	-1	 so[0] it[0] is[0] with[0] paulie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when they let their bird do his stand-up comedy routines , the show hums and the audience roars . 	when they let their bird do his stand-up comedy routines , the show hums and the audience roars .	1	-1	 when[0] they[0] let[0] their[0] bird[0] do[0] his[0] stand[0] up[0] comedy[0] routines[0] the[0] show[0] hums[0] and[0] the[0] audience[0] roars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
