well , here's a distasteful , thoroughly amateurish item that , surprisingly , was actually a box-office hit at the time of its release . 	Translation	Positive	Negative	EmotionRationale
after just viewing the film for the first time , my primary question is how did anyone with an iq north of 35 enjoy this movie ? 	after just viewing the film for the first time , my primary question is how did anyone with an iq north of 35 enjoy this movie ?	3	-1	 after[0] just[0] viewing[0] the[0] film[0] for[0] the[0] first[0] time[0] my[0] primary[0] question[0] is[0] how[0] did[0] anyone[0] with[0] an[0] iq[0] north[0] of[0] 35[0] enjoy[2] this[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is cheap , idiotic , unfunny , and not nearly as raunchy as i had heard it was . 	it is cheap , idiotic , unfunny , and not nearly as raunchy as i had heard it was .	1	-3	 it[0] is[0] cheap[-1] idiotic[-2] unfunny[0] and[0] not[0] nearly[0] as[0] raunchy[0] as[0] i[0] had[0] heard[0] it[0] was[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at least some smut would have livened things up a bit . 	at least some smut would have livened things up a bit .	1	-1	 at[0] least[0] some[0] smut[0] would[0] have[0] livened[0] things[0] up[0] a[0] bit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " porky's , " tells the story ( if you can call it that ) of four clueless high school buddies , pee wee ( dan monahan ) , billy ( mark herrier ) , tommy ( wyatt knight ) , and mickey ( roger wilson ) , whom desperately want to get laid . 	 " porky's , " tells the story ( if you can call it that ) of four clueless high school buddies , pee wee ( dan monahan ) , billy ( mark herrier ) , tommy ( wyatt knight ) , and mickey ( roger wilson ) , whom desperately want to get laid .	1	-3	 porky's[0] tells[0] the[0] story[0] if[0] you[0] can[0] call[0] it[0] that[0] of[0] four[0] clueless[0] high[0] school[0] buddies[0] pee[0] wee[-1] dan[0] monahan[0] billy[0] mark[0] herrier[0] tommy[0] wyatt[0] knight[0] and[0] mickey[0] roger[0] wilson[0] whom[0] desperately[-2] want[0] to[0] get[0] laid[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
women , for the most part , are a mystery to them ( and in this movie , they are to the audience , as well , since all of them are written and acted as if they are aliens from a different planet ) . 	women , for the most part , are a mystery to them ( and in this movie , they are to the audience , as well , since all of them are written and acted as if they are aliens from a different planet ) .	1	-1	 women[0] for[0] the[0] most[0] part[0] are[0] a[0] mystery[0] to[0] them[0] and[0] in[0] this[0] movie[0] they[0] are[0] to[0] the[0] audience[0] as[0] well[0] since[0] all[0] of[0] them[0] are[0] written[0] and[0] acted[0] as[0] if[0] they[0] are[0] aliens[0] from[0] a[0] different[0] planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their plan is sidetracked , however , when they venture out to a smarmy strip bar named porky's , which they are able to get into using fake id's . 	their plan is sidetracked , however , when they venture out to a smarmy strip bar named porky's , which they are able to get into using fake id's .	1	-2	 their[0] plan[0] is[0] sidetracked[0] however[0] when[0] they[0] venture[0] out[0] to[0] a[0] smarmy[0] strip[0] bar[0] named[0] porky's[0] which[0] they[0] are[0] able[0] to[0] get[0] into[0] using[0] fake[-1] id's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after they pay the manager one-hundred bucks for three hookers , they are played a trick on and find themselves being dumped into the swamp below the building . 	after they pay the manager one-hundred bucks for three hookers , they are played a trick on and find themselves being dumped into the swamp below the building .	1	-2	 after[0] they[0] pay[0] the[0] manager[0] one[0] hundred[0] bucks[0] for[0] three[0] hookers[0] they[0] are[0] played[0] a[0] trick[-1] on[0] and[0] find[0] themselves[0] being[0] dumped[-1] into[0] the[0] swamp[0] below[0] the[0] building[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for these four teenage guys , this means war on porky's . 	for these four teenage guys , this means war on porky's .	1	-3	 for[0] these[0] four[0] teenage[0] guys[0] this[0] means[0] war[-2] on[0] porky's[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " porky's , " ultimately manages to fail on almost every possible level . 	 " porky's , " ultimately manages to fail on almost every possible level .	1	-3	 porky's[0] ultimately[0] manages[0] to[0] fail[-2] on[0] almost[0] every[0] possible[0] level[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as a teenage sex-romp , it is not wild or amusing enough . 	as a teenage sex-romp , it is not wild or amusing enough .	2	-1	 as[0] a[0] teenage[0] sex[0] romp[0] it[0] is[0] not[0] wild[0] or[0] amusing[1] enough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
