 " the beach " is a structurally confusing film that i can only describe has having multiple personality disorder . 	Translation	Positive	Negative	EmotionRationale
every forty minutes of this two-hour film begins with a new theme , virtually discarding what has been set up in the preceding act . 	every forty minutes of this two-hour film begins with a new theme , virtually discarding what has been set up in the preceding act .	1	-1	 every[0] forty[0] minutes[0] of[0] this[0] two[0] hour[0] film[0] begins[0] with[0] a[0] new[0] theme[0] virtually[0] discarding[0] what[0] has[0] been[0] set[0] up[0] in[0] the[0] preceding[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it starts off purposefully as a film about an innocent man seeking new thrills in a dangerous environment . 	it starts off purposefully as a film about an innocent man seeking new thrills in a dangerous environment .	4	-2	 it[0] starts[0] off[0] purposefully[0] as[0] a[0] film[0] about[0] an[0] innocent[1] man[0] seeking[0] new[0] thrills[3] in[0] a[0] dangerous[-1] environment[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but then in the second act , the mood of the film abruptly changes and it becomes a story about a love triangle on an idyllic island paradise that evokes visions of " blue lagoon " . 	but then in the second act , the mood of the film abruptly changes and it becomes a story about a love triangle on an idyllic island paradise that evokes visions of " blue lagoon " .	4	-1	 but[0] then[0] in[0] the[0] second[0] act[0] the[0] mood[0] of[0] the[0] film[0] abruptly[0] changes[0] and[0] it[0] becomes[0] a[0] story[0] about[0] a[0] love[2] triangle[0] on[0] an[0] idyllic[0] island[0] paradise[3] that[0] evokes[0] visions[0] of[0] blue[0] lagoon[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
forty minutes later , the mood changes once more , and it becomes a dumbed down version of " lord of the flies " where an isolated community is discovered , where their moral code touts maintaining a sense of bliss at all costs . 	forty minutes later , the mood changes once more , and it becomes a dumbed down version of " lord of the flies " where an isolated community is discovered , where their moral code touts maintaining a sense of bliss at all costs .	5	-2	 forty[0] minutes[0] later[0] the[0] mood[0] changes[0] once[0] more[0] and[0] it[0] becomes[0] a[0] dumbed[-1] down[0] version[0] of[0] lord[0] of[0] the[0] flies[0] where[0] an[0] isolated[-1] community[0] is[0] discovered[0] where[0] their[0] moral[0] code[0] touts[0] maintaining[0] a[0] sense[0] of[0] bliss[4] at[0] all[0] costs[0] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
by the time it's over , you can only scratch your head and wonder what this film was really meant to be about . 	by the time it's over , you can only scratch your head and wonder what this film was really meant to be about .	1	-1	 by[0] the[0] time[0] it's[0] over[0] you[0] can[0] only[0] scratch[0] your[0] head[0] and[0] wonder[0] what[0] this[0] film[0] was[0] really[0] meant[0] to[0] be[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the main character of " the beach " is angst-ridden richard ( leonardo dicaprio ) . 	the main character of " the beach " is angst-ridden richard ( leonardo dicaprio ) .	1	-1	 the[0] main[0] character[0] of[0] the[0] beach[0] is[0] angst[0] ridden[0] richard[0] leonardo[0] dicaprio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he travels to the netherworld of bangkok where back alley merchants push their wares upon unsuspecting tourists and scantily clad women brazenly ask if you're looking for a good time . 	he travels to the netherworld of bangkok where back alley merchants push their wares upon unsuspecting tourists and scantily clad women brazenly ask if you're looking for a good time .	2	-1	 he[0] travels[0] to[0] the[0] netherworld[0] of[0] bangkok[0] where[0] back[0] alley[0] merchants[0] push[0] their[0] wares[0] upon[0] unsuspecting[0] tourists[0] and[0] scantily[0] clad[0] women[0] brazenly[0] ask[0] if[0] you're[0] looking[0] for[0] a[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
richard's voice-over tells the audience that he has come to this place because he is bored with his life and feels that one way to reinvigorate himself is to let go of the familiar and to enter into a world of the unknown . 	richard's voice-over tells the audience that he has come to this place because he is bored with his life and feels that one way to reinvigorate himself is to let go of the familiar and to enter into a world of the unknown .	1	-2	 richard's[0] voice[0] over[0] tells[0] the[0] audience[0] that[0] he[0] has[0] come[0] to[0] this[0] place[0] because[0] he[0] is[0] bored[-1] with[0] his[0] life[0] and[0] feels[0] that[0] one[0] way[0] to[0] reinvigorate[0] himself[0] is[0] to[0] let[0] go[0] of[0] the[0] familiar[0] and[0] to[0] enter[0] into[0] a[0] world[0] of[0] the[0] unknown[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this seedy environment is just what richard is looking for . 	this seedy environment is just what richard is looking for .	1	-1	 this[0] seedy[0] environment[0] is[0] just[0] what[0] richard[0] is[0] looking[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he checks into a fleabag hotel where he meets the crazed daffy ( robert carlisle ) . 	he checks into a fleabag hotel where he meets the crazed daffy ( robert carlisle ) .	1	-1	 he[0] checks[0] into[0] a[0] fleabag[0] hotel[0] where[0] he[0] meets[0] the[0] crazed[0] daffy[0] robert[0] carlisle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
