would you believe -- in real life , i mean -- that if you were julia roberts , that you'd be the ugly underdog to your sister , the creepy catherine zeta-jones ? 	Translation	Positive	Negative	EmotionRationale
let me tell you what reality is . 	let me tell you what reality is .	1	-1	 let[0] me[0] tell[0] you[0] what[0] reality[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reality is that you are megastar julia fricking roberts and your brother is eric roberts , and he picks up whatever crumbs of stardom fall off your coattails as you blaze across the sky in a golden chariot . 	reality is that you are megastar julia fricking roberts and your brother is eric roberts , and he picks up whatever crumbs of stardom fall off your coattails as you blaze across the sky in a golden chariot .	1	-1	 reality[0] is[0] that[0] you[0] are[0] megastar[0] julia[0] fricking[0] roberts[0] and[0] your[0] brother[0] is[0] eric[0] roberts[0] and[0] he[0] picks[0] up[0] whatever[0] crumbs[0] of[0] stardom[0] fall[0] off[0] your[0] coattails[0] as[0] you[0] blaze[0] across[0] the[0] sky[0] in[0] a[0] golden[0] chariot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's reality . 	that's reality .	1	-1	 that's[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
america's sweethearts is the opposite of reality , a train wreck that tries to sell julia as a scruffy also-ran , presumably because she wears horn-rimmed glasses and used to be overweight ( uh-huh ) . 	america's sweethearts is the opposite of reality , a train wreck that tries to sell julia as a scruffy also-ran , presumably because she wears horn-rimmed glasses and used to be overweight ( uh-huh ) .	4	-2	 america's[0] sweethearts[3] is[0] the[0] opposite[0] of[0] reality[0] a[0] train[0] wreck[-1] that[0] tries[0] to[0] sell[0] julia[0] as[0] a[0] scruffy[0] also[0] ran[0] presumably[0] because[0] she[0] wears[0] horn[0] rimmed[0] glasses[0] and[0] used[0] to[0] be[0] overweight[-1] uh[0] huh[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the plot follows two married , mega-movie stars , gwen and eddie ( zeta-jones and poor , poor john cusack , whose material gets worse every year ) , on the eve of their new star vehicle's release , a film called time over time . 	the plot follows two married , mega-movie stars , gwen and eddie ( zeta-jones and poor , poor john cusack , whose material gets worse every year ) , on the eve of their new star vehicle's release , a film called time over time .	1	-3	 the[0] plot[0] follows[0] two[0] married[0] mega[0] movie[0] stars[0] gwen[0] and[0] eddie[0] zeta[0] jones[0] and[0] poor[-1] poor[-1] john[0] cusack[0] whose[0] material[0] gets[0] worse[-2] every[0] year[0] on[0] the[0] eve[0] of[0] their[0] new[0] star[0] vehicle's[0] release[0] a[0] film[0] called[0] time[0] over[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only problem : gwen and eddie have gone through a nasty separation , and the press and public have not been forgiving ( think meg and dennis ) . 	the only problem : gwen and eddie have gone through a nasty separation , and the press and public have not been forgiving ( think meg and dennis ) .	1	-3	 the[0] only[0] problem[-1] gwen[0] and[0] eddie[0] have[0] gone[0] through[0] a[0] nasty[-2] separation[0] and[0] the[0] press[0] and[0] public[0] have[0] not[0] been[0] forgiving[1][NegatedDueToPreviousWord] think[0] meg[0] and[0] dennis[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gosh , and the director has vanished with the film , holding the only print hostage . 	gosh , and the director has vanished with the film , holding the only print hostage .	1	-2	 gosh[0] and[0] the[0] director[0] has[0] vanished[-1] with[0] the[0] film[0] holding[0] the[0] only[0] print[0] hostage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
veteran pr agent lee ( billy crystal ) is called upon to clean up the mess , throwing a press junket in the nevada desert to woo them with the story of a possible reconciliation between the gwen and eddie , presumably distracting the stupid , stupid film critics into forgetting they haven't seen the movie at all . 	veteran pr agent lee ( billy crystal ) is called upon to clean up the mess , throwing a press junket in the nevada desert to woo them with the story of a possible reconciliation between the gwen and eddie , presumably distracting the stupid , stupid film critics into forgetting they haven't seen the movie at all .	1	-2	 veteran[0] pr[0] agent[0] lee[0] billy[0] crystal[0] is[0] called[0] upon[0] to[0] clean[0] up[0] the[0] mess[0] throwing[0] a[0] press[0] junket[0] in[0] the[0] nevada[0] desert[0] to[0] woo[0] them[0] with[0] the[0] story[0] of[0] a[0] possible[0] reconciliation[0] between[0] the[0] gwen[0] and[0] eddie[0] presumably[0] distracting[-1] the[0] stupid[-1] stupid[-1] film[0] critics[0] into[0] forgetting[0] they[0] haven't[0] seen[0] the[0] movie[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( note to sony : any studio executive that thinks this plot is going to win points with the reviewing press needs to check into rehab . ) 	 ( note to sony : any studio executive that thinks this plot is going to win points with the reviewing press needs to check into rehab .<br> )	1	-1	 note[0] to[0] sony[0] any[0] studio[0] executive[0] that[0] thinks[0] this[0] plot[0] is[0] going[0] to[0] win[0] points[0] with[0] the[0] reviewing[0] press[0] needs[0] to[0] check[0] into[0] rehab[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and did i mention gwen's sister kiki ( roberts ) is along for the ride ? 	and did i mention gwen's sister kiki ( roberts ) is along for the ride ?	1	-1	 and[0] did[0] i[0] mention[0] gwen's[0] sister[0] kiki[0] roberts[0] is[0] along[0] for[0] the[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
