after a marketing windup of striking visuals and the promise of star caliber actors , mission to mars ends up throwing a whiffleball . 	Translation	Positive	Negative	EmotionRationale
fiercely unoriginal , director depalma cobbles together a film by borrowing heavily from what has gone before him . 	fiercely unoriginal , director depalma cobbles together a film by borrowing heavily from what has gone before him .	1	-3	 fiercely[-2] unoriginal[0] director[0] depalma[0] cobbles[0] together[0] a[0] film[0] by[0] borrowing[0] heavily[0] from[0] what[0] has[0] gone[0] before[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are aliens similar to those in close encounters of the third kind . 	there are aliens similar to those in close encounters of the third kind .	2	-1	 there[0] are[0] aliens[0] similar[0] to[0] those[0] in[0] close[0] encounters[0] of[0] the[0] third[0] kind[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the stranded astronaut theme is reminiscent of robinson crusoe on mars . 	the stranded astronaut theme is reminiscent of robinson crusoe on mars .	1	-1	 the[0] stranded[0] astronaut[0] theme[0] is[0] reminiscent[0] of[0] robinson[0] crusoe[0] on[0] mars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the astronauts encounter space flight difficulties that smack of apollo 13 . 	the astronauts encounter space flight difficulties that smack of apollo 13 .	1	-2	 the[0] astronauts[0] encounter[0] space[0] flight[0] difficulties[-1] that[0] smack[-1] of[0] apollo[0] 13[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
interior spacecraft visuals are redolent of 2001 : a space odyssey . 	interior spacecraft visuals are redolent of 2001 : a space odyssey .	1	-1	 interior[0] spacecraft[0] visuals[0] are[0] redolent[0] of[0] 2001[0] a[0] space[0] odyssey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of using these components as a launching pad to create his own movie , de palma stops right there , refusing to infuse the film with anything even remotely resembling cleverness or heart . 	instead of using these components as a launching pad to create his own movie , de palma stops right there , refusing to infuse the film with anything even remotely resembling cleverness or heart .	1	-1	 instead[0] of[0] using[0] these[0] components[0] as[0] a[0] launching[0] pad[0] to[0] create[0] his[0] own[0] movie[0] de[0] palma[0] stops[0] right[0] there[0] refusing[0] to[0] infuse[0] the[0] film[0] with[0] anything[0] even[0] remotely[0] resembling[0] cleverness[0] or[0] heart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mission to mars takes it's first wobbly steps at a pre-launch barbeque in which the perfunctory character introductions are done . 	mission to mars takes it's first wobbly steps at a pre-launch barbeque in which the perfunctory character introductions are done .	1	-1	 mission[0] to[0] mars[0] takes[0] it's[0] first[0] wobbly[0] steps[0] at[0] a[0] pre[0] launch[0] barbeque[0] in[0] which[0] the[0] perfunctory[0] character[0] introductions[0] are[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during these surface scans of the characters , we learn that jim mcconnell ( sinise ) has lost his wife . 	during these surface scans of the characters , we learn that jim mcconnell ( sinise ) has lost his wife .	1	-1	 during[0] these[0] surface[0] scans[0] of[0] the[0] characters[0] we[0] learn[0] that[0] jim[0] mcconnell[0] sinise[0] has[0] lost[0] his[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a plot point revisted throughout the film with jackhammer subtlety . 	it's a plot point revisted throughout the film with jackhammer subtlety .	1	-1	 it's[0] a[0] plot[0] point[0] revisted[0] throughout[0] the[0] film[0] with[0] jackhammer[0] subtlety[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the crew exhibit a bland affability . 	the rest of the crew exhibit a bland affability .	3	-2	 the[0] rest[0] of[0] the[0] crew[0] exhibit[0] a[0] bland[-1] affability[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there is no contentiousness , no friction to add the the dramatic tension of these men and women being confined to close quarters for an extended length of time . 	there is no contentiousness , no friction to add the the dramatic tension of these men and women being confined to close quarters for an extended length of time .	1	-3	 there[0] is[0] no[0] contentiousness[0] no[0] friction[0] to[0] add[0] the[0] the[0] dramatic[0] tension[-2] of[0] these[0] men[0] and[0] women[0] being[0] confined[0] to[0] close[0] quarters[0] for[0] an[0] extended[0] length[0] of[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
maybe depalma was going for the comraderie of the right stuff , but in that movie , the astronauts had embers of personality to warm us through the technical aspects . 	maybe depalma was going for the comraderie of the right stuff , but in that movie , the astronauts had embers of personality to warm us through the technical aspects .	1	-1	 maybe[0] depalma[0] was[0] going[0] for[0] the[0] comraderie[0] of[0] the[0] right[0] stuff[0] but[0] in[0] that[0] movie[0] the[0] astronauts[0] had[0] embers[0] of[0] personality[0] to[0] warm[0] us[0] through[0] the[0] technical[0] aspects[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's the year 2020 and this is nasa's first manned excursion to the red planet . 	it's the year 2020 and this is nasa's first manned excursion to the red planet .	1	-1	 it's[0] the[0] year[0] 2020[0] and[0] this[0] is[0] nasa's[0] first[0] manned[0] excursion[0] to[0] the[0] red[0] planet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a crew , led by luke graham ( cheadle ) , arrives on mars and quickly discovers an anomaly , which they investigate with tragic results . 	a crew , led by luke graham ( cheadle ) , arrives on mars and quickly discovers an anomaly , which they investigate with tragic results .	1	-3	 a[0] crew[0] led[0] by[0] luke[0] graham[0] cheadle[0] arrives[0] on[0] mars[0] and[0] quickly[0] discovers[0] an[0] anomaly[-1] which[0] they[0] investigate[0] with[0] tragic[-2] results[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
graham is able to transmit a garbled distress call back to earth . 	graham is able to transmit a garbled distress call back to earth .	1	-3	 graham[0] is[0] able[0] to[0] transmit[0] a[0] garbled[0] distress[-2] call[0] back[0] to[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in response , earth sends a rescue team comprised of mcconnell , woody blake ( robbins ) , wife terri fisher ( nielsen ) and phil ohlmyer ( o'connell ) . 	in response , earth sends a rescue team comprised of mcconnell , woody blake ( robins ) , wife terri fisher ( nielsen ) and phil ohlmyer ( o'connell ) .	1	-1	 in[0] response[0] earth[0] sends[0] a[0] rescue[0] team[0] comprised[0] of[0] mcconnell[0] woody[0] blake[0] robbins/robins[0] wife[0] terri[0] fisher[0] nielsen[0] and[0] phil[0] ohlmyer[0] o'connell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obstacles are put in the crew's way and and they matter-of- factly go about solving them . 	obstacles are put in the crew's way and and they matter-of- factly go about solving them .	1	-2	 obstacles[-1] are[0] put[0] in[0] the[0] crew's[0] way[0] and[0] and[0] they[0] matter[0] of[0] factly[0] go[0] about[0] solving[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i should say , mcconnell goes about solving them . 	i should say , mcconnell goes about solving them .	1	-1	 i[0] should[0] say[0] mcconnell[0] goes[0] about[0] solving[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
time and again , mcconnell is presented as some kind of wunderkind , which wouldn't be so bad if the rest of the crew didn't come across as so aggressivelly unremarkable . 	time and again , mcconnell is presented as some kind of wunderkind , which wouldn't be so bad if the rest of the crew didn't come across as so aggressively unremarkable .	1	-3	 time[0] and[0] again[0] mcconnell[0] is[0] presented[0] as[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] wunderkind[0] which[0] wouldn't[0] be[0] so[0] bad[-1] if[0] the[0] rest[0] of[0] the[0] crew[0] didn't[0] come[0] across[0] as[0] so[0] aggressivelly/aggressively[-2] unremarkable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( mention should be made of the misogynistic handling of fisher in a situation where the entire crew's mission and life is in mortal danger . 	 ( mention should be made of the misogynistic handling of fisher in a situation where the entire crew's mission and life is in mortal danger .	1	-2	 mention[0] should[0] be[0] made[0] of[0] the[0] misogynistic[0] handling[0] of[0] fisher[0] in[0] a[0] situation[0] where[0] the[0] entire[0] crew's[0] mission[0] and[0] life[0] is[0] in[0] mortal[0] danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on a team of professionals , she is portrayed as an emotion directed weak link . 	on a team of professionals , she is portrayed as an emotion directed weak link .	1	-2	 on[0] a[0] team[0] of[0] professionals[0] she[0] is[0] portrayed[0] as[0] an[0] emotion[0] directed[0] weak[-1] link[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
women serve no purpose in the movie other than to serve as a reflection of a male character's personality trait . ) 	women serve no purpose in the movie other than to serve as a reflection of a male character's personality trait .<br> )	1	-1	 women[0] serve[0] no[0] purpose[0] in[0] the[0] movie[0] other[0] than[0] to[0] serve[0] as[0] a[0] reflection[0] of[0] a[0] male[0] character's[0] personality[0] trait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
by the time they land on mars and try to solve the mystery of what occurred , mission to mars starts laying on the cliches and stilted dialogue with a heavy brush . 	by the time they land on mars and try to solve the mystery of what occurred , mission to mars starts laying on the cliches and stilted dialogue with a heavy brush .	1	-1	 by[0] the[0] time[0] they[0] land[0] on[0] mars[0] and[0] try[0] to[0] solve[0] the[0] mystery[0] of[0] what[0] occurred[0] mission[0] to[0] mars[0] starts[0] laying[0] on[0] the[0] cliches[0] and[0] stilted[0] dialogue[0] with[0] a[0] heavy[0] brush[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is an adage in film to " show , don't tell . " 	there is an adage in film to " show , don't tell .<br> "	1	-1	 there[0] is[0] an[0] adage[0] in[0] film[0] to[0] show[0] don't[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mission to mars does both . 	mission to mars does both .	1	-1	 mission[0] to[0] mars[0] does[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
repeatedly . 	repeatedly .	1	-1	 repeatedly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
characters obsessively explain the obvious , explain their actions as they are doing them , explain to fellow astronauts facts which should be fundamental knowledge to them . 	characters obsessively explain the obvious , explain their actions as they are doing them , explain to fellow astronauts facts which should be fundamental knowledge to them .	1	-3	 characters[0] obsessively[-2] explain[0] the[0] obvious[0] explain[0] their[0] actions[0] as[0] they[0] are[0] doing[0] them[0] explain[0] to[0] fellow[0] astronauts[0] facts[0] which[0] should[0] be[0] fundamental[0] knowledge[0] to[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film's conclusion is momumentally derivative , anti-climatic and unsatisying . 	the film's conclusion is momumentally derivative , anti-climatic and unsatisying .	1	-1	 the[0] film's[0] conclusion[0] is[0] momumentally[0] derivative[0] anti[0] climatic[0] and[0] unsatisying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i walked out i wondered who the target audience might be for this film . 	as i walked out i wondered who the target audience might be for this film .	1	-1	 as[0] i[0] walked[0] out[0] i[0] wondered[0] who[0] the[0] target[0] audience[0] might[0] be[0] for[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the best i could come up with is pre-teen age boys , but in this media saturated era , this film's components would have been old hat even for them . 	the best i could come up with is pre-teen age boys , but in this media saturated era , this film's components would have been old hat even for them .	2	-1	 the[0] best[1] i[0] could[0] come[0] up[0] with[0] is[0] pre[0] teen[0] age[0] boys[0] but[0] in[0] this[0] media[0] saturated[0] era[0] this[0] film's[0] components[0] would[0] have[0] been[0] old[0] hat[0] even[0] for[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i have to think what attracted such talent to this film was the lure of making a good , modern day b-movie . 	i have to think what attracted such talent to this film was the lure of making a good , modern day b-movie .	2	-2	 i[0] have[0] to[0] think[0] what[0] attracted[1] such[0] talent[1] to[0] this[0] film[0] was[0] the[0] lure[-1] of[0] making[0] a[0] good[1] modern[0] day[0] b[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the key to such a venture is a certain depth and sincerity towards the material . 	the key to such a venture is a certain depth and sincerity towards the material .	1	-1	 the[0] key[0] to[0] such[0] a[0] venture[0] is[0] a[0] certain[0] depth[0] and[0] sincerity[0] towards[0] the[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i felt no such earnestness . 	i felt no such earnestness .	1	-1	 i[0] felt[0] no[0] such[0] earnestness[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
