synopsis : two con artists find the perfect patsy in harry ( woody harrelson ) - - an inept former journalist who trips and bumps his head into a post , tries to slap a girl and gets poked in the eye , has ill-timed fits of coughing , and fails at everything he does . 	Translation	Positive	Negative	EmotionRationale
the story is told from harry's point of view . 	the story is told from harry's point of view .	1	-1	 the[0] story[0] is[0] told[0] from[0] harry's[0] point[0] of[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harry always carries around a shot of whiskey although he swears he doesn't drink . 	harry always carries around a shot of whiskey although he swears he doesn't drink .	1	-2	 harry[0] always[0] carries[0] around[0] a[0] shot[-1] of[0] whiskey[0] although[0] he[0] swears[0] he[0] doesn't[0] drink[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one day harry is approached by the con girl rhea ( elisabeth shue ) , who is similar to harry in that she carries around a cigarette but swears she doesn't smoke . 	one day harry is approached by the con girl rhea ( elisabeth shue ) , who is similar to harry in that she carries around a cigarette but swears she doesn't smoke .	1	-1	 one[0] day[0] harry[0] is[0] approached[0] by[0] the[0] con[0] girl[0] rhea[0] elisabeth[0] shue[0] who[0] is[0] similar[0] to[0] harry[0] in[0] that[0] she[0] carries[0] around[0] a[0] cigarette[0] but[0] swears[0] she[0] doesn't[0] smoke[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seduced , harry agrees to participate in a money-making scheme involving faking the kidnapping of odette ( chloe sevigny ) , the teenage daughter of a rich man . 	seduced , harry agrees to participate in a money-making scheme involving faking the kidnapping of odette ( chloe sevigny ) , the teenage daughter of a rich man .	1	-1	 seduced[0] harry[0] agrees[0] to[0] participate[0] in[0] a[0] money[0] making[0] scheme[0] involving[0] faking[0] the[0] kidnapping[0] of[0] odette[0] chloe[0] sevigny[0] the[0] teenage[0] daughter[0] of[0] a[0] rich[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
turns out , it's all part of a needless , very puzzling , extremely elaborate and convoluted scheme ( it involves hiring special impersonators ) by two cons in order to fool harry , a hero who barely has the intellectual capacity of a wooden post . 	turns out , it's all part of a needless , very puzling , extremely elaborate and convoluted scheme ( it involves hiring special impersonators ) by two cons in order to fool harry , a hero who barely has the intellectual capacity of a wooden post .	3	-2	 turns[0] out[0] it's[0] all[0] part[0] of[0] a[0] needless[0] very[0] puzzling/puzling[0] extremely[0] elaborate[0] and[0] convoluted[0] scheme[0] it[0] involves[0] hiring[0] special[1] impersonators[0] by[0] two[0] cons[0] in[0] order[0] to[0] fool[-1] harry[0] a[0] hero[2] who[0] barely[0] has[0] the[0] intellectual[0] capacity[0] of[0] a[0] wooden[0] post[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
when the 'kidnapped' odette is found dead , the clues point to harry as the kidnapper/murderer , and the police are hot on harry's trail . 	when the 'kidnapped' odette is found dead , the clues point to harry as the kidnapper/murderer , and the police are hot on harry's trail .	1	-3	 when[0] the[0] 'kidnapped'[0] odette[0] is[0] found[0] dead[-2] the[0] clues[0] point[0] to[0] harry[0] as[0] the[0] kidnapper/murderer[0] and[0] the[0] police[0] are[0] hot[0] on[0] harry's[0] trail[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
harry suddenly realizes he has been framed while others have taken the ransom money . 	harry suddenly realizes he has been framed while others have taken the ransom money .	1	-1	 harry[0] suddenly[0] realizes[0] he[0] has[0] been[0] framed[0] while[0] others[0] have[0] taken[0] the[0] ransom[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can he get out of this mess ? 	can he get out of this mess ?	1	-1	 can[0] he[0] get[0] out[0] of[0] this[0] mess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
opinion : palmetto is a long , uninteresting film with all the wrong feel . 	opinion : palmetto is a long , uninteresting film with all the wrong feel .	1	-2	 opinion[0] palmetto[0] is[0] a[0] long[0] uninteresting[0] film[0] with[0] all[0] the[0] wrong[-1] feel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hero harry is an inept bungler who trips up often and consistently overestimates his own intelligence . 	hero harry is an inept bungler who trips up often and consistently overestimates his own intelligence .	3	-2	 hero[2] harry[0] is[0] an[0] inept[0] bungler[-1] who[0] trips[0] up[0] often[0] and[0] consistently[0] overestimates[0] his[0] own[0] intelligence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this farcical kind of character works best in an entertaining naked gun action comedy or dragnet spoof . 	this farcical kind of character works best in an entertaining naked gun action comedy or dragnet spoof .	2	-2	 this[0] farcical[0] kind[1] of[0] character[0] works[0] best[1] in[0] an[0] entertaining[0] naked[0] gun[-1] action[0] comedy[0] or[0] dragnet[0] spoof[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but palmetto is played like a dark , serious , detective noir drama , and watching harry's bumbling confidence amounts to an irritating distraction . 	but palmetto is played like a dark , serious , detective noir drama , and watching harry's bumbling confidence amounts to an irritating distraction .	2	-3	 but[0] palmetto[0] is[0] played[0] like[1] a[0] dark[0] serious[-1] detective[0] noir[0] drama[0] and[0] watching[0] harry's[0] bumbling[0] confidence[1] amounts[0] to[0] an[0] irritating[-2] distraction[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there's a lapse in concentration in the middle of the movie as the camera goes wild on breasts , buttocks , short skirts , colored painted nails , and women's legs . 	there's a lapse in concentration in the middle of the movie as the camera goes wild on breasts , buttocks , short skirts , colored painted nails , and women's legs .	1	-2	 there's[0] a[0] lapse[-1] in[0] concentration[0] in[0] the[0] middle[0] of[0] the[0] movie[0] as[0] the[0] camera[0] goes[0] wild[0] on[0] breasts[0] buttocks[0] short[0] skirts[0] colored[0] painted[0] nails[0] and[0] women's[0] legs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even when the focus is supposedly on harry and his dilema , you can always notice the side of elizabeth shue's breast forming a prominent foreground . 	even when the focus is supposedly on harry and his dilema , you can always notice the side of elizabeth shue's breast forming a prominent foreground .	1	-1	 even[0] when[0] the[0] focus[0] is[0] supposedly[0] on[0] harry[0] and[0] his[0] dilema[0] you[0] can[0] always[0] notice[0] the[0] side[0] of[0] elizabeth[0] shue's[0] breast[0] forming[0] a[0] prominent[0] foreground[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
towards the end , palmetto re-focuses on plot for the grand finale - - a confusing explanation involving impersonators , with woody harrelson handcuffed and suspended over a tub of acid as he hears the criminals' confession . 	towards the end , palmetto re-focuses on plot for the grand finale - - a confusing explanation involving impersonators , with woody harrelson handcuffed and suspended over a tub of acid as he hears the criminals' confession .	2	-2	 towards[0] the[0] end[0] palmetto[0] re[0] focuses[0] on[0] plot[0] for[0] the[0] grand[1] finale[0] a[0] confusing[-1] explanation[0] involving[0] impersonators[0] with[0] woody[0] harrelson[0] handcuffed[0] and[0] suspended[0] over[0] a[0] tub[0] of[0] acid[0] as[0] he[0] hears[0] the[0] criminals'[-1] confession[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you can imagine 'shemp' from the three stooges playing the detective hero of an hbo 'lingerie suspense' thriller , that's how out of synch this movie feels . 	if you can imagine 'shemp' from the three stooges playing the detective hero of an hbo 'lingerie suspense' thriller , that's how out of synch this movie feels .	3	-1	 if[0] you[0] can[0] imagine[0] 'shemp'[0] from[0] the[0] three[0] stooges[0] playing[1] the[0] detective[0] hero[2] of[0] an[0] hbo[0] 'lingerie[0] suspense'[0] thriller[1] that's[0] how[0] out[0] of[0] synch[0] this[0] movie[0] feels[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
