mr . nice guy is the latest jackie chan film , so you should know what to expect . 	Translation	Positive	Negative	EmotionRationale
a weak plot , terrible dialogue , very little acting ability , but some jaw-dropping action sequences that nearly make the rest of it worthwhile . 	a weak plot , terrible dialogue , very little acting ability , but some jaw-dropping action sequences that nearly make the rest of it worthwhile .	2	-4	 a[0] weak[-1] plot[0] terrible[-3] dialogue[0] very[0] little[0] acting[0] ability[0] but[0] some[0] jaw[0] dropping[0] action[0] sequences[0] that[0] nearly[0] make[0] the[0] rest[0] of[0] it[0] worthwhile[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
however , mr . nice guy lacks the sparkle of jackie's best efforts , and its weaknesses are more glaring than ever . 	however , mr .<br> nice guy lacks the sparkle of jackie's best efforts , and its weaknesses are more glaring than ever .	2	-2	 however[0] mr[0] [[Sentence=-1,1=word max, 1-5]] nice[1] guy[0] lacks[0] the[0] sparkle[0] of[0] jackie's[0] best[1] efforts[0] and[0] its[0] weaknesses[-1] are[0] more[0] glaring[0] than[0] ever[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jackie chan plays , who else , jackie . 	jackie chan plays , who else , jackie .	2	-1	 jackie[0] chan[0] plays[1] who[0] else[0] jackie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this time out , he's a famous chef who hosts an australian cooking show . 	this time out , he's a famous chef who hosts an australian cooking show .	1	-1	 this[0] time[0] out[0] he's[0] a[0] famous[0] chef[0] who[0] hosts[0] an[0] australian[0] cooking[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not that it ever makes a difference in the plot . 	not that it ever makes a difference in the plot .	1	-1	 not[0] that[0] it[0] ever[0] makes[0] a[0] difference[0] in[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are only two scenes of him cooking . 	there are only two scenes of him cooking .	1	-1	 there[0] are[0] only[0] two[0] scenes[0] of[0] him[0] cooking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the rest of the film , somehow he mutates into jackie chan , supercop . 	for the rest of the film , somehow he mutates into jackie chan , supercop .	1	-1	 for[0] the[0] rest[0] of[0] the[0] film[0] somehow[0] he[0] mutates[0] into[0] jackie[0] chan[0] supercop[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it never does explain why his character has such superb martial arts skills . . . perhaps he was in the same cooking class as steven seagal in under siege ? 	it never does explain why his character has such superb martial arts skills .<br> .<br> .<br> perhaps he was in the same cooking class as steven seagal in under siege ?	1	-2	 it[0] never[0] does[0] explain[0] why[0] his[0] character[0] has[0] such[0] superb[0] martial[0] arts[0] skills[0] [[Sentence=-1,1=word max, 1-5]] perhaps[0] he[0] was[0] in[0] the[0] same[0] cooking[0] class[0] as[0] steven[0] seagal[0] in[0] under[0] siege[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a tv newswoman , diana ( gabrielle fitzpatrick ) , covertly tapes a drug deal involving kingpin giancarlo ( richard norton ) and a local gang of toughs , the demons . 	a tv newswoman , diana ( gabrielle fitzpatrick ) , covertly tapes a drug deal involving kingpin giancarlo ( richard norton ) and a local gang of toughs , the demons .	1	-2	 a[0] tv[0] newswoman[0] diana[0] gabrielle[0] fitzpatrick[0] covertly[-1] tapes[0] a[0] drug[0] deal[0] involving[0] kingpin[0] giancarlo[0] richard[0] norton[0] and[0] a[0] local[0] gang[0] of[0] toughs[-1] the[0] demons[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although she only has one camcorder , somehow the result is full of close-ups and multiple angles . . . hmmm , 	although she only has one camcorder , somehow the result is full of close-ups and multiple angles .<br> .<br> .<br> hm ,	2	-1	 although[0] she[0] only[0] has[0] one[0] camcorder[0] somehow[0] the[0] result[0] is[0] full[0] of[0] close[0] ups[0] and[0] multiple[0] angles[0] [[Sentence=-1,1=word max, 1-5]] hmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shades of broadcast news ? ? ? 	shades of broadcast news ?<br> ?<br> ?	1	-1	 shades[0] of[0] broadcast[0] news[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , the goons discover diana , and will do anything to recover the tape . 	anyway , the goons discover diana , and will do anything to recover the tape .	1	-1	 anyway[0] the[0] goons[0] discover[0] diana[0] and[0] will[0] do[0] anything[0] to[0] recover[0] the[0] tape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here lies another crucial flaw in the story : doesn't anyone realize you can copy a tape ? 	here lies another crucial flaw in the story : doesn't anyone realize you can copy a tape ?	1	-3	 here[0] lies[-2] another[0] crucial[0] flaw[-1] in[0] the[0] story[0] doesn't[0] anyone[0] realize[0] you[0] can[0] copy[0] a[0] tape[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
oh well , no one ever said jackie chan movies had to make sense . 	oh well , no one ever said jackie chan movies had to make sense .	1	-1	 oh[0] well[0] no[0] one[0] ever[0] said[0] jackie[0] chan[0] movies[0] had[0] to[0] make[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as luck would have it , diana runs across jackie , and , wouldn't you know it , jackie accidentally ends up with the tape . 	as luck would have it , diana runs across jackie , and , wouldn't you know it , jackie accidentally ends up with the tape .	3	-2	 as[0] luck[2] would[0] have[0] it[0] diana[0] runs[0] across[0] jackie[0] and[0] wouldn't[0] you[0] know[0] it[0] jackie[0] accidentally[-1] ends[0] up[0] with[0] the[0] tape[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this leads to countless chase and/or fight scenes which look like they could have been lifted from rumble in the bronx or nearly any other jackie chan movie . 	this leads to countless chase and/or fight scenes which look like they could have been lifted from rumble in the bronx or nearly any other jackie chan movie .	2	-3	 this[0] leads[0] to[0] countless[0] chase[-1] and/or[0] fight[-2] scenes[0] which[0] look[0] like[1] they[0] could[0] have[0] been[0] lifted[0] from[0] rumble[0] in[0] the[0] bronx[0] or[0] nearly[0] any[0] other[0] jackie[0] chan[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in a move apparently designed to woo american ( and other english-speaking ) audiences , the film uses english as its primary language . 	in a move apparently designed to woo american ( and other english-speaking ) audiences , the film uses english as its primary language .	1	-1	 in[0] a[0] move[0] apparently[0] designed[0] to[0] woo[0] american[0] and[0] other[0] english[0] speaking[0] audiences[0] the[0] film[0] uses[0] english[0] as[0] its[0] primary[0] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
