capsule : godawful " comedy " that's amazingly shabby and cut-rate , and rather bereft of laughs . 	Translation	Positive	Negative	EmotionRationale
i was having a bad week in my life when i saw austin powers : international man of mystery . 	i was having a bad week in my life when i saw austin powers : international man of mystery .	1	-2	 i[0] was[0] having[0] a[0] bad[-1] week[0] in[0] my[0] life[0] when[0] i[0] saw[0] austin[0] powers[0] international[0] man[0] of[0] mystery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i desperately needed something to cheer me up , or at least distract me so i could get a clear head . 	i desperately needed something to cheer me up , or at least distract me so i could get a clear head .	2	-3	 i[0] desperately[-2] needed[0] something[0] to[0] cheer[1] me[0] up[0] or[0] at[0] least[0] distract[-1] me[0] so[0] i[0] could[0] get[0] a[0] clear[0] head[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
get some perspective . 	get some perspective .	1	-1	 get[0] some[0] perspective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even dumb movies can do that for me , sometimes . 	even dumb movies can do that for me , sometimes .	1	-2	 even[0] dumb[-1] movies[0] can[0] do[0] that[0] for[0] me[0] sometimes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i tried hard not to let my dejection affect my judgment , but i am certain now that austin powers would have also sucked rocks through bamboo shoots on the day i won the lottery . 	i tried hard not to let my dejection affect my judgment , but i am certain now that austin powers would have also sucked rocks through bamboo shoots on the day i won the lottery .	1	-2	 i[0] tried[0] hard[0] not[0] to[0] let[0] my[0] dejection[0] affect[0] my[0] judgment[0] but[0] i[0] am[0] certain[0] now[0] that[0] austin[0] powers[0] would[0] have[0] also[0] sucked[-1] rocks[0] through[0] bamboo[0] shoots[-1] on[0] the[0] day[0] i[0] won[0] the[0] lottery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
michael myers has taken a character that would barely have supported a five-minute sketch on saturday night live and stretched it to the length of a feature film , padding it out with toilet jokes and the sort of props-strategically-positioned-between-naked-actors-and-camera gags that benny hill got tired of fifteen years ago . 	michael myers has taken a character that would barely have supported a five-minute sketch on saturday night live and stretched it to the length of a feature film , padding it out with toilet jokes and the sort of props-strategically-positioned-between-naked-actors-and-camera gags that benny hill got tired of fifteen years ago .	2	-2	 michael[0] myers[0] has[0] taken[0] a[0] character[0] that[0] would[0] barely[0] have[0] supported[1] a[0] five[0] minute[0] sketch[0] on[0] saturday[0] night[0] live[0] and[0] stretched[0] it[0] to[0] the[0] length[0] of[0] a[0] feature[0] film[0] padding[0] it[0] out[0] with[0] toilet[0] jokes[1] and[0] the[0] sort[0] of[0] props[0] strategically[0] positioned[0] between[0] naked[0] actors[0] and[0] camera[0] gags[0] that[0] benny[0] hill[0] got[0] tired[-1] of[0] fifteen[0] years[0] ago[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot , what little there is of it : back in the swinging mod hep sixties ( i don't think i'm doing a disservice to the movie's attempted early look and feel by describing it that way ) , sexy british secret agent austin powers tangled with his nemesis dr . evil . 	the plot , what little there is of it : back in the swinging mod hep sixties ( i don't think i'm doing a disservice to the movie's attempted early look and feel by describing it that way ) , sexy british secret agent austin powers tangled with his nemesis dr .<br> evil .	3	-3	 the[0] plot[0] what[0] little[0] there[0] is[0] of[0] it[0] back[0] in[0] the[0] swinging[0] mod[0] hep[0] sixties[0] i[0] don't[0] think[0] i'm[0] doing[0] a[0] disservice[0] to[0] the[0] movie's[0] attempted[0] early[0] look[0] and[0] feel[0] by[0] describing[0] it[0] that[0] way[0] sexy[2] british[0] secret[0] agent[0] austin[0] powers[0] tangled[0] with[0] his[0] nemesis[0] dr[0] [[Sentence=-1,3=word max, 1-5]] evil[-2] [[Sentence=-3,1=word max, 1-5]][[[3,-3 max of sentences]]]
evil launched himself into orbit and cryogenically forze himself to return decades later , when powers was out of the picture . 	evil launched himself into orbit and cryogenically forze himself to return decades later , when powers was out of the picture .	1	-3	 evil[-2] launched[0] himself[0] into[0] orbit[0] and[0] cryogenically[0] forze[0] himself[0] to[0] return[0] decades[0] later[0] when[0] powers[0] was[0] out[0] of[0] the[0] picture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
powers also had himself frozen , and he wakes up to find the nineties a very hard time to deal with . 	powers also had himself frozen , and he wakes up to find the nineties a very hard time to deal with .	1	-1	 powers[0] also[0] had[0] himself[0] frozen[0] and[0] he[0] wakes[0] up[0] to[0] find[0] the[0] nineties[0] a[0] very[0] hard[0] time[0] to[0] deal[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the basic gag , that of powers' total inability to cope with the nineties , is not so much exhausted during the course of the movie as never even really dealt with . 	the basic gag , that of powers' total inability to cope with the nineties , is not so much exhausted during the course of the movie as never even really dealt with .	1	-3	 the[0] basic[0] gag[0] that[0] of[0] powers'[0] total[0] inability[-1][-1 LastWordBoosterStrength] to[0] cope[0] with[0] the[0] nineties[0] is[0] not[0] so[0] much[0] exhausted[-1] during[0] the[0] course[0] of[0] the[0] movie[0] as[0] never[0] even[0] really[0] dealt[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bulk of the movie is taken up with dumb jokes of several basic rubrics : james bond gags ( of which this movie has no end , right down to the silly character names ) , inept slapstick , toilet humor , and strategically placed props . . . 	the bulk of the movie is taken up with dumb jokes of several basic rubrics : james bond gags ( of which this movie has no end , right down to the silly character names ) , inept slapstick , toilet humor , and strategically placed props .<br> .<br> .	3	-2	 the[0] bulk[0] of[0] the[0] movie[0] is[0] taken[0] up[0] with[0] dumb[-1] jokes[1] of[0] several[0] basic[0] rubrics[0] james[0] bond[0] gags[0] of[0] which[0] this[0] movie[0] has[0] no[0] end[0] right[0] down[0] to[0] the[0] silly[-1] character[0] names[0] inept[0] slapstick[-1] toilet[0] humor[2] and[0] strategically[0] placed[0] props[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie's amazingly bereft of ideas , come to think of it , with a couple of bright exceptions . 	the movie's amazingly bereft of ideas , come to think of it , with a couple of bright exceptions .	3	-2	 the[0] movie's[0] amazingly[2] bereft[-1] of[0] ideas[0] come[0] to[0] think[0] of[0] it[0] with[0] a[0] couple[0] of[0] bright[0] exceptions[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
one is dr . evil's son -- there is a sidesplitting scene where father and son go to an encounter group , chaired by carrie fisher -- and the other is a throwaway gag where austin mimics various forms of transportation from behind a couch ( it's a visual gag -- hard to describe , and hard to recommend seeing the movie for ) . 	one is dr .<br> evil's son - there is a sidesplitting scene where father and son go to an encounter group , chaired by carrie fisher - and the other is a throwaway gag where austin mimics various forms of transportation from behind a couch ( it's a visual gag - hard to describe , and hard to recommend seeing the movie for ) .	1	-3	 one[0] is[0] dr[0] [[Sentence=-1,1=word max, 1-5]] evil's[-2] son[0] there[0] is[0] a[0] sidesplitting[0] scene[0] where[0] father[0] and[0] son[0] go[0] to[0] an[0] encounter[0] group[0] chaired[0] by[0] carrie[0] fisher[0] and[0] the[0] other[0] is[0] a[0] throwaway[0] gag[0] where[0] austin[0] mimics[0] various[0] forms[0] of[0] transportation[0] from[0] behind[0] a[0] couch[0] it's[0] a[0] visual[0] gag[0] hard[0] to[0] describe[0] and[0] hard[0] to[0] recommend[0] seeing[0] the[0] movie[0] for[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a lot of sixties kitsch has been resurrected and thrown on the screen for this movie , but it's desperate rather than clever . 	a lot of sixties kitsch has been resurrected and thrown on the screen for this movie , but it's desperate rather than clever .	1	-3	 a[0] lot[0] of[0] sixties[0] kitsch[0] has[0] been[0] resurrected[0] and[0] thrown[0] on[0] the[0] screen[0] for[0] this[0] movie[0] but[0] it's[0] desperate[-2] rather[0] than[0] clever[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead of skewering the whole thing , it's a rather bloodless and unfunny tribute . 	instead of skewering the whole thing , it's a rather bloodless and unfunny tribute .	1	-1	 instead[0] of[0] skewering[0] the[0] whole[0] thing[0] it's[0] a[0] rather[0] bloodless[0] and[0] unfunny[0] tribute[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
myers himself is also desperate : he's given an idea to play , not a character . 	myers himself is also desperate : he's given an idea to play , not a character .	1	-3	 myers[0] himself[0] is[0] also[0] desperate[-2] he's[0] given[0] an[0] idea[0] to[0] play[0] not[0] a[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
plus , the attempts to make the character work by giving him a relationship with another sexy ( albeit " nineties " ) agent are a waste of time . 	plus , the attempts to make the character work by giving him a relationship with another sexy ( albeit " nineties " ) agent are a waste of time .	3	-2	 plus[0] the[0] attempts[0] to[0] make[0] the[0] character[0] work[0] by[0] giving[0] him[0] a[0] relationship[0] with[0] another[0] sexy[2] albeit[0] nineties[0] agent[0] are[0] a[0] waste[-1] of[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i wanted to have the movie end with him trying yet again to get it on with her , only to have her deck him one . 	i wanted to have the movie end with him trying yet again to get it on with her , only to have her deck him one .	1	-1	 i[0] wanted[0] to[0] have[0] the[0] movie[0] end[0] with[0] him[0] trying[0] yet[0] again[0] to[0] get[0] it[0] on[0] with[0] her[0] only[0] to[0] have[0] her[0] deck[0] him[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a couple of exceptions , the movie misses all of its own best moments . 	with a couple of exceptions , the movie misses all of its own best moments .	2	-3	 with[0] a[0] couple[0] of[0] exceptions[0] the[0] movie[0] misses[-2] all[0] of[0] its[0] own[0] best[1] moments[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie even looks cheesy , and not in a good way : i kept wondering if it had been transferred down from hi-def video or something , so grainy was the film stock in a good many scenes . 	the movie even looks cheesy , and not in a good way : i kept wondering if it had been transferred down from hi-def video or something , so grainy was the film stock in a good many scenes .	2	-1	 the[0] movie[0] even[0] looks[0] cheesy[0] and[0] not[0] in[0] a[0] good[1] way[0] i[0] kept[0] wondering[0] if[0] it[0] had[0] been[0] transferred[0] down[0] from[0] hi[0] def[0] video[0] or[0] something[0] so[0] grainy[0] was[0] the[0] film[0] stock[0] in[0] a[0] good[1] many[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the whole thing has the air of being done on the cheap . 	the whole thing has the air of being done on the cheap .	1	-2	 the[0] whole[0] thing[0] has[0] the[0] air[0] of[0] being[0] done[0] on[0] the[0] cheap[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my definition of comedy is simply : did it make me laugh ? 	my definition of comedy is simply : did it make me laugh ?	2	-1	 my[0] definition[0] of[0] comedy[0] is[0] simply[0] did[0] it[0] make[0] me[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the few times that i laughed in austin powers were completely offset by the time i spent cringing and wanting out . 	the few times that i laughed in austin powers were completely offset by the time i spent cringing and wanting out .	2	-1	 the[0] few[0] times[0] that[0] i[0] laughed[1] in[0] austin[0] powers[0] were[0] completely[0] offset[0] by[0] the[0] time[0] i[0] spent[0] cringing[0] and[0] wanting[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the most damning thing i could say about the movie is that wayne and garth would most likely have shoved it into mike tyson's shorts and sent it sailing . 	the most damning thing i could say about the movie is that wayne and garth would most likely have shoved it into mike tyson's shorts and sent it sailing .	1	-2	 the[0] most[0] damning[-1] thing[0] i[0] could[0] say[0] about[0] the[0] movie[0] is[0] that[0] wayne[0] and[0] garth[0] would[0] most[0] likely[0] have[0] shoved[0] it[0] into[0] mike[0] tyson's[0] shorts[0] and[0] sent[0] it[0] sailing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
