if you're going to make a two-hour hollywood in-joke , why bother releasing it to the general public ? 	Translation	Positive	Negative	EmotionRationale
if you're going to create a film that will appeal primarily to big-name actors and people who know woody allen , then why waste the time of the rest of us peons by playing it in theaters ? 	if you're going to create a film that will appeal primarily to big-name actors and people who know woody allen , then why waste the time of the rest of us peons by playing it in theaters ?	2	-2	 if[0] you're[0] going[0] to[0] create[0] a[0] film[0] that[0] will[0] appeal[0] primarily[0] to[0] big[0] name[0] actors[0] and[0] people[0] who[0] know[0] woody[0] allen[0] then[0] why[0] waste[-1] the[0] time[0] of[0] the[0] rest[0] of[0] us[0] peons[0] by[0] playing[1] it[0] in[0] theaters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
while watching celebrity , i realized that allen had only marginal interest in creating a story about real people . 	while watching celebrity , i realized that allen had only marginal interest in creating a story about real people .	2	-2	 while[0] watching[0] celebrity[0] i[0] realized[0] that[0] allen[0] had[0] only[0] marginal[-1] interest[1] in[0] creating[0] a[0] story[0] about[0] real[0] people[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what he really wanted to do was continue on his recent kick of conceited self-deprecation . 	what he really wanted to do was continue on his recent kick of conceited self-deprecation .	1	-2	 what[0] he[0] really[0] wanted[0] to[0] do[0] was[0] continue[0] on[0] his[0] recent[0] kick[-1] of[0] conceited[-1] self[0] deprecation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
celebrity is yet another film in which allen tells a story about himself , living in a world that he's familiar with , dealing with people like the ones he actually knows . 	celebrity is yet another film in which allen tells a story about himself , living in a world that he's familiar with , dealing with people like the ones he actually knows .	2	-1	 celebrity[0] is[0] yet[0] another[0] film[0] in[0] which[0] allen[0] tells[0] a[0] story[0] about[0] himself[0] living[0] in[0] a[0] world[0] that[0] he's[0] familiar[0] with[0] dealing[0] with[0] people[0] like[1] the[0] ones[0] he[0] actually[0] knows[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
allen recruited poor kenneth branagh to bumble through this picture , in an imitation of allen so perfect that it almost made me like the film more . 	allen recruited poor kenneth branagh to bumble through this picture , in an imitation of allen so perfect that it almost made me like the film more .	2	-2	 allen[0] recruited[0] poor[-1] kenneth[0] branagh[0] to[0] bumble[0] through[0] this[0] picture[0] in[0] an[0] imitation[0] of[0] allen[0] so[0] perfect[1] that[0] it[0] almost[0] made[0] me[0] like[1] the[0] film[0] more[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
branagh plays lee simon , a journalist-turned-screenwriter who divorces his wife , robin ( judy davis ) , shacks up with some hot women ( famke janssen , charlize theron , winona ryder ) , and goes about trying to get big stars ( melanie griffith , leonardo dicaprio ) to read his script about an armored car robbery . 	branagh plays lee simon , a journalist-turned-screenwriter who divorces his wife , robin ( judy davis ) , shacks up with some hot women ( famke janssen , charlize theron , winona ryder ) , and goes about trying to get big stars ( melanie griffith , leonardo dicaprio ) to read his script about an armored car robbery .	2	-2	 branagh[0] plays[1] lee[0] simon[0] a[0] journalist[0] turned[0] screenwriter[0] who[0] divorces[-1] his[0] wife[0] robin[0] judy[0] davis[0] shacks[0] up[0] with[0] some[0] hot[0] women[0] famke[0] janssen[0] charlize[0] theron[0] winona[0] ryder[0] and[0] goes[0] about[0] trying[0] to[0] get[0] big[0] stars[0] melanie[0] griffith[0] leonardo[0] dicaprio[0] to[0] read[0] his[0] script[0] about[0] an[0] armored[0] car[0] robbery[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the usual elements of recent allen films are all here , including the sexual insecurity of the main character , lots of self-loathing women , and a tiring continuum of episodes that are only loosely related to one another . 	the usual elements of recent allen films are all here , including the sexual insecurity of the main character , lots of self-loathing women , and a tiring continum of episodes that are only loosely related to one another .	1	-2	 the[0] usual[0] elements[0] of[0] recent[0] allen[0] films[0] are[0] all[0] here[0] including[0] the[0] sexual[0] insecurity[-1] of[0] the[0] main[0] character[0] lots[0] of[0] self[0] loathing[0] women[0] and[0] a[0] tiring[0] continuum/continum[0] of[0] episodes[0] that[0] are[0] only[0] loosely[0] related[0] to[0] one[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unless you work in the film industry or know woody allen personally , it's not likely that you'll find a whole lot of interest in celebrity . 	unless you work in the film industry or know woody allen personally , it's not likely that you'll find a whole lot of interest in celebrity .	2	-1	 unless[0] you[0] work[0] in[0] the[0] film[0] industry[0] or[0] know[0] woody[0] allen[0] personally[0] it's[0] not[0] likely[0] that[0] you'll[0] find[0] a[0] whole[0] lot[0] of[0] interest[1] in[0] celebrity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
aside from all the in-jokes , the story falls far short of compelling , and the characters are all empty and lifeless . 	aside from all the in-jokes , the story falls far short of compelling , and the characters are all empty and lifeless .	2	-2	 aside[0] from[0] all[0] the[0] in[0] jokes[1] the[0] story[0] falls[0] far[0] short[0] of[0] compelling[0] and[0] the[0] characters[0] are[0] all[0] empty[0] and[0] lifeless[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
branagh proves once again that he's a superb performer , nailing his imitation of allen flawlessly . 	branagh proves once again that he's a superb performer , nailing his imitation of allen flawlessly .	2	-1	 branagh[0] proves[0] once[0] again[0] that[0] he's[0] a[0] superb[0] performer[0] nailing[0] his[0] imitation[0] of[0] allen[0] flawlessly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
