hav plenty , as we are told in the beginning and reminded during the film , is a true story . 	Translation	Positive	Negative	EmotionRationale
life itself is a series of true stories , but most are not movie material . 	life itself is a series of true stories , but most are not movie material .	2	-1	 life[0] itself[0] is[0] a[0] series[0] of[0] true[1] stories[0] but[0] most[0] are[0] not[0] movie[0] material[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as scripted , directed , and acted by cinematic newcomer christopher scott cherot , hav plenty limps along at best . 	as scripted , directed , and acted by cinematic newcomer christopher scot cherot , hav plenty limps along at best .	2	-1	 as[0] scripted[0] directed[0] and[0] acted[0] by[0] cinematic[0] newcomer[0] christopher[0] scott/scot[0] cherot[0] hav[0] plenty[0] limps[0] along[0] at[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
its dialog is so stilted - " you know what they say , 'no women ; no cry . ' " 	its dialog is so stilted - " you know what they say , 'no women ; no cry .<br> ' "	1	-4	 its[0] dialog[0] is[0] so[0] stilted[0] you[0] know[0] what[0] they[0] say[0] 'no[0] women[0] no[0] cry[-3] [[Sentence=-4,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
- that the actors are content to read the screenplay rather than invest much energy in trying to act it . 	- that the actors are content to read the screenplay rather than invest much energy in trying to act it .	1	-1	 that[0] the[0] actors[0] are[0] content[0] to[0] read[0] the[0] screenplay[0] rather[0] than[0] invest[0] much[0] energy[0] in[0] trying[0] to[0] act[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the story , lee plenty ( cherot ) is a 28-year-old author and teaching assistant . 	in the story , lee plenty ( cherot ) is a 28-year-old author and teaching assistant .	1	-1	 in[0] the[0] story[0] lee[0] plenty[0] cherot[0] is[0] a[0] 28[0] year[0] old[0] author[0] and[0] teaching[0] assistant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie , which happens mainly over the new year's holiday , consists of a series of incidents in which various single and married women try to kiss lee or take him to bed . 	the movie , which happens mainly over the new year's holiday , consists of a series of incidents in which various single and married women try to kiss lee or take him to bed .	3	-1	 the[0] movie[0] which[0] happens[0] mainly[0] over[0] the[0] new[0] year's[0] holiday[0] consists[0] of[0] a[0] series[0] of[0] incidents[0] in[0] which[0] various[0] single[0] and[0] married[0] women[0] try[0] to[0] kiss[2] lee[0] or[0] take[0] him[0] to[0] bed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
since he consistently refuses , caroline gooden ( tammi katherine jones ) figures that he must be gay . 	since he consistently refuses , caroline gooden ( tammi katherine jones ) figures that he must be gay .	1	-2	 since[0] he[0] consistently[0] refuses[-1] caroline[0] gooden[0] tammi[0] katherine[0] jones[0] figures[0] that[0] he[0] must[0] be[0] gay[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eventually he and havilland " hav " savage ( chenoa maxwell ) get together , proving that he wasn't gay after all , just picky . 	eventually he and havilland " hav " savage ( chenoa maxwell ) get together , proving that he wasn't gay after all , just picky .	1	-3	 eventually[0] he[0] and[0] havilland[0] hav[0] savage[-2] chenoa[0] maxwell[0] get[0] together[0] proving[0] that[0] he[0] wasn't[0] gay[-1] after[0] all[0] just[0] picky[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sexy women can sit on his lap and ask him to go to bed with them , but he will not even kiss them . 	sexy women can sit on his lap and ask him to go to bed with them , but he will not even kiss them .	3	-3	 sexy[2] women[0] can[0] sit[0] on[0] his[0] lap[0] and[0] ask[0] him[0] to[0] go[0] to[0] bed[0] with[0] them[0] but[0] he[0] will[0] not[0] even[0] kiss[2][NegatedDueToPreviousWord] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he's a man who knows his mind , which he frequently shares directly with the audience in a series of trite and overly cute monologues . 	he's a man who knows his mind , which he frequently shares directly with the audience in a series of trite and overly cute monologues .	2	-3	 he's[0] a[0] man[0] who[0] knows[0] his[0] mind[0] which[0] he[0] frequently[0] shares[0] directly[0] with[0] the[0] audience[0] in[0] a[0] series[0] of[0] trite[-2] and[0] overly[0] cute[1] monologues[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
