sometimes a stellar cast can compensate for a lot of things , and " pushing tin " certainly features some name stars who are going places : billy bob thornton , cate blanchett , angelina jolie , and oh yes john cusack who might not realize it at first , but he's actually the * veteran * among this quartet of fine-looking people . 	Translation	Positive	Negative	EmotionRationale
sometimes a terrific cast like this can compensate for a lackluster screen treatment of an idea that has " hip comedy " written all over it , compensate for workmanlike but uninspired direction , compensate for an obnoxious score that would have anyone but the tone deaf screaming for the exits , compensate for clich ? d characterizations , compensate for embarrassing " you have to be joking " situations . 	sometimes a terrific cast like this can compensate for a lackluster screen treatment of an idea that has " hip comedy " written all over it , compensate for workmanlike but uninspired direction , compensate for an obnoxious score that would have anyone but the tone deaf screaming for the exits , compensate for clich ?<br> d characterizations , compensate for embarrassing " you have to be joking " situations .	4	-4	 sometimes[0] a[0] terrific[3] cast[0] like[1] this[0] can[0] compensate[0] for[0] a[0] lackluster[0] screen[0] treatment[0] of[0] an[0] idea[0] that[0] has[0] hip[0] comedy[0] written[0] all[0] over[0] it[0] compensate[0] for[0] workmanlike[0] but[0] uninspired[0] direction[0] compensate[0] for[0] an[0] obnoxious[-2] score[0] that[0] would[0] have[0] anyone[0] but[0] the[0] tone[0] deaf[-1] screaming[-3] for[0] the[0] exits[0] compensate[0] for[0] clich[0] [[Sentence=-4,4=word max, 1-5]] d[0] characterizations[0] compensate[0] for[0] embarrassing[-2] you[0] have[0] to[0] be[0] joking[2] situations[0] [[Sentence=-3,3=word max, 1-5]][[[4,-4 max of sentences]]]
etc . 	etc .	1	-1	 etc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in " pushing tin , " thornton , blanchett , jolie , and cusack don't have an earthly . 	in " pushing tin , " thornton , blanchett , jolie , and cusack don't have an earthly .	1	-1	 in[0] pushing[0] tin[0] thornton[0] blanchett[0] jolie[0] and[0] cusack[0] don't[0] have[0] an[0] earthly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the opening sequence the film is in big trouble : squiggly , " quirky " credits , fake-looking passenger planes circling new york , and anne dudley's in-your-ear music making us wonder how she ever got that best original score nomination for " the full monty , " let alone won it . 	from the opening sequence the film is in big trouble : squiggly , " quirky " credits , fake-looking passenger planes circling new york , and anne dudley's in-your-ear music making us wonder how she ever got that best original score nomination for " the full monty , " let alone won it .	2	-2	 from[0] the[0] opening[0] sequence[0] the[0] film[0] is[0] in[0] big[0] trouble[-1] squiggly[0] quirky[0] credits[0] fake[-1] looking[0] passenger[0] planes[0] circling[0] new[0] york[0] and[0] anne[0] dudley's[0] in[0] your[0] ear[0] music[0] making[0] us[0] wonder[0] how[0] she[0] ever[0] got[0] that[0] best[1] original[0] score[0] nomination[0] for[0] the[0] full[0] monty[0] let[0] alone[0] won[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but i , for one , wasn't ready to walk just yet . 	but i , for one , wasn't ready to walk just yet .	1	-1	 but[0] i[0] for[0] one[0] wasn't[0] ready[0] to[0] walk[0] just[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so quickly we descend into a tightly-edited air traffic controllers montage which screams to us in large capital letters these people have a difficult job , yes , what with their frantic , mile-a-minute instructional personas , juggling planes and passenger's lives like some huge , real , mid-air video game . 	so quickly we descend into a tightly-edited air traffic controllers montage which screams to us in large capital letters these people have a difficult job , yes , what with their frantic , mile-a-minute instructional personas , juggling planes and passenger's lives like some huge , real , mid-air video game .	2	-4	 so[0] quickly[0] we[0] descend[0] into[0] a[0] tightly[0] edited[0] air[0] traffic[0] controllers[0] montage[0] which[0] screams[-3] to[0] us[0] in[0] large[0] capital[0] letters[0] these[0] people[0] have[0] a[0] difficult[-1] job[0] yes[0] what[0] with[0] their[0] frantic[-1] mile[0] a[0] minute[0] instructional[0] personas[0] juggling[0] planes[0] and[0] passenger's[0] lives[0] like[1] some[0] huge[0] real[0] mid[0] air[0] video[0] game[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hip , cool , demonic auctioneer nick " the zone " falzone ( cusack ) is the best in the biz . 	hip , cool , demonic auctioneer nick " the zone " falzone ( cusack ) is the best in the biz .	2	-1	 hip[0] cool[1] demonic[0] auctioneer[0] nick[0] the[0] zone[0] falzone[0] cusack[0] is[0] the[0] best[1] in[0] the[0] biz[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course . 	of course .	1	-1	 of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
until some hipper , cooler , leather-clad flyboy assist in the guise of russell bell ( thornton ) shows up to challenge falzone's finite air space . 	until some hipper , cooler , leather-clad flyboy assist in the guise of russell bell ( thornton ) shows up to challenge falzone's finite air space .	1	-2	 until[0] some[0] hipper[0] cooler[0] leather[0] clad[0] flyboy[0] assist[0] in[0] the[0] guise[-1] of[0] russell[0] bell[0] thornton[0] shows[0] up[0] to[0] challenge[-1] falzone's[0] finite[0] air[0] space[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
boys will be boys and some heavy duty testosterone starts exuding , then the macho one-upmanship begins . 	boys will be boys and some heavy duty testosterone starts exuding , then the macho one-upmanship begins .	1	-2	 boys[0] will[0] be[0] boys[0] and[0] some[0] heavy[0] duty[-1] testosterone[0] starts[0] exuding[0] then[0] the[0] macho[0] one[0] upmanship[0] begins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
