david spade has a snide , sarcastic sense of humor that works perfectly on the tv sitcom just shoot me . 	Translation	Positive	Negative	EmotionRationale
it also served as a good showcase for him when he co-starred , opposite the late chris farley , in tommy boy and black sheep . 	it also served as a good showcase for him when he co-starred , opposite the late chris farley , in tommy boy and black sheep .	2	-1	 it[0] also[0] served[0] as[0] a[0] good[1] showcase[0] for[0] him[0] when[0] he[0] co[0] starred[0] opposite[0] the[0] late[0] chris[0] farley[0] in[0] tommy[0] boy[0] and[0] black[0] sheep[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
lost and found marks the comedian's first attempt at going solo in a movie , and it also reveals that when spade doesn't have a reliable back-up system , his brand of humor seems more desperate than one may expect . 	lost and found marks the comedian's first attempt at going solo in a movie , and it also reveals that when spade doesn't have a reliable back-up system , his brand of humor seems more desperate than one may expect .	3	-3	 lost[0] and[0] found[0] marks[0] the[0] comedian's[0] first[0] attempt[0] at[0] going[0] solo[0] in[0] a[0] movie[0] and[0] it[0] also[0] reveals[0] that[0] when[0] spade[0] doesn't[0] have[0] a[0] reliable[0] back[0] up[0] system[0] his[0] brand[0] of[0] humor[2] seems[0] more[0] desperate[-2] than[0] one[0] may[0] expect[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
david spade is not the problem with lost and found . 	david spade is not the problem with lost and found .	2	-1	 david[0] spade[0] is[0] not[0] the[0] problem[-1][NegatedDueToPreviousWord] with[0] lost[0] and[0] found[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he plays dylan ramsey , the sweet main character , to the best of his abilities . 	he plays dylan ramsey , the sweet main character , to the best of his abilities .	2	-1	 he[0] plays[1] dylan[0] ramsey[0] the[0] sweet[1] main[0] character[0] to[0] the[0] best[1] of[0] his[0] abilities[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story revolves around dylan's obsessions with his beautiful new neighbour , lila dubois ( sophie marceau , from braveheart ) , and her terrier named jack . 	the story revolves around dylan's obsessions with his beautiful new neighbour , lila dubois ( sophie marceau , from braveheart ) , and her terrier named jack .	3	-3	 the[0] story[0] revolves[0] around[0] dylan's[0] obsessions[-2] with[0] his[0] beautiful[2] new[0] neighbour[0] lila[0] dubois[0] sophie[0] marceau[0] from[0] braveheart[2] and[0] her[0] terrier[0] named[0] jack[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
dylan believes that the best way to a woman's heart is through her dog . 	dylan believes that the best way to a woman's heart is through her dog .	2	-1	 dylan[0] believes[0] that[0] the[0] best[1] way[0] to[0] a[0] woman's[0] heart[0] is[0] through[0] her[0] dog[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and so he kidnaps jack , planning to stage a fake rescue , in hope to win lila over . 	and so he kidnaps jack , planning to stage a fake rescue , in hope to win lila over .	3	-2	 and[0] so[0] he[0] kidnaps[0] jack[0] planning[0] to[0] stage[0] a[0] fake[-1] rescue[0] in[0] hope[2] to[0] win[0] lila[0] over[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are three good things about lost and found . 	there are three good things about lost and found .	2	-1	 there[0] are[0] three[0] good[1] things[0] about[0] lost[0] and[0] found[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first is spade . 	the first is spade .	1	-1	 the[0] first[0] is[0] spade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second is sophie marceau , a lovely actress who's been planted into the wrong movie . 	the second is sophie marceau , a lovely actress who's been planted into the wrong movie .	2	-2	 the[0] second[0] is[0] sophie[0] marceau[0] a[0] lovely[1] actress[0] who's[0] been[0] planted[0] into[0] the[0] wrong[-1] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lastly , there's the dog , who is used here in a similar context to puffy from there's something about mary . 	lastly , there's the dog , who is used here in a similar context to puffy from there's something about mary .	1	-1	 lastly[0] there's[0] the[0] dog[0] who[0] is[0] used[0] here[0] in[0] a[0] similar[0] context[0] to[0] puffy[0] from[0] there's[0] something[0] about[0] mary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , director jeff pollack finds more humor in putting jack through a cycle in the drier than he does with simply making him look cute . 	unfortunately , director jeff pollack finds more humor in putting jack through a cycle in the drier than he does with simply making him look cute .	3	-2	 unfortunately[-1] director[0] jeff[0] pollack[0] finds[0] more[0] humor[2] in[0] putting[0] jack[0] through[0] a[0] cycle[0] in[0] the[0] drier[0] than[0] he[0] does[0] with[0] simply[0] making[0] him[0] look[0] cute[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
this kind of physical humor is dead . 	this kind of physical humor is dead .	3	-3	 this[0] kind[1] of[0] physical[0] humor[2] is[0] dead[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
pollack does everything but beat the poor pooch with a baseball bat to get laughs , and this procedure is cheap , unfunny and resoundingly cruel . 	pollack does everything but beat the poor pooch with a baseball bat to get laughs , and this procedure is cheap , unfunny and resoundingly cruel .	2	-4	 pollack[0] does[0] everything[0] but[0] beat[0] the[0] poor[-1] pooch[0] with[0] a[0] baseball[0] bat[0] to[0] get[0] laughs[1] and[0] this[0] procedure[0] is[0] cheap[-1] unfunny[0] and[0] resoundingly[0] cruel[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is where i start to get fuzzy . 	this is where i start to get fuzy .	1	-1	 this[0] is[0] where[0] i[0] start[0] to[0] get[0] fuzzy/fuzy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also in this unusual blend is ( apparently ) a sweet-natured love story between dylan and lila . 	also in this unusual blend is ( apparently ) a sweet-natured love story between dylan and lila .	3	-1	 also[0] in[0] this[0] unusual[0] blend[0] is[0] apparently[0] a[0] sweet[1] natured[0] love[2] story[0] between[0] dylan[0] and[0] lila[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
