sometimes i wonder just what the censors are thinking . 	Translation	Positive	Negative	EmotionRationale
take this film , " naked killer " , among it's ingredients are heavy doses of violence , rape sequences , straight and lesbian sex scenes and what our system calls " coarse language " . 	take this film , " naked killer " , among it's ingredients are heavy doses of violence , rape sequences , straight and lesbian sex scenes and what our system calls " coarse language " .	1	-5	 take[0] this[0] film[0] naked[0] killer[-1] among[0] it's[0] ingredients[0] are[0] heavy[0] doses[0] of[0] violence[-3] rape[-3][-1 MultiplePositiveWords] sequences[0] straight[0] and[0] lesbian[0] sex[0] scenes[0] and[0] what[0] our[0] system[0] calls[0] coarse[-1] language[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
but what do those intelligent people at the censorship bureau choose to remove in case someone will get offended ? 	but what do those intelligent people at the censorship bureau choose to remove in case someone will get offended ?	2	-3	 but[0] what[0] do[0] those[0] intelligent[1] people[0] at[0] the[0] censorship[-1] bureau[0] choose[0] to[0] remove[0] in[0] case[0] someone[0] will[0] get[0] offended[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one word - penis . 	one word - penis .	1	-1	 one[0] word[0] penis[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's it . 	that's it .	1	-1	 that's[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in spite of everything else in the movie the one thing that the censors decide is too much is " penis . " . 	in spite of everything else in the movie the one thing that the censors decide is too much is " penis .<br> " .	1	-4	 in[0] spite[-3] of[0] everything[0] else[0] in[0] the[0] movie[0] the[0] one[0] thing[0] that[0] the[0] censors[-1] decide[0] is[0] too[0] much[0] is[0] penis[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it really restores you're faith in the system , huh ? 	it really restores you're faith in the system , huh ?	2	-1	 it[0] really[0] restores[0] you're[0] faith[1] in[0] the[0] system[0] huh[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anyway , that's just a side point . 	anyway , that's just a side point .	1	-1	 anyway[0] that's[0] just[0] a[0] side[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when naked killer was released in the local independent cinemas around melbourne , it was advertised ad nausuem as a hip , cool , controversial thriller . 	when naked killer was released in the local independent cinemas around melbourne , it was advertised ad nausuem as a hip , cool , controversial thriller .	2	-2	 when[0] naked[0] killer[-1] was[0] released[0] in[0] the[0] local[0] independent[0] cinemas[0] around[0] melbourne[0] it[0] was[0] advertised[0] ad[0] nausuem[0] as[0] a[0] hip[0] cool[1] controversial[-1] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what they forgot to mention was that it isn't very good . 	what they forgot to mention was that it isn't very good .	1	-3	 what[0] they[0] forgot[0] to[0] mention[0] was[0] that[0] it[0] isn't[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot involves male cop tinam ( simon yam ) , investigating a series of brutal murders . 	the plot involves male cop tinam ( simon yam ) , investigating a series of brutal murders .	1	-5	 the[0] plot[0] involves[0] male[0] cop[0] tinam[0] simon[0] yam[0] investigating[0] a[0] series[0] of[0] brutal[-2] murders[-3][-1 MultiplePositiveWords] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
while getting a haircut he meets and finds himself attracted to a girl named kitty ( chingmy yau ) , who , after extracting revenge on the man who killed her father , falls in with professional killer sister cindy ( svenwara madoka ) . 	while getting a haircut he meets and finds himself attracted to a girl named kitty ( chingmy yau ) , who , after extracting revenge on the man who killed her father , falls in with professional killer sister cindy ( svenwara madoka ) .	2	-4	 while[0] getting[0] a[0] haircut[0] he[0] meets[0] and[0] finds[0] himself[0] attracted[1] to[0] a[0] girl[0] named[0] kitty[0] chingmy[0] yau[0] who[0] after[0] extracting[0] revenge[-1] on[0] the[0] man[0] who[0] killed[-3] her[0] father[0] falls[0] in[0] with[0] professional[0] killer[-1] sister[0] cindy[0] svenwara[0] madoka[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
realising kitty has potential , cindy decides to train kitty in several unusual and ridiculous ways and gives her a new identity . 	realising kitty has potential , cindy decides to train kitty in several unusual and ridiculous ways and gives her a new identity .	1	-3	 realising[0] kitty[0] has[0] potential[0] cindy[0] decides[0] to[0] train[0] kitty[0] in[0] several[0] unusual[0] and[0] ridiculous[-2] ways[0] and[0] gives[0] her[0] a[0] new[0] identity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
