plot : two teen couples go to a church party , drink and then drive . 	Translation	Positive	Negative	EmotionRationale
they get into an accident . 	they get into an accident .	1	-2	 they[0] get[0] into[0] an[0] accident[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one of the guys dies , but his girlfriend continues to see him in her life , and has nightmares . 	one of the guys dies , but his girlfriend continues to see him in her life , and has nightmares .	1	-1	 one[0] of[0] the[0] guys[0] dies[0] but[0] his[0] girlfriend[0] continues[0] to[0] see[0] him[0] in[0] her[0] life[0] and[0] has[0] nightmares[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's the deal ? 	what's the deal ?	1	-1	 what's[0] the[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watch the movie and " sorta " find out . . . 	watch the movie and " sorta " find out .<br> .<br> .	1	-1	 watch[0] the[0] movie[0] and[0] sorta[0] find[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : a mind-fuck movie for the teen generation that touches on a very cool idea , but presents it in a very bad package . 	critique : a mind-fuck movie for the teen generation that touches on a very cool idea , but presents it in a very bad package .	3	-3	 critique[0] a[0] mind[0] fuck[-2] movie[0] for[0] the[0] teen[0] generation[0] that[0] touches[0] on[0] a[0] very[0] cool[1][1 LastWordBoosterStrength] idea[0] but[0] presents[0] it[0] in[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] package[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
which is what makes this review an even harder one to write , since i generally applaud films which attempt to break the mold , mess with your head and such ( lost highway & memento ) , but there are good and bad ways of making all types of films , and these folks just didn't snag this one correctly . 	which is what makes this review an even harder one to write , since i generally applaud films which attempt to break the mold , mess with your head and such ( lost highway & memento ) , but there are good and bad ways of making all types of films , and these folks just didn't snag this one correctly .	2	-2	 which[0] is[0] what[0] makes[0] this[0] review[0] an[0] even[0] harder[0] one[0] to[0] write[0] since[0] i[0] generally[0] applaud[1] films[0] which[0] attempt[0] to[0] break[0] the[0] mold[0] mess[0] with[0] your[0] head[0] and[0] such[0] lost[0] highway[0] &[0] memento[0] but[0] there[0] are[0] good[1] and[0] bad[-1] ways[0] of[0] making[0] all[0] types[0] of[0] films[0] and[0] these[0] folks[0] just[0] didn't[0] snag[0] this[0] one[0] correctly[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they seem to have taken this pretty neat concept , but executed it terribly . 	they seem to have taken this pretty neat concept , but executed it terribly .	3	-4	 they[0] seem[0] to[0] have[0] taken[0] this[0] pretty[2] neat[0] concept[0] but[0] executed[-1] it[0] terribly[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
so what are the problems with the movie ? 	so what are the problems with the movie ?	1	-2	 so[0] what[0] are[0] the[0] problems[-1] with[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , its main problem is that it's simply too jumbled . 	well , its main problem is that it's simply too jumbled .	1	-2	 well[0] its[0] main[0] problem[-1] is[0] that[0] it's[0] simply[0] too[0] jumbled[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it starts off " normal " but then downshifts into this " fantasy " world in which you , as an audience member , have no idea what's going on . 	it starts off " normal " but then downshifts into this " fantasy " world in which you , as an audience member , have no idea what's going on .	1	-1	 it[0] starts[0] off[0] normal[0] but[0] then[0] downshifts[0] into[0] this[0] fantasy[0] world[0] in[0] which[0] you[0] as[0] an[0] audience[0] member[0] have[0] no[0] idea[0] what's[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are dreams , there are characters coming back from the dead , there are others who look like the dead , there are strange apparitions , there are disappearances , there are a looooot of chase scenes , there are tons of weird things that happen , and most of it is simply not explained . 	there are dreams , there are characters coming back from the dead , there are others who look like the dead , there are strange apparitions , there are disappearances , there are a loot of chase scenes , there are tons of weird things that happen , and most of it is simply not explained .	2	-3	 there[0] are[0] dreams[0] there[0] are[0] characters[0] coming[0] back[0] from[0] the[0] dead[-2] there[0] are[0] others[0] who[0] look[0] like[1] the[0] dead[-2] there[0] are[0] strange[0] apparitions[0] there[0] are[0] disappearances[0] there[0] are[0] a[0] looooot/loot[0][+0.6 MultipleLetters] of[0] chase[-1] scenes[0] there[0] are[0] tons[0] of[0] weird[-1] things[0] that[0] happen[0] and[0] most[0] of[0] it[0] is[0] simply[0] not[0] explained[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
