 " there will be another , " the ads for this sequel proclaimed , and why not ? 	Translation	Positive	Negative	EmotionRationale
true , brandon lee is dead , but there would be no reason for him to appear in a followup to 1994's the crow , anyway . 	true , brandon lee is dead , but there would be no reason for him to appear in a followup to 1994's the crow , anyway .	2	-3	 true[1] brandon[0] lee[0] is[0] dead[-2] but[0] there[0] would[0] be[0] no[0] reason[0] for[0] him[0] to[0] appear[0] in[0] a[0] followup[0] to[0] 1994's[0] the[0] crow[0] anyway[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the idea of spinning artist james o'barr's original comic book series into a sequel franchise revolves around the notion that a different startled soul would come back from the dead in each movie , taking its own righteous vengeance against the world . 	the idea of spinning artist james o'barr's original comic book series into a sequel franchise revolves around the notion that a different startled soul would come back from the dead in each movie , taking its own righteous vengeance against the world .	1	-3	 the[0] idea[0] of[0] spinning[0] artist[0] james[0] o'barr's[0] original[0] comic[0] book[0] series[0] into[0] a[0] sequel[0] franchise[0] revolves[0] around[0] the[0] notion[0] that[0] a[0] different[0] startled[-1] soul[0] would[0] come[0] back[0] from[0] the[0] dead[-2] in[0] each[0] movie[0] taking[0] its[0] own[0] righteous[0] vengeance[-2] against[-1] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
given that basic framework , the story could move in any number of directions . 	given that basic framework , the story could move in any number of directions .	1	-1	 given[0] that[0] basic[0] framework[0] the[0] story[0] could[0] move[0] in[0] any[0] number[0] of[0] directions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , it doesn't . 	of course , it doesn't .	1	-1	 of[0] course[0] it[0] doesn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stubbornly , the crow : city of angels backtracks to the beginning of the previous film , when lee's eric draven found himself drawn back out of his grave to do a charles bronson on the thugs who tortured him and his girlfriend to death . 	stubbornly , the crow : city of angels backtracks to the beginning of the previous film , when lee's eric draven found himself drawn back out of his grave to do a charles bronson on the thugs who tortured him and his girlfriend to death .	1	-4	 stubbornly[-2] the[0] crow[0] city[0] of[0] angels[0] backtracks[0] to[0] the[0] beginning[0] of[0] the[0] previous[0] film[0] when[0] lee's[0] eric[0] draven[0] found[0] himself[0] drawn[0] back[0] out[0] of[0] his[0] grave[-2] to[0] do[0] a[0] charles[0] bronson[0] on[0] the[0] thugs[0] who[0] tortured[-3] him[0] and[0] his[0] girlfriend[0] to[0] death[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i remember the first film primarily as a harrowing exercise in brutality . 	i remember the first film primarily as a harrowing exercise in brutality .	1	-3	 i[0] remember[0] the[0] first[0] film[0] primarily[0] as[0] a[0] harrowing[0] exercise[0] in[0] brutality[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in flashback , we see the most excruciating crimes exacted on eric and his lover , and then we watch in real-time as eric pays each perpetrator back in kind . 	in flashback , we see the most excruciating crimes exacted on eric and his lover , and then we watch in real-time as eric pays each perpetrator back in kind .	4	-5	 in[0] flashback[0] we[0] see[0] the[0] most[0] excruciating[-4] crimes[-1] exacted[0] on[0] eric[0] and[0] his[0] lover[3] and[0] then[0] we[0] watch[0] in[0] real[0] time[0] as[0] eric[0] pays[0] each[0] perpetrator[0] back[0] in[0] kind[1] [[Sentence=-5,4=word max, 1-5]][[[4,-5 max of sentences]]]
it's loud and repetitive , true , a sadist's delight -- but it's also horrifying and fascinating . 	it's loud and repetitive , true , a sadist's delight - but it's also horrifying and fascinating .	3	-4	 it's[0] loud[0] and[0] repetitive[0] true[1] a[0] sadist's[0] delight[2] but[0] it's[0] also[0] horrifying[-3] and[0] fascinating[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
city of angels gives us more of the same , but less skillfully . 	city of angels gives us more of the same , but less skilfully .	1	-1	 city[0] of[0] angels[0] gives[0] us[0] more[0] of[0] the[0] same[0] but[0] less[0] skillfully/skilfully[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's an audience guaranteed for a film like this , although bad reviews and poor word-of-mouth will likely ensure that it won't be much of a success . 	there's an audience guaranteed for a film like this , although bad reviews and poor word-of-mouth will likely ensure that it won't be much of a success .	3	-2	 there's[0] an[0] audience[0] guaranteed[0] for[0] a[0] film[0] like[1] this[0] although[0] bad[-1] reviews[0] and[0] poor[-1] word[0] of[0] mouth[0] will[0] likely[0] ensure[0] that[0] it[0] won't[0] be[0] much[0] of[0] a[0] success[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
