late in down to you , the lead female character ( julia stiles ) states her greatest fear is having an " artificial conversation " with her boyfriend ( freddie prinze jr . ) . 	Translation	Positive	Negative	EmotionRationale
the irony of this statement will not be lost on audience members who have not yet walked out , fallen asleep , or otherwise given up on this pathetic attempt at romantic comedy . 	the irony of this statement will not be lost on audience members who have not yet walked out , fallen asleep , or otherwise given up on this pathetic attempt at romantic comedy .	4	-3	 the[0] irony[-1] of[0] this[0] statement[0] will[0] not[0] be[0] lost[0] on[0] audience[0] members[0] who[0] have[0] not[0] yet[0] walked[0] out[0] fallen[0] asleep[0] or[0] otherwise[0] given[0] up[0] on[0] this[0] pathetic[-2] attempt[0] at[0] romantic[3] comedy[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the film is a multi-million dollar testament to everything artificial . 	the film is a multi-million dollar testament to everything artificial .	1	-1	 the[0] film[0] is[0] a[0] multi[0] million[0] dollar[0] testament[0] to[0] everything[0] artificial[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
filled with characters , motivation , plot and dialogue that ring fake and shallow at every step this is an unquestionable disaster . 	filled with characters , motivation , plot and dialogue that ring fake and shallow at every step this is an unquestionable disaster .	1	-2	 filled[0] with[0] characters[0] motivation[0] plot[0] and[0] dialogue[0] that[0] ring[0] fake[-1] and[0] shallow[-1] at[0] every[0] step[0] this[0] is[0] an[0] unquestionable[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
prinze plays a college student intent on playing the field until he falls for stiles' freshman co-ed . 	prinze plays a college student intent on playing the field until he falls for stiles' freshman co-ed .	2	-1	 prinze[0] plays[1] a[0] college[0] student[0] intent[0] on[0] playing[1] the[0] field[0] until[0] he[0] falls[0] for[0] stiles'[0] freshman[0] co[0] ed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at first the movie seems to be an attempt to string along scenes with the sole purpose of out-doing the previous in how " cute " it can be . 	at first the movie seems to be an attempt to string along scenes with the sole purpose of out-doing the previous in how " cute " it can be .	2	-1	 at[0] first[0] the[0] movie[0] seems[0] to[0] be[0] an[0] attempt[0] to[0] string[0] along[0] scenes[0] with[0] the[0] sole[0] purpose[0] of[0] out[0] doing[0] the[0] previous[0] in[0] how[0] cute[1] it[0] can[0] be[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the happy couple " psychoanalyze " each other ; they pick out a song because , as prinze's dj mother ( lucie arnez ) explains , every couple needs a song ; he smells her shampoo ; she scratches his chest in the morning to let him know she wants to make love . 	the happy couple " psychoanalyze " each other ; they pick out a song because , as prinze's dj mother ( lucie arnez ) explains , every couple needs a song ; he smells her shampoo ; she scratches his chest in the morning to let him know she wants to make love .	3	-1	 the[0] happy[1] couple[0] psychoanalyze[0] each[0] other[0] they[0] pick[0] out[0] a[0] song[0] because[0] as[0] prinze's[0] dj[0] mother[0] lucie[0] arnez[0] explains[0] every[0] couple[0] needs[0] a[0] song[0] he[0] smells[0] her[0] shampoo[0] she[0] scratches[0] his[0] chest[0] in[0] the[0] morning[0] to[0] let[0] him[0] know[0] she[0] wants[0] to[0] make[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then , in standard romantic comedy style , things fall apart . 	then , in standard romantic comedy style , things fall apart .	4	-1	 then[0] in[0] standard[0] romantic[3] comedy[0] style[0] things[0] fall[0] apart[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , because they have to . 	well , because they have to .	1	-1	 well[0] because[0] they[0] have[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
otherwise the couple can't make up and live ( presumably ) happily ever after . 	otherwise the couple can't make up and live ( presumably ) happily ever after .	3	-1	 otherwise[0] the[0] couple[0] can't[0] make[0] up[0] and[0] live[0] presumably[0] happily[2] ever[0] after[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
down to you exists outside the realm of normal logic . 	down to you exists outside the realm of normal logic .	1	-1	 down[0] to[0] you[0] exists[0] outside[0] the[0] realm[0] of[0] normal[0] logic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scenes do not connect to each other and it often seems to be attempting some sort of surrealism , but this is handled so poorly that everything comes off random and stupid instead . 	scenes do not connect to each other and it often seems to be attempting some sort of surrealism , but this is handled so poorly that everything comes off random and stupid instead .	1	-2	 scenes[0] do[0] not[0] connect[0] to[0] each[0] other[0] and[0] it[0] often[0] seems[0] to[0] be[0] attempting[0] some[0] sort[0] of[0] surrealism[0] but[0] this[0] is[0] handled[0] so[0] poorly[-1] that[0] everything[0] comes[0] off[0] random[0] and[0] stupid[-1] instead[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a picnic scene involving the six key characters is just bizarre , not only for the stretched logic of these people hanging out together , or even knowing each other , but mostly because an unusual amount of screen time is dedicated to a goat . 	a picnic scene involving the six key characters is just bizarre , not only for the stretched logic of these people hanging out together , or even knowing each other , but mostly because an unusual amount of screen time is dedicated to a goat .	1	-1	 a[0] picnic[0] scene[0] involving[0] the[0] six[0] key[0] characters[0] is[0] just[0] bizarre[-1][--1 LastWordBoosterStrength] not[0] only[0] for[0] the[0] stretched[0] logic[0] of[0] these[0] people[0] hanging[0] out[0] together[0] or[0] even[0] knowing[0] each[0] other[0] but[0] mostly[0] because[0] an[0] unusual[0] amount[0] of[0] screen[0] time[0] is[0] dedicated[0] to[0] a[0] goat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the supporting characters are remarkably flat , and insultingly ridiculous as well . 	the supporting characters are remarkably flat , and insultingly ridiculous as well .	2	-4	 the[0] supporting[1] characters[0] are[0] remarkably[0] flat[0] and[0] insultingly[-2] ridiculous[-2][-1 MultiplePositiveWords] as[0] well[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
