 " the 13th warrior " comes at the end of as summer where we've already experienced man eating sharks ( " deep blue sea " ) , man eating crocodiles ( " lake placid " ) and even a man hunting witch ( " the blair witch project " ) . 	Translation	Positive	Negative	EmotionRationale
now , " the 13th warrior " presents a tribe of flesh eating men who believe that they are bears . 	now , " the 13th warrior " presents a tribe of flesh eating men who believe that they are bears .	1	-1	 now[0] the[0] 13th[0] warrior[0] presents[0] a[0] tribe[0] of[0] flesh[0] eating[0] men[0] who[0] believe[0] that[0] they[0] are[0] bears[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story , if that's what you want to call it , follows ahmed ibn fahdlan ( antonio banderas ) an arabian poet who falls in love with his king's wife and is banished from his home land . 	the story , if that's what you want to call it , follows ahmed ibn fahdlan ( antonio banderas ) an arabian poet who falls in love with his king's wife and is banished from his home land .	3	-2	 the[0] story[0] if[0] that's[0] what[0] you[0] want[0] to[0] call[0] it[0] follows[0] ahmed[0] ibn[0] fahdlan[0] antonio[0] banderas[0] an[0] arabian[0] poet[0] who[0] falls[0] in[0] love[2] with[0] his[0] king's[0] wife[0] and[0] is[0] banished[-1] from[0] his[0] home[0] land[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he then travels to the land of the vikings and becomes an ambassador to them . 	he then travels to the land of the vikings and becomes an ambassador to them .	1	-1	 he[0] then[0] travels[0] to[0] the[0] land[0] of[0] the[0] vikings[0] and[0] becomes[0] an[0] ambassador[0] to[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eventually the vikings are called upon to protect the people of the village who are being hunted by the flesh eating men . 	eventually the vikings are called upon to protect the people of the village who are being hunted by the flesh eating men .	1	-1	 eventually[0] the[0] vikings[0] are[0] called[0] upon[0] to[0] protect[0] the[0] people[0] of[0] the[0] village[0] who[0] are[0] being[0] hunted[0] by[0] the[0] flesh[0] eating[0] men[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thirteen warriors are chosen to go on the mission , and as you guessed it , ahmed is chosen as the thirteenth . 	thirteen warriors are chosen to go on the mission , and as you guessed it , ahmed is chosen as the thirteenth .	1	-1	 thirteen[0] warriors[0] are[0] chosen[0] to[0] go[0] on[0] the[0] mission[0] and[0] as[0] you[0] guessed[0] it[0] ahmed[0] is[0] chosen[0] as[0] the[0] thirteenth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's not a warrior , and at first not well accepted by the vikings , but as the movie advances he'll have to prove himself both on and off the battlefield . 	he's not a warrior , and at first not well accepted by the vikings , but as the movie advances he'll have to prove himself both on and off the battlefield .	1	-2	 he's[0] not[0] a[0] warrior[0] and[0] at[0] first[0] not[0] well[0] accepted[0] by[0] the[0] vikings[0] but[0] as[0] the[0] movie[0] advances[0] he'll[0] have[0] to[0] prove[0] himself[0] both[0] on[0] and[0] off[0] the[0] battlefield[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's basically the entire plot . 	that's basically the entire plot .	1	-1	 that's[0] basically[0] the[0] entire[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is also a romantic subplot that has been so badly mishandled and , one assumes , drastically cut that you begin to wonder why the filmmakers didn't just edit out all of the scenes attaining to that part of the story . 	there is also a romantic subplot that has been so badly mishandled and , one assumes , drastically cut that you begin to wonder why the filmmakers didn't just edit out all of the scenes attaining to that part of the story .	4	-2	 there[0] is[0] also[0] a[0] romantic[3] subplot[0] that[0] has[0] been[0] so[0] badly[-1] mishandled[-1] and[0] one[0] assumes[0] drastically[0] cut[0] that[0] you[0] begin[0] to[0] wonder[0] why[0] the[0] filmmakers[0] didn't[0] just[0] edit[0] out[0] all[0] of[0] the[0] scenes[0] attaining[0] to[0] that[0] part[0] of[0] the[0] story[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
instead they chose to leave just enough of those scenes in to annoy the viewer . 	instead they chose to leave just enough of those scenes in to annoy the viewer .	1	-3	 instead[0] they[0] chose[0] to[0] leave[0] just[0] enough[0] of[0] those[0] scenes[0] in[0] to[0] annoy[-2] the[0] viewer[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film is basically non- stop action and when it pauses and tries to develop a story it becomes a laughing stock . 	the film is basically non- stop action and when it pauses and tries to develop a story it becomes a laughing stock .	2	-1	 the[0] film[0] is[0] basically[0] non[0] stop[0] action[0] and[0] when[0] it[0] pauses[0] and[0] tries[0] to[0] develop[0] a[0] story[0] it[0] becomes[0] a[0] laughing[1] stock[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the battle scenes , although well choreographed , are not involving and not the least bit exciting . 	the battle scenes , although well choreographed , are not involving and not the least bit exciting .	3	-3	 the[0] battle[-1] scenes[0] although[0] well[0] choreographed[-2] are[0] not[0] involving[0] and[0] not[0] the[0] least[0] bit[0] exciting[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we don't get to know any of the characters and so we don't care who lives and who dies . 	we don't get to know any of the characters and so we don't care who lives and who dies .	1	-2	 we[0] don't[0] get[0] to[0] know[0] any[0] of[0] the[0] characters[0] and[0] so[0] we[0] don't[0] care[1][NegatedDueToPreviousWord] who[0] lives[0] and[0] who[0] dies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
