starring shawnee smith ; donovan leitch ; ricky paull goldin ; kevin dillon & billy beck the blob is the remake of the 1960's classic ( a term that i use very loosely to define the original ) about a really mean glob of goop that takes out anything that gets in its way . 	Translation	Positive	Negative	EmotionRationale
now the original version has the virtue of cheesy special effects which give it a kind of nostalgic campy feel . 	now the original version has the virtue of cheesy special effects which give it a kind of nostalgic campy feel .	3	-1	 now[0] the[0] original[0] version[0] has[0] the[0] virtue[2] of[0] cheesy[0] special[1] effects[0] which[0] give[0] it[0] a[0] kind[1] of[0] nostalgic[0] campy[0] feel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the fact that steve mcqueen was the star of the film doesn't exactly hurt it either . 	the fact that steve mcqueen was the star of the film doesn't exactly hurt it either .	1	-3	 the[0] fact[0] that[0] steve[0] mcqueen[0] was[0] the[0] star[0] of[0] the[0] film[0] doesn't[0] exactly[0] hurt[-2] it[0] either[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fast forward to the late '80's . 	fast forward to the late '80's .	1	-1	 fast[0] forward[0] to[0] the[0] late[0] '80's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
steve mcqueen isn't in the remake ( this might have something to do with the fact that he had been pushing up daisies for years ) . 	steve mcqueen isn't in the remake ( this might have something to do with the fact that he had been pushing up daisies for years ) .	1	-1	 steve[0] mcqueen[0] isn't[0] in[0] the[0] remake[0] this[0] might[0] have[0] something[0] to[0] do[0] with[0] the[0] fact[0] that[0] he[0] had[0] been[0] pushing[0] up[0] daisies[0] for[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nor is there any hollywood heavy hitters in the lead role . 	nor is there any hollywood heavy hitters in the lead role .	1	-1	 nor[0] is[0] there[0] any[0] hollywood[0] heavy[0] hitters[0] in[0] the[0] lead[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is unless you count matt dillon's brother kevin as a hollywood heavy hitter . 	that is unless you count matt dillon's brother kevin as a hollywood heavy hitter .	1	-1	 that[0] is[0] unless[0] you[0] count[0] matt[0] dillon's[0] brother[0] kevin[0] as[0] a[0] hollywood[0] heavy[0] hitter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other thing that works against this new blob is that special effects technology has improved dramatically since the original . 	the other thing that works against this new blob is that special effects technology has improved dramatically since the original .	2	-2	 the[0] other[0] thing[0] that[0] works[0] against[-1] this[0] new[0] blob[0] is[0] that[0] special[1] effects[0] technology[0] has[0] improved[1] dramatically[0] since[0] the[0] original[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only things you need now to have great special effects in a movie are deep pockets . 	the only things you need now to have great special effects in a movie are deep pockets .	3	-1	 the[0] only[0] things[0] you[0] need[0] now[0] to[0] have[0] great[2] special[1] effects[0] in[0] a[0] movie[0] are[0] deep[0] pockets[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it looks as if the produces of the new blob had a couple of holes in their pockets . 	it looks as if the produces of the new blob had a couple of holes in their pockets .	1	-1	 it[0] looks[0] as[0] if[0] the[0] produces[0] of[0] the[0] new[0] blob[0] had[0] a[0] couple[0] of[0] holes[0] in[0] their[0] pockets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects in this movie are cheesy , like the original's . 	the special effects in this movie are cheesy , like the original's .	2	-1	 the[0] special[1] effects[0] in[0] this[0] movie[0] are[0] cheesy[0] like[1] the[0] original's[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unlike the original , they don't look campy , they just look cheap . 	unlike the original , they don't look campy , they just look cheap .	1	-2	 unlike[0] the[0] original[0] they[0] don't[0] look[0] campy[0] they[0] just[0] look[0] cheap[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one bright spot in the movie from a purely sexist point of view is shawnee smith . 	one bright spot in the movie from a purely sexist point of view is shawnee smith .	1	-3	 one[0] bright[0] spot[0] in[0] the[0] movie[0] from[0] a[0] purely[0] sexist[-2] point[0] of[0] view[0] is[0] shawnee[0] smith[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she is very attractive and can actually act , which is more than i can say about some of her costars . 	she is very attractive and can actually act , which is more than i can say about some of her costars .	3	-1	 she[0] is[0] very[0] attractive[1][1 LastWordBoosterStrength] and[0] can[0] actually[0] act[0] which[0] is[0] more[0] than[0] i[0] can[0] say[0] about[0] some[0] of[0] her[0] costars[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in terms of plot , a little ball of pink goop falls from the sky . 	in terms of plot , a little ball of pink goop falls from the sky .	1	-1	 in[0] terms[0] of[0] plot[0] a[0] little[0] ball[0] of[0] pink[0] goop[0] falls[0] from[0] the[0] sky[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
seems this goop was an experiment that was being housed up on a satellite . 	seems this goop was an experiment that was being housed up on a satellite .	1	-1	 seems[0] this[0] goop[0] was[0] an[0] experiment[0] that[0] was[0] being[0] housed[0] up[0] on[0] a[0] satellite[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , the pink stuff has a taste for humans . 	anyway , the pink stuff has a taste for humans .	1	-1	 anyway[0] the[0] pink[0] stuff[0] has[0] a[0] taste[0] for[0] humans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the more people it absorbs , the bigger it gets . 	the more people it absorbs , the bigger it gets .	1	-1	 the[0] more[0] people[0] it[0] absorbs[0] the[0] bigger[0] it[0] gets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it isn't the friendliest goop on the block either . 	and it isn't the friendliest goop on the block either .	1	-2	 and[0] it[0] isn't[0] the[0] friendliest[1][NegatedDueToPreviousWord] goop[0] on[0] the[0] block[-1] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyway , it attacks this little town and it's up to the attractive local teenage population to stop it . 	anyway , it attacks this little town and it's up to the attractive local teenage population to stop it .	2	-3	 anyway[0] it[0] attacks[-2] this[0] little[0] town[0] and[0] it's[0] up[0] to[0] the[0] attractive[1] local[0] teenage[0] population[0] to[0] stop[0] it[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not really , but that is how it seems . 	not really , but that is how it seems .	1	-1	 not[0] really[0] but[0] that[0] is[0] how[0] it[0] seems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this version attempts to recapture the camp of the original . 	this version attempts to recapture the camp of the original .	1	-1	 this[0] version[0] attempts[0] to[0] recapture[0] the[0] camp[0] of[0] the[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
