that is , unless you're one of those people who have seen the preview a thousand times on tv or in the theaters . 	Translation	Positive	Negative	EmotionRationale
i can tell you one thing now : they gave the entire movie away . 	i can tell you one thing now : they gave the entire movie away .	1	-1	 i[0] can[0] tell[0] you[0] one[0] thing[0] now[0] they[0] gave[0] the[0] entire[0] movie[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why someone would want to base an entire movie on one premise and then give that crucial detail away in the trailers is beyond me . 	why someone would want to base an entire movie on one premise and then give that crucial detail away in the trailers is beyond me .	1	-1	 why[0] someone[0] would[0] want[0] to[0] base[0] an[0] entire[0] movie[0] on[0] one[0] premise[0] and[0] then[0] give[0] that[0] crucial[0] detail[0] away[0] in[0] the[0] trailers[0] is[0] beyond[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , if they * hadn't * given it away , the film would've still been suprisingly devoid of suspense given its subject matter . 	however , if they * hadn't * given it away , the film would've still been suprisingly devoid of suspense given its subject matter .	1	-2	 however[0] if[0] they[0] hadn't[0] given[0] it[0] away[0] the[0] film[0] would've[0] still[0] been[0] suprisingly[0] devoid[-1] of[0] suspense[0] given[0] its[0] subject[0] matter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
obviously , the producers thought they could remake " the deep end of the ocean , " throw in tommy lee jones and a couple of cliches and call it an action drama . 	obviously , the producers thought they could remake " the deep end of the ocean , " throw in tommy lee jones and a couple of cliches and call it an action drama .	1	-1	 obviously[0] the[0] producers[0] thought[0] they[0] could[0] remake[0] the[0] deep[0] end[0] of[0] the[0] ocean[0] throw[0] in[0] tommy[0] lee[0] jones[0] and[0] a[0] couple[0] of[0] cliches[0] and[0] call[0] it[0] an[0] action[0] drama[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " double jeopardy " offers solid acting from ashley judd and tommy lee jones , who got first billing even though he didn't see to be on screen half as much as judd did . 	 " double jeopardy " offers solid acting from ashley judd and tommy lee jones , who got first billing even though he didn't see to be on screen half as much as judd did .	1	-2	 double[0] jeopardy[-1] offers[0] solid[0] acting[0] from[0] ashley[0] judd[0] and[0] tommy[0] lee[0] jones[0] who[0] got[0] first[0] billing[0] even[0] though[0] he[0] didn't[0] see[0] to[0] be[0] on[0] screen[0] half[0] as[0] much[0] as[0] judd[0] did[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it also offers some genuinely funny , clever , or full-of-tension moments ( my favorite : judd waking up in the coffin ) , but none of that can salvage the film from its insanely predictable plot . 	it also offers some genuinely funny , clever , or full-of-tension moments ( my favorite : judd waking up in the coffin ) , but none of that can salvage the film from its insanely predictable plot .	2	-3	 it[0] also[0] offers[0] some[0] genuinely[0] funny[1] clever[0] or[0] full[0] of[0] tension[-2] moments[0] my[0] favorite[1] judd[0] waking[0] up[0] in[0] the[0] coffin[0] but[0] none[0] of[0] that[0] can[0] salvage[0] the[0] film[0] from[0] its[0] insanely[0] predictable[0] plot[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
half the time i'm wondering whether i'm watching one of those overhyped tv miniseries , which always turn out to be less exciting than advertised . 	half the time i'm wondering whether i'm watching one of those overhyped tv miniseries , which always turn out to be less exciting than advertised .	3	-1	 half[0] the[0] time[0] i'm[0] wondering[0] whether[0] i'm[0] watching[0] one[0] of[0] those[0] overhyped[0] tv[0] miniseries[0] which[0] always[0] turn[0] out[0] to[0] be[0] less[0] exciting[2] than[0] advertised[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
judging by the beginning , end , and a huge chunk of the middle , i might have been watching a special hallmark presentation too . 	judging by the beginning , end , and a huge chunk of the middle , i might have been watching a special hallmark presentation too .	2	-1	 judging[0] by[0] the[0] beginning[0] end[0] and[0] a[0] huge[0] chunk[0] of[0] the[0] middle[0] i[0] might[0] have[0] been[0] watching[0] a[0] special[1] hallmark[0] presentation[0] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie's stretching for an almost two hour long film with only 30 minutes worth of material . 	the movie's stretching for an almost two hour long film with only 30 minutes worth of material .	1	-1	 the[0] movie's[0] stretching[0] for[0] an[0] almost[0] two[0] hour[0] long[0] film[0] with[0] only[0] 30[0] minutes[0] worth[0] of[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
implausible material , no less . 	implausible material , no less .	1	-1	 implausible[0] material[0] no[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
