pre-review note : seeing as the only concern of body shots is " sex " , i will be forced to refer to that particular act innumerable times throughout the duration of this review . 	Translation	Positive	Negative	EmotionRationale
because of this , i will try to vary word descriptions of " sex " ( meaning if you are offended by pejorative terms , and \ or your name is jerry falwell , you are kindly invited to hit the x up on the left corner of your screen ) , so if there happens to be a word you come across and cannot comprehend , fret not , it's most likely just another way of referring to " sex " . 	because of this , i will try to vary word descriptions of " sex " ( meaning if you are offended by pejorative terms , and \ or your name is jerry falwell , you are kindly invited to hit the x up on the left corner of your screen ) , so if there happens to be a word you come across and cannot comprehend , fret not , it's most likely just another way of referring to " sex " .	3	-3	 because[0] of[0] this[0] i[0] will[0] try[0] to[0] vary[0] word[0] descriptions[0] of[0] sex[0] meaning[0] if[0] you[0] are[0] offended[-2] by[0] pejorative[0] terms[0] and[0] \[0] or[0] your[0] name[0] is[0] jerry[0] falwell[0] you[0] are[0] kindly[1] invited[0] to[0] hit[0] the[0] x[1] up[0] on[0] the[0] left[0] corner[0] of[0] your[0] screen[0] so[0] if[0] there[0] happens[0] to[0] be[0] a[0] word[0] you[0] come[0] across[0] and[0] cannot[0] comprehend[0] fret[-2][NegatedDueToPreviousWord] not[0] it's[0] most[0] likely[0] just[0] another[0] way[0] of[0] referring[0] to[0] sex[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i think we'd all agree that any word used incessantly becomes a bit monotonous so i hope you appreciate my attempt to liven up what could potentially be a very boring review . 	i think we'd all agree that any word used incessantly becomes a bit monotonous so i hope you appreciate my attempt to liven up what could potentially be a very boring review .	3	-3	 i[0] think[0] we'd[0] all[0] agree[0] that[0] any[0] word[0] used[0] incessantly[0] becomes[0] a[0] bit[0] monotonous[-1] so[0] i[0] hope[2] you[0] appreciate[1] my[0] attempt[0] to[0] liven[0] up[0] what[0] could[0] potentially[0] be[0] a[0] very[0] boring[-1][-1 LastWordBoosterStrength] review[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
though not as boring as the movie which makes steve forbes flat tax plan seem as lively as watching a naked mathew mconaughy play the bongos while high on god knows what . 	though not as boring as the movie which makes steve forbes flat tax plan seem as lively as watching a naked mathew mconaughy play the bongos while high on god knows what .	2	-2	 though[0] not[0] as[0] boring[-1][NegatedDueToPreviousWord] as[0] the[0] movie[0] which[0] makes[0] steve[0] forbes[0] flat[0] tax[-1] plan[0] seem[0] as[0] lively[1] as[0] watching[0] a[0] naked[0] mathew[0] mconaughy[0] play[0] the[0] bongos[0] while[0] high[0] on[0] god[0] knows[0] what[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
body shots is a film so frightened of coitus that scenes of copulation are filmed ominously , in the way you'd normally expect to see a violent attack . 	body shots is a film so frightened of coitus that scenes of copulation are filmed ominously , in the way you'd normally expect to see a violent attack .	1	-4	 body[0] shots[0] is[0] a[0] film[0] so[0] frightened[-3] of[0] coitus[0] that[0] scenes[0] of[0] copulation[0] are[0] filmed[0] ominously[-2] in[0] the[0] way[0] you'd[0] normally[0] expect[0] to[0] see[0] a[0] violent[-2] attack[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's about people who think about screwing , seek it out , and talk about it . 	it's about people who think about screwing , seek it out , and talk about it .	1	-1	 it's[0] about[0] people[0] who[0] think[0] about[0] screwing[0] seek[0] it[0] out[0] and[0] talk[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are things we all do , sometimes . 	these are things we all do , sometimes .	1	-1	 these[0] are[0] things[0] we[0] all[0] do[0] sometimes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters in this film spend every waking moment pondering the simplicities of sexual acts . 	the characters in this film spend every waking moment pondering the simplicities of sexual acts .	1	-1	 the[0] characters[0] in[0] this[0] film[0] spend[0] every[0] waking[0] moment[0] pondering[0] the[0] simplicities[0] of[0] sexual[0] acts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their lives center around the next sexual encounter , but they seemed depressed . 	their lives center around the next sexual encounter , but they seemed depressed .	1	-4	 their[0] lives[0] center[0] around[0] the[0] next[0] sexual[0] encounter[0] but[0] they[0] seemed[0] depressed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's as if fucking is all they have to look forward to after a busy workweek . 	it's as if fucking is all they have to look forward to after a busy workweek .	1	-1	 it's[0] as[0] if[0] fucking[0] is[0] all[0] they[0] have[0] to[0] look[0] forward[0] to[0] after[0] a[0] busy[0] workweek[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at its core body shots is a message movie , the kind of thing i could picture really progressive church groups showing to middle schoolers in order to turn them off coition . 	at its core body shots is a message movie , the kind of thing i could picture really progressive church groups showing to middle schoolers in order to turn them off coition .	2	-1	 at[0] its[0] core[0] body[0] shots[0] is[0] a[0] message[0] movie[0] the[0] kind[1] of[0] thing[0] i[0] could[0] picture[0] really[0] progressive[0] church[0] groups[0] showing[0] to[0] middle[0] schoolers[0] in[0] order[0] to[0] turn[0] them[0] off[0] coition[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
