a disappointing biography about the homosexual relationship of two famous 19th century french poets . 	Translation	Positive	Negative	EmotionRationale
the film managed to remove all the poetry from the poets and instead concentrated on their abrasive personalities . 	the film managed to remove all the poetry from the poets and instead concentrated on their abrasive personalities .	1	-2	 the[0] film[0] managed[0] to[0] remove[0] all[0] the[0] poetry[0] from[0] the[0] poets[0] and[0] instead[0] concentrated[0] on[0] their[0] abrasive[-1] personalities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result is merely an academic exercise , leaving an emotional vacuum that it couldn't build on to show them as the poets they were . 	the result is merely an academic exercise , leaving an emotional vacum that it couldn't build on to show them as the poets they were .	1	-2	 the[0] result[0] is[0] merely[0] an[0] academic[0] exercise[0] leaving[0] an[0] emotional[-1] vacuum/vacum[0] that[0] it[0] couldn't[0] build[0] on[0] to[0] show[0] them[0] as[0] the[0] poets[0] they[0] were[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on paper , this shouldn't have been so terrible -- it had a talented director in agnieszka holland ( " the secret garden " ) , a proven screenwriter in christopher hampton ( dangerous liaisons ) , and a capable cast . 	on paper , this shouldn't have been so terrible - it had a talented director in agnieszka holland ( " the secret garden " ) , a proven screenwriter in christopher hampton ( dangerous liaisons ) , and a capable cast .	2	-4	 on[0] paper[0] this[0] shouldn't[0] have[0] been[0] so[0] terrible[-3] it[0] had[0] a[0] talented[1] director[0] in[0] agnieszka[0] holland[0] the[0] secret[0] garden[0] a[0] proven[0] screenwriter[0] in[0] christopher[0] hampton[0] dangerous[-1] liaisons[0] and[0] a[0] capable[0] cast[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but the film was done in by its inept script , the unappealing way the film was directed , and the miscasting of leonardo dicaprio as rimbaud . 	but the film was done in by its inept script , the unappealing way the film was directed , and the miscasting of leonardo dicaprio as rimbaud .	1	-1	 but[0] the[0] film[0] was[0] done[0] in[0] by[0] its[0] inept[0] script[0] the[0] unappealing[0] way[0] the[0] film[0] was[0] directed[0] and[0] the[0] miscasting[0] of[0] leonardo[0] dicaprio[0] as[0] rimbaud[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i found his performance to be the most risible one in the film , with him acting more like a teenage brat than a young genius , spouting obsenities without giving a hint that a true poet lies behind that facade . 	i found his performance to be the most risible one in the film , with him acting more like a teenage brat than a young genius , spouting obsenities without giving a hint that a true poet lies behind that facade .	2	-3	 i[0] found[0] his[0] performance[0] to[0] be[0] the[0] most[0] risible[0] one[0] in[0] the[0] film[0] with[0] him[0] acting[0] more[0] like[1] a[0] teenage[0] brat[-1] than[0] a[0] young[0] genius[0] spouting[0] obsenities[0] without[0] giving[0] a[0] hint[0] that[0] a[0] true[1] poet[0] lies[-2] behind[0] that[0] facade[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he , especially , looked bad because david thewlis as paul verlaine looked so good despite the turgid dialogue that was thrust upon him and how thin a character he was forced to be . 	he , especially , looked bad because david thewlis as paul verlaine looked so good despite the turgid dialogue that was thrust upon him and how thin a character he was forced to be .	2	-2	 he[0] especially[0] looked[0] bad[-1] because[0] david[0] thewlis[0] as[0] paul[0] verlaine[0] looked[0] so[0] good[1] despite[0] the[0] turgid[0] dialogue[0] that[0] was[0] thrust[0] upon[0] him[0] and[0] how[0] thin[0] a[0] character[0] he[0] was[0] forced[0] to[0] be[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but when the two of them were together , it looked like a mismatch . 	but when the two of them were together , it looked like a mismatch .	2	-1	 but[0] when[0] the[0] two[0] of[0] them[0] were[0] together[0] it[0] looked[0] like[1] a[0] mismatch[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
leonardo's rimbaud only made the young poet look petulant and crude , yet we know from rimbaud's poetry , that he must have had something going for him because his poetry was awe inspiring . 	leonardo's rimbaud only made the young poet look petulant and crude , yet we know from rimbaud's poetry , that he must have had something going for him because his poetry was awe inspiring .	3	-2	 leonardo's[0] rimbaud[0] only[0] made[0] the[0] young[0] poet[0] look[0] petulant[0] and[0] crude[-1] yet[0] we[0] know[0] from[0] rimbaud's[0] poetry[0] that[0] he[0] must[0] have[0] had[0] something[0] going[0] for[0] him[0] because[0] his[0] poetry[0] was[0] awe[0] inspiring[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film opens in post-revolutionary france in 1871 , the 16-year-old rimbaud has sent the established symbolist poet verlaine a letter with his poems . 	the film opens in post-revolutionary france in 1871 , the 16-year-old rimbaud has sent the established symbolist poet verlaine a letter with his poems .	1	-2	 the[0] film[0] opens[0] in[0] post[0] revolutionary[-1] france[0] in[0] 1871[0] the[0] 16[0] year[0] old[0] rimbaud[0] has[0] sent[0] the[0] established[0] symbolist[0] poet[0] verlaine[0] a[0] letter[0] with[0] his[0] poems[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he accepts verlaine's praises and invitation to be a house guest in his splendid paris home , and rimbaud leaves his sullen farm in rural charleville . 	he accepts verlaine's praises and invitation to be a house guest in his splendid paris home , and rimbaud leaves his sullen farm in rural charleville .	3	-2	 he[0] accepts[0] verlaine's[0] praises[2] and[0] invitation[0] to[0] be[0] a[0] house[0] guest[0] in[0] his[0] splendid[2] paris[0] home[0] and[0] rimbaud[0] leaves[0] his[0] sullen[-1] farm[0] in[0] rural[0] charleville[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
