a movie about divorce and custody in 1995 seems about as timely as a movie about mood rings . 	Translation	Positive	Negative	EmotionRationale
family breakups have been an all too familiar part of the american landscape for nearly thirty years , and countless dramas have told stories of acrimonious court battles in hand-wringing detail . 	family breakups have been an all too familiar part of the american landscape for nearly thirty years , and countless dramas have told stories of acrimonious court battles in hand-wringing detail .	1	-2	 family[0] breakups[0] have[0] been[0] an[0] all[0] too[0] familiar[0] part[0] of[0] the[0] american[0] landscape[0] for[0] nearly[0] thirty[0] years[0] and[0] countless[0] dramas[0] have[0] told[0] stories[0] of[0] acrimonious[-1] court[0] battles[-1] in[0] hand[0] wringing[0] detail[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
still , i can't recall a comedy about the subject before bye bye love . 	still , i can't recall a comedy about the subject before bye bye love .	3	-1	 still[0] i[0] can't[0] recall[0] a[0] comedy[0] about[0] the[0] subject[0] before[0] bye[0] bye[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and after it , i still can't . 	and after it , i still can't .	1	-1	 and[0] after[0] it[0] i[0] still[0] can't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bye bye love is rarely funny , more often a weak and melodramatic retread of common tv-movie fare . 	bye bye love is rarely funny , more often a weak and melodramatic retread of common tv-movie fare .	3	-2	 bye[0] bye[0] love[2] is[0] rarely[0] funny[1] more[0] often[0] a[0] weak[-1] and[0] melodramatic[-1] retread[0] of[0] common[0] tv[0] movie[0] fare[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
only a few moments which have nothing to do with the film's main premise offer big laughs instead of cliched emotion . 	only a few moments which have nothing to do with the film's main premise offer big laughs instead of cliched emotion .	2	-1	 only[0] a[0] few[0] moments[0] which[0] have[0] nothing[0] to[0] do[0] with[0] the[0] film's[0] main[0] premise[0] offer[0] big[0] laughs[1] instead[0] of[0] cliched[0] emotion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bye bye love follows one weekend in the lives of three divorced fathers who get weekend custody of their children . 	bye bye love follows one weekend in the lives of three divorced fathers who get weekend custody of their children .	3	-2	 bye[0] bye[0] love[2] follows[0] one[0] weekend[0] in[0] the[0] lives[0] of[0] three[0] divorced[-1] fathers[0] who[0] get[0] weekend[0] custody[0] of[0] their[0] children[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
dave ( matthew modine ) , a father of two , is an inveterate womanizer having difficulty staying faithful to his latest girlfriend ; vic ( randy quaid ) is a foul-humored father of three about to go on a rare date ; donny ( paul reiser ) pines for his ex-wife and has trouble relating to his teenage daughter emma ( eliza dushku ) . 	dave ( matthew modine ) , a father of two , is an inveterate womanizer having difficulty staying faithful to his latest girlfriend ; vic ( randy quaid ) is a foul-humored father of three about to go on a rare date ; donny ( paul reiser ) pines for his ex-wife and has trouble relating to his teenage daughter emma ( eliza dushku ) .	3	-2	 dave[0] matthew[0] modine[0] a[0] father[0] of[0] two[0] is[0] an[0] inveterate[0] womanizer[0] having[0] difficulty[-1] staying[0] faithful[1] to[0] his[0] latest[0] girlfriend[0] vic[0] randy[0] quaid[0] is[0] a[0] foul[0] humored[2] father[0] of[0] three[0] about[0] to[0] go[0] on[0] a[0] rare[0] date[0] donny[0] paul[0] reiser[0] pines[0] for[0] his[0] ex[0] wife[0] and[0] has[0] trouble[-1] relating[0] to[0] his[0] teenage[0] daughter[0] emma[0] eliza[0] dushku[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
over the course of the weekend , the three men face various crises , including vic's blind date from hell ( janeane garofolo ) and donny's growing estrangement from emma . 	over the course of the weekend , the three men face various crises , including vic's blind date from hell ( janeane garofolo ) and donny's growing estrangement from emma .	1	-2	 over[0] the[0] course[0] of[0] the[0] weekend[0] the[0] three[0] men[0] face[0] various[0] crises[0] including[0] vic's[0] blind[-1] date[0] from[0] hell[-1] janeane[0] garofolo[0] and[0] donny's[0] growing[0] estrangement[0] from[0] emma[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the three lead actors form a rather unlikely combo , and the quality of their performances is of widely varying quality . 	the three lead actors form a rather unlikely combo , and the quality of their performances is of widely varying quality .	1	-1	 the[0] three[0] lead[0] actors[0] form[0] a[0] rather[0] unlikely[0] combo[0] and[0] the[0] quality[0] of[0] their[0] performances[0] is[0] of[0] widely[0] varying[0] quality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
randy quaid is the best of the three , bitter without being irritating , gleefully spiteful without being frightening . 	randy quaid is the best of the three , bitter without being irritating , gleefully spiteful without being frightening .	2	-4	 randy[0] quaid[0] is[0] the[0] best[1] of[0] the[0] three[0] bitter[-1] without[0] being[0] irritating[-2] gleefully[0] spiteful[-3] without[0] being[0] frightening[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
his run-ins with is ex-wife ( lindsey crouse ) are a bit over-played , though , and his confrontation with a pompous radio psychologist ( rob reiner ) is gimmicky and implausible . 	his run-ins with is ex-wife ( lindsey crouse ) are a bit over-played , though , and his confrontation with a pompous radio psychologist ( rob reiner ) is gimmicky and implausible .	1	-3	 his[0] run[0] ins[0] with[0] is[0] ex[0] wife[0] lindsey[0] crouse[0] are[0] a[0] bit[0] over[0] played[0] though[0] and[0] his[0] confrontation[-2] with[0] a[0] pompous[-1] radio[0] psychologist[0] rob[0] reiner[0] is[0] gimmicky[0] and[0] implausible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he does get bye bye love's best sub-plot , a hilarious dinner date with a gloriously demented janeane garofolo , and he does a great slow burn . 	he does get bye bye love's best sub-plot , a hilarious dinner date with a gloriously demented janeane garofolo , and he does a great slow burn .	3	-2	 he[0] does[0] get[0] bye[0] bye[0] love's[0] best[1] sub[0] plot[0] a[0] hilarious[2] dinner[0] date[0] with[0] a[0] gloriously[1] demented[0] janeane[0] garofolo[0] and[0] he[0] does[0] a[0] great[2] slow[0] burn[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
paul reiser really has only one character , his slightly befuddled , uptight nice guy " mad about you " persona , but he does it well . 	paul reiser really has only one character , his slightly befuddled , uptight nice guy " mad about you " persona , but he does it well .	2	-3	 paul[0] reiser[0] really[0] has[0] only[0] one[0] character[0] his[0] slightly[0] befuddled[0] uptight[-2] nice[1] guy[0] mad[-1] about[0] you[0] persona[0] but[0] he[0] does[0] it[0] well[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as a personality , he is appealing , but as a character , he becomes pretty boring here . 	as a personality , he is appealing , but as a character , he becomes pretty boring here .	3	-2	 as[0] a[0] personality[0] he[0] is[0] appealing[0] but[0] as[0] a[0] character[0] he[0] becomes[0] pretty[2] boring[-1] here[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
matthew modine , is , quite simply , terrible . 	matthew modine , is , quite simply , terrible .	1	-4	 matthew[0] modine[0] is[0] quite[0] simply[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this isn't a performance good enough to be called mailed-in ; he even forgot to put a stamp on it . 	this isn't a performance good enough to be called mailed-in ; he even forgot to put a stamp on it .	2	-1	 this[0] isn't[0] a[0] performance[0] good[1] enough[0] to[0] be[0] called[0] mailed[0] in[0] he[0] even[0] forgot[0] to[0] put[0] a[0] stamp[0] on[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
modine lacks any charm in an appallingly under-written role , looks bored most of the time , and gets stuck with a trite little speech about how it's all his father's fault he's such a cad . 	modine lacks any charm in an appallingly under-written role , looks bored most of the time , and gets stuck with a trite little speech about how it's all his father's fault he's such a cad .	2	-4	 modine[0] lacks[0] any[0] charm[1] in[0] an[0] appallingly[-3] under[0] written[0] role[0] looks[0] bored[-1] most[0] of[0] the[0] time[0] and[0] gets[0] stuck[0] with[0] a[0] trite[-2] little[0] speech[0] about[0] how[0] it's[0] all[0] his[0] father's[0] fault[-1] he's[0] such[0] a[0] cad[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
carolco's executives , whose entire future is resting on modine's bankability for the upcoming cutthroat island , must be sweating buckets right now . 	carolco's executives , whose entire future is resting on modine's bankability for the upcoming cutthroat island , must be sweating buckets right now .	1	-1	 carolco's[0] executives[0] whose[0] entire[0] future[0] is[0] resting[0] on[0] modine's[0] bankability[0] for[0] the[0] upcoming[0] cutthroat[0] island[0] must[0] be[0] sweating[0] buckets[0] right[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bye bye love basically comes off as a very confused movie , because it spends far too much of its time on the new relationships of its main characters instead of on the relationships between the fathers and their kids , making it just another " dating in the 90s " movie . 	bye bye love basically comes off as a very confused movie , because it spends far too much of its time on the new relationships of its main characters instead of on the relationships between the fathers and their kids , making it just another " dating in the 90s " movie .	3	-3	 bye[0] bye[0] love[2] basically[0] comes[0] off[0] as[0] a[0] very[0] confused[-1][-1 LastWordBoosterStrength] movie[0] because[0] it[0] spends[0] far[0] too[0] much[0] of[0] its[0] time[0] on[0] the[0] new[0] relationships[0] of[0] its[0] main[0] characters[0] instead[0] of[0] on[0] the[0] relationships[0] between[0] the[0] fathers[0] and[0] their[0] kids[0] making[0] it[0] just[0] another[0] dating[0] in[0] the[0] 90s[0] movie[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when the movie does deal with the children at all , it is to have one of them scream out an accusation and/or cry , perhaps to be resolved later by a sensitive talk and a hug , perhaps not . 	when the movie does deal with the children at all , it is to have one of them scream out an accusation and/or cry , perhaps to be resolved later by a sensitive talk and a hug , perhaps not .	3	-4	 when[0] the[0] movie[0] does[0] deal[0] with[0] the[0] children[0] at[0] all[0] it[0] is[0] to[0] have[0] one[0] of[0] them[0] scream[-3] out[0] an[0] accusation[-1] and/or[0] cry[-3] perhaps[0] to[0] be[0] resolved[1] later[0] by[0] a[0] sensitive[0] talk[0] and[0] a[0] hug[2] perhaps[0] not[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
even more confusing is a sub-plot featuring the late ed flanders as a widower who goes to work and a mcdonald's and befriends a troubled youth . 	even more confusing is a sub-plot featuring the late ed flanders as a widower who goes to work and a mcdonald's and befriends a troubled youth .	1	-2	 even[0] more[0] confusing[-1] is[0] a[0] sub[0] plot[0] featuring[0] the[0] late[0] ed[0] flanders[0] as[0] a[0] widower[0] who[0] goes[0] to[0] work[0] and[0] a[0] mcdonald's[0] and[0] befriends[0] a[0] troubled[-1] youth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
