1990s would remembered as the era of binary movie events in hollywood - two movies dealing with the same subject , or , to be precise , same " high concept " . 	Translation	Positive	Negative	EmotionRationale
in summer 1994 , that " high concept " was " mad bomber action thriller " . 	in summer 1994 , that " high concept " was " mad bomber action thriller " .	2	-2	 in[0] summer[0] 1994[0] that[0] high[0] concept[0] was[0] mad[-1] bomber[-1] action[0] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in few weeks , " thrillride of the summer " actionfest speed was followed by rather action thriller blown away , so disappointing that most of the people these days associate the title with the 1992 thriller in which nicole eggert did few nude scenes . 	in few weeks , " thrillride of the summer " actionfest speed was followed by rather action thriller blown away , so disappointing that most of the people these days associate the title with the 1992 thriller in which nicole eggert did few nude scenes .	4	-2	 in[0] few[0] weeks[0] thrillride[3] of[0] the[0] summer[0] actionfest[0] speed[0] was[0] followed[0] by[0] rather[0] action[0] thriller[1] blown[0] away[0] so[0] disappointing[-1] that[0] most[0] of[0] the[0] people[0] these[0] days[0] associate[0] the[0] title[0] with[0] the[0] 1992[0] thriller[1] in[0] which[0] nicole[0] eggert[0] did[0] few[0] nude[0] scenes[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the movie begins in the prison in northern ireland , where gaerity ( tommy lee jones ) , ira terrorist with the great talent to make lethal explosive devices from almost any material , escapes from prison . 	the movie begins in the prison in northern ireland , where gaerity ( tommy lee jones ) , ira terrorist with the great talent to make lethal explosive devices from almost any material , escapes from prison .	3	-3	 the[0] movie[0] begins[0] in[0] the[0] prison[-1] in[0] northern[0] ireland[0] where[0] gaerity[0] tommy[0] lee[0] jones[0] ira[0] terrorist[-2] with[0] the[0] great[2] talent[1] to[0] make[0] lethal[0] explosive[-1] devices[0] from[0] almost[0] any[0] material[0] escapes[0] from[0] prison[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he comes to boston , where he accidentally notices jimmy dove ( jeff bridges ) , dedicated bomb disposal expert within boston police . 	he comes to boston , where he accidentally notices jimmy dove ( jeff bridges ) , dedicated bomb disposal expert within boston police .	1	-2	 he[0] comes[0] to[0] boston[0] where[0] he[0] accidentally[-1] notices[0] jimmy[0] dove[0] jeff[0] bridges[0] dedicated[0] bomb[-1] disposal[-1] expert[0] within[0] boston[0] police[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
few people except gaerity know the dove's violent past , when he used to be ira terrorist before becoming sick with violence , betraying gaerity and emigrating to america where he changed the name and started using his experience for good purpose . 	few people except gaerity know the dove's violent past , when he used to be ira terrorist before becoming sick with violence , betraying gaerity and emigrating to america where he changed the name and started using his experience for good purpose .	2	-4	 few[0] people[0] except[0] gaerity[0] know[0] the[0] dove's[0] violent[-2] past[0] when[0] he[0] used[0] to[0] be[0] ira[0] terrorist[-2] before[0] becoming[0] sick[-1] with[0] violence[-3] betraying[-2][-1 MultiplePositiveWords] gaerity[0] and[0] emigrating[0] to[0] america[0] where[0] he[0] changed[0] the[0] name[0] and[0] started[0] using[0] his[0] experience[0] for[0] good[1] purpose[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
gaerity holds dove personally responsible for his captivity and begins the campaign of bombing terror , directed specifically at dove's colleagues , friends and relatives . 	gaerity holds dove personally responsible for his captivity and begins the campaign of bombing terror , directed specifically at dove's colleagues , friends and relatives .	2	-2	 gaerity[0] holds[0] dove[0] personally[0] responsible[0] for[0] his[0] captivity[0] and[0] begins[0] the[0] campaign[0] of[0] bombing[-1] terror[-1] directed[0] specifically[0] at[0] dove's[0] colleagues[0] friends[1] and[0] relatives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
dove , who is just going to retire and start family , now must confront the mad bomber . 	dove , who is just going to retire and start family , now must confront the mad bomber .	1	-3	 dove[0] who[0] is[0] just[0] going[0] to[0] retire[-1] and[0] start[0] family[0] now[0] must[0] confront[-2] the[0] mad[-1] bomber[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while speed doesn't even try to bother with plot and characters , using them only as an excuse for long and spectacular action scenes , blown away tries to be more conventional and provide the action with some back story . 	while speed doesn't even try to bother with plot and characters , using them only as an excuse for long and spectacular action scenes , blown away tries to be more conventional and provide the action with some back story .	1	-2	 while[0] speed[0] doesn't[0] even[0] try[0] to[0] bother[-1] with[0] plot[0] and[0] characters[0] using[0] them[0] only[0] as[0] an[0] excuse[0] for[0] long[0] and[0] spectacular[0] action[0] scenes[0] blown[0] away[0] tries[0] to[0] be[0] more[0] conventional[0] and[0] provide[0] the[0] action[0] with[0] some[0] back[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that is the main reason why it is inferior to speed . 	and that is the main reason why it is inferior to speed .	1	-2	 and[0] that[0] is[0] the[0] main[0] reason[0] why[0] it[0] is[0] inferior[-1] to[0] speed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
badly written plot and badly written characters are sometimes worse than no plot and no characters at all . 	badly written plot and badly written characters are sometimes worse than no plot and no characters at all .	1	-2	 badly[-1] written[0] plot[0] and[0] badly[-1] written[0] characters[0] are[0] sometimes[0] worse[-2][--1 LastWordBoosterStrength] than[0] no[0] plot[0] and[0] no[0] characters[0] at[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
