it's a shame the execution of this concept falls very short of its premise . 	Translation	Positive	Negative	EmotionRationale
the movie is lacking and most unsatisfying . 	the movie is lacking and most unsatisfying .	1	-1	 the[0] movie[0] is[0] lacking[0] and[0] most[0] unsatisfying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
osmosis jones is crude , gross , disgusting , and was directed by the farrelly brothers - the twisted siblings behind there's something about mary , me , myself and irene and a couple of other movies in which the humor is mostly targeted below the belt . 	osmosis jones is crude , gross , disgusting , and was directed by the farrelly brothers - the twisted siblings behind there's something about mary , me , myself and irene and a couple of other movies in which the humor is mostly targeted below the belt .	3	-4	 osmosis[0] jones[0] is[0] crude[-1] gross[-1] disgusting[-3] and[0] was[0] directed[0] by[0] the[0] farrelly[0] brothers[0] the[0] twisted[0] siblings[0] behind[0] there's[0] something[0] about[0] mary[0] me[0] myself[0] and[0] irene[0] and[0] a[0] couple[0] of[0] other[0] movies[0] in[0] which[0] the[0] humor[2] is[0] mostly[0] targeted[0] below[0] the[0] belt[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
not that there's anything wrong with scatology . 	not that there's anything wrong with scatology .	1	-2	 not[0] that[0] there's[0] anything[0] wrong[-1] with[0] scatology[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i bet even cavemen appreciated bathroom humor - such as it was . 	i bet even cavemen appreciated bathroom humor - such as it was .	3	-1	 i[0] bet[0] even[0] cavemen[0] appreciated[1] bathroom[0] humor[2] such[0] as[0] it[0] was[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's merely that with osmosis jones , the farrellys humor is too juvenile , too predictable . 	it's merely that with osmosis jones , the farrellys humor is too juvenile , too predictable .	3	-1	 it's[0] merely[0] that[0] with[0] osmosis[0] jones[0] the[0] farrellys[0] humor[2] is[0] too[0] juvenile[0] too[0] predictable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you can almost foresee the puns just by viewing the part of the inner anatomy a sequence is drawn . 	you can almost foresee the puns just by viewing the part of the inner anatomy a sequence is drawn .	1	-1	 you[0] can[0] almost[0] foresee[0] the[0] puns[0] just[0] by[0] viewing[0] the[0] part[0] of[0] the[0] inner[0] anatomy[0] a[0] sequence[0] is[0] drawn[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
osmosis jones looks like one of those old health class movies gone psycho . 	osmosis jones looks like one of those old health class movies gone psycho .	2	-1	 osmosis[0] jones[0] looks[0] like[1] one[0] of[0] those[0] old[0] health[0] class[0] movies[0] gone[0] psycho[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the trouble is , the animation may please the very young , but the jokes may be over their heads , while the teen-age audience may find it too tame for their tastes . 	the trouble is , the animation may please the very young , but the jokes may be over their heads , while the teen-age audience may find it too tame for their tastes .	2	-2	 the[0] trouble[-1] is[0] the[0] animation[0] may[0] please[1][-1 LastWordBoosterStrength] the[0] very[0] young[0] but[0] the[0] jokes[1] may[0] be[0] over[0] their[0] heads[0] while[0] the[0] teen[0] age[0] audience[0] may[0] find[0] it[0] too[0] tame[0] for[0] their[0] tastes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
adults ? well , let's just say most will find it unappetizing . 	adults ?<br> well , let's just say most will find it unappetizing .	1	-1	 adults[0] [[Sentence=-1,1=word max, 1-5]] well[0] let's[0] just[0] say[0] most[0] will[0] find[0] it[0] unappetizing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
osmosis jones plays like a 100-minute infomercial for the eat healthy foods lobby . 	osmosis jones plays like a 100-minute infomercial for the eat healthy foods lobby .	2	-1	 osmosis[0] jones[0] plays[1] like[1] a[0] 100[0] minute[0] infomercial[0] for[0] the[0] eat[0] healthy[0] foods[0] lobby[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the live action sequences revolve around frank ( bill murray ) , who seems to be the grungiest human being in the universe . 	the live action sequences revolve around frank ( bill murray ) , who seems to be the grungiest human being in the universe .	1	-1	 the[0] live[0] action[0] sequences[0] revolve[0] around[0] frank[0] bill[0] murray[0] who[0] seems[0] to[0] be[0] the[0] grungiest[0] human[0] being[0] in[0] the[0] universe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he continually looks as if he needs a shave and a shower . 	he continually looks as if he needs a shave and a shower .	1	-1	 he[0] continually[0] looks[0] as[0] if[0] he[0] needs[0] a[0] shave[0] and[0] a[0] shower[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frank , much to the consternation of his daughter , is a fast-food addict , eating anything - and everything - that can kill you . 	frank , much to the consternation of his daughter , is a fast-food addict , eating anything - and everything - that can kill you .	1	-2	 frank[0] much[0] to[0] the[0] consternation[-1] of[0] his[0] daughter[0] is[0] a[0] fast[0] food[0] addict[-1] eating[0] anything[0] and[0] everything[0] that[0] can[0] kill[-1] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he works at a zoo where the animals look cleaner - and presumably smell better - than he does . 	he works at a zoo where the animals look cleaner - and presumably smell better - than he does .	1	-1	 he[0] works[0] at[0] a[0] zoo[0] where[0] the[0] animals[0] look[0] cleaner[0] and[0] presumably[0] smell[0] better[0] than[0] he[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frank's body is invaded by thrax , a lethal virus , after frank eats a hard-boiled egg that had fallen to the ground . 	frank's body is invaded by thrax , a lethal virus , after frank eats a hard-boiled egg that had fallen to the ground .	1	-2	 frank's[0] body[0] is[0] invaded[-1] by[0] thrax[0] a[0] lethal[0] virus[0] after[0] frank[0] eats[0] a[0] hard[0] boiled[0] egg[0] that[0] had[0] fallen[0] to[0] the[0] ground[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not gross enough that frank picks the egg up from the dirt and plops it into his mouth . 	it's not gross enough that frank picks the egg up from the dirt and plops it into his mouth .	2	-2	 it's[0] not[0] gross[-1][NegatedDueToPreviousWord] enough[0] that[0] frank[0] picks[0] the[0] egg[0] up[0] from[0] the[0] dirt[-1] and[0] plops[0] it[0] into[0] his[0] mouth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nope , the farrellys pile it on by first having frank wrestle a chimp for the egg , wresting it from the primate's mouth . 	nope , the farrellys pile it on by first having frank wrestle a chimp for the egg , wresting it from the primate's mouth .	1	-2	 nope[0] the[0] farrellys[0] pile[0] it[0] on[0] by[0] first[0] having[0] frank[0] wrestle[-1] a[0] chimp[0] for[0] the[0] egg[0] wresting[0] it[0] from[0] the[0] primate's[0] mouth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like i said , the gross meter tips the scales on this one . 	like i said , the gross meter tips the scales on this one .	2	-2	 like[1] i[0] said[0] the[0] gross[-1] meter[0] tips[0] the[0] scales[0] on[0] this[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after ingesting the egg , the movie begins its animated sequences . 	after ingesting the egg , the movie begins its animated sequences .	1	-1	 after[0] ingesting[0] the[0] egg[0] the[0] movie[0] begins[0] its[0] animated[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , osmosis jones ( voiced by chris rock ) , a renegade white blood cell is teamed with drix ( voiced by frasier's david hyde pierce ) , a 12-hour , painkiller cold capsule to battle thrax ( smoothly voiced by laurence fishburne ) . 	here , osmosis jones ( voiced by chris rock ) , a renegade white blood cell is teamed with drix ( voiced by frasier's david hyde pierce ) , a 12-hour , painkiller cold capsule to battle thrax ( smoothly voiced by laurence fishburne ) .	2	-2	 here[0] osmosis[0] jones[0] voiced[0] by[0] chris[0] rock[1] a[0] renegade[0] white[0] blood[0] cell[0] is[0] teamed[0] with[0] drix[0] voiced[0] by[0] frasier's[0] david[0] hyde[0] pierce[0] a[0] 12[0] hour[0] painkiller[0] cold[-1] capsule[0] to[0] battle[-1] thrax[0] smoothly[0] voiced[0] by[0] laurence[0] fishburne[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
basically , what we have is a cliched cop-buddy movie , rife with all the clich ? s of that genre . 	basically , what we have is a cliched cop-buddy movie , rife with all the clich ?<br> s of that genre .	1	-1	 basically[0] what[0] we[0] have[0] is[0] a[0] cliched[0] cop[0] buddy[0] movie[0] rife[0] with[0] all[0] the[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] of[0] that[0] genre[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and this is why osmosis jones doesn't click . 	and this is why osmosis jones doesn't click .	1	-1	 and[0] this[0] is[0] why[0] osmosis[0] jones[0] doesn't[0] click[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it merely falls back on tired , familiar conventions instead of creating new and exciting situations . 	it merely falls back on tired , familiar conventions instead of creating new and exciting situations .	3	-2	 it[0] merely[0] falls[0] back[0] on[0] tired[-1] familiar[0] conventions[0] instead[0] of[0] creating[0] new[0] and[0] exciting[2] situations[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the jokes and puns are lame : osmosis searches out a snitch , a former flu virus . 	the jokes and puns are lame : osmosis searches out a snitch , a former flu virus .	2	-3	 the[0] jokes[1] and[0] puns[0] are[0] lame[-2] osmosis[0] searches[0] out[0] a[0] snitch[0] a[0] former[0] flu[0] virus[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
after pumping him for information , drix tells osmosis , " funny , he doesn't look fluish . " 	after pumping him for information , drix tells osmosis , " funny , he doesn't look fluish .<br> "	2	-1	 after[0] pumping[0] him[0] for[0] information[0] drix[0] tells[0] osmosis[0] funny[1] he[0] doesn't[0] look[0] fluish[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the jokes don't rise above that level . 	and the jokes don't rise above that level .	2	-1	 and[0] the[0] jokes[1] don't[0] rise[0] above[0] that[0] level[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the live action scenes are no better . 	the live action scenes are no better .	1	-1	 the[0] live[0] action[0] scenes[0] are[0] no[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frank is such a slob , so unappealing that it is difficult to fathom how he ever married or even sired a child . 	frank is such a slob , so unappealing that it is difficult to fathom how he ever married or even sired a child .	1	-2	 frank[0] is[0] such[0] a[0] slob[0] so[0] unappealing[0] that[0] it[0] is[0] difficult[-1] to[0] fathom[0] how[0] he[0] ever[0] married[0] or[0] even[0] sired[0] a[0] child[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's almost a bigger cartoon than the animated characters . 	he's almost a bigger cartoon than the animated characters .	1	-1	 he's[0] almost[0] a[0] bigger[0] cartoon[0] than[0] the[0] animated[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
osmosis jones is a movie that may be too violent for young children as thrax burns and dissolves blood cells right and left . 	osmosis jones is a movie that may be too violent for young children as thrax burns and dissolves blood cells right and left .	1	-3	 osmosis[0] jones[0] is[0] a[0] movie[0] that[0] may[0] be[0] too[0] violent[-2] for[0] young[0] children[0] as[0] thrax[0] burns[-1] and[0] dissolves[0] blood[0] cells[0] right[0] and[0] left[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the animation is rather two-dimensional and flat . 	the animation is rather two-dimensional and flat .	1	-1	 the[0] animation[0] is[0] rather[0] two[0] dimensional[0] and[0] flat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it lacks scope and depth . 	it lacks scope and depth .	1	-1	 it[0] lacks[0] scope[0] and[0] depth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is an unappealing movie that will leave you scratching your head , and maybe leaning toward a shower after you walk out of the theater . 	it is an unappealing movie that will leave you scratching your head , and maybe leaning toward a shower after you walk out of the theater .	1	-1	 it[0] is[0] an[0] unappealing[0] movie[0] that[0] will[0] leave[0] you[0] scratching[0] your[0] head[0] and[0] maybe[0] leaning[0] toward[0] a[0] shower[0] after[0] you[0] walk[0] out[0] of[0] the[0] theater[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
