i had been looking forward to this film since i heard about it early last year , when matthew perry had just signed on . 	Translation	Positive	Negative	EmotionRationale
i'm big fan of perry's subtle sense of humor , and in addition , i think chris farley's on-edge , extreme acting was a riot . 	i'm big fan of perry's subtle sense of humor , and in addition , i think chris farley's on-edge , extreme acting was a riot .	3	-1	 i'm[0] big[0] fan[0] of[0] perry's[0] subtle[0] sense[0] of[0] humor[2] and[0] in[0] addition[0] i[0] think[0] chris[0] farley's[0] on[0] edge[0] extreme[0] acting[0] was[0] a[0] riot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so naturally , when the trailer for " almost heroes " hit theaters , i almost jumped up and down . 	so naturally , when the trailer for " almost heroes " hit theaters , i almost jumped up and down .	3	-1	 so[0] naturally[0] when[0] the[0] trailer[0] for[0] almost[0] heroes[2] hit[0] theaters[0] i[0] almost[0] jumped[0] up[0] and[0] down[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a soda in hand , the lights dimming , i was ready to be blown away by farley's final starring role and what was supposed to be matthew perry's big breakthrough . 	a soda in hand , the lights dimming , i was ready to be blown away by farley's final starring role and what was supposed to be matthew perry's big breakthrough .	1	-1	 a[0] soda[0] in[0] hand[0] the[0] lights[0] dimming[0] i[0] was[0] ready[0] to[0] be[0] blown[0] away[0] by[0] farley's[0] final[0] starring[0] role[0] and[0] what[0] was[0] supposed[0] to[0] be[0] matthew[0] perry's[0] big[0] breakthrough[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was ready to be just amazed ; for this to be among farley's best , in spite of david spade's absence . 	i was ready to be just amazed ; for this to be among farley's best , in spite of david spade's absence .	2	-4	 i[0] was[0] ready[0] to[0] be[0] just[0] amazed[2][-1 LastWordBoosterStrength] for[0] this[0] to[0] be[0] among[0] farley's[0] best[1] in[0] spite[-3] of[0] david[0] spade's[0] absence[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i was ready to be laughing my head off the minute the credits ran . 	i was ready to be laughing my head off the minute the credits ran .	2	-1	 i[0] was[0] ready[0] to[0] be[0] laughing[1] my[0] head[0] off[0] the[0] minute[0] the[0] credits[0] ran[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadly , none of this came to pass . 	sadly , none of this came to pass .	1	-2	 sadly[-1] none[0] of[0] this[0] came[0] to[0] pass[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the humor is spotty at best , with good moments and laughable one-liners few and far between . 	the humor is spotty at best , with good moments and laughable one-liners few and far between .	3	-2	 the[0] humor[2] is[0] spotty[0] at[0] best[1] with[0] good[1] moments[0] and[0] laughable[-1] one[0] liners[0] few[0] and[0] far[0] between[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
perry and farley have no chemistry ; the role that perry was cast in seems obviously written for spade , for it's his type of humor , and not at all what perry is associated with . 	perry and farley have no chemistry ; the role that perry was cast in seems obviously written for spade , for it's his type of humor , and not at all what perry is associated with .	3	-1	 perry[0] and[0] farley[0] have[0] no[0] chemistry[0] the[0] role[0] that[0] perry[0] was[0] cast[0] in[0] seems[0] obviously[0] written[0] for[0] spade[0] for[0] it's[0] his[0] type[0] of[0] humor[2] and[0] not[0] at[0] all[0] what[0] perry[0] is[0] associated[0] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and the movie tries to be smart , a subject best left alone when it's a farley flick . 	and the movie tries to be smart , a subject best left alone when it's a farley flick .	2	-1	 and[0] the[0] movie[0] tries[0] to[0] be[0] smart[1] a[0] subject[0] best[1] left[0] alone[0] when[0] it's[0] a[0] farley[0] flick[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie is a major dissapointment , with only a few scenes worth a first look , let alone a second . 	the movie is a major dissapointment , with only a few scenes worth a first look , let alone a second .	1	-1	 the[0] movie[0] is[0] a[0] major[0] dissapointment[0] with[0] only[0] a[0] few[0] scenes[0] worth[0] a[0] first[0] look[0] let[0] alone[0] a[0] second[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
