the corruptor is a big silly mess of an action movie , complete with pointless plot turns and gratuitous violence . 	Translation	Positive	Negative	EmotionRationale
it's not abhorrent , or even blatantly unlikable , but it doesn't make a shred of sense . 	it's not abhorrent , or even blatantly unlikable , but it doesn't make a shred of sense .	4	-2	 it's[0] not[0] abhorrent[-3][NegatedDueToPreviousWord] or[0] even[0] blatantly[-1] unlikable[0] but[0] it[0] doesn't[0] make[0] a[0] shred[-1] of[0] sense[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and whose idea was it to have the director of glengarry glen ross direct an action film ? 	and whose idea was it to have the director of glengarry glen ross direct an action film ?	1	-1	 and[0] whose[0] idea[0] was[0] it[0] to[0] have[0] the[0] director[0] of[0] glengarry[0] glen[0] ross[0] direct[0] an[0] action[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james foley knows a lot about characters and acting , and those are the strengths of the corruptor . 	james foley knows a lot about characters and acting , and those are the strengths of the corruptor .	1	-3	 james[0] foley[0] knows[0] a[0] lot[0] about[0] characters[0] and[0] acting[0] and[0] those[0] are[0] the[0] strengths[0] of[0] the[0] corruptor[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but the quiet scenes clash with the ludicrous action nonsense , and the result is less like a movie and more like a derailed train . 	but the quiet scenes clash with the ludicrous action nonsense , and the result is less like a movie and more like a derailed train .	2	-3	 but[0] the[0] quiet[0] scenes[0] clash[-1] with[0] the[0] ludicrous[-2] action[0] nonsense[-1] and[0] the[0] result[0] is[0] less[0] like[1] a[0] movie[0] and[0] more[0] like[1] a[0] derailed[0] train[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at least we have chow yun-fat in the lead role . 	at least we have chow yun-fat in the lead role .	1	-2	 at[0] least[0] we[0] have[0] chow[0] yun[0] fat[-1] in[0] the[0] lead[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chow plays nick chen , a chinatown cop . 	chow plays nick chen , a chinatown cop .	2	-1	 chow[0] plays[1] nick[0] chen[0] a[0] chinatown[0] cop[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's a good cop , as the first few scenes establish , and he's very familiar with chinatown . 	he's a good cop , as the first few scenes establish , and he's very familiar with chinatown .	2	-1	 he's[0] a[0] good[1] cop[0] as[0] the[0] first[0] few[0] scenes[0] establish[0] and[0] he's[0] very[0] familiar[0] with[0] chinatown[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's probably why the powers-that-be decide to team him up with a rookie named danny wallace ( mark wahlberg ) . 	that's probably why the powers-that-be decide to team him up with a rookie named danny wallace ( mark wahlberg ) .	1	-1	 that's[0] probably[0] why[0] the[0] powers[0] that[0] be[0] decide[0] to[0] team[0] him[0] up[0] with[0] a[0] rookie[0] named[0] danny[0] wallace[0] mark[0] wahlberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nick and danny begin by stepping on each other's toes , but finally end up liking each other once they both get a chance to save the other one's life . 	nick and danny begin by stepping on each other's toes , but finally end up liking each other once they both get a chance to save the other one's life .	3	-1	 nick[0] and[0] danny[0] begin[0] by[0] stepping[0] on[0] each[0] other's[0] toes[0] but[0] finally[0] end[0] up[0] liking[2] each[0] other[0] once[0] they[0] both[0] get[0] a[0] chance[0] to[0] save[1] the[0] other[0] one's[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what happens after that is kind of a mystery to me . 	what happens after that is kind of a mystery to me .	2	-1	 what[0] happens[0] after[0] that[0] is[0] kind[1] of[0] a[0] mystery[0] to[0] me[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm fairly certain that the villains are all part of the fukienese dragons , led by a young chinese psycho named bobby vu ( byron mann ) . 	i'm fairly certain that the villains are all part of the fukienese dragons , led by a young chinese psycho named bobby vu ( byron man ) .	1	-3	 i'm[0] fairly[0] certain[0] that[0] the[0] villains[-2] are[0] all[0] part[0] of[0] the[0] fukienese[0] dragons[0] led[0] by[0] a[0] young[0] chinese[0] psycho[0] named[0] bobby[0] vu[0] byron[0] mann/man[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm also pretty sure that nick is on the payroll of henry lee ( ric young ) , a gangster dealing in prostitutes and other neat stuff . 	i'm also pretty sure that nick is on the payroll of henry lee ( ric young ) , a gangster dealing in prostitutes and other neat stuff .	3	-1	 i'm[0] also[0] pretty[2] sure[0] that[0] nick[0] is[0] on[0] the[0] payroll[0] of[0] henry[0] lee[0] ric[0] young[0] a[0] gangster[0] dealing[0] in[0] prostitutes[0] and[0] other[0] neat[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'm not quite sure why henry lee decides to employ danny , although this makes for some ridiculous ( albeit unpredictable ) plot twists along the way . 	i'm not quite sure why henry lee decides to employ danny , although this makes for some ridiculous ( albeit unpredictable ) plot twists along the way .	1	-2	 i'm[0] not[0] quite[0] sure[0] why[0] henry[0] lee[0] decides[0] to[0] employ[0] danny[0] although[0] this[0] makes[0] for[0] some[0] ridiculous[-2][--1 LastWordBoosterStrength] albeit[0] unpredictable[0] plot[0] twists[0] along[0] the[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's also an interesting subplot revolving around danny's father ( brian cox ) , but it doesn't have much to do with the main story . 	there's also an interesting subplot revolving around danny's father ( brian cox ) , but it doesn't have much to do with the main story .	2	-1	 there's[0] also[0] an[0] interesting[1] subplot[0] revolving[0] around[0] danny's[0] father[0] brian[0] cox[0] but[0] it[0] doesn't[0] have[0] much[0] to[0] do[0] with[0] the[0] main[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one of the problems , as i said , is that the movie doesn't make any sense . 	one of the problems , as i said , is that the movie doesn't make any sense .	1	-2	 one[0] of[0] the[0] problems[-1] as[0] i[0] said[0] is[0] that[0] the[0] movie[0] doesn't[0] make[0] any[0] sense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't blame this entirely on foley , because he's obviously a good director . 	i don't blame this entirely on foley , because he's obviously a good director .	2	-1	 i[0] don't[0] blame[-1][NegatedDueToPreviousWord] this[0] entirely[0] on[0] foley[0] because[0] he's[0] obviously[0] a[0] good[1] director[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm more inclined to point my finger at robert pucci's script , which doesn't seem to be in tune to the way normal people act . 	i'm more inclined to point my finger at robert pucci's script , which doesn't seem to be in tune to the way normal people act .	1	-1	 i'm[0] more[0] inclined[0] to[0] point[0] my[0] finger[0] at[0] robert[0] pucci's[0] script[0] which[0] doesn't[0] seem[0] to[0] be[0] in[0] tune[0] to[0] the[0] way[0] normal[0] people[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one scene early on had me particularly annoyed : nick confronts his boss because he's angry about his new white partner . 	one scene early on had me particularly annoyed : nick confronts his boss because he's angry about his new white partner .	1	-4	 one[0] scene[0] early[0] on[0] had[0] me[0] particularly[0] annoyed[-2] nick[0] confronts[-2] his[0] boss[0] because[0] he's[0] angry[-3] about[0] his[0] new[0] white[0] partner[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
