capsule : a science fiction allegory . 	Translation	Positive	Negative	EmotionRationale
at the millennium a lethal contagious virus has hit taiwan . 	at the millennium a lethal contagious virus has hit taiwan .	1	-2	 at[0] the[0] millennium[0] a[0] lethal[0] contagious[-1] virus[0] has[0] hit[0] taiwan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
officials have cut off water and other services to the center of contagion . 	officials have cut off water and other services to the center of contagion .	1	-2	 officials[0] have[0] cut[0] off[0] water[0] and[0] other[0] services[0] to[0] the[0] center[0] of[0] contagion[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
life there devolves and degenerates . 	life there devolves and degenerates .	1	-2	 life[0] there[0] devolves[0] and[0] degenerates[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a man in an apartment has a hole in his floor and with it harasses his downstairs neighbor . 	a man in an apartment has a hole in his floor and with it harasses his downstairs neighbor .	1	-3	 a[0] man[0] in[0] an[0] apartment[0] has[0] a[0] hole[0] in[0] his[0] floor[0] and[0] with[0] it[0] harasses[-2] his[0] downstairs[0] neighbor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a slow but harrowing film to be missed if possible . 	a slow but harrowing film to be missed if possible .	1	-2	 a[0] slow[0] but[0] harrowing[0] film[0] to[0] be[0] missed[-1] if[0] possible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 , low -1 ( -4 to  4 ) 	 , low -1 ( -4 to  4 )	1	-2	 low[-1] -1[0] -4[0] to[0] 4[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
- the taiwan virus is ravaging taiwan and the part of the city that is the center of the contagion has been evacuated of anyone who will go . 	- the taiwan virus is ravaging taiwan and the part of the city that is the center of the contagion has been evacuated of anyone who will go .	1	-2	 the[0] taiwan[0] virus[0] is[0] ravaging[-1] taiwan[0] and[0] the[0] part[0] of[0] the[0] city[0] that[0] is[0] the[0] center[0] of[0] the[0] contagion[-1] has[0] been[0] evacuated[0] of[0] anyone[0] who[0] will[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one apartment building still houses people . 	one apartment building still houses people .	1	-1	 one[0] apartment[0] building[0] still[0] houses[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a woman , formerly an office worker , ( yang kuei-mei ) is tormented by her upstairs neighbor ( lee kang-sheng ) who has a hole cut by a plumber in the floor and is using it as a drain . 	a woman , formerly an office worker , ( yang kuei-mei ) is tormented by her upstairs neighbor ( lee kang-sheng ) who has a hole cut by a plumber in the floor and is using it as a drain .	1	-1	 a[0] woman[0] formerly[0] an[0] office[0] worker[0] yang[0] kuei[0] mei[0] is[0] tormented[0] by[0] her[0] upstairs[0] neighbor[0] lee[0] kang[0] sheng[0] who[0] has[0] a[0] hole[0] cut[0] by[0] a[0] plumber[0] in[0] the[0] floor[0] and[0] is[0] using[0] it[0] as[0] a[0] drain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neighbor runs a small failing grocery store . 	neighbor runs a small failing grocery store .	1	-3	 neighbor[0] runs[0] a[0] small[0] failing[-2] grocery[0] store[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
- to make things more depressing , it is constantly raining hard . 	- to make things more depressing , it is constantly raining hard .	1	-4	 to[0] make[0] things[0] more[0] depressing[-3] it[0] is[0] constantly[0] raining[0] hard[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
