for those interested in the true spirit of moviemaking - or what's left of it in mainstream hollywood - movie which are star vehicles are terrible things . 	Translation	Positive	Negative	EmotionRationale
as a rule , the ignore general principles of cinema because they are not made to advance the media but rather to advance the career of a particular actor . 	as a rule , the ignore general principles of cinema because they are not made to advance the media but rather to advance the career of a particular actor .	1	-1	 as[0] a[0] rule[0] the[0] ignore[0] general[0] principles[0] of[0] cinema[0] because[0] they[0] are[0] not[0] made[0] to[0] advance[0] the[0] media[0] but[0] rather[0] to[0] advance[0] the[0] career[0] of[0] a[0] particular[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an actor might be chosen on the up-and-up , to give him exposure ; or he might be chosen on the way down to hand him a paycheck . 	an actor might be chosen on the up-and-up , to give him exposure ; or he might be chosen on the way down to hand him a paycheck .	1	-1	 an[0] actor[0] might[0] be[0] chosen[0] on[0] the[0] up[0] and[0] up[0] to[0] give[0] him[0] exposure[0] or[0] he[0] might[0] be[0] chosen[0] on[0] the[0] way[0] down[0] to[0] hand[0] him[0] a[0] paycheck[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
generally , though , the actor doesn't matter , and soldier , the latest from the beleaguered warner brothers , exemplifies this : the picture lacks pizazz . 	generally , though , the actor doesn't matter , and soldier , the latest from the beleaguered warner brothers , exemplifies this : the picture lacks pizaz .	1	-1	 generally[0] though[0] the[0] actor[0] doesn't[0] matter[0] and[0] soldier[0] the[0] latest[0] from[0] the[0] beleaguered[0] warner[0] brothers[0] exemplifies[0] this[0] the[0] picture[0] lacks[0] pizazz/pizaz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the star for the vehicle in this case is kurt russell , otherwise known as the man of thirty words or less . 	the star for the vehicle in this case is kurt russell , otherwise known as the man of thirty words or less .	1	-1	 the[0] star[0] for[0] the[0] vehicle[0] in[0] this[0] case[0] is[0] kurt[0] russell[0] otherwise[0] known[0] as[0] the[0] man[0] of[0] thirty[0] words[0] or[0] less[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
russell plays todd , a human trained from birth in the ways of waging war and becoming emotionally distanced from the carnage he has wrought . 	russell plays todd , a human trained from birth in the ways of waging war and becoming emotionally distanced from the carnage he has wrought .	2	-3	 russell[0] plays[1] todd[0] a[0] human[0] trained[0] from[0] birth[0] in[0] the[0] ways[0] of[0] waging[0] war[-2] and[0] becoming[0] emotionally[0] distanced[0] from[0] the[0] carnage[0] he[0] has[0] wrought[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the movie lets us see this degenerate process , but by the time the real plot starts , we're into todd's later years . 	the movie lets us see this degenerate process , but by the time the real plot starts , we're into todd's later years .	1	-2	 the[0] movie[0] lets[0] us[0] see[0] this[0] degenerate[-1] process[0] but[0] by[0] the[0] time[0] the[0] real[0] plot[0] starts[0] we're[0] into[0] todd's[0] later[0] years[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's about to be replaced by a new breed of soldiers , ones who , instead of being trained * from * birth , are genetically selected * before * birth . 	he's about to be replaced by a new breed of soldiers , ones who , instead of being trained * from * birth , are genetically selected * before * birth .	1	-1	 he's[0] about[0] to[0] be[0] replaced[0] by[0] a[0] new[0] breed[0] of[0] soldiers[0] ones[0] who[0] instead[0] of[0] being[0] trained[0] from[0] birth[0] are[0] genetically[0] selected[0] before[0] birth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pride of this class - caine 607 ( jason scott lee ) - will be our villain , and you know he's the villain because he has a staring contest with our hero near the movie's start . 	the pride of this class - caine 607 ( jason scot lee ) - will be our villain , and you know he's the villain because he has a staring contest with our hero near the movie's start .	3	-3	 the[0] pride[1] of[0] this[0] class[0] caine[0] 607[0] jason[0] scott/scot[0] lee[0] will[0] be[0] our[0] villain[-2] and[0] you[0] know[0] he's[0] the[0] villain[-2] because[0] he[0] has[0] a[0] staring[0] contest[0] with[0] our[0] hero[2] near[0] the[0] movie's[0] start[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
between the two leads , less than a full typed page of dialogue is spoken , and it's possible to imagine a script which is ninety percent stage direction . 	between the two leads , less than a full typed page of dialogue is spoken , and it's possible to imagine a script which is ninety percent stage direction .	1	-1	 between[0] the[0] two[0] leads[0] less[0] than[0] a[0] full[0] typed[0] page[0] of[0] dialogue[0] is[0] spoken[0] and[0] it's[0] possible[0] to[0] imagine[0] a[0] script[0] which[0] is[0] ninety[0] percent[0] stage[0] direction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director paul anderson , who helmed last year's icy thriller , event horizon , doesn't show any inventiveness here and instead is content to let the actions play out on screen ad nauseam . 	director paul anderson , who helmed last year's icy thriller , event horizon , doesn't show any inventiveness here and instead is content to let the actions play out on screen ad nauseam .	2	-1	 director[0] paul[0] anderson[0] who[0] helmed[0] last[0] year's[0] icy[0] thriller[1] event[0] horizon[0] doesn't[0] show[0] any[0] inventiveness[0] here[0] and[0] instead[0] is[0] content[0] to[0] let[0] the[0] actions[0] play[0] out[0] on[0] screen[0] ad[0] nauseam[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
todd , upon being replaced , is left to die on a garbage planet ; but in order to stretch the running time out , the villains return to the garbage planet on a " routine patrol " and set the stage for the final firefight . 	todd , upon being replaced , is left to die on a garbage planet ; but in order to stretch the running time out , the villains return to the garbage planet on a " routine patrol " and set the stage for the final firefight .	1	-3	 todd[0] upon[0] being[0] replaced[0] is[0] left[0] to[0] die[0] on[0] a[0] garbage[-2] planet[0] but[0] in[0] order[0] to[0] stretch[0] the[0] running[0] time[0] out[0] the[0] villains[-2] return[0] to[0] the[0] garbage[-2] planet[0] on[0] a[0] routine[0] patrol[0] and[0] set[0] the[0] stage[0] for[0] the[0] final[0] firefight[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
events are predictable from the time that the setups are made , and neither anderson nor scriptwriter david peoples attempts to show any creativeness here . 	events are predictable from the time that the setups are made , and neither anderson nor scriptwriter david peoples attempts to show any creativeness here .	1	-1	 events[0] are[0] predictable[0] from[0] the[0] time[0] that[0] the[0] setups[0] are[0] made[0] and[0] neither[0] anderson[0] nor[0] scriptwriter[0] david[0] peoples[0] attempts[0] to[0] show[0] any[0] creativeness[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the most annoying plot facet is the reason that the whole of the movie comes to be : todd fails to show physical superiority against caine - in fact , not even todd and two of his companions can best the baddie - but near the end of the movie he shows remarkable prowess with automatic weaponry . 	the most annoying plot facet is the reason that the whole of the movie comes to be : todd fails to show physical superiority against caine - in fact , not even todd and two of his companions can best the baddie - but near the end of the movie he shows remarkable prowess with automatic weaponry .	2	-3	 the[0] most[0] annoying[-2] plot[0] facet[0] is[0] the[0] reason[0] that[0] the[0] whole[0] of[0] the[0] movie[0] comes[0] to[0] be[0] todd[0] fails[-2] to[0] show[0] physical[0] superiority[0] against[-1] caine[0] in[0] fact[0] not[0] even[0] todd[0] and[0] two[0] of[0] his[0] companions[0] can[0] best[1] the[0] baddie[0] but[0] near[0] the[0] end[0] of[0] the[0] movie[0] he[0] shows[0] remarkable[0] prowess[0] with[0] automatic[0] weaponry[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's not as though todd undergoes any significant character changes throughout the plot of the story , and so the plot has a very canned feeling about it . 	it's not as though todd undergoes any significant character changes throughout the plot of the story , and so the plot has a very canned feeling about it .	1	-1	 it's[0] not[0] as[0] though[0] todd[0] undergoes[0] any[0] significant[0] character[0] changes[0] throughout[0] the[0] plot[0] of[0] the[0] story[0] and[0] so[0] the[0] plot[0] has[0] a[0] very[0] canned[0] feeling[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
