okay , bear with me y'all , cause first off i have to get this off my chest : 	Translation	Positive	Negative	EmotionRationale
what the hell is up with that damn crab ? ? ? 	what the hell is up with that damn crab ?<br> ?<br> ?	1	-2	 what[0] the[0] hell[-1] is[0] up[0] with[0] that[0] damn[-1] crab[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whew . okay . 	whew .<br> okay .	1	-1	 whew[0] [[Sentence=-1,1=word max, 1-5]] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cause that same clip shown over and over again was beginning to get on my nerves towards the end , as cute as the crab maybe . 	cause that same clip shown over and over again was beginning to get on my nerves towards the end , as cute as the crab maybe .	2	-1	 cause[0] that[0] same[0] clip[0] shown[0] over[0] and[0] over[0] again[0] was[0] beginning[0] to[0] get[0] on[0] my[0] nerves[0] towards[0] the[0] end[0] as[0] cute[1] as[0] the[0] crab[0] maybe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even i know that you need more footage than * that * . 	even i know that you need more footage than * that * .	1	-1	 even[0] i[0] know[0] that[0] you[0] need[0] more[0] footage[0] than[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that wasn't the only thing getting on my nerves . 	and that wasn't the only thing getting on my nerves .	1	-1	 and[0] that[0] wasn't[0] the[0] only[0] thing[0] getting[0] on[0] my[0] nerves[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cutesy gimmicks , saccharine sweet score / soundtrack and the pretty young faces of sarah michelle gellar ( as amanda ) and sean patrick flannery ( as tom ) might have held some appeal during , oh , say the first 10 minutes of the movie . 	the cutesy gimmicks , saccharine sweet score / soundtrack and the pretty young faces of sarah michelle gellar ( as amanda ) and sean patrick flannery ( as tom ) might have held some appeal during , oh , say the first 10 minutes of the movie .	3	-1	 the[0] cutesy[1] gimmicks[0] saccharine[0] sweet[1] score[0] /[0] soundtrack[0] and[0] the[0] pretty[2] young[0] faces[0] of[0] sarah[0] michelle[0] gellar[0] as[0] amanda[0] and[0] sean[0] patrick[0] flannery[0] as[0] tom[0] might[0] have[0] held[0] some[0] appeal[0] during[0] oh[0] say[0] the[0] first[0] 10[0] minutes[0] of[0] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at first the movie moves along at a quick , interesting pace . 	at first the movie moves along at a quick , interesting pace .	2	-1	 at[0] first[0] the[0] movie[0] moves[0] along[0] at[0] a[0] quick[0] interesting[1] pace[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is speedily established that something magical is about to happen to amanda when she encounters a totally random fairy godfather type person on the street , whose aforementioned crab follows her everywhere and just * doesn't * die . 	it is speedily established that something magical is about to happen to amanda when she encounters a totally random fairy godfather type person on the street , whose aforementioned crab follows her everywhere and just * doesn't * die .	1	-1	 it[0] is[0] speedily[0] established[0] that[0] something[0] magical[0] is[0] about[0] to[0] happen[0] to[0] amanda[0] when[0] she[0] encounters[0] a[0] totally[0] random[0] fairy[0] godfather[0] type[0] person[0] on[0] the[0] street[0] whose[0] aforementioned[0] crab[0] follows[0] her[0] everywhere[0] and[0] just[0] doesn't[0] die[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a ridiculous concept , yes , but at this point i'm willing to accept it because i'm willing to accept that this is how amanda's life is changed , how her powers are received . 	a ridiculous concept , yes , but at this point i'm willing to accept it because i'm willing to accept that this is how amanda's life is changed , how her powers are received .	1	-3	 a[0] ridiculous[-2] concept[0] yes[0] but[0] at[0] this[0] point[0] i'm[0] willing[0] to[0] accept[0] it[0] because[0] i'm[0] willing[0] to[0] accept[0] that[0] this[0] is[0] how[0] amanda's[0] life[0] is[0] changed[0] how[0] her[0] powers[0] are[0] received[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
later on , the movie can't seem to decide whether these powers come from this fairy godfather or from amanda falling in with tom . 	later on , the movie can't seem to decide whether these powers come from this fairy godfather or from amanda falling in with tom .	1	-1	 later[0] on[0] the[0] movie[0] can't[0] seem[0] to[0] decide[0] whether[0] these[0] powers[0] come[0] from[0] this[0] fairy[0] godfather[0] or[0] from[0] amanda[0] falling[0] in[0] with[0] tom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and this is why the clips of the crab were annoying ; they weren't just repetitive , they were out of place and unnecessary . 	and this is why the clips of the crab were annoying ; they weren't just repetitive , they were out of place and unnecessary .	1	-3	 and[0] this[0] is[0] why[0] the[0] clips[0] of[0] the[0] crab[0] were[0] annoying[-2] they[0] weren't[0] just[0] repetitive[0] they[0] were[0] out[0] of[0] place[0] and[0] unnecessary[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot stumbles along at an uneven speed , sometimes dwelling too long on a particular development ( amanda suddenly becoming a great chef , her falling in love with tom , etc . ) , sometimes moving on too quickly for its own good . 	the plot stumbles along at an uneven speed , sometimes dwelling too long on a particular development ( amanda suddenly becoming a great chef , her falling in love with tom , etc .<br> ) , sometimes moving on too quickly for its own good .	3	-2	 the[0] plot[0] stumbles[0] along[0] at[0] an[0] uneven[-1] speed[0] sometimes[0] dwelling[0] too[0] long[0] on[0] a[0] particular[0] development[0] amanda[0] suddenly[0] becoming[0] a[0] great[2] chef[0] her[0] falling[0] in[0] love[2] with[0] tom[0] etc[0] [[Sentence=-2,3=word max, 1-5]] sometimes[0] moving[0] on[0] too[0] quickly[0] for[0] its[0] own[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
some places the plot just doesn't make sense , sometimes it's way too contrived ( the crab bit , for example ) , and sometimes too corny ( peaches emitting dry ice . 	some places the plot just doesn't make sense , sometimes it's way too contrived ( the crab bit , for example ) , and sometimes too corny ( peaches emitting dry ice .	1	-1	 some[0] places[0] the[0] plot[0] just[0] doesn't[0] make[0] sense[0] sometimes[0] it's[0] way[0] too[0] contrived[0] the[0] crab[0] bit[0] for[0] example[0] and[0] sometimes[0] too[0] corny[0] peaches[0] emitting[0] dry[0] ice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can't beat that ) . 	can't beat that ) .	1	-1	 can't[0] beat[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all in all the plot seemed fragmented , unconnected . 	all in all the plot seemed fragmented , unconnected .	1	-1	 all[0] in[0] all[0] the[0] plot[0] seemed[0] fragmented[0] unconnected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not romantic at all , and only funny in some places . 	not romantic at all , and only funny in some places .	2	-4	 not[0] romantic[3][NegatedDueToPreviousWord] at[0] all[0] and[0] only[0] funny[1] in[0] some[0] places[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so , okay , do the magic powers come from the crab ? 	so , okay , do the magic powers come from the crab ?	1	-1	 so[0] okay[0] do[0] the[0] magic[0] powers[0] come[0] from[0] the[0] crab[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or the fairy godfather ? 	or the fairy godfather ?	1	-1	 or[0] the[0] fairy[0] godfather[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she can * float * now too ? 	she can * float * now too ?	1	-1	 she[0] can[0] float[0] now[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and all of a sudden , instead of just making dry ice come out of peaches , she can put her emotions into her food ? 	and all of a sudden , instead of just making dry ice come out of peaches , she can put her emotions into her food ?	1	-1	 and[0] all[0] of[0] a[0] sudden[0] instead[0] of[0] just[0] making[0] dry[0] ice[0] come[0] out[0] of[0] peaches[0] she[0] can[0] put[0] her[0] emotions[0] into[0] her[0] food[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tom all of a sudden just accepts amanda's " witchcraft " in the end ? 	tom all of a sudden just accepts amanda's " witchcraft " in the end ?	1	-2	 tom[0] all[0] of[0] a[0] sudden[0] just[0] accepts[0] amanda's[0] witchcraft[-1] in[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
would people really dine in a restaurant that resembles life after death in tupac's video ? 	would people really dine in a restaurant that resembles life after death in tupac's video ?	1	-3	 would[0] people[0] really[0] dine[0] in[0] a[0] restaurant[0] that[0] resembles[0] life[0] after[0] death[-2] in[0] tupac's[0] video[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what the hell is up with that damn crab ? 	what the hell is up with that damn crab ?	1	-2	 what[0] the[0] hell[-1] is[0] up[0] with[0] that[0] damn[-1] crab[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is unfortunate , because i liked the basic premise of the movie , until it became too fantastical and tiresome . 	it is unfortunate , because i liked the basic premise of the movie , until it became too fantastical and tiresome .	3	-2	 it[0] is[0] unfortunate[-1] because[0] i[0] liked[2] the[0] basic[0] premise[0] of[0] the[0] movie[0] until[0] it[0] became[0] too[0] fantastical[0] and[0] tiresome[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film seemed to skirt around a serious theme or at least * a * theme for a while , but towards the end it resolved to show us long flashback clips and 5 minutes of people crying at their tables . 	the film seemed to skirt around a serious theme or at least * a * theme for a while , but towards the end it resolved to show us long flashback clips and 5 minutes of people crying at their tables .	2	-4	 the[0] film[0] seemed[0] to[0] skirt[0] around[0] a[0] serious[-1] theme[0] or[0] at[0] least[0] a[0] theme[0] for[0] a[0] while[0] but[0] towards[0] the[0] end[0] it[0] resolved[1] to[0] show[0] us[0] long[0] flashback[0] clips[0] and[0] 5[0] minutes[0] of[0] people[0] crying[-3] at[0] their[0] tables[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the humor was good in some places ( nolan gets the funniest bits , including that incomprehensible , totally random thing with the dolls ) . 	the humor was good in some places ( nolan gets the funniest bits , including that incomprehensible , totally random thing with the dolls ) .	3	-1	 the[0] humor[2] was[0] good[1] in[0] some[0] places[0] nolan[0] gets[0] the[0] funniest[1] bits[0] including[0] that[0] incomprehensible[0] totally[0] random[0] thing[0] with[0] the[0] dolls[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
gellar and flannery are qualified actors , and gellar has a particular charm , but i much prefer her playing the saucy buffy ( or even annette in the upcoming " cruel intentions " ) than this sorry excuse for a character . 	gellar and flannery are qualified actors , and gellar has a particular charm , but i much prefer her playing the saucy buffy ( or even annette in the upcoming " cruel intentions " ) than this sorry excuse for a character .	2	-4	 gellar[0] and[0] flannery[0] are[0] qualified[0] actors[0] and[0] gellar[0] has[0] a[0] particular[0] charm[1] but[0] i[0] much[0] prefer[0] her[0] playing[1] the[0] saucy[0] buffy[0] or[0] even[0] annette[0] in[0] the[0] upcoming[0] cruel[-3] intentions[0] than[0] this[0] sorry[-1] excuse[0] for[0] a[0] character[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's almost funny sometimes to see these two trying so hard to make the dialogue sound better than it is , or trying to make the relationship seem more plausible . 	it's almost funny sometimes to see these two trying so hard to make the dialogue sound better than it is , or trying to make the relationship seem more plausible .	2	-1	 it's[0] almost[0] funny[1] sometimes[0] to[0] see[0] these[0] two[0] trying[0] so[0] hard[0] to[0] make[0] the[0] dialogue[0] sound[0] better[0] than[0] it[0] is[0] or[0] trying[0] to[0] make[0] the[0] relationship[0] seem[0] more[0] plausible[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
