my inner flag was at half-mast last year when nick at nite pulled " dragnet " reruns off the air . 	Translation	Positive	Negative	EmotionRationale
sure , i'd seen them all at least once , but i could always count on at least a few inadvertent laughs from ultra-serious jack webb when there was nothing else on tv . 	sure , i'd seen them all at least once , but i could always count on at least a few inadvertent laughs from ultra-serious jack web when there was nothing else on tv .	2	-2	 sure[0] i'd[0] seen[0] them[0] all[0] at[0] least[0] once[0] but[0] i[0] could[0] always[0] count[0] on[0] at[0] least[0] a[0] few[0] inadvertent[0] laughs[1] from[0] ultra[0] serious[-1] jack[0] webb/web[0] when[0] there[0] was[0] nothing[0] else[0] on[0] tv[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even though " dragnet " is out of circulation at the moment , we webb anti-fans still have the d . i . , a 50's propaganda piece for the military that is almost as hilarious as the famous " blue boy " episode of " dragnet . " 	even though " dragnet " is out of circulation at the moment , we web anti-fans still have the d .<br> i .<br> , a 50's propaganda piece for the military that is almost as hilarious as the famous " blue boy " episode of " dragnet .<br> "	3	-2	 even[0] though[0] dragnet[0] is[0] out[0] of[0] circulation[0] at[0] the[0] moment[0] we[0] webb/web[0] anti[0] fans[0] still[0] have[0] the[0] d[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]] a[0] 50's[0] propaganda[-1] piece[0] for[0] the[0] military[0] that[0] is[0] almost[0] as[0] hilarious[2] as[0] the[0] famous[0] blue[0] boy[0] episode[0] of[0] dragnet[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
for anyone like me who got laughs out of webb's rapid-fire speeches and straight-faced seriousness , think of the d . i . 	for anyone like me who got laughs out of webb's rapid-fire speeches and straight-faced seriousness , think of the d .<br> i .	2	-2	 for[0] anyone[0] like[1] me[0] who[0] got[0] laughs[1] out[0] of[0] webb's[0] rapid[0] fire[0] speeches[0] and[0] straight[0] faced[0] seriousness[-1] think[0] of[0] the[0] d[0] [[Sentence=-2,2=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
as what would happen if sgt . 	as what would happen if sgt .	1	-1	 as[0] what[0] would[0] happen[0] if[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
joe friday ever enlisted , because he plays exactly the same character here , a no-nonsense old fart who looks with disdain at the younger generation and loves to give long- winded , melodramatic speeches on any topic . 	joe friday ever enlisted , because he plays exactly the same character here , a no-nonsense old fart who looks with disdain at the younger generation and loves to give long- winded , melodramatic speeches on any topic .	3	-2	 joe[0] friday[0] ever[0] enlisted[0] because[0] he[0] plays[1] exactly[0] the[0] same[0] character[0] here[0] a[0] no[0] nonsense[-1] old[0] fart[0] who[0] looks[0] with[0] disdain[-1] at[0] the[0] younger[0] generation[0] and[0] loves[2] to[0] give[0] long[0] winded[0] melodramatic[-1] speeches[0] on[0] any[0] topic[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in this election year , i'm more convinced than ever that webb and bob dole were separated at birth . 	in this election year , i'm more convinced than ever that web and bob dole were separated at birth .	1	-1	 in[0] this[0] election[0] year[0] i'm[0] more[0] convinced[0] than[0] ever[0] that[0] webb/web[0] and[0] bob[0] dole[0] were[0] separated[0] at[0] birth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie opens in characteristic fashion as one recruit after another knocks on webb's office door and enters . 	the movie opens in characteristic fashion as one recruit after another knocks on webb's office door and enters .	1	-1	 the[0] movie[0] opens[0] in[0] characteristic[0] fashion[0] as[0] one[0] recruit[0] after[0] another[0] knocks[0] on[0] webb's[0] office[0] door[0] and[0] enters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he gives each one a different series of cranky criticisms before the credits come up . 	he gives each one a different series of cranky criticisms before the credits come up .	1	-2	 he[0] gives[0] each[0] one[0] a[0] different[0] series[0] of[0] cranky[-1] criticisms[-1] before[0] the[0] credits[0] come[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the " produced and directed by jack webb " card pretty much goes without saying . 	the " produced and directed by jack web " card pretty much goes without saying .	3	-1	 the[0] produced[0] and[0] directed[0] by[0] jack[0] webb/web[0] card[0] pretty[2] much[0] goes[0] without[0] saying[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is his movie all the way , and after the first twenty minutes of him chewing out his recruits for no reason , i was wondering if there would even be a plot . 	this is his movie all the way , and after the first twenty minutes of him chewing out his recruits for no reason , i was wondering if there would even be a plot .	1	-1	 this[0] is[0] his[0] movie[0] all[0] the[0] way[0] and[0] after[0] the[0] first[0] twenty[0] minutes[0] of[0] him[0] chewing[0] out[0] his[0] recruits[0] for[0] no[0] reason[0] i[0] was[0] wondering[0] if[0] there[0] would[0] even[0] be[0] a[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i certainly would have been entertained by an hour and a half of trademark webb rants , but the d . i . 	i certainly would have been entertained by an hour and a half of trademark web rants , but the d .<br> i .	1	-1	 i[0] certainly[0] would[0] have[0] been[0] entertained[0] by[0] an[0] hour[0] and[0] a[0] half[0] of[0] trademark[0] webb/web[0] rants[0] but[0] the[0] d[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gives us more -- much more . 	gives us more - much more .	1	-1	 gives[0] us[0] more[0] much[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
webb's mission is to make a man out of private owens , the local screw-up . 	webb's mission is to make a man out of private owens , the local screw-up .	1	-1	 webb's[0] mission[0] is[0] to[0] make[0] a[0] man[0] out[0] of[0] private[0] owens[0] the[0] local[0] screw[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the captain gives webb three days to convert owens into marine material or , the captain will " personally cut the lace off his panties and ship him out myself . " 	the captain gives web three days to convert owens into marine material or , the captain will " personally cut the lace off his panties and ship him out myself .<br> "	1	-1	 the[0] captain[0] gives[0] webb/web[0] three[0] days[0] to[0] convert[0] owens[0] into[0] marine[0] material[0] or[0] the[0] captain[0] will[0] personally[0] cut[0] the[0] lace[0] off[0] his[0] panties[0] and[0] ship[0] him[0] out[0] myself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( whether the " lace panties " part refers to webb or owens remains unanswered . ) 	 ( whether the " lace panties " part refers to web or owens remains unanswered .<br> )	1	-1	 whether[0] the[0] lace[0] panties[0] part[0] refers[0] to[0] webb/web[0] or[0] owens[0] remains[0] unanswered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this , of course , gives webb an excuse to focus all his crotchety energy on making owens' life a living hell . 	this , of course , gives web an excuse to focus all his crotchety energy on making owens' life a living hell .	1	-2	 this[0] of[0] course[0] gives[0] webb/web[0] an[0] excuse[0] to[0] focus[0] all[0] his[0] crotchety[0] energy[0] on[0] making[0] owens'[0] life[0] a[0] living[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for those of you who haven't been indoctrinated into the pleasures of webb watching , here's a reprint of a typical monologue of his . 	for those of you who haven't been indoctrinated into the pleasures of web watching , here's a reprint of a typical monologue of his .	3	-1	 for[0] those[0] of[0] you[0] who[0] haven't[0] been[0] indoctrinated[0] into[0] the[0] pleasures[2] of[0] webb/web[0] watching[0] here's[0] a[0] reprint[0] of[0] a[0] typical[0] monologue[0] of[0] his[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i can't duplicate his hilarious delivery on paper , but the words should at least partially convey what i'm talking about . . . 	i can't duplicate his hilarious delivery on paper , but the words should at least partially convey what i'm talking about .<br> .<br> .	3	-1	 i[0] can't[0] duplicate[0] his[0] hilarious[2] delivery[0] on[0] paper[0] but[0] the[0] words[0] should[0] at[0] least[0] partially[0] convey[0] what[0] i'm[0] talking[0] about[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " now you listen to me , youngster . 	 " now you listen to me , youngster .	1	-1	 now[0] you[0] listen[0] to[0] me[0] youngster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
someday you'll wake up fighting on a beach and you'll pray to god somebody doesn't get killed because of your foolishness . . . 	someday you'll wake up fighting on a beach and you'll pray to god somebody doesn't get killed because of your foolishness .<br> .<br> .	1	-4	 someday[0] you'll[0] wake[0] up[0] fighting[-2] on[0] a[0] beach[0] and[0] you'll[0] pray[0] to[0] god[0] somebody[0] doesn't[0] get[0] killed[-3] because[0] of[0] your[0] foolishness[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i've got a headline for you : every time you make one of those little mistakes of yours , you're gonna turn around and i'll be standing right there . " 	i've got a headline for you : every time you make one of those little mistakes of yours , you're gonna turn around and i'll be standing right there .<br> "	1	-2	 i've[0] got[0] a[0] headline[0] for[0] you[0] every[0] time[0] you[0] make[0] one[0] of[0] those[0] little[0] mistakes[-1] of[0] yours[0] you're[0] gonna[0] turn[0] around[0] and[0] i'll[0] be[0] standing[0] right[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i couldn't write down all the reprintable dialogue from the d . i . 	i couldn't write down all the reprintable dialogue from the d .<br> i .	1	-1	 i[0] couldn't[0] write[0] down[0] all[0] the[0] reprintable[0] dialogue[0] from[0] the[0] d[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
