there's only one presidential election every four years , but it seems like every few months we get another presidential conspiracy movie painted as _the_ thriller of the year . 	Translation	Positive	Negative	EmotionRationale
in 1997 , we've had absolute power , air force one , shadow conspiracy and murder at 1600 . 	in 1997 , we've had absolute power , air force one , shadow conspiracy and murder at 1600 .	1	-4	 in[0] 1997[0] we've[0] had[0] absolute[0] power[0] air[0] force[-1] one[0] shadow[0] conspiracy[-1] and[0] murder[-3] at[0] 1600[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this one is about as lame duck as old gerald ford , trying to bring us a complex plot of cover-up and intrigue but copping out over and over again with rehashes of action flick standbys . 	this one is about as lame duck as old gerald ford , trying to bring us a complex plot of cover-up and intrigue but coping out over and over again with rehashes of action flick standbys .	1	-3	 this[0] one[0] is[0] about[0] as[0] lame[-2] duck[0] as[0] old[0] gerald[0] ford[0] trying[0] to[0] bring[0] us[0] a[0] complex[0] plot[0] of[0] cover[0] up[0] and[0] intrigue[0] but[0] copping/coping[0] out[0] over[0] and[0] over[0] again[0] with[0] rehashes[0] of[0] action[0] flick[0] standbys[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
here's what happens this time . 	here's what happens this time .	1	-1	 here's[0] what[0] happens[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's night at the white house . 	it's night at the white house .	1	-1	 it's[0] night[0] at[0] the[0] white[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a secretary is having sex with some unidentified guy with a cute butt . 	a secretary is having sex with some unidentified guy with a cute butt .	2	-1	 a[0] secretary[0] is[0] having[0] sex[0] with[0] some[0] unidentified[0] guy[0] with[0] a[0] cute[1] butt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the next day she's dead and hotshot detective wesley snipes is called in . 	the next day she's dead and hotshot detective wesley snipes is called in .	1	-3	 the[0] next[0] day[0] she's[0] dead[-2] and[0] hotshot[0] detective[0] wesley[0] snipes[0] is[0] called[0] in[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how do we know he's a hotshot ? 	how do we know he's a hotshot ?	1	-1	 how[0] do[0] we[0] know[0] he's[0] a[0] hotshot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we've seen the traditional action flick opener -- the clever hostage negotiation scene . 	we've seen the traditional action flick opener - the clever hostage negotiation scene .	1	-1	 we've[0] seen[0] the[0] traditional[0] action[0] flick[0] opener[0] the[0] clever[0] hostage[0] negotiation[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not so clever this time , consisting of snipes disarming a suicidal ex-government employee holding a gun to his head in the middle of the street . 	it's not so clever this time , consisting of snipes disarming a suicidal ex-government employee holding a gun to his head in the middle of the street .	1	-2	 it's[0] not[0] so[0] clever[0] this[0] time[0] consisting[0] of[0] snipes[0] disarming[0] a[0] suicidal[0] ex[0] government[0] employee[0] holding[0] a[0] gun[-1] to[0] his[0] head[0] in[0] the[0] middle[0] of[0] the[0] street[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
snipes is off to the white house , where he finds the secret service head ( the shiny bald head of daniel benzali ) won't cooperate with him at all . 	snipes is off to the white house , where he finds the secret service head ( the shiny bald head of daniel benzali ) won't cooperate with him at all .	1	-1	 snipes[0] is[0] off[0] to[0] the[0] white[0] house[0] where[0] he[0] finds[0] the[0] secret[0] service[0] head[0] the[0] shiny[0] bald[0] head[0] of[0] daniel[0] benzali[0] won't[0] cooperate[0] with[0] him[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
