you know something , christmas is not about presents . 	Translation	Positive	Negative	EmotionRationale
it's about over-hyped holiday films with lots of merchandising and product tie-ins . 	it's about over-hyped holiday films with lots of merchandising and product tie-ins .	1	-1	 it's[0] about[0] over[0] hyped[0] holiday[0] films[0] with[0] lots[0] of[0] merchandising[0] and[0] product[0] tie[0] ins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at least that would seem to be the message of " the grinch , " which has been advertised since last christmas and whose logo is currently plastered all over stores . 	at least that would seem to be the message of " the grinch , " which has been advertised since last christmas and whose logo is currently plastered all over stores .	1	-1	 at[0] least[0] that[0] would[0] seem[0] to[0] be[0] the[0] message[0] of[0] the[0] grinch[0] which[0] has[0] been[0] advertised[0] since[0] last[0] christmas[0] and[0] whose[0] logo[0] is[0] currently[0] plastered[0] all[0] over[0] stores[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hollywood expects us to ignore this cynical greed as the movie scolds us about losing the true spirit of the season . 	hollywood expects us to ignore this cynical greed as the movie scolds us about losing the true spirit of the season .	2	-3	 hollywood[0] expects[0] us[0] to[0] ignore[0] this[0] cynical[-1] greed[-2] as[0] the[0] movie[0] scolds[-1] us[0] about[0] losing[-2] the[0] true[1] spirit[0] of[0] the[0] season[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you know the plot : there's this evil furry green guy called the grinch ( jim carrey ) who lives on a mountain overlooking whoville . 	you know the plot : there's this evil furry green guy called the grinch ( jim carrey ) who lives on a mountain overlooking whoville .	1	-3	 you[0] know[0] the[0] plot[0] there's[0] this[0] evil[-2] furry[0] green[0] guy[0] called[0] the[0] grinch[0] jim[0] carrey[0] who[0] lives[0] on[0] a[0] mountain[0] overlooking[-1] whoville[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
down below all the whos are preparing for their whobilation , but the grinch is determined to steal their christmas . 	down below all the whos are preparing for their whobilation , but the grinch is determined to steal their christmas .	1	-3	 down[0] below[0] all[0] the[0] whos[0] are[0] preparing[0] for[0] their[0] whobilation[0] but[0] the[0] grinch[0] is[0] determined[0] to[0] steal[-2] their[0] christmas[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie is , of course , a live-action version of the beloved children's book , which was previously adapted into a 1966 tv special by looney tunes animator chuck jones . 	the movie is , of course , a live-action version of the beloved children's book , which was previously adapted into a 1966 tv special by looney tunes animator chuck jones .	3	-1	 the[0] movie[0] is[0] of[0] course[0] a[0] live[0] action[0] version[0] of[0] the[0] beloved[2] children's[0] book[0] which[0] was[0] previously[0] adapted[0] into[0] a[0] 1966[0] tv[0] special[1] by[0] looney[0] tunes[0] animator[0] chuck[0] jones[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's rare that a big budget hollywood release is shamed by a thirty-year-old half-hour cartoon , but that's the case when jones' version is compared to ron howard's . 	it's rare that a big budget hollywood release is shamed by a thirty-year-old half-hour cartoon , but that's the case when jones' version is compared to ron howard's .	1	-3	 it's[0] rare[0] that[0] a[0] big[0] budget[0] hollywood[0] release[0] is[0] shamed[-2] by[0] a[0] thirty[0] year[0] old[0] half[0] hour[0] cartoon[0] but[0] that's[0] the[0] case[0] when[0] jones'[0] version[0] is[0] compared[0] to[0] ron[0] howard's[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the tv grinch hit all the right notes : boris karloff's soft , deep narration ; thurl ravenscroft singing " mr . grinch " ; max the dog weighed down by the gigantic antler tied to his head ; and the grinch's wide , toothless grin . 	the tv grinch hit all the right notes : boris karloff's soft , deep narration ; thurl ravenscroft singing " mr .<br> grinch " ; max the dog weighed down by the gigantic antler tied to his head ; and the grinch's wide , toothless grin .	2	-1	 the[0] tv[0] grinch[0] hit[0] all[0] the[0] right[0] notes[0] boris[0] karloff's[0] soft[0] deep[0] narration[0] thurl[0] ravenscroft[0] singing[0] mr[0] [[Sentence=-1,1=word max, 1-5]] grinch[0] max[0] the[0] dog[0] weighed[0] down[0] by[0] the[0] gigantic[0] antler[0] tied[0] to[0] his[0] head[0] and[0] the[0] grinch's[0] wide[0] toothless[0] grin[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by contrast , the movie hits one sour note after another . 	by contrast , the movie hits one sour note after another .	1	-2	 by[0] contrast[0] the[0] movie[0] hits[0] one[0] sour[-1] note[0] after[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first , there are the numerous bad choices that jeffrey price and peter seaman made in padding out the short book into a 105-minute movie . 	first , there are the numerous bad choices that jeffrey price and peter seaman made in padding out the short book into a 105-minute movie .	1	-2	 first[0] there[0] are[0] the[0] numerous[0] bad[-1] choices[0] that[0] jeffrey[0] price[0] and[0] peter[0] seaman[0] made[0] in[0] padding[0] out[0] the[0] short[0] book[0] into[0] a[0] 105[0] minute[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
