stallone attempts to 'act' in this cop drama . 	Translation	Positive	Negative	EmotionRationale
the film is set in a neighbourhood pratically built by kietal , who's nephew ( played by michael rappaport ) is involved in a car crash and killing of two black youths . 	the film is set in a neighbourhood pratically built by kietal , who's nephew ( played by michael rappaport ) is involved in a car crash and killing of two black youths .	1	-2	 the[0] film[0] is[0] set[0] in[0] a[0] neighbourhood[0] pratically[0] built[0] by[0] kietal[0] who's[0] nephew[0] played[0] by[0] michael[0] rappaport[0] is[0] involved[0] in[0] a[0] car[0] crash[0] and[0] killing[-1] of[0] two[0] black[0] youths[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
keital dosen't really want to get involved in anything , gets rid of rappaport , and stallone and de niro try to work out what the hell is going on . 	keital dosen't really want to get involved in anything , gets rid of rappaport , and stallone and de niro try to work out what the hell is going on .	1	-2	 keital[0] dosen't[0] really[0] want[0] to[0] get[0] involved[0] in[0] anything[0] gets[0] rid[-1] of[0] rappaport[0] and[0] stallone[0] and[0] de[0] niro[0] try[0] to[0] work[0] out[0] what[0] the[0] hell[-1] is[0] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film should be brilliant . 	this film should be brilliant .	2	-1	 this[0] film[0] should[0] be[0] brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it sounds like a great plot , the actors are first grade , and the supporting cast is good aswell , and stallone is attempting to deliver a good performance . 	it sounds like a great plot , the actors are first grade , and the supporting cast is good aswell , and stallone is attempting to deliver a good performance .	3	-1	 it[0] sounds[0] like[1] a[0] great[2] plot[0] the[0] actors[0] are[0] first[0] grade[0] and[0] the[0] supporting[1] cast[0] is[0] good[1] aswell[0] and[0] stallone[0] is[0] attempting[0] to[0] deliver[0] a[0] good[1] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however , it can't hold up . 	however , it can't hold up .	1	-1	 however[0] it[0] can't[0] hold[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although the acting is fantastic ( even stallone isn't bad ) the directing and story is dull and long winded 	although the acting is fantastic ( even stallone isn't bad ) the directing and story is dull and long winded	3	-2	 although[0] the[0] acting[0] is[0] fantastic[2] even[0] stallone[0] isn't[0] bad[-1][NegatedDueToPreviousWord] the[0] directing[0] and[0] story[0] is[0] dull[-1] and[0] long[0] winded[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
some scenes go on for too long , with nothing really happening in them . 	some scenes go on for too long , with nothing really happening in them .	1	-1	 some[0] scenes[0] go[0] on[0] for[0] too[0] long[0] with[0] nothing[0] really[0] happening[0] in[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , the only scenes that do work are action scenes , which i suspect stallone was trying to avoid . 	in fact , the only scenes that do work are action scenes , which i suspect stallone was trying to avoid .	1	-2	 in[0] fact[0] the[0] only[0] scenes[0] that[0] do[0] work[0] are[0] action[0] scenes[0] which[0] i[0] suspect[-1] stallone[0] was[0] trying[0] to[0] avoid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this film , serious means dull . 	in this film , serious means dull .	1	-2	 in[0] this[0] film[0] serious[-1] means[0] dull[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dialogue is warbling , and basically just repeats the same points over and over , no matter who is delivering them . 	the dialogue is warbling , and basically just repeats the same points over and over , no matter who is delivering them .	1	-1	 the[0] dialogue[0] is[0] warbling[0] and[0] basically[0] just[0] repeats[0] the[0] same[0] points[0] over[0] and[0] over[0] no[0] matter[0] who[0] is[0] delivering[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot , which has potential , is wasted , again just being cliched after a while . 	the plot , which has potential , is wasted , again just being cliched after a while .	1	-2	 the[0] plot[0] which[0] has[0] potential[0] is[0] wasted[-1] again[0] just[0] being[0] cliched[0] after[0] a[0] while[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , the only thing that does keep the film going is kietal and de niro , both delivering their usual good performances . 	in fact , the only thing that does keep the film going is kietal and de niro , both delivering their usual good performances .	2	-1	 in[0] fact[0] the[0] only[0] thing[0] that[0] does[0] keep[0] the[0] film[0] going[0] is[0] kietal[0] and[0] de[0] niro[0] both[0] delivering[0] their[0] usual[0] good[1] performances[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , stallone , although not given much to say , gives a good performance . 	however , stallone , although not given much to say , gives a good performance .	2	-1	 however[0] stallone[0] although[0] not[0] given[0] much[0] to[0] say[0] gives[0] a[0] good[1] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , it's not all that bad . 	however , it's not all that bad .	1	-2	 however[0] it's[0] not[0] all[0] that[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as said above , the action scenes are well done . 	as said above , the action scenes are well done .	1	-1	 as[0] said[0] above[0] the[0] action[0] scenes[0] are[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
