the first species was a moderately-successful science fiction yarn that diverted audiences with some nifty special effects , a few well- paced action sequences , and frequent views of model-turned-actress natasha henstridge sans clothing . 	Translation	Positive	Negative	EmotionRationale
however , it was definitely not a movie that cried out for a sequel . 	however , it was definitely not a movie that cried out for a sequel .	1	-4	 however[0] it[0] was[0] definitely[0] not[0] a[0] movie[0] that[0] cried[-3] out[0] for[0] a[0] sequel[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and , considering the quality of species 2 , it's obvious that mgm should have stopped while they were ahead . 	and , considering the quality of species 2 , it's obvious that mgm should have stopped while they were ahead .	1	-1	 and[0] considering[0] the[0] quality[0] of[0] species[0] 2[0] it's[0] obvious[0] that[0] mgm[0] should[0] have[0] stopped[0] while[0] they[0] were[0] ahead[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only thing that distinguishes species 2 is how awful it is . 	the only thing that distinguishes species 2 is how awful it is .	1	-4	 the[0] only[0] thing[0] that[0] distinguishes[0] species[0] 2[0] is[0] how[0] awful[-3] it[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if you throw away the plot , which is characterized by a blatant disregard for intelligence , logic , coherence , and consistency , species 2 actually has a few things to recommend it to a select audience . 	if you throw away the plot , which is characterized by a blatant disregard for intelligence , logic , coherence , and consistency , species 2 actually has a few things to recommend it to a select audience .	1	-2	 if[0] you[0] throw[0] away[0] the[0] plot[0] which[0] is[0] characterized[0] by[0] a[0] blatant[-1] disregard[-1] for[0] intelligence[0] logic[0] coherence[0] and[0] consistency[0] species[0] 2[0] actually[0] has[0] a[0] few[0] things[0] to[0] recommend[0] it[0] to[0] a[0] select[0] audience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , that audience is primarily comprised of teenage boys ( who , at least in theory , shouldn't be able to get into an " r " -rated film ) and connoisseurs of bad movies . 	of course , that audience is primarily comprised of teenage boys ( who , at least in theory , shouldn't be able to get into an " are " -rated film ) and connoisseurs of bad movies .	1	-2	 of[0] course[0] that[0] audience[0] is[0] primarily[0] comprised[0] of[0] teenage[0] boys[0] who[0] at[0] least[0] in[0] theory[0] shouldn't[0] be[0] able[0] to[0] get[0] into[0] an[0] r[0] rated[0] film[0] and[0] connoisseurs[0] of[0] bad[-1] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's enough blood , gore , simulated sex , and bare flesh in species 2 to prevent it from ever becoming boring . 	there's enough blood , gore , simulated sex , and bare flesh in species 2 to prevent it from ever becoming boring .	1	-2	 there's[0] enough[0] blood[0] gore[0] simulated[0] sex[0] and[0] bare[0] flesh[0] in[0] species[0] 2[0] to[0] prevent[0] it[0] from[0] ever[0] becoming[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a grade z exploitation flick that's ripe for the mystery science theater 3000 treatment . 	this is a grade z exploitation flick that's ripe for the mystery science theater 300 treatment .	1	-1	 this[0] is[0] a[0] grade[0] z[0] exploitation[0] flick[0] that's[0] ripe[0] for[0] the[0] mystery[0] science[0] theater[0] 3000/300[0] treatment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
somewhere , someplace , i recall hearing species 2 described as " erotic . " 	somewhere , someplace , i recall hearing species 2 described as " erotic .<br> "	1	-1	 somewhere[0] someplace[0] i[0] recall[0] hearing[0] species[0] 2[0] described[0] as[0] erotic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i would love to know who used with that adjective for this movie , because he ( or she ) has a peculiar notion of eroticism . 	i would love to know who used with that adjective for this movie , because he ( or she ) has a peculiar notion of eroticism .	2	-1	 i[0] would[0] love[2][-1 LastWordBoosterStrength] to[0] know[0] who[0] used[0] with[0] that[0] adjective[0] for[0] this[0] movie[0] because[0] he[0] or[0] she[0] has[0] a[0] peculiar[0] notion[0] of[0] eroticism[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sure , there's a lot of sex and nudity , but it's almost always accompanied by the ripping open of a woman's abdomen as an alien baby claws its way free , splattering blood and gore in all directions . 	sure , there's a lot of sex and nudity , but it's almost always accompanied by the ripping open of a woman's abdomen as an alien baby claws its way free , splattering blood and gore in all directions .	2	-2	 sure[0] there's[0] a[0] lot[0] of[0] sex[0] and[0] nudity[0] but[0] it's[0] almost[0] always[0] accompanied[0] by[0] the[0] ripping[0] open[0] of[0] a[0] woman's[0] abdomen[0] as[0] an[0] alien[-1] baby[1] claws[0] its[0] way[0] free[0] splattering[0] blood[0] and[0] gore[0] in[0] all[0] directions[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
