at first glance , i thought that the sword and the sorceror had promise . 	Translation	Positive	Negative	EmotionRationale
its plotline goes like this : the evil king cromwell , desiring to take over the world , resurrects an evil , ancient sorceror , xusia for power . 	its plotline goes like this : the evil king cromwell , desiring to take over the world , resurrects an evil , ancient sorceror , xusia for power .	2	-3	 its[0] plotline[0] goes[0] like[1] this[0] the[0] evil[-2] king[0] cromwell[0] desiring[0] to[0] take[0] over[0] the[0] world[0] resurrects[0] an[0] evil[-2] ancient[0] sorceror[0] xusia[0] for[0] power[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he attacks the kingdom of eh-dan and kills young prince talon's parents . 	he attacks the kingdom of eh-dan and kills young prince talon's parents .	1	-3	 he[0] attacks[-2] the[0] kingdom[0] of[0] eh[0] dan[0] and[0] kills[0] young[0] prince[0] talon's[0] parents[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
given a triple-bladed sword ( which can shoot bad guys , like a gun ) by his dying father , talon vows for revenge . 	given a triple-bladed sword ( which can shoot bad guys , like a gun ) by his dying father , talon vows for revenge .	2	-2	 given[0] a[0] triple[0] bladed[0] sword[0] which[0] can[0] shoot[-1] bad[-1] guys[0] like[1] a[0] gun[-1] by[0] his[0] dying[-1] father[0] talon[0] vows[0] for[0] revenge[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eleven years later , when he's established his own army , the mercaneries , he vows to take back his kingdom . 	eleven years later , when he's established his own army , the mercaneries , he vows to take back his kingdom .	1	-1	 eleven[0] years[0] later[0] when[0] he's[0] established[0] his[0] own[0] army[0] the[0] mercaneries[0] he[0] vows[0] to[0] take[0] back[0] his[0] kingdom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way , he meets up with alana , whose village is attacked by drunken guards and her brother is kidnapped by cromwell . 	along the way , he meets up with alana , whose village is attacked by drunken guards and her brother is kidnapped by cromwell .	1	-3	 along[0] the[0] way[0] he[0] meets[0] up[0] with[0] alana[0] whose[0] village[0] is[0] attacked[-2] by[0] drunken[-1] guards[0] and[0] her[0] brother[0] is[0] kidnapped[0] by[0] cromwell[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
talon vows to help , and , after a series of minor escapades , eventually ends up rescuing alana's brother ( and several other prisoners ) , only to be captured himself ( in other words , put on a cross to be crucified ! ) . 	talon vows to help , and , after a series of minor escapades , eventually ends up rescuing alana's brother ( and several other prisoners ) , only to be captured himself ( in other words , put on a cross to be crucified !<br> ) .	1	-2	 talon[0] vows[0] to[0] help[0] and[0] after[0] a[0] series[0] of[0] minor[0] escapades[0] eventually[0] ends[0] up[0] rescuing[0] alana's[0] brother[0] and[0] several[0] other[0] prisoners[-1] only[0] to[0] be[0] captured[-1] himself[0] in[0] other[0] words[0] put[0] on[0] a[0] cross[-1] to[0] be[0] crucified[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fortunately he frees himself , rescues alana from marrying cromwell , defeats xusia , and then cromwell , all with his triple bladed sword ( during the final battle , the blade breaks , but talon finishes cromwell off by using a hidden dagger in the blade ) . 	fortunately he frees himself , rescues alana from marrying cromwell , defeats xusia , and then cromwell , all with his triple bladed sword ( during the final battle , the blade breaks , but talon finishes cromwell off by using a hidden dagger in the blade ) .	1	-2	 fortunately[0] he[0] frees[0] himself[0] rescues[0] alana[0] from[0] marrying[0] cromwell[0] defeats[0] xusia[0] and[0] then[0] cromwell[0] all[0] with[0] his[0] triple[0] bladed[0] sword[0] during[0] the[0] final[0] battle[-1] the[0] blade[0] breaks[0] but[0] talon[0] finishes[0] cromwell[0] off[0] by[0] using[0] a[0] hidden[0] dagger[0] in[0] the[0] blade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then , everything ends happily . 	then , everything ends happily .	3	-1	 then[0] everything[0] ends[0] happily[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , the sword and the sorcerer is not even half as good as it sounds . 	unfortunately , the sword and the sorcerer is not even half as good as it sounds .	2	-2	 unfortunately[-1] the[0] sword[0] and[0] the[0] sorcerer[0] is[0] not[0] even[0] half[0] as[0] good[1] as[0] it[0] sounds[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what would have been a great film is completely destroyed by uneven plot jumping , bad acting , and gruesomely gory , bloody scenes . 	what would have been a great film is completely destroyed by uneven plot jumping , bad acting , and gruesomely gory , bloody scenes .	3	-4	 what[0] would[0] have[0] been[0] a[0] great[2] film[0] is[0] completely[0] destroyed[-2][-1 LastWordBoosterStrength] by[0] uneven[-1] plot[0] jumping[0] bad[-1] acting[0] and[0] gruesomely[0] gory[0] bloody[-1] scenes[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
