the most interesting part of " can't hardly wait " just happens to be not only the most human , but for many of us , the one part that many of us can easily relate to . 	Translation	Positive	Negative	EmotionRationale
that is the character of denise ( lauren ambrose ) , the film's sole sarcastic member who mocks everything that goes on in the film , and at one point sits down on a couch and looks totally bored . 	that is the character of denise ( lauren ambrose ) , the film's sole sarcastic member who mocks everything that goes on in the film , and at one point sits down on a couch and looks totally bored .	1	-3	 that[0] is[0] the[0] character[0] of[0] denise[0] lauren[0] ambrose[0] the[0] film's[0] sole[0] sarcastic[-2] member[0] who[0] mocks[-2] everything[0] that[0] goes[0] on[0] in[0] the[0] film[0] and[0] at[0] one[0] point[0] sits[0] down[0] on[0] a[0] couch[0] and[0] looks[0] totally[0] bored[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film wisely holds over this moment , nicely showing her alienation in the midst of a large high school party . . . almost 	the film wisely holds over this moment , nicely showing her alienation in the midst of a large high school party .<br> .<br> .<br> almost	2	-2	 the[0] film[0] wisely[0] holds[0] over[0] this[0] moment[0] nicely[1] showing[0] her[0] alienation[-1] in[0] the[0] midst[0] of[0] a[0] large[0] high[0] school[0] party[0] [[Sentence=-2,2=word max, 1-5]] almost[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
too nicely . 	too nicely .	2	-1	 too[0] nicely[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for some members of the audience ( read : me ) , this is basically a mirror of what's going on with them watching this film . 	for some members of the audience ( read : me ) , this is basically a mirror of what's going on with them watching this film .	1	-1	 for[0] some[0] members[0] of[0] the[0] audience[0] read[0] me[0] this[0] is[0] basically[0] a[0] mirror[0] of[0] what's[0] going[0] on[0] with[0] them[0] watching[0] this[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we sit there wondering why we've even bothered to see a film about a long high school party we probably never felt the desire to go to in the first place . 	we sit there wondering why we've even bothered to see a film about a long high school party we probably never felt the desire to go to in the first place .	1	-2	 we[0] sit[0] there[0] wondering[0] why[0] we've[0] even[0] bothered[-1] to[0] see[0] a[0] film[0] about[0] a[0] long[0] high[0] school[0] party[0] we[0] probably[0] never[0] felt[0] the[0] desire[0] to[0] go[0] to[0] in[0] the[0] first[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i would actually highly recommend this film if it satirized all of this . 	i would actually highly recommend this film if it satirized all of this .	1	-1	 i[0] would[0] actually[0] highly[0] recommend[0] this[0] film[0] if[0] it[0] satirized[0] all[0] of[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after all , this film is filled with a bunch of pathetic stereotypes much of which i went to high school with . 	after all , this film is filled with a bunch of pathetic stereotypes much of which i went to high school with .	1	-3	 after[0] all[0] this[0] film[0] is[0] filled[0] with[0] a[0] bunch[0] of[0] pathetic[-2] stereotypes[0] much[0] of[0] which[0] i[0] went[0] to[0] high[0] school[0] with[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
everyone's here : the jock , the homecoming queen , the nerd ( and his dominions of trekkies and x-philes ) , the alienated wannabe writer , the school spirit girl , the pothead ( s ) , the wigger , etc , etc , etc , and weirdly enough this film shows them as superficial , lame , and basically as a bunch of losers . 	everyone's here : the jock , the homecoming queen , the nerd ( and his dominions of trekies and x-philes ) , the alienated wannabe writer , the school spirit girl , the pothead ( s ) , the wigger , etc , etc , etc , and weirdly enough this film shows them as superficial , lame , and basically as a bunch of losers .	2	-3	 everyone's[0] here[0] the[0] jock[0] the[0] homecoming[0] queen[0] the[0] nerd[-2] and[0] his[0] dominions[0] of[0] trekkies/trekies[0] and[0] x[1] philes[0] the[0] alienated[-1] wannabe[0] writer[0] the[0] school[0] spirit[0] girl[0] the[0] pothead[0] s[0] the[0] wigger[0] etc[0] etc[0] etc[0] and[0] weirdly[-1] enough[0] this[0] film[0] shows[0] them[0] as[0] superficial[-1] lame[-2] and[0] basically[0] as[0] a[0] bunch[0] of[0] losers[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
except for denise , who rolls her eyes at everything , and easily becomes the most likable character even before she speaks ( her yearbook entry , something which is done for each main character , quotes oscar wilde - definite pointers there ) . 	except for denise , who rolls her eyes at everything , and easily becomes the most likable character even before she speaks ( her yearbook entry , something which is done for each main character , quotes oscar wilde - definite pointers there ) .	1	-1	 except[0] for[0] denise[0] who[0] rolls[0] her[0] eyes[0] at[0] everything[0] and[0] easily[0] becomes[0] the[0] most[0] likable[0] character[0] even[0] before[0] she[0] speaks[0] her[0] yearbook[0] entry[0] something[0] which[0] is[0] done[0] for[0] each[0] main[0] character[0] quotes[0] oscar[0] wilde[0] definite[0] pointers[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , the writers and directors take several major misteps on the way to making this into an admirable and even likable film . 	unfortunately , the writers and directors take several major misteps on the way to making this into an admirable and even likable film .	3	-2	 unfortunately[-1] the[0] writers[0] and[0] directors[0] take[0] several[0] major[0] misteps[0] on[0] the[0] way[0] to[0] making[0] this[0] into[0] an[0] admirable[2] and[0] even[0] likable[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
