in times of crisis people are driven to desperate measures . 	Translation	Positive	Negative	EmotionRationale
of course what constitutes a crisis differs from person to person . 	of course what constitutes a crisis differs from person to person .	1	-3	 of[0] course[0] what[0] constitutes[0] a[0] crisis[-2] differs[0] from[0] person[0] to[0] person[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what may be a disastrous situation for one , may be seen as a challenge to another . 	what may be a disastrous situation for one , may be seen as a challenge to another .	1	-4	 what[0] may[0] be[0] a[0] disastrous[-3] situation[0] for[0] one[0] may[0] be[0] seen[0] as[0] a[0] challenge[-1] to[0] another[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as deepak chopra is known to say , " it's not the ride , it's the rider . " 	as deepak chopra is known to say , " it's not the ride , it's the rider .<br> "	1	-1	 as[0] deepak[0] chopra[0] is[0] known[0] to[0] say[0] it's[0] not[0] the[0] ride[0] it's[0] the[0] rider[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately clear-thinking is not always the reaction to problems . 	unfortunately clear-thinking is not always the reaction to problems .	1	-2	 unfortunately[-1] clear[0] thinking[0] is[0] not[0] always[0] the[0] reaction[0] to[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wall street wheeler dealer steven taylor ( michael douglas ) is a man with troubles . 	wall street wheeler dealer steven taylor ( michael douglas ) is a man with troubles .	1	-2	 wall[0] street[0] wheeler[0] dealer[0] steven[0] taylor[0] michael[0] douglas[0] is[0] a[0] man[0] with[0] troubles[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's sunk his money in illegal financial activities and it's blown up in his face . 	he's sunk his money in illegal financial activities and it's blown up in his face .	1	-2	 he's[0] sunk[0] his[0] money[0] in[0] illegal[-1] financial[0] activities[0] and[0] it's[0] blown[0] up[0] in[0] his[0] face[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a matter of days he will lose it all . 	in a matter of days he will lose it all .	1	-2	 in[0] a[0] matter[0] of[0] days[0] he[0] will[0] lose[-1] it[0] all[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his wife emily ( gwyneth paltrow ) is a highly-placed un interpreter and is not happy with her life either . 	his wife emily ( gwyneth paltrow ) is a highly-placed un interpreter and is not happy with her life either .	1	-2	 his[0] wife[0] emily[0] gwyneth[0] paltrow[0] is[0] a[0] highly[0] placed[0] un[0] interpreter[0] and[0] is[0] not[0] happy[1][NegatedDueToPreviousWord] with[0] her[0] life[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her marriage is cold and unfulfilling . 	her marriage is cold and unfulfilling .	1	-2	 her[0] marriage[0] is[0] cold[-1] and[0] unfulfilling[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unknown to her , her new lover david shaw ( viggo mortensen ) is not only a painter , but an ex-con with a history of bilking wealthy women of their money . 	unknown to her , her new lover david shaw ( viggo mortensen ) is not only a painter , but an ex-con with a history of bilking wealthy women of their money .	4	-1	 unknown[0] to[0] her[0] her[0] new[0] lover[3] david[0] shaw[0] viggo[0] mortensen[0] is[0] not[0] only[0] a[0] painter[0] but[0] an[0] ex[0] con[0] with[0] a[0] history[0] of[0] bilking[0] wealthy[0] women[0] of[0] their[0] money[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
emily is a prime target : she's worth over  100 million . 	emily is a prime target : she's worth over  100 million .	1	-1	 emily[0] is[0] a[0] prime[0] target[0] she's[0] worth[0] over[0] 100[0] million[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
