various films seen at the seattle film festival : 	Translation	Positive	Negative	EmotionRationale
it's all true/three men on a raft ( u . s . a . , 1942/1986 ) director : orson welles 	it's all true/three men on a raft ( you .<br> s .<br> a .<br> , 1942/1986 ) director : orson welles	2	-1	 it's[0] all[0] true/three[0] men[0] on[0] a[0] raft[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] 1942/1986[0] director[0] orson[0] welles[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a recently uncovered one-fourth of orson welle's planned " docu-drama " of amazing stories around the world named it's all true , this short dealt with welle's attempts to document the actions of several brazilian fisherman in 1942 who had become folk heroes for their fantastic voyage to rio on a raft . 	a recently uncovered one-fourth of orson welle's planned " docu-drama " of amazing stories around the world named it's all true , this short dealt with welle's attempts to document the actions of several brazilian fisherman in 1942 who had become folk heroes for their fantastic voyage to rio on a raft .	3	-1	 a[0] recently[0] uncovered[0] one[0] fourth[0] of[0] orson[0] welle's[1] planned[0] docu[0] drama[0] of[0] amazing[2] stories[0] around[0] the[0] world[0] named[0] it's[0] all[0] true[1] this[0] short[0] dealt[0] with[0] welle's[1] attempts[0] to[0] document[0] the[0] actions[0] of[0] several[0] brazilian[0] fisherman[0] in[0] 1942[0] who[0] had[0] become[0] folk[0] heroes[2] for[0] their[0] fantastic[2] voyage[0] to[0] rio[0] on[0] a[0] raft[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
while several clips of the film are seen , the short tends to spend more time trying to recount welle's attempts to film it , despite studio problems , a staggering workload , and extremely ill fortune on the set . 	while several clips of the film are seen , the short tends to spend more time trying to recount welle's attempts to film it , despite studio problems , a staggering workload , and extremely ill fortune on the set .	2	-4	 while[0] several[0] clips[0] of[0] the[0] film[0] are[0] seen[0] the[0] short[0] tends[0] to[0] spend[0] more[0] time[0] trying[0] to[0] recount[0] welle's[1] attempts[0] to[0] film[0] it[0] despite[0] studio[0] problems[-1] a[0] staggering[0] workload[0] and[0] extremely[0] ill[-1][-2 LastWordBoosterStrength] fortune[0] on[0] the[0] set[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
impressive photography , but really only interesting to film historians . 	impressive photography , but really only interesting to film historians .	2	-1	 impressive[1] photography[0] but[0] really[0] only[0] interesting[1] to[0] film[0] historians[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sadie thompson ( u . s . a . , 1928 ) director : raoul walsh screenwriter : raoul walsh , from the john colton play " rain " , based on w . somerset maugham's story " miss thompson " cast : gloria swanson , raoul walsh , lionel barrymore silent 	sadie thompson ( you .<br> s .<br> a .<br> , 1928 ) director : raoul walsh screenwriter : raoul walsh , from the john colton play " rain " , based on w .<br> somerset maugham's story " miss thompson " cast : gloria swanson , raoul walsh , lionel barrymore silent	2	-2	 sadie[0] thompson[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] 1928[0] director[0] raoul[0] walsh[0] screenwriter[0] raoul[0] walsh[0] from[0] the[0] john[0] colton[0] play[0] rain[0] based[0] on[0] w[0] [[Sentence=-1,1=word max, 1-5]] somerset[0] maugham's[0] story[0] miss[-1] thompson[0] cast[0] gloria[1] swanson[0] raoul[0] walsh[0] lionel[0] barrymore[0] silent[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after the discussion of the newly-restored version of frank capra's lost horizon , where several scenes had been restored using stills , i was interested to see sadie thompson , where the last 5 minutes of the film had been destroyed many years ago . 	after the discussion of the newly-restored version of frank capra's lost horizon , where several scenes had been restored using stills , i was interested to see sadie thompson , where the last 5 minutes of the film had been destroyed many years ago .	2	-3	 after[0] the[0] discussion[0] of[0] the[0] newly[0] restored[0] version[0] of[0] frank[0] capra's[0] lost[0] horizon[0] where[0] several[0] scenes[0] had[0] been[0] restored[0] using[0] stills[0] i[0] was[0] interested[1] to[0] see[0] sadie[0] thompson[0] where[0] the[0] last[0] 5[0] minutes[0] of[0] the[0] film[0] had[0] been[0] destroyed[-2] many[0] years[0] ago[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this is the silent version of the somerset maugham short story " miss thompson " . 	this is the silent version of the somerset maugham short story " miss thompson " .	2	-2	 this[0] is[0] the[0] silent[0] version[0] of[0] the[0] somerset[0] maugham[0] short[0] story[0] miss[-1] thompson[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
this is one of the most skillful silent films i have ever seen--little awkwardness , and a very clever script . 	this is one of the most skillful silent films i have ever seen-little awkwardness , and a very clever script .	2	-2	 this[0] is[0] one[0] of[0] the[0] most[0] skillful[1] silent[0] films[0] i[0] have[0] ever[0] seen[0] little[0] awkwardness[-1] and[0] a[0] very[0] clever[0] script[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the actors : gloria swanson , raoul walsh ( who also directed and wrote the screenplay ) and especially lionel barrymore , as the hypocritical reformer who supposedly wants to save sadie's soul , but really wants to get her between the sheets , is the absolute epitome of sanctimonious scoundrel . 	the actors : gloria swanson , raoul walsh ( who also directed and wrote the screenplay ) and especially lionel barrymore , as the hypocritical reformer who supposedly wants to save sadie's soul , but really wants to get her between the sheets , is the absolute epitome of sanctimonious scoundrel .	2	-2	 the[0] actors[0] gloria[1] swanson[0] raoul[0] walsh[0] who[0] also[0] directed[0] and[0] wrote[0] the[0] screenplay[0] and[0] especially[0] lionel[0] barrymore[0] as[0] the[0] hypocritical[0] reformer[0] who[0] supposedly[0] wants[0] to[0] save[1] sadie's[0] soul[0] but[0] really[0] wants[0] to[0] get[0] her[0] between[0] the[0] sheets[0] is[0] the[0] absolute[0] epitome[0] of[0] sanctimonious[0] scoundrel[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
swanson adds real life to the character , adding an worldly , affectionate air to the bawdy sadie . 	swanson adds real life to the character , adding an worldly , affectionate air to the bawdy sadie .	3	-1	 swanson[0] adds[0] real[0] life[0] to[0] the[0] character[0] adding[0] an[0] worldly[0] affectionate[2] air[0] to[0] the[0] bawdy[0] sadie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
