stars : armand assante ( mike hammer ) , barbara carrera ( dr . 	Translation	Positive	Negative	EmotionRationale
charlotte bennett ) , laurene landon ( velda ) , alan king ( charles kalecki ) , geoffrey lewis ( joe butler ) , paul sorvino ( detective pat chambers ) , judson scott ( charles hendricks ) , barry snider ( romero ) , julia barr ( norma childs ) / mpaa rating : r / review : 	charlotte bennett ) , laurene landon ( velda ) , alan king ( charles kalecki ) , geoffrey lewis ( joe butler ) , paul sorvino ( detective pat chambers ) , judson scot ( charles hendricks ) , barry snider ( romero ) , julia bar ( norma childs ) / mpa rating : are / review :	1	-1	 charlotte[0] bennett[0] laurene[0] landon[0] velda[0] alan[0] king[0] charles[0] kalecki[0] geoffrey[0] lewis[0] joe[0] butler[0] paul[0] sorvino[0] detective[0] pat[0] chambers[0] judson[0] scott/scot[0] charles[0] hendricks[0] barry[0] snider[0] romero[0] julia[0] barr/bar[0] norma[0] childs[0] /[0] mpaa/mpa[0] rating[0] r[0] /[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the 1982 updating of mickey spillane's 1947 novel " i , the jury , " hard-boiled detective mike hammer is a vietnam vet who drives a shiny bronze trans am , dresses like don johnson in " miami vice " with less pastels , and has sworn off alcohol . 	in the 1982 updating of mickey spillane's 1947 novel " i , the jury , " hard-boiled detective mike hammer is a vietnam vet who drives a shiny bronze trans am , dresses like don johnson in " miami vice " with less pastels , and has sworn off alcohol .	2	-2	 in[0] the[0] 1982[0] updating[0] of[0] mickey[0] spillane's[-1] 1947[0] novel[0] i[0] the[0] jury[0] hard[0] boiled[0] detective[0] mike[0] hammer[0] is[0] a[0] vietnam[0] vet[0] who[0] drives[0] a[0] shiny[0] bronze[0] trans[0] am[0] dresses[0] like[1] don[0] johnson[0] in[0] miami[0] vice[-1] with[0] less[0] pastels[0] and[0] has[0] sworn[0] off[0] alcohol[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , he still smokes his lucky strikes , detests all forms of authority , and kills at a whim . 	however , he still smokes his lucky strikes , detests all forms of authority , and kills at a whim .	2	-4	 however[0] he[0] still[0] smokes[0] his[0] lucky[1] strikes[0] detests[-3] all[0] forms[0] of[0] authority[0] and[0] kills[0] at[0] a[0] whim[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
beyond that , the updated film retains little or no resemblance to the original pulpy page-turner by spillane , probably the most infamous and often reviled of all mystery writers . 	beyond that , the updated film retains little or no resemblance to the original pulpy page-turner by spillane , probably the most infamous and often reviled of all mystery writers .	1	-2	 beyond[0] that[0] the[0] updated[0] film[0] retains[0] little[0] or[0] no[0] resemblance[0] to[0] the[0] original[0] pulpy[0] page[0] turner[0] by[0] spillane[-1] probably[0] the[0] most[0] infamous[-1] and[0] often[0] reviled[0] of[0] all[0] mystery[0] writers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie starts off with a bang : a howler of an opening credits sequence that is a cheap steal from the james bond series , complete with cheesy graphics and an overbearing jazz score by bill conti ( " rocky " ) . 	the movie starts off with a bang : a howler of an opening credits sequence that is a cheap steal from the james bond series , complete with cheesy graphics and an overbearing jaz score by bill conti ( " rocky " ) .	1	-3	 the[0] movie[0] starts[0] off[0] with[0] a[0] bang[0] a[0] howler[0] of[0] an[0] opening[0] credits[0] sequence[0] that[0] is[0] a[0] cheap[-1] steal[-2] from[0] the[0] james[0] bond[0] series[0] complete[0] with[0] cheesy[0] graphics[0] and[0] an[0] overbearing[-1] jazz/jaz[0] score[0] by[0] bill[0] conti[0] rocky[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after that , the movie and the book begin the same , with the murder of jack williams ( frederick downs ) , a one-armed detective and hammer's best friend . 	after that , the movie and the book begin the same , with the murder of jack williams ( frederick downs ) , a one-armed detective and hammer's best friend .	2	-4	 after[0] that[0] the[0] movie[0] and[0] the[0] book[0] begin[0] the[0] same[0] with[0] the[0] murder[-3] of[0] jack[0] williams[0] frederick[0] downs[0] a[0] one[0] armed[0] detective[0] and[0] hammer's[0] best[1] friend[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hammer declares that he will seek vengeance for jack's death , and with the help of his devoted secretary , the blond and shapely velda ( laurene landon ) , and the alternately friendly / antagonistic police chief pat chambers ( paul sorvino ) , he is immediately on the killer's trail . 	hammer declares that he will seek vengeance for jack's death , and with the help of his devoted secretary , the blond and shapely velda ( laurene landon ) , and the alternately friendly / antagonistic police chief pat chambers ( paul sorvino ) , he is immediately on the killer's trail .	3	-3	 hammer[0] declares[0] that[0] he[0] will[0] seek[0] vengeance[-2] for[0] jack's[0] death[-2] and[0] with[0] the[0] help[0] of[0] his[0] devoted[2] secretary[0] the[0] blond[0] and[0] shapely[0] velda[0] laurene[0] landon[0] and[0] the[0] alternately[0] friendly[1] /[0] antagonistic[-1] police[0] chief[0] pat[0] chambers[0] paul[0] sorvino[0] he[0] is[0] immediately[0] on[0] the[0] killer's[0] trail[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
here the movie splits completely from the book , and dives into a convoluted and improbable tale of government conspiracy and mind control tactics involving the mafia , the cia , one of hammer's vietnam vet buddies , and a kinky sex clinic . 	here the movie splits completely from the book , and dives into a convoluted and improbable tale of government conspiracy and mind control tactics involving the mafia , the cia , one of hammer's vietnam vet buddies , and a kinky sex clinic .	1	-2	 here[0] the[0] movie[0] splits[0] completely[0] from[0] the[0] book[0] and[0] dives[0] into[0] a[0] convoluted[0] and[0] improbable[0] tale[0] of[0] government[0] conspiracy[-1] and[0] mind[0] control[0] tactics[0] involving[0] the[0] mafia[0] the[0] cia[0] one[0] of[0] hammer's[0] vietnam[0] vet[0] buddies[0] and[0] a[0] kinky[0] sex[0] clinic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
many of the same characters from the book appear in the movie , but they take on slightly different roles . 	many of the same characters from the book appear in the movie , but they take on slightly different roles .	1	-1	 many[0] of[0] the[0] same[0] characters[0] from[0] the[0] book[0] appear[0] in[0] the[0] movie[0] but[0] they[0] take[0] on[0] slightly[0] different[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance , charles kalecki ( alan king ) , a numbers runner and narcotics dealer in the book , turns into a suave mob boss . 	for instance , charles kalecki ( alan king ) , a numbers runner and narcotics dealer in the book , turns into a suave mob boss .	1	-1	 for[0] instance[0] charles[0] kalecki[0] alan[0] king[0] a[0] numbers[0] runner[0] and[0] narcotics[0] dealer[0] in[0] the[0] book[0] turns[0] into[0] a[0] suave[0] mob[0] boss[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , more importantly , hammer's suspicious love interest , charlotte bennett ( barbara carrera ) , morphs from a run-of-the-mill psychiatrist into the coordinator and founder of the sex clinic . 	and , more importantly , hammer's suspicious love interest , charlotte bennett ( barbara carrera ) , morphs from a run-of-the-mill psychiatrist into the coordinator and founder of the sex clinic .	3	-2	 and[0] more[0] importantly[0] hammer's[0] suspicious[-1] love[2] interest[1] charlotte[0] bennett[0] barbara[0] carrera[0] morphs[0] from[0] a[0] run[0] of[0] the[0] mill[0] psychiatrist[0] into[0] the[0] coordinator[0] and[0] founder[-1] of[0] the[0] sex[0] clinic[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " i , the jury " is one of several cinematic renditions of spillane's books ( including a 1953 version which was made in 3-d ) , but this film differs from those earlier versions in one major way : it includes all of the sex and violence spillane wrote about that could never be given screen treatment due to hollywood's production code . 	 " i , the jury " is one of several cinematic renditions of spillane's books ( including a 1953 version which was made in 3-d ) , but this film differs from those earlier versions in one major way : it includes all of the sex and violence spillane wrote about that could never be given screen treatment due to hollywood's production code .	1	-4	 i[0] the[0] jury[0] is[0] one[0] of[0] several[0] cinematic[0] renditions[0] of[0] spillane's[-1] books[0] including[0] a[0] 1953[0] version[0] which[0] was[0] made[0] in[0] 3[0] d[0] but[0] this[0] film[0] differs[0] from[0] those[0] earlier[0] versions[0] in[0] one[0] major[0] way[0] it[0] includes[0] all[0] of[0] the[0] sex[0] and[0] violence[-3] spillane[-1] wrote[0] about[0] that[0] could[0] never[0] be[0] given[0] screen[0] treatment[0] due[0] to[0] hollywood's[0] production[0] code[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
