this movie is written by the man who is deemed to be " one of the hottest writers in hollywood " . 	Translation	Positive	Negative	EmotionRationale
he wrote the groundbreaking screenplay for scream ( 8/10 ) , then added the successful i know what you did last summer ( 7 . 5/10 ) 	he wrote the groundbreaking screenplay for scream ( 8/10 ) , then added the successful i know what you did last summer ( 7 .<br> 5/10 )	3	-4	 he[0] wrote[0] the[0] groundbreaking[0] screenplay[0] for[0] scream[-3] 8/10[0] then[0] added[0] the[0] successful[2] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] 7[0] [[Sentence=-4,3=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[3,-4 max of sentences]]]
script to his mix , and also created the popular tv series " dawson's creek " . 	script to his mix , and also created the popular tv series " dawson's creek " .	1	-1	 script[0] to[0] his[0] mix[0] and[0] also[0] created[0] the[0] popular[0] tv[0] series[0] dawson's[0] creek[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so when he asked to direct his first movie , based on his first ever script written , everyone and their grandma said " sure , go for it ! " . 	so when he asked to direct his first movie , based on his first ever script written , everyone and their grandma said " sure , go for it !<br> " .	1	-1	 so[0] when[0] he[0] asked[0] to[0] direct[0] his[0] first[0] movie[0] based[0] on[0] his[0] first[0] ever[0] script[0] written[0] everyone[0] and[0] their[0] grandma[0] said[0] sure[0] go[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
uhhm , my question is . . . did anyone bother reading this stupid script ? ? ? 	uhm , my question is .<br> .<br> .<br> did anyone bother reading this stupid script ?<br> ?<br> ?	1	-2	 uhhm/uhm[0] my[0] question[0] is[0] [[Sentence=-1,1=word max, 1-5]] did[0] anyone[0] bother[-1] reading[0] this[0] stupid[-1] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot : ace student leigh ann watson is mistakenly caught with some cheating papers by the bitchiest teacher in the west , mrs . tingle , and set to lose her scholarship to college . 	plot : ace student leigh an watson is mistakenly caught with some cheating papers by the bitchiest teacher in the west , mrs .<br> tingle , and set to lose her scholarship to college .	1	-2	 plot[0] ace[0] student[0] leigh[0] ann/an[0] watson[0] is[0] mistakenly[-1] caught[0] with[0] some[0] cheating[-2][--1 LastWordBoosterStrength] papers[0] by[0] the[0] bitchiest[-1] teacher[0] in[0] the[0] west[0] mrs[0] [[Sentence=-2,1=word max, 1-5]] tingle[0] and[0] set[0] to[0] lose[-1] her[0] scholarship[0] to[0] college[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when she and her friends visit the teacher at home in order to explain their side of the story , they end up tying her up , and slowly trying to talk some sense into the hardheaded woman . 	when she and her friends visit the teacher at home in order to explain their side of the story , they end up tying her up , and slowly trying to talk some sense into the hardheaded woman .	2	-1	 when[0] she[0] and[0] her[0] friends[1] visit[0] the[0] teacher[0] at[0] home[0] in[0] order[0] to[0] explain[0] their[0] side[0] of[0] the[0] story[0] they[0] end[0] up[0] tying[0] her[0] up[0] and[0] slowly[0] trying[0] to[0] talk[0] some[0] sense[0] into[0] the[0] hardheaded[0] woman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
critique : it's not so much that this is a bad movie , than the fact that it sucks . 	critique : it's not so much that this is a bad movie , than the fact that it sucks .	1	-2	 critique[0] it's[0] not[0] so[0] much[0] that[0] this[0] is[0] a[0] bad[-1] movie[0] than[0] the[0] fact[0] that[0] it[0] sucks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this movie is chock-full of one-dimensional characters , contains no actual humor that i was able to zone in on , zero tension or thrills , plot holes the size of my big ass , lame pop tunes played to mask nothing going on in the movie , and molly ringwald , vivica a . fox and lesley anne warren tossed away in throwaway roles . 	this movie is chock-full of one-dimensional characters , contains no actual humor that i was able to zone in on , zero tension or thrills , plot holes the size of my big ass , lame pop tunes played to mask nothing going on in the movie , and molly ringwald , vivica a .<br> fox and lesley anne warren tossed away in throwaway roles .	4	-3	 this[0] movie[0] is[0] chock[0] full[0] of[0] one[0] dimensional[0] characters[0] contains[0] no[0] actual[0] humor[2] that[0] i[0] was[0] able[0] to[0] zone[0] in[0] on[0] zero[0] tension[-2] or[0] thrills[3] plot[0] holes[0] the[0] size[0] of[0] my[0] big[0] ass[0] lame[-2] pop[0] tunes[0] played[0] to[0] mask[0] nothing[0] going[0] on[0] in[0] the[0] movie[0] and[0] molly[0] ringwald[0] vivica[0] a[0] [[Sentence=-3,4=word max, 1-5]] fox[0] and[0] lesley[0] anne[0] warren[0] tossed[0] away[0] in[0] throwaway[0] roles[0] [[Sentence=-1,1=word max, 1-5]][[[4,-3 max of sentences]]]
i was primed for this film as its interesting premise had me thinking misery ( 8/10 ) and 9 to 5 , but unfortunately for williamson , he went nowhere with the bright foundation , making references to the exorcist and dr . 	i was primed for this film as its interesting premise had me thinking misery ( 8/10 ) and 9 to 5 , but unfortunately for williamson , he went nowhere with the bright foundation , making references to the exorcist and dr .	2	-3	 i[0] was[0] primed[0] for[0] this[0] film[0] as[0] its[0] interesting[1] premise[0] had[0] me[0] thinking[0] misery[-2] 8/10[0] and[0] 9[0] to[0] 5[0] but[0] unfortunately[-1] for[0] williamson[0] he[0] went[0] nowhere[0] with[0] the[0] bright[0] foundation[0] making[0] references[0] to[0] the[0] exorcist[0] and[0] dr[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
zhivago , which i doubt many in his target market will appreciate . 	zhivago , which i doubt many in his target market will appreciate .	2	-2	 zhivago[0] which[0] i[0] doubt[-1] many[0] in[0] his[0] target[0] market[0] will[0] appreciate[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
