the only historical figure that has been written about more than william shakespeare is jesus christ , which explains why the bard's materials are such a popular source for remakes , revisions , rewrites , inspiration , subtlety , credit , and dispute . 	Translation	Positive	Negative	EmotionRationale
indeed , in recent years , american contemporary cinema has been swamped with a wash of shakespearean products . 	indeed , in recent years , american contemporary cinema has been swamped with a wash of shakespearean products .	1	-1	 indeed[0] in[0] recent[0] years[0] american[0] contemporary[0] cinema[0] has[0] been[0] swamped[0] with[0] a[0] wash[0] of[0] shakespearean[0] products[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
including this year's upcoming a midsummer night's dream , shakespeare's material has been the cause for twenty-six big screen productions since 1990 . 	including this year's upcoming a midsummer night's dream , shakespeare's material has been the cause for twenty-six big screen productions since 1990 .	1	-1	 including[0] this[0] year's[0] upcoming[0] a[0] midsummer[0] night's[0] dream[0] shakespeare's[0] material[0] has[0] been[0] the[0] cause[0] for[0] twenty[0] six[0] big[0] screen[0] productions[0] since[0] 1990[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but for a change of pace , mrs . 	but for a change of pace , mrs .	1	-1	 but[0] for[0] a[0] change[0] of[0] pace[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brown director john madden gives us a story of the bard himself in the wonderfully vibrant shakespeare in love . 	brown director john madden gives us a story of the bard himself in the wonderfully vibrant shakespeare in love .	3	-3	 brown[0] director[0] john[0] madden[-2] gives[0] us[0] a[0] story[0] of[0] the[0] bard[0] himself[0] in[0] the[0] wonderfully[2] vibrant[0] shakespeare[0] in[0] love[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
marc norman and tom stoppard's story is largely fantasy , although as the viewer soon learns , shakespeare in love is not a movie that takes itself seriously . 	marc norman and tom stoppard's story is largely fantasy , although as the viewer soon learns , shakespeare in love is not a movie that takes itself seriously .	3	-1	 marc[0] norman[0] and[0] tom[0] stoppard's[0] story[0] is[0] largely[0] fantasy[0] although[0] as[0] the[0] viewer[0] soon[0] learns[0] shakespeare[0] in[0] love[2] is[0] not[0] a[0] movie[0] that[0] takes[0] itself[0] seriously[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( will shakespeare of the 1590's would've been married to anne hathaway , and he would've had a teenage daughter and two young sons ; here he is a bachelor played by joseph fiennes . ) will is a writer struggling to come up with a great play , and his current comedy in the works -- " romeo and ethel , the pirate's daughter " -- just doesn't quite seem right . 	 ( will shakespeare of the 1590's would've been married to anne hathaway , and he would've had a teenage daughter and two young sons ; here he is a bachelor played by joseph fiennes .<br> ) will is a writer struggling to come up with a great play , and his current comedy in the works - " romeo and ethel , the pirate's daughter " - just doesn't quite seem right .	3	-2	 will[0] shakespeare[0] of[0] the[0] 1590's[0] would've[0] been[0] married[0] to[0] anne[0] hathaway[0] and[0] he[0] would've[0] had[0] a[0] teenage[0] daughter[0] and[0] two[0] young[0] sons[0] here[0] he[0] is[0] a[0] bachelor[0] played[0] by[0] joseph[0] fiennes[0] [[Sentence=-1,1=word max, 1-5]] will[0] is[0] a[0] writer[0] struggling[-1] to[0] come[0] up[0] with[0] a[0] great[2] play[0] and[0] his[0] current[0] comedy[0] in[0] the[0] works[0] romeo[0] and[0] ethel[0] the[0] pirate's[0] daughter[0] just[0] doesn't[0] quite[0] seem[0] right[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with the help of the great writer christopher marlowe ( rupert everett ) , and the inspiration of true love with noblewoman viola de lesseps ( gwyneth paltrow ) , he changes things around and writes one of his greatest tragedies , " romeo and juliet . " 	with the help of the great writer christopher marlowe ( rupert everett ) , and the inspiration of true love with noblewoman viola de lesseps ( gwyneth paltrow ) , he changes things around and writes one of his greatest tragedies , " romeo and juliet .<br> "	3	-3	 with[0] the[0] help[0] of[0] the[0] great[2] writer[0] christopher[0] marlowe[0] rupert[0] everett[0] and[0] the[0] inspiration[2] of[0] true[1] love[2] with[0] noblewoman[0] viola[0] de[0] lesseps[0] gwyneth[0] paltrow[0] he[0] changes[0] things[0] around[0] and[0] writes[0] one[0] of[0] his[0] greatest[2] tragedies[-2] romeo[0] and[0] juliet[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the love story between will and viola loosely parallels the story of romeo and juliet , to great effect . 	the love story between will and viola loosely parallels the story of romeo and juliet , to great effect .	3	-1	 the[0] love[2] story[0] between[0] will[0] and[0] viola[0] loosely[0] parallels[0] the[0] story[0] of[0] romeo[0] and[0] juliet[0] to[0] great[2] effect[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
fiennes and paltrow develop a sexy chemistry as the two lovers which gives the movie much momentum ; this momentum smoothes out the bumps in the unfinished and largely unsuccessful comedy . 	fiennes and paltrow develop a sexy chemistry as the two lovers which gives the movie much momentum ; this momentum smoothes out the bumps in the unfinished and largely unsuccessful comedy .	4	-3	 fiennes[0] and[0] paltrow[0] develop[0] a[0] sexy[2] chemistry[0] as[0] the[0] two[0] lovers[3] which[0] gives[0] the[0] movie[0] much[0] momentum[0] this[0] momentum[0] smoothes[0] out[0] the[0] bumps[0] in[0] the[0] unfinished[0] and[0] largely[0] unsuccessful[-2] comedy[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the supporting roles are well filled out , from geoffrey rush as will's worrisome agent , philip , to tom wilkinson as the producer hugh fennyman . 	the supporting roles are well filled out , from geoffrey rush as will's worrisome agent , philip , to tom wilkinson as the producer hugh fennyman .	2	-4	 the[0] supporting[1] roles[0] are[0] well[0] filled[0] out[0] from[0] geoffrey[0] rush[0] as[0] will's[0] worrisome[-3] agent[0] philip[0] to[0] tom[0] wilkinson[0] as[0] the[0] producer[0] hugh[0] fennyman[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
even ben affleck , leading the troupe of actors , manages to make a favorable impression ; and judi dench lends some brief moments of screen time as queen elizabeth i . gwyneth paltrow is by far , however , the standout of the lot , creating a large percentage of the forementioned vibrance . 	even ben affleck , leading the troupe of actors , manages to make a favorable impression ; and judi dench lends some brief moments of screen time as queen elizabeth i .<br> gwyneth paltrow is by far , however , the standout of the lot , creating a large percentage of the forementioned vibrance .	2	-1	 even[0] ben[0] affleck[0] leading[0] the[0] troupe[0] of[0] actors[0] manages[0] to[0] make[0] a[0] favorable[1] impression[0] and[0] judi[0] dench[0] lends[0] some[0] brief[0] moments[0] of[0] screen[0] time[0] as[0] queen[0] elizabeth[0] i[0] [[Sentence=-1,2=word max, 1-5]] gwyneth[0] paltrow[0] is[0] by[0] far[0] however[0] the[0] standout[0] of[0] the[0] lot[0] creating[0] a[0] large[0] percentage[0] of[0] the[0] forementioned[0] vibrance[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
the story is well-crafted if nothing else , although it has dangerous moments where it flirts with the " let's make a movie " -genre . 	the story is well-crafted if nothing else , although it has dangerous moments where it flirts with the " let's make a movie " -genre .	2	-2	 the[0] story[0] is[0] well[0] crafted[0] if[0] nothing[0] else[0] although[0] it[0] has[0] dangerous[-1] moments[0] where[0] it[0] flirts[1] with[0] the[0] let's[0] make[0] a[0] movie[0] genre[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the dialogue is breezy and lighthearted , and certainly accessible by the audience's lowest common denominator . 	the dialogue is breezy and lighthearted , and certainly accessible by the audience's lowest common denominator .	1	-2	 the[0] dialogue[0] is[0] breezy[0] and[0] lighthearted[0] and[0] certainly[0] accessible[0] by[0] the[0] audience's[0] lowest[-1] common[0] denominator[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's something for everyone in this romantic comedy , making it prime date flick material . 	there's something for everyone in this romantic comedy , making it prime date flick material .	4	-1	 there's[0] something[0] for[0] everyone[0] in[0] this[0] romantic[3] comedy[0] making[0] it[0] prime[0] date[0] flick[0] material[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
although certainly not inspiring in any regard , it revels in a wholesome , well-rounded atmosphere that has been absent in many of 1998's pictures ; the true-love story is one of the best around . 	although certainly not inspiring in any regard , it revels in a wholesome , well-rounded atmosphere that has been absent in many of 1998's pictures ; the true-love story is one of the best around .	3	-3	 although[0] certainly[0] not[0] inspiring[2][NegatedDueToPreviousWord] in[0] any[0] regard[0] it[0] revels[0] in[0] a[0] wholesome[0] well[0] rounded[0] atmosphere[0] that[0] has[0] been[0] absent[-1] in[0] many[0] of[0] 1998's[0] pictures[0] the[0] true[1] love[2] story[0] is[0] one[0] of[0] the[0] best[1] around[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
certainly recommendable when the traditional slew of indifferent year's-open releases is just around the corner . 	certainly recommendable when the traditional slew of indifferent year's-open releases is just around the corner .	1	-2	 certainly[0] recommendable[0] when[0] the[0] traditional[0] slew[0] of[0] indifferent[-1] year's[0] open[0] releases[0] is[0] just[0] around[0] the[0] corner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
