let me open this one with a confession : i love cop movies . 	Translation	Positive	Negative	EmotionRationale
i adore them with such an unwavering , near foolish passion that i was actually one of the first in line to see 1998's one tough cop starring the smirkiest of the baldwin brothers , steven . 	i adore them with such an unwavering , near foolish passion that i was actually one of the first in line to see 1998's one tough cop starring the smirkiest of the baldwin brothers , steven .	4	-2	 i[0] adore[3] them[0] with[0] such[0] an[0] unwavering[0] near[0] foolish[-1] passion[2] that[0] i[0] was[0] actually[0] one[0] of[0] the[0] first[0] in[0] line[0] to[0] see[0] 1998's[0] one[0] tough[-1] cop[0] starring[0] the[0] smirkiest[0] of[0] the[0] baldwin[0] brothers[0] steven[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
was it any good ? 	was it any good ?	2	-1	 was[0] it[0] any[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , just about as good as baldwin's steven seagal impression ( for those i've confused the answer is a resounding no ! ) . 	well , just about as good as baldwin's steven seagal impression ( for those i've confused the answer is a resounding no !<br> ) .	2	-2	 well[0] just[0] about[0] as[0] good[1] as[0] baldwin's[0] steven[0] seagal[0] impression[0] for[0] those[0] i've[0] confused[-1] the[0] answer[0] is[0] a[0] resounding[0] no[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
now let me clarify , i don't love just any cop movie ; i'm not too keen on the smug buddy cop flicks that were so in vogue in the 80's and now slowly ( gulp ) returning thanks to jackie chan and chris tucker . 	now let me clarify , i don't love just any cop movie ; i'm not too keen on the smug buddy cop flicks that were so in vogue in the 80's and now slowly ( gulp ) returning thanks to jackie chan and chris tucker .	2	-3	 now[0] let[0] me[0] clarify[0] i[0] don't[0] love[2][NegatedDueToPreviousWord] just[0] any[0] cop[0] movie[0] i'm[0] not[0] too[0] keen[0] on[0] the[0] smug[-1] buddy[0] cop[0] flicks[0] that[0] were[0] so[0] in[0] vogue[0] in[0] the[0] 80's[0] and[0] now[0] slowly[0] gulp[0] returning[0] thanks[1] to[0] jackie[0] chan[0] and[0] chris[0] tucker[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i'm partial to those gritty , earthy cop dramas like serpico , donnie brasco , and the french connection . 	i'm partial to those gritty , earthy cop dramas like serpico , donnie brasco , and the french connection .	2	-1	 i'm[0] partial[0] to[0] those[0] gritty[0] earthy[0] cop[0] dramas[0] like[1] serpico[0] donnie[0] brasco[0] and[0] the[0] french[0] connection[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
problem is these films come along just about as often as george w . bush makes a cogent point so whenever a " true " cop movie does hit multiplexes , i come running towards it like an eager puppy ? ? ? and inevitably i leave , head bowed , tripping over my squiggly tail . 	problem is these films come along just about as often as george w .<br> bush makes a cogent point so whenever a " true " cop movie does hit multiplexes , i come running towards it like an eager puppy ?<br> ?<br> ?<br> and inevitably i leave , head bowed , tripping over my squiggly tail .	2	-2	 problem[-1] is[0] these[0] films[0] come[0] along[0] just[0] about[0] as[0] often[0] as[0] george[0] w[0] [[Sentence=-2,1=word max, 1-5]] bush[0] makes[0] a[0] cogent[0] point[0] so[0] whenever[0] a[0] true[1] cop[0] movie[0] does[0] hit[0] multiplexes[0] i[0] come[0] running[0] towards[0] it[0] like[1] an[0] eager[0] puppy[0] [[Sentence=-1,2=word max, 1-5]] and[0] inevitably[0] i[0] leave[0] head[0] bowed[0] tripping[0] over[0] my[0] squiggly[0] tail[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
so what is it about cop movies that transform me into a moron willing to shell out  7 . 50 for a movie called one tough cop ( which actually sounds a lot like a wiseguy spin-off , no ? ) ? 	so what is it about cop movies that transform me into a moron willing to shell out  7 .<br> 50 for a movie called one tough cop ( which actually sounds a lot like a wiseguy spin-off , no ?<br> ) ?	2	-3	 so[0] what[0] is[0] it[0] about[0] cop[0] movies[0] that[0] transform[0] me[0] into[0] a[0] moron[-2] willing[0] to[0] shell[0] out[0] 7[0] [[Sentence=-3,1=word max, 1-5]] 50[0] for[0] a[0] movie[0] called[0] one[0] tough[-1] cop[0] which[0] actually[0] sounds[0] a[0] lot[0] like[1] a[0] wiseguy[0] spin[0] off[0] no[0] [[Sentence=-2,2=word max, 1-5]][[[2,-3 max of sentences]]]
truth is i'm a sucker for those barren streets , that gritty , graffiti strewn modernist jungle where dangerous criminals lurk and cops , like modern day knights , must shield us from their iniquitous clutches . 	truth is i'm a sucker for those barren streets , that gritty , graffiti strewn modernist jungle where dangerous criminals lurk and cops , like modern day knights , must shield us from their iniquitous clutches .	2	-2	 truth[1] is[0] i'm[0] a[0] sucker[-1] for[0] those[0] barren[-1] streets[0] that[0] gritty[0] graffiti[0] strewn[0] modernist[0] jungle[0] where[0] dangerous[-1] criminals[-1] lurk[0] and[0] cops[0] like[1] modern[0] day[0] knights[0] must[0] shield[0] us[0] from[0] their[0] iniquitous[0] clutches[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
yes it's all very corny and awfully boys clubish , which , i'm guessing , is precisely where these feelings come from . 	yes it's all very corny and awfully boys clubish , which , i'm guessing , is precisely where these feelings come from .	1	-4	 yes[0] it's[0] all[0] very[0] corny[0] and[0] awfully[-3] boys[0] clubish[0] which[0] i'm[0] guessing[0] is[0] precisely[0] where[0] these[0] feelings[0] come[0] from[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as little tots us boys are brought up to create our own wars with gi joe's , enact cops and robbers or cowboy and indian fantasies , etc . the best gritty cop films tap into those gleeful adolescent fantasies , and heighten them , turning it all into an existential nightmare of thin moral lines and psychological chaos . 	as little tots us boys are brought up to create our own wars with gi joe's , enact cops and robbers or cowboy and indian fantasies , etc .<br> the best gritty cop films tap into those gleeful adolescent fantasies , and heighten them , turning it all into an existential nightmare of thin moral lines and psychological chaos .	2	-3	 as[0] little[0] tots[0] us[0] boys[0] are[0] brought[0] up[0] to[0] create[0] our[0] own[0] wars[-2] with[0] gi[0] joe's[0] enact[0] cops[0] and[0] robbers[-1] or[0] cowboy[0] and[0] indian[0] fantasies[0] etc[0] [[Sentence=-3,1=word max, 1-5]] the[0] best[1] gritty[0] cop[0] films[0] tap[0] into[0] those[0] gleeful[0] adolescent[0] fantasies[0] and[0] heighten[0] them[0] turning[0] it[0] all[0] into[0] an[0] existential[0] nightmare[-2] of[0] thin[0] moral[0] lines[0] and[0] psychological[0] chaos[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as an adult my tastes haven't changed all that drastically ; sure i can get a cerebral high from the emotional complexities of a krzysztof kieslowski film , but i still delight at the promise a " guy " film could potentially bring . 	as an adult my tastes haven't changed all that drastically ; sure i can get a cerebral high from the emotional complexities of a krzysztof kieslowski film , but i still delight at the promise a " guy " film could potentially bring .	3	-2	 as[0] an[0] adult[0] my[0] tastes[0] haven't[0] changed[0] all[0] that[0] drastically[0] sure[0] i[0] can[0] get[0] a[0] cerebral[0] high[0] from[0] the[0] emotional[-1] complexities[0] of[0] a[0] krzysztof[0] kieslowski[0] film[0] but[0] i[0] still[0] delight[2] at[0] the[0] promise[1] a[0] guy[0] film[0] could[0] potentially[0] bring[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
now what if it's the cops who're the corrupt ones ? 	now what if it's the cops who're the corrupt ones ?	1	-3	 now[0] what[0] if[0] it's[0] the[0] cops[0] who're[0] the[0] corrupt[-2] ones[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ooh that one really gets me going , these protectors using all that at their service , taking advantage of others for their own gain . 	ooh that one really gets me going , these protectors using all that at their service , taking advantage of others for their own gain .	1	-1	 ooh[0] that[0] one[0] really[0] gets[0] me[0] going[0] these[0] protectors[0] using[0] all[0] that[0] at[0] their[0] service[0] taking[0] advantage[0] of[0] others[0] for[0] their[0] own[0] gain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
throw a courtroom drama ( yech ! ) 	throw a courtroom drama ( yech !<br> )	1	-1	 throw[0] a[0] courtroom[0] drama[0] yech[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
into the pot and you have the tremendously absorbing sidney lumet film prince of the city . 	into the pot and you have the tremendously absorbing sidney lumet film prince of the city .	1	-1	 into[0] the[0] pot[0] and[0] you[0] have[0] the[0] tremendously[0] absorbing[0] sidney[0] lumet[0] film[0] prince[0] of[0] the[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how absorbing is prince of the city , you ask ? 	how absorbing is prince of the city , you ask ?	1	-1	 how[0] absorbing[0] is[0] prince[0] of[0] the[0] city[0] you[0] ask[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so damn absorbing that when the film shifts from gritty undercover cop drama to courtroom drama ( a sub-genre i loath the way kristy swanson must loath sarah michelle gellar ) i remained completely and utterly involved . 	so damn absorbing that when the film shifts from gritty undercover cop drama to courtroom drama ( a sub-genre i loath the way kristy swanson must loath sarah michelle gellar ) i remained completely and utterly involved .	1	-2	 so[0] damn[-1] absorbing[0] that[0] when[0] the[0] film[0] shifts[0] from[0] gritty[0] undercover[0] cop[0] drama[0] to[0] courtroom[0] drama[0] a[0] sub[0] genre[0] i[0] loath[0] the[0] way[0] kristy[0] swanson[0] must[0] loath[0] sarah[0] michelle[0] gellar[0] i[0] remained[0] completely[0] and[0] utterly[0] involved[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film stars treat williams , who gives the kind of performance that should have skyrocketed his career up to the level that brad pitt currently resides at . 	the film stars treat williams , who gives the kind of performance that should have skyrocketed his career up to the level that brad pit currently resides at .	2	-1	 the[0] film[0] stars[0] treat[1] williams[0] who[0] gives[0] the[0] kind[1] of[0] performance[0] that[0] should[0] have[0] skyrocketed[0] his[0] career[0] up[0] to[0] the[0] level[0] that[0] brad[0] pitt/pit[0] currently[0] resides[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since i was hatched a mere two years prior to the release of prince of the city , i cannot provide an answer as to why it didn't . 	since i was hatched a mere two years prior to the release of prince of the city , i cannot provide an answer as to why it didn't .	1	-1	 since[0] i[0] was[0] hatched[0] a[0] mere[0] two[0] years[0] prior[0] to[0] the[0] release[0] of[0] prince[0] of[0] the[0] city[0] i[0] cannot[0] provide[0] an[0] answer[0] as[0] to[0] why[0] it[0] didn't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( though judging from his recent roles in tripe like deep rising and dead heat i would guess that it probably has something to do with quite a few bad career moves ) . 	 ( though judging from his recent roles in tripe like deep rising and dead heat i would guess that it probably has something to do with quite a few bad career moves ) .	2	-3	 though[0] judging[0] from[0] his[0] recent[0] roles[0] in[0] tripe[0] like[1] deep[0] rising[0] and[0] dead[-2] heat[0] i[0] would[0] guess[0] that[0] it[0] probably[0] has[0] something[0] to[0] do[0] with[0] quite[0] a[0] few[0] bad[-1] career[0] moves[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
like mickey rourke and eric roberts ( both of whom are currently doing time in direct to video purgatory ) williams is a talented leading man who didn't make it to where he should have . 	like mickey rourke and eric roberts ( both of whom are currently doing time in direct to video purgatory ) williams is a talented leading man who didn't make it to where he should have .	2	-1	 like[1] mickey[0] rourke[0] and[0] eric[0] roberts[0] both[0] of[0] whom[0] are[0] currently[0] doing[0] time[0] in[0] direct[0] to[0] video[0] purgatory[0] williams[0] is[0] a[0] talented[1] leading[0] man[0] who[0] didn't[0] make[0] it[0] to[0] where[0] he[0] should[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( if there was any justice in this dog gone world keanu reeves would be the one banished to direct to video hell ) . 	 ( if there was any justice in this dog gone world keanu reeves would be the one banished to direct to video hell ) .	1	-2	 if[0] there[0] was[0] any[0] justice[0] in[0] this[0] dog[0] gone[0] world[0] keanu[0] reeves[0] would[0] be[0] the[0] one[0] banished[-1] to[0] direct[0] to[0] video[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
