in _daylight_ , sylvester stallone breaks no new ground , cinematically speaking , but he covers familiar territory quite well . 	Translation	Positive	Negative	EmotionRationale
yesterday , as i was going about my business in the university bookstore , i noticed this stand with these _daylight_ movie posters on it . 	yesterday , as i was going about my business in the university bookstore , i noticed this stand with these _daylight_ movie posters on it .	1	-1	 yesterday[0] as[0] i[0] was[0] going[0] about[0] my[0] business[0] in[0] the[0] university[0] bookstore[0] i[0] noticed[0] this[0] stand[0] with[0] these[0] _daylight_[0] movie[0] posters[0] on[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i had never heard of the movie , so i stopped by to check it out . 	i had never heard of the movie , so i stopped by to check it out .	1	-1	 i[0] had[0] never[0] heard[0] of[0] the[0] movie[0] so[0] i[0] stopped[0] by[0] to[0] check[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it turned out that they were giving away free passes to the movie for people who had or applied for the credit card they were offering . 	it turned out that they were giving away free passes to the movie for people who had or applied for the credit card they were offering .	1	-1	 it[0] turned[0] out[0] that[0] they[0] were[0] giving[0] away[0] free[0] passes[0] to[0] the[0] movie[0] for[0] people[0] who[0] had[0] or[0] applied[0] for[0] the[0] credit[0] card[0] they[0] were[0] offering[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , i shrugged , thought , " hey , they probably won't give me the card anyway , and i could always use a free movie , " so i signed up . 	so , i shrugged , thought , " hey , they probably won't give me the card anyway , and i could always use a free movie , " so i signed up .	2	-1	 so[0] i[0] shrugged[0] thought[0] hey[1] they[0] probably[0] won't[0] give[0] me[0] the[0] card[0] anyway[0] and[0] i[0] could[0] always[0] use[0] a[0] free[0] movie[0] so[0] i[0] signed[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all in all , i don't think i got that bad of a deal , either . 	all in all , i don't think i got that bad of a deal , either .	1	-2	 all[0] in[0] all[0] i[0] don't[0] think[0] i[0] got[0] that[0] bad[-1] of[0] a[0] deal[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rob cohen , who has previously brought us such films as _dragon : the bruce lee story_ and , more recently , _dragonheart_ ( gee , i wonder if he likes dragons for some reason ? 	rob cohen , who has previously brought us such films as _dragon : the bruce lee story_ and , more recently , _dragonheart_ ( gee , i wonder if he likes dragons for some reason ?	3	-1	 rob[0] cohen[0] who[0] has[0] previously[0] brought[0] us[0] such[0] films[0] as[0] _dragon[0] the[0] bruce[0] lee[0] story_[0] and[0] more[0] recently[0] _dragonheart_[0] gee[0] i[0] wonder[0] if[0] he[0] likes[2] dragons[0] for[0] some[0] reason[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
you think ? ) , now brings us a very nicely executed disaster picture , with fx by industrial light and magic , about the after-effects of an explosion that collapses a busy tunnel between new york and new jersey . 	you think ?<br> ) , now brings us a very nicely executed disaster picture , with fx by industrial light and magic , about the after-effects of an explosion that collapses a busy tunnel between new york and new jersey .	3	-2	 you[0] think[0] [[Sentence=-1,1=word max, 1-5]] now[0] brings[0] us[0] a[0] very[0] nicely[1][1 LastWordBoosterStrength] executed[-1] disaster[-1] picture[0] with[0] fx[0] by[0] industrial[0] light[0] and[0] magic[0] about[0] the[0] after[0] effects[0] of[0] an[0] explosion[-1] that[0] collapses[-1] a[0] busy[0] tunnel[0] between[0] new[0] york[0] and[0] new[0] jersey[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sylvester stallone plays kit latura , who is essentially a carbon copy of the character he played in _cliffhanger_ : a paramedic on the outs because he made a mistake that got people killed . 	sylvester stallone plays kit latura , who is essentially a carbon copy of the character he played in _cliffhanger_ : a paramedic on the outs because he made a mistake that got people killed .	2	-4	 sylvester[0] stallone[0] plays[1] kit[0] latura[0] who[0] is[0] essentially[0] a[0] carbon[0] copy[0] of[0] the[0] character[0] he[0] played[0] in[0] _cliffhanger_[0] a[0] paramedic[0] on[0] the[0] outs[0] because[0] he[0] made[0] a[0] mistake[-1] that[0] got[0] people[0] killed[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when the crisis hits , he is in the right place at the right time and takes it upon himself to go in and get everybody out . 	when the crisis hits , he is in the right place at the right time and takes it upon himself to go in and get everybody out .	1	-3	 when[0] the[0] crisis[-2] hits[0] he[0] is[0] in[0] the[0] right[0] place[0] at[0] the[0] right[0] time[0] and[0] takes[0] it[0] upon[0] himself[0] to[0] go[0] in[0] and[0] get[0] everybody[0] out[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there are other similarities to _cliffhanger_ , too ; perhaps the only real difference is that _cliffhanger_ had a villain , where _daylight_'s bad guy is mother nature . 	there are other similarities to _cliffhanger_ , too ; perhaps the only real difference is that _cliffhanger_ had a villain , where _daylight_'s bad guy is mother nature .	1	-3	 there[0] are[0] other[0] similarities[0] to[0] _cliffhanger_[0] too[0] perhaps[0] the[0] only[0] real[0] difference[0] is[0] that[0] _cliffhanger_[0] had[0] a[0] villain[-2] where[0] _daylight_'s[0] bad[-1] guy[0] is[0] mother[0] nature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
