so here is the second of 1999's remakes of classic horror movies . 	Translation	Positive	Negative	EmotionRationale
the first was the dumb , pathetic but ok remake of the classic 'the haunting' . 	the first was the dumb , pathetic but ok remake of the classic 'the haunting' .	1	-3	 the[0] first[0] was[0] the[0] dumb[-1] pathetic[-2] but[0] ok[0] remake[0] of[0] the[0] classic[0] 'the[0] haunting'[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now comes the highly awaited remake of house on haunted hill . 	now comes the highly awaited remake of house on haunted hill .	1	-1	 now[0] comes[0] the[0] highly[0] awaited[0] remake[0] of[0] house[0] on[0] haunted[0] hill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the classic which starred vincent price as a man who pays a group of people 100 , 000 to stay in his house . 	the classic which starred vincent price as a man who pays a group of people 100 , 00 to stay in his house .	1	-1	 the[0] classic[0] which[0] starred[0] vincent[0] price[0] as[0] a[0] man[0] who[0] pays[0] a[0] group[0] of[0] people[0] 100[0] 000/00[0] to[0] stay[0] in[0] his[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if they survive the night they get the money . 	if they survive the night they get the money .	1	-1	 if[0] they[0] survive[0] the[0] night[0] they[0] get[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if not well you get the jurisdiction . 	if not well you get the jurisdiction .	1	-1	 if[0] not[0] well[0] you[0] get[0] the[0] jurisdiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having not yet seen the film ( dvd on its way ) i wasn't sure if i would really like the remake . 	having not yet seen the film ( dvd on its way ) i wasn't sure if i would really like the remake .	3	-1	 having[0] not[0] yet[0] seen[0] the[0] film[0] dvd[0] on[0] its[0] way[0] i[0] wasn't[0] sure[0] if[0] i[0] would[0] really[0] like[1][1 LastWordBoosterStrength] the[0] remake[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but sure enough it comes through and has a great storyline to fall back on . 	but sure enough it comes through and has a great storyline to fall back on .	3	-1	 but[0] sure[0] enough[0] it[0] comes[0] through[0] and[0] has[0] a[0] great[2] storyline[0] to[0] fall[0] back[0] on[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
geoffrey rush ( in a fantastic role with an incredible performance ) is steven price , the owner of an amusement park destined to scare the wits out of people . 	geoffrey rush ( in a fantastic role with an incredible performance ) is steven price , the owner of an amusement park destined to scare the wits out of people .	3	-4	 geoffrey[0] rush[0] in[0] a[0] fantastic[2] role[0] with[0] an[0] incredible[0] performance[0] is[0] steven[0] price[0] the[0] owner[0] of[0] an[0] amusement[1] park[0] destined[0] to[0] scare[-3] the[0] wits[0] out[0] of[0] people[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
his wife evelyn price is throwing a party with her friends . 	his wife evelyn price is throwing a party with her friends .	2	-1	 his[0] wife[0] evelyn[0] price[0] is[0] throwing[0] a[0] party[0] with[0] her[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
steven dismays at the idea and makes his own list . 	steven dismays at the idea and makes his own list .	1	-3	 steven[0] dismays[-2] at[0] the[0] idea[0] and[0] makes[0] his[0] own[0] list[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
somehow someone , or something changes that list and five other people are invited to the party . 	somehow someone , or something changes that list and five other people are invited to the party .	1	-1	 somehow[0] someone[0] or[0] something[0] changes[0] that[0] list[0] and[0] five[0] other[0] people[0] are[0] invited[0] to[0] the[0] party[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eddie ( taye diggs ) an ex-baseball player , sarah ( ali carter ) an ex-assistant who can re-wire anything , melissa ( brigette wilson ) a talk-show host in sorts , dr . blackburn ( peter ghallager ) , and watson ( chris kattan ) a smart-mouthed humorist in ways . 	eddie ( taye digs ) an ex-baseball player , sarah ( ali carter ) an ex-assistant who can re-wire anything , melissa ( brigette wilson ) a talk-show host in sorts , dr .<br> blackburn ( peter ghallager ) , and watson ( chris kattan ) a smart-mouthed humorist in ways .	3	-1	 eddie[0] taye[0] diggs/digs[0] an[0] ex[0] baseball[0] player[0] sarah[0] ali[0] carter[0] an[0] ex[0] assistant[0] who[0] can[0] re[0] wire[0] anything[0] melissa[0] brigette[0] wilson[0] a[0] talk[0] show[0] host[0] in[0] sorts[0] dr[0] [[Sentence=-1,1=word max, 1-5]] blackburn[0] peter[0] ghallager[0] and[0] watson[0] chris[0] kattan[0] a[0] smart[1] mouthed[0] humorist[2] in[0] ways[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what he is gonna do is pay these five people 1 , 000 , 000 dollars if they can survive through the night . 	what he is gonna do is pay these five people 1 , 00 , 00 dollars if they can survive through the night .	1	-1	 what[0] he[0] is[0] gonna[0] do[0] is[0] pay[0] these[0] five[0] people[0] 1[0] 000/00[0] 000/00[0] dollars[0] if[0] they[0] can[0] survive[0] through[0] the[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if they can they get the money , if not well they don't . 	if they can they get the money , if not well they don't .	1	-1	 if[0] they[0] can[0] they[0] get[0] the[0] money[0] if[0] not[0] well[0] they[0] don't[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the house on haunted hill used to be an insane asylum . 	the house on haunted hill used to be an insane asylum .	1	-2	 the[0] house[0] on[0] haunted[0] hill[0] used[0] to[0] be[0] an[0] insane[-1] asylum[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
