when jim henson passed away , he left behind diverse legions of fans and a company whose ultimate success , it now seems , hinged on his input . 	Translation	Positive	Negative	EmotionRationale
jim henson productions and the creature shop are still thriving financially , but as the last two muppet films ( or that silly computer-generated monkey from lost in space ) demonstrate , the thrill and genius are gone . 	jim henson productions and the creature shop are still thriving financially , but as the last two muppet films ( or that silly computer-generated monkey from lost in space ) demonstrate , the thrill and genius are gone .	4	-2	 jim[0] henson[0] productions[0] and[0] the[0] creature[0] shop[0] are[0] still[0] thriving[0] financially[0] but[0] as[0] the[0] last[0] two[0] muppet[0] films[0] or[0] that[0] silly[-1] computer[0] generated[0] monkey[0] from[0] lost[0] in[0] space[0] demonstrate[0] the[0] thrill[3] and[0] genius[0] are[0] gone[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i'm not sure the dark crystal , made today , would generate from an audience of kids five to fifty the same awe-filled response . 	i'm not sure the dark crystal , made today , would generate from an audience of kids five to fifty the same awe-filled response .	1	-1	 i'm[0] not[0] sure[0] the[0] dark[0] crystal[0] made[0] today[0] would[0] generate[0] from[0] an[0] audience[0] of[0] kids[0] five[0] to[0] fifty[0] the[0] same[0] awe[0] filled[0] response[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an all-powerful crystal has cracked , causing the leaders of the green world to split apart into two beings : the big , gentle mystics , and the vulture-like skeksis . 	an all-powerful crystal has cracked , causing the leaders of the green world to split apart into two beings : the big , gentle mystics , and the vulture-like skeksis .	2	-3	 an[0] all[0] powerful[0] crystal[0] has[0] cracked[0] causing[0] the[0] leaders[0] of[0] the[0] green[0] world[0] to[0] split[0] apart[0] into[0] two[0] beings[0] the[0] big[0] gentle[1] mystics[0] and[0] the[0] vulture[-2] like[1] skeksis[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the mystics send jen , a naive gelfling boy , on a mission to find the shard that cracked away , which must be reinserted into the crystal before the skeksis become eternal rulers , before the great " conjunction " of three suns . 	the mystics send jen , a naive gelfling boy , on a mission to find the shard that cracked away , which must be reinserted into the crystal before the skeksis become eternal rulers , before the great " conjunction " of three suns .	3	-2	 the[0] mystics[0] send[0] jen[0] a[0] naive[-1] gelfling[0] boy[0] on[0] a[0] mission[0] to[0] find[0] the[0] shard[0] that[0] cracked[0] away[0] which[0] must[0] be[0] reinserted[0] into[0] the[0] crystal[0] before[0] the[0] skeksis[0] become[0] eternal[0] rulers[0] before[0] the[0] great[2] conjunction[0] of[0] three[0] suns[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
along the way , jen encounters and teams up with the only other gelfling alive , the rebecca demornay-like kira , an ogre-witch named aughra , who removes her eyes to look at things , and a spastic-but-friendly , tumbleweed-like animal named fizzgig . 	along the way , jen encounters and teams up with the only other gelfling alive , the rebecca demornay-like kira , an ogre-witch named aughra , who removes her eyes to look at things , and a spastic-but-friendly , tumbleweed-like animal named fizgig .	2	-2	 along[0] the[0] way[0] jen[0] encounters[0] and[0] teams[0] up[0] with[0] the[0] only[0] other[0] gelfling[0] alive[0] the[0] rebecca[0] demornay[0] like[1] kira[0] an[0] ogre[0] witch[0] named[0] aughra[0] who[0] removes[0] her[0] eyes[0] to[0] look[0] at[0] things[0] and[0] a[0] spastic[-1] but[0] friendly[1] tumbleweed[0] like[1] animal[0] named[0] fizzgig/fizgig[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
much of the beauty in the dark crystal , which is a simple tale ( though it does not condescend to any viewer ) , lies in its art direction and creature design . 	much of the beauty in the dark crystal , which is a simple tale ( though it does not condescend to any viewer ) , lies in its art direction and creature design .	3	-3	 much[0] of[0] the[0] beauty[2] in[0] the[0] dark[0] crystal[0] which[0] is[0] a[0] simple[0] tale[0] though[0] it[0] does[0] not[0] condescend[-2][NegatedDueToPreviousWord] to[0] any[0] viewer[0] lies[-2] in[0] its[0] art[0] direction[0] and[0] creature[0] design[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the puppeteering is phenomenal--observe the scenes in which jen plays his flute , or the landwalker chase--but i must stress that any thoughts of strings and hands and remote controls all but vanish in the opening moments of the picture , a delicately-narrated ( by john baddeley ) , absorbing prologue . 	the puppeteering is phenomenal-observe the scenes in which jen plays his flute , or the landwalker chase-but i must stress that any thoughts of strings and hands and remote controls all but vanish in the opening moments of the picture , a delicately-narrated ( by john baddeley ) , absorbing prologue .	2	-2	 the[0] puppeteering[0] is[0] phenomenal[0] observe[0] the[0] scenes[0] in[0] which[0] jen[0] plays[1] his[0] flute[0] or[0] the[0] landwalker[0] chase[-1] but[0] i[0] must[0] stress[-1] that[0] any[0] thoughts[0] of[0] strings[0] and[0] hands[0] and[0] remote[0] controls[0] all[0] but[0] vanish[-1] in[0] the[0] opening[0] moments[0] of[0] the[0] picture[0] a[0] delicately[0] narrated[0] by[0] john[0] baddeley[0] absorbing[0] prologue[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the voice work in the film , by muppet regulars and irregulars , is tone-perfect . 	the voice work in the film , by muppet regulars and irregulars , is tone-perfect .	2	-2	 the[0] voice[0] work[0] in[0] the[0] film[0] by[0] muppet[0] regulars[0] and[0] irregulars[-1] is[0] tone[0] perfect[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as well , trevor jones' score should not be discounted : it contributes to the film almost as an unseen character . 	as well , trevor jones' score should not be discounted : it contributes to the film almost as an unseen character .	1	-1	 as[0] well[0] trevor[0] jones'[0] score[0] should[0] not[0] be[0] discounted[0] it[0] contributes[0] to[0] the[0] film[0] almost[0] as[0] an[0] unseen[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose , due to the complexity involved in executing a movie of this nature , that it couldn't be helped , but i wish the film was longer . 	i suppose , due to the complexity involved in executing a movie of this nature , that it couldn't be helped , but i wish the film was longer .	1	-1	 i[0] suppose[0] due[0] to[0] the[0] complexity[0] involved[0] in[0] executing[0] a[0] movie[0] of[0] this[0] nature[0] that[0] it[0] couldn't[0] be[0] helped[0] but[0] i[0] wish[0] the[0] film[0] was[0] longer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jen and kira have wonderful . . . well , 	jen and kira have wonderful .<br> .<br> .<br> well ,	3	-1	 jen[0] and[0] kira[0] have[0] wonderful[2] [[Sentence=-1,3=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
chemistry , and more scenes of them quietly conversing would have been appreciated . 	chemistry , and more scenes of them quietly conversing would have been appreciated .	2	-1	 chemistry[0] and[0] more[0] scenes[0] of[0] them[0] quietly[0] conversing[0] would[0] have[0] been[0] appreciated[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dark crystal has a very small cult following . 	the dark crystal has a very small cult following .	1	-1	 the[0] dark[0] crystal[0] has[0] a[0] very[0] small[0] cult[0] following[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the weaker labyrinth is probably better-known , which is upsetting . 	the weaker labyrinth is probably better-known , which is upsetting .	1	-3	 the[0] weaker[-1] labyrinth[0] is[0] probably[0] better[0] known[0] which[0] is[0] upsetting[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a friend of mine related a story to me that henson was pressured into planting humans among labyrinth's creatures due to the financial failure of people-less the dark crystal . 	a friend of mine related a story to me that henson was pressured into planting humans among labyrinth's creatures due to the financial failure of people-less the dark crystal .	2	-3	 a[0] friend[1] of[0] mine[0] related[0] a[0] story[0] to[0] me[0] that[0] henson[0] was[0] pressured[-1] into[0] planting[0] humans[0] among[0] labyrinth's[0] creatures[0] due[0] to[0] the[0] financial[0] failure[-2] of[0] people[0] less[0] the[0] dark[0] crystal[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
that film never quite found its footing ; it played like an acid-trip episode of " the muppet show " with david bowie as guest-host , borrowing from tolkien and pandering to tolkien's fan-base . 	that film never quite found its footing ; it played like an acid-trip episode of " the muppet show " with david bowie as guest-host , borrowing from tolkien and pandering to tolkien's fan-base .	2	-1	 that[0] film[0] never[0] quite[0] found[0] its[0] footing[0] it[0] played[0] like[1] an[0] acid[0] trip[0] episode[0] of[0] the[0] muppet[0] show[0] with[0] david[0] bowie[0] as[0] guest[0] host[0] borrowing[0] from[0] tolkien[0] and[0] pandering[0] to[0] tolkien's[0] fan[0] base[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
