this is the movie not the perfume . 	Translation	Positive	Negative	EmotionRationale
a slow moving , stylish psychological thriller in imitation of hitchcock's vertigo . 	a slow moving , stylish psychological thriller in imitation of hitchcock's vertigo .	2	-1	 a[0] slow[0] moving[0] stylish[0] psychological[0] thriller[1] in[0] imitation[0] of[0] hitchcock's[0] vertigo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is adapted from an original story by brian de palma and paul schrader , and is directed by de palma and scripted by schrader . 	it is adapted from an original story by brian de palma and paul schrader , and is directed by de palma and scripted by schrader .	1	-1	 it[0] is[0] adapted[0] from[0] an[0] original[0] story[0] by[0] brian[0] de[0] palma[0] and[0] paul[0] schrader[0] and[0] is[0] directed[0] by[0] de[0] palma[0] and[0] scripted[0] by[0] schrader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
set in new orleans , 1959 , it shows the wealthy michael courtland ( cliff robertson ) sitting on top of the world , celebrating his tenth wedding anniversary with a party in his mansion , as his lovely wife elizabeth ( genevi ? ve bujold ) and young daughter amy ( blackman ) , both look up to him beaming with joy . 	set in new orleans , 1959 , it shows the wealthy michael courtland ( cliff robertson ) sitting on top of the world , celebrating his tenth wedding anniversary with a party in his mansion , as his lovely wife elizabeth ( genevi ?<br> ve bujold ) and young daughter amy ( blackman ) , both look up to him beaming with joy .	3	-1	 set[0] in[0] new[0] orleans[0] 1959[0] it[0] shows[0] the[0] wealthy[0] michael[0] courtland[0] cliff[0] robertson[0] sitting[0] on[0] top[0] of[0] the[0] world[0] celebrating[1] his[0] tenth[0] wedding[0] anniversary[0] with[0] a[0] party[0] in[0] his[0] mansion[0] as[0] his[0] lovely[1] wife[0] elizabeth[0] genevi[0] [[Sentence=-1,2=word max, 1-5]] ve[0] bujold[0] and[0] young[0] daughter[0] amy[0] blackman[0] both[0] look[0] up[0] to[0] him[0] beaming[0] with[0] joy[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his real-estate development partner bob la salle ( john lithgow ) proposes a toast to him and to their prosperous business , while his high society friends give him their best wishes . 	his real-estate development partner bob la sale ( john lithgow ) proposes a toast to him and to their prosperous business , while his high society friends give him their best wishes .	2	-1	 his[0] real[0] estate[0] development[0] partner[0] bob[0] la[0] salle/sale[0] john[0] lithgow[0] proposes[0] a[0] toast[0] to[0] him[0] and[0] to[0] their[0] prosperous[1] business[0] while[0] his[0] high[0] society[0] friends[1] give[0] him[0] their[0] best[1] wishes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
upon retiring for the night , his daughter and wife are kidnapped in their bedroom and he is left with a ransom note to deliver  500 , 000 tomorrow or they will be killed . 	upon retiring for the night , his daughter and wife are kidnapped in their bedroom and he is left with a ransom note to deliver  500 , 00 tomorrow or they will be killed .	1	-4	 upon[0] retiring[0] for[0] the[0] night[0] his[0] daughter[0] and[0] wife[0] are[0] kidnapped[0] in[0] their[0] bedroom[0] and[0] he[0] is[0] left[0] with[0] a[0] ransom[0] note[0] to[0] deliver[0] 500[0] 000/00[0] tomorrow[0] or[0] they[0] will[0] be[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
inspector brie ( stanley reyes ) comes up with a plan to put in phony money and a transmitter in the briefcase exchange , as that will lead them to the kidnappers . 	inspector brie ( stanley reyes ) comes up with a plan to put in phony money and a transmitter in the briefcase exchange , as that will lead them to the kidnappers .	1	-1	 inspector[0] brie[0] stanley[0] reyes[0] comes[0] up[0] with[0] a[0] plan[0] to[0] put[0] in[0] phony[0] money[0] and[0] a[0] transmitter[0] in[0] the[0] briefcase[0] exchange[0] as[0] that[0] will[0] lead[0] them[0] to[0] the[0] kidnappers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the kidnappers burst out of the house surrounded by the police , taking the two victims with them and in the pursuing police chase , the kidnapper's car explodes and goes over the bridge , where none of the bodies were found . 	but the kidnappers burst out of the house surrounded by the police , taking the two victims with them and in the pursuing police chase , the kidnapper's car explodes and goes over the bridge , where none of the bodies were found .	1	-3	 but[0] the[0] kidnappers[0] burst[0] out[0] of[0] the[0] house[0] surrounded[0] by[0] the[0] police[0] taking[0] the[0] two[0] victims[-2] with[0] them[0] and[0] in[0] the[0] pursuing[0] police[0] chase[-1] the[0] kidnapper's[0] car[0] explodes[-1] and[0] goes[0] over[0] the[0] bridge[0] where[0] none[0] of[0] the[0] bodies[0] were[0] found[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
grieving the loss of his wife and child , the guilt-ridden michael builds them a tomb on the expensive land they were to develop . 	grieving the loss of his wife and child , the guilt-ridden michael builds them a tomb on the expensive land they were to develop .	1	-4	 grieving[-3] the[0] loss[-2] of[0] his[0] wife[0] and[0] child[0] the[0] guilt[-3] ridden[0] michael[0] builds[0] them[0] a[0] tomb[0] on[0] the[0] expensive[-1] land[0] they[0] were[0] to[0] develop[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
sixteen years later he goes with his partner bob on a vacation and he revisits florence , italy , where he met his wife . 	sixteen years later he goes with his partner bob on a vacation and he revisits florence , italy , where he met his wife .	1	-1	 sixteen[0] years[0] later[0] he[0] goes[0] with[0] his[0] partner[0] bob[0] on[0] a[0] vacation[0] and[0] he[0] revisits[0] florence[0] italy[0] where[0] he[0] met[0] his[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he goes to the church where they met , he sees a young girl who looks exactly like his wife . 	when he goes to the church where they met , he sees a young girl who looks exactly like his wife .	2	-1	 when[0] he[0] goes[0] to[0] the[0] church[0] where[0] they[0] met[0] he[0] sees[0] a[0] young[0] girl[0] who[0] looks[0] exactly[0] like[1] his[0] wife[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
